Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Brazil,Brazil,BR,113.64,155.8,80.02,77.24,,false,
2021-01-01 01:00:00,Brazil,Brazil,BR,119.98,163.11,78.9,75.96,,false,
2021-01-01 02:00:00,Brazil,Brazil,BR,126.34,170.45,77.78,74.66,,false,
2021-01-01 03:00:00,Brazil,Brazil,BR,131.59,176.44,77.0,73.79,,false,
2021-01-01 04:00:00,Brazil,Brazil,BR,131.93,176.89,76.85,73.59,,false,
2021-01-01 05:00:00,Brazil,Brazil,BR,132.44,177.47,76.84,73.57,,false,
2021-01-01 06:00:00,Brazil,Brazil,BR,128.59,172.84,77.62,74.31,,false,
2021-01-01 07:00:00,Brazil,Brazil,BR,125.62,169.36,78.15,74.79,,false,
2021-01-01 08:00:00,Brazil,Brazil,BR,122.49,165.67,78.7,75.2,,false,
2021-01-01 09:00:00,Brazil,Brazil,BR,119.93,162.82,79.14,75.45,,false,
2021-01-01 10:00:00,Brazil,Brazil,BR,121.19,164.62,78.92,75.2,,false,
2021-01-01 11:00:00,Brazil,Brazil,BR,120.26,163.78,79.08,75.38,,false,
2021-01-01 12:00:00,Brazil,Brazil,BR,118.71,162.29,79.36,75.71,,false,
2021-01-01 13:00:00,Brazil,Brazil,BR,116.04,159.4,79.82,76.25,,false,
2021-01-01 14:00:00,Brazil,Brazil,BR,114.93,158.26,80.01,76.48,,false,
2021-01-01 15:00:00,Brazil,Brazil,BR,113.97,157.11,80.18,76.66,,false,
2021-01-01 16:00:00,Brazil,Brazil,BR,115.17,158.38,79.97,76.41,,false,
2021-01-01 17:00:00,Brazil,Brazil,BR,115.22,158.32,79.96,76.4,,false,
2021-01-01 18:00:00,Brazil,Brazil,BR,114.36,157.13,80.11,76.58,,false,
2021-01-01 19:00:00,Brazil,Brazil,BR,115.1,157.75,79.98,76.53,,false,
2021-01-01 20:00:00,Brazil,Brazil,BR,119.13,162.25,79.28,75.93,,false,
2021-01-01 21:00:00,Brazil,Brazil,BR,114.82,157.04,80.03,76.87,,false,
2021-01-01 22:00:00,Brazil,Brazil,BR,106.31,147.07,81.51,78.62,,false,
2021-01-01 23:00:00,Brazil,Brazil,BR,103.08,143.28,82.07,79.28,,false,
2021-01-02 00:00:00,Brazil,Brazil,BR,103.97,144.31,81.92,79.11,,false,
