Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Norway,Norway,NO,3.06,27.49,99.38,98.17,entsoe.eu,false,
2021-01-01 01:00:00,Norway,Norway,NO,3.02,27.43,99.39,96.94,entsoe.eu,false,
2021-01-01 02:00:00,Norway,Norway,NO,3.09,27.55,99.37,96.46,entsoe.eu,false,
2021-01-01 03:00:00,Norway,Norway,NO,3.0,27.43,99.38,96.66,entsoe.eu,false,
2021-01-01 04:00:00,Norway,Norway,NO,3.13,27.63,99.37,97.13,entsoe.eu,false,
2021-01-01 05:00:00,Norway,Norway,NO,3.06,27.56,99.39,98.07,entsoe.eu,false,
2021-01-01 06:00:00,Norway,Norway,NO,2.93,27.35,99.42,99.24,entsoe.eu,false,
2021-01-01 07:00:00,Norway,Norway,NO,2.89,27.31,99.43,99.43,entsoe.eu,false,
2021-01-01 08:00:00,Norway,Norway,NO,2.88,27.3,99.45,99.45,entsoe.eu,false,
2021-01-01 09:00:00,Norway,Norway,NO,2.9,27.36,99.45,99.45,entsoe.eu,false,
2021-01-01 10:00:00,Norway,Norway,NO,2.81,27.31,99.49,99.49,entsoe.eu,false,
2021-01-01 11:00:00,Norway,Norway,NO,2.74,27.25,99.51,99.51,entsoe.eu,false,
2021-01-01 12:00:00,Norway,Norway,NO,2.8,27.34,99.51,99.51,entsoe.eu,false,
2021-01-01 13:00:00,Norway,Norway,NO,2.77,27.28,99.51,99.51,entsoe.eu,false,
2021-01-01 14:00:00,Norway,Norway,NO,2.74,27.26,99.52,99.52,entsoe.eu,false,
2021-01-01 15:00:00,Norway,Norway,NO,2.77,27.27,99.52,99.52,entsoe.eu,false,
2021-01-01 16:00:00,Norway,Norway,NO,2.53,26.92,99.56,99.56,entsoe.eu,false,
2021-01-01 17:00:00,Norway,Norway,NO,2.56,26.99,99.55,99.55,entsoe.eu,false,
2021-01-01 18:00:00,Norway,Norway,NO,2.3,26.62,99.6,99.6,entsoe.eu,false,
2021-01-01 19:00:00,Norway,Norway,NO,2.31,26.63,99.59,99.59,entsoe.eu,false,
2021-01-01 20:00:00,Norway,Norway,NO,2.32,26.61,99.58,99.58,entsoe.eu,false,
2021-01-01 21:00:00,Norway,Norway,NO,2.31,26.61,99.56,99.56,entsoe.eu,false,
2021-01-01 22:00:00,Norway,Norway,NO,2.92,27.25,99.44,99.44,entsoe.eu,false,
2021-01-01 23:00:00,Norway,Norway,NO,2.9,27.22,99.42,99.42,entsoe.eu,false,
2021-01-02 00:00:00,Norway,Norway,NO,2.95,27.23,99.41,98.63,entsoe.eu,false,
2021-01-02 01:00:00,Norway,Norway,NO,3.06,27.42,99.38,98.22,entsoe.eu,false,
2021-01-02 02:00:00,Norway,Norway,NO,3.09,27.54,99.37,98.0,entsoe.eu,false,
2021-01-02 03:00:00,Norway,Norway,NO,3.03,27.45,99.38,98.47,entsoe.eu,false,
2021-01-02 04:00:00,Norway,Norway,NO,2.99,27.41,99.39,99.23,entsoe.eu,false,
2021-01-02 05:00:00,Norway,Norway,NO,2.97,27.43,99.4,99.4,entsoe.eu,false,
2021-01-02 06:00:00,Norway,Norway,NO,2.88,27.37,99.43,99.43,entsoe.eu,false,
2021-01-02 07:00:00,Norway,Norway,NO,2.85,27.31,99.46,99.46,entsoe.eu,false,
2021-01-02 08:00:00,Norway,Norway,NO,2.81,27.27,99.48,99.48,entsoe.eu,false,
2021-01-02 09:00:00,Norway,Norway,NO,2.79,27.27,99.49,99.49,entsoe.eu,false,
2021-01-02 10:00:00,Norway,Norway,NO,2.84,27.34,99.49,99.49,entsoe.eu,false,
2021-01-02 11:00:00,Norway,Norway,NO,2.81,27.37,99.49,99.49,entsoe.eu,false,
2021-01-02 12:00:00,Norway,Norway,NO,2.8,27.36,99.5,99.5,entsoe.eu,false,
2021-01-02 13:00:00,Norway,Norway,NO,2.75,27.29,99.51,99.51,entsoe.eu,false,
2021-01-02 14:00:00,Norway,Norway,NO,2.71,27.25,99.52,99.52,entsoe.eu,false,
2021-01-02 15:00:00,Norway,Norway,NO,2.6,27.13,99.54,99.54,entsoe.eu,false,
2021-01-02 16:00:00,Norway,Norway,NO,2.52,27.05,99.56,99.56,entsoe.eu,false,
2021-01-02 17:00:00,Norway,Norway,NO,2.62,27.13,99.55,99.55,entsoe.eu,false,
2021-01-02 18:00:00,Norway,Norway,NO,2.65,27.17,99.53,99.53,entsoe.eu,false,
2021-01-02 19:00:00,Norway,Norway,NO,2.82,27.35,99.5,99.5,entsoe.eu,false,
2021-01-02 20:00:00,Norway,Norway,NO,2.83,27.36,99.5,99.5,entsoe.eu,false,
2021-01-02 21:00:00,Norway,Norway,NO,2.95,27.52,99.47,99.47,entsoe.eu,false,
2021-01-02 22:00:00,Norway,Norway,NO,2.8,27.33,99.47,99.47,entsoe.eu,false,
2021-01-02 23:00:00,Norway,Norway,NO,2.95,27.5,99.44,99.44,entsoe.eu,false,
2021-01-03 00:00:00,Norway,Norway,NO,3.05,27.67,99.41,99.3,entsoe.eu,false,
2021-01-03 01:00:00,Norway,Norway,NO,3.08,27.83,99.38,98.21,entsoe.eu,false,
2021-01-03 02:00:00,Norway,Norway,NO,3.19,27.94,99.36,97.97,entsoe.eu,false,
2021-01-03 03:00:00,Norway,Norway,NO,2.98,27.71,99.39,98.08,entsoe.eu,false,
2021-01-03 04:00:00,Norway,Norway,NO,3.01,27.75,99.39,98.16,entsoe.eu,false,
2021-01-03 05:00:00,Norway,Norway,NO,2.9,27.6,99.41,98.17,entsoe.eu,false,
2021-01-03 06:00:00,Norway,Norway,NO,3.07,27.74,99.4,98.86,entsoe.eu,false,
2021-01-03 07:00:00,Norway,Norway,NO,2.92,27.47,99.44,99.44,entsoe.eu,false,
2021-01-03 08:00:00,Norway,Norway,NO,2.91,27.42,99.45,99.45,entsoe.eu,false,
2021-01-03 09:00:00,Norway,Norway,NO,2.76,27.25,99.47,99.47,entsoe.eu,false,
2021-01-03 10:00:00,Norway,Norway,NO,2.75,27.25,99.47,99.47,entsoe.eu,false,
2021-01-03 11:00:00,Norway,Norway,NO,2.66,27.2,99.47,99.47,entsoe.eu,false,
2021-01-03 12:00:00,Norway,Norway,NO,2.63,27.15,99.47,99.47,entsoe.eu,false,
2021-01-03 13:00:00,Norway,Norway,NO,2.79,27.36,99.44,99.44,entsoe.eu,false,
2021-01-03 14:00:00,Norway,Norway,NO,2.59,27.1,99.5,99.5,entsoe.eu,false,
2021-01-03 15:00:00,Norway,Norway,NO,2.8,27.37,99.48,99.48,entsoe.eu,false,
2021-01-03 16:00:00,Norway,Norway,NO,2.87,27.44,99.48,99.48,entsoe.eu,false,
2021-01-03 17:00:00,Norway,Norway,NO,2.8,27.34,99.49,99.49,entsoe.eu,false,
2021-01-03 18:00:00,Norway,Norway,NO,2.76,27.3,99.49,99.49,entsoe.eu,false,
2021-01-03 19:00:00,Norway,Norway,NO,2.8,27.32,99.48,99.48,entsoe.eu,false,
2021-01-03 20:00:00,Norway,Norway,NO,2.76,27.24,99.47,99.31,entsoe.eu,false,
2021-01-03 21:00:00,Norway,Norway,NO,2.74,27.23,99.45,98.93,entsoe.eu,false,
2021-01-03 22:00:00,Norway,Norway,NO,2.78,27.3,99.42,97.98,entsoe.eu,false,
2021-01-03 23:00:00,Norway,Norway,NO,2.9,27.4,99.38,96.11,entsoe.eu,false,
2021-01-04 00:00:00,Norway,Norway,NO,2.82,27.29,99.38,96.2,entsoe.eu,false,
2021-01-04 01:00:00,Norway,Norway,NO,3.0,27.45,99.34,95.78,entsoe.eu,false,
2021-01-04 02:00:00,Norway,Norway,NO,2.89,27.32,99.36,96.06,entsoe.eu,false,
2021-01-04 03:00:00,Norway,Norway,NO,2.98,27.47,99.37,95.97,entsoe.eu,false,
2021-01-04 04:00:00,Norway,Norway,NO,2.93,27.39,99.4,97.44,entsoe.eu,false,
2021-01-04 05:00:00,Norway,Norway,NO,2.86,27.24,99.44,98.86,entsoe.eu,false,
2021-01-04 06:00:00,Norway,Norway,NO,2.64,27.0,99.5,99.5,entsoe.eu,false,
2021-01-04 07:00:00,Norway,Norway,NO,2.68,26.98,99.52,99.52,entsoe.eu,false,
2021-01-04 08:00:00,Norway,Norway,NO,2.59,26.82,99.54,99.54,entsoe.eu,false,
2021-01-04 09:00:00,Norway,Norway,NO,2.55,26.7,99.55,99.55,entsoe.eu,false,
2021-01-04 10:00:00,Norway,Norway,NO,2.57,26.72,99.54,99.54,entsoe.eu,false,
2021-01-04 11:00:00,Norway,Norway,NO,2.63,26.79,99.53,99.53,entsoe.eu,false,
2021-01-04 12:00:00,Norway,Norway,NO,2.6,26.82,99.54,99.54,entsoe.eu,false,
2021-01-04 13:00:00,Norway,Norway,NO,2.56,26.8,99.54,99.54,entsoe.eu,false,
2021-01-04 14:00:00,Norway,Norway,NO,2.53,26.75,99.55,99.55,entsoe.eu,false,
2021-01-04 15:00:00,Norway,Norway,NO,2.58,26.78,99.55,99.55,entsoe.eu,false,
2021-01-04 16:00:00,Norway,Norway,NO,2.66,26.92,99.53,99.53,entsoe.eu,false,
2021-01-04 17:00:00,Norway,Norway,NO,3.15,27.45,99.44,99.43,entsoe.eu,false,
2021-01-04 18:00:00,Norway,Norway,NO,2.73,26.98,99.51,99.51,entsoe.eu,false,
2021-01-04 19:00:00,Norway,Norway,NO,2.87,27.18,99.48,99.48,entsoe.eu,false,
2021-01-04 20:00:00,Norway,Norway,NO,2.87,27.24,99.46,99.46,entsoe.eu,false,
2021-01-04 21:00:00,Norway,Norway,NO,3.01,27.4,99.42,99.42,entsoe.eu,false,
2021-01-04 22:00:00,Norway,Norway,NO,3.14,27.56,99.38,99.38,entsoe.eu,false,
2021-01-04 23:00:00,Norway,Norway,NO,3.23,27.68,99.38,99.38,entsoe.eu,false,
2021-01-05 00:00:00,Norway,Norway,NO,3.32,27.81,99.36,99.36,entsoe.eu,false,
2021-01-05 01:00:00,Norway,Norway,NO,3.32,27.81,99.36,99.36,entsoe.eu,false,
2021-01-05 02:00:00,Norway,Norway,NO,3.37,27.9,99.35,99.35,entsoe.eu,false,
2021-01-05 03:00:00,Norway,Norway,NO,3.2,27.74,99.38,99.38,entsoe.eu,false,
2021-01-05 04:00:00,Norway,Norway,NO,2.96,27.44,99.44,99.44,entsoe.eu,false,
2021-01-05 05:00:00,Norway,Norway,NO,2.74,27.18,99.52,99.52,entsoe.eu,false,
2021-01-05 06:00:00,Norway,Norway,NO,3.7,28.26,99.35,99.34,entsoe.eu,false,
2021-01-05 07:00:00,Norway,Norway,NO,7.33,32.56,98.67,98.62,entsoe.eu,false,
2021-01-05 08:00:00,Norway,Norway,NO,5.74,30.7,98.97,98.94,entsoe.eu,false,
2021-01-05 09:00:00,Norway,Norway,NO,5.44,30.38,99.03,99.01,entsoe.eu,false,
2021-01-05 10:00:00,Norway,Norway,NO,3.42,28.04,99.4,99.4,entsoe.eu,false,
2021-01-05 11:00:00,Norway,Norway,NO,3.27,27.86,99.44,99.44,entsoe.eu,false,
2021-01-05 12:00:00,Norway,Norway,NO,3.23,27.8,99.45,99.45,entsoe.eu,false,
2021-01-05 13:00:00,Norway,Norway,NO,4.93,29.83,99.14,99.12,entsoe.eu,false,
2021-01-05 14:00:00,Norway,Norway,NO,3.24,27.85,99.45,99.45,entsoe.eu,false,
2021-01-05 15:00:00,Norway,Norway,NO,4.68,29.55,99.18,99.16,entsoe.eu,false,
2021-01-05 16:00:00,Norway,Norway,NO,9.86,35.64,98.24,98.16,entsoe.eu,false,
2021-01-05 17:00:00,Norway,Norway,NO,10.32,36.19,98.15,98.07,entsoe.eu,false,
2021-01-05 18:00:00,Norway,Norway,NO,5.83,30.89,98.98,98.95,entsoe.eu,false,
2021-01-05 19:00:00,Norway,Norway,NO,3.23,27.82,99.46,99.46,entsoe.eu,false,
2021-01-05 20:00:00,Norway,Norway,NO,3.3,27.95,99.44,99.44,entsoe.eu,false,
2021-01-05 21:00:00,Norway,Norway,NO,3.41,28.13,99.41,99.41,entsoe.eu,false,
2021-01-05 22:00:00,Norway,Norway,NO,3.52,28.25,99.38,99.38,entsoe.eu,false,
2021-01-05 23:00:00,Norway,Norway,NO,3.66,28.45,99.34,99.34,entsoe.eu,false,
2021-01-06 00:00:00,Norway,Norway,NO,4.05,28.91,99.23,99.23,entsoe.eu,false,
2021-01-06 01:00:00,Norway,Norway,NO,4.3,29.16,99.24,99.23,entsoe.eu,false,
2021-01-06 02:00:00,Norway,Norway,NO,3.62,28.34,99.34,99.34,entsoe.eu,false,
2021-01-06 03:00:00,Norway,Norway,NO,3.62,28.37,99.34,99.34,entsoe.eu,false,
2021-01-06 04:00:00,Norway,Norway,NO,3.66,28.44,99.34,99.13,entsoe.eu,false,
2021-01-06 05:00:00,Norway,Norway,NO,3.49,28.24,99.38,98.71,entsoe.eu,false,
2021-01-06 06:00:00,Norway,Norway,NO,3.5,28.3,99.38,98.31,entsoe.eu,false,
