slack_0,non_interrupt,interrupt
484.31,472.89,472.89
478.54,472.89,472.89
474.64,472.59,472.59
474.51,470.07,470.07
474.56,470.07,470.07
474.54,470.07,470.07
478.76,470.07,470.07
485.09,470.07,470.07
499.88,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
502.67,470.07,470.07
500.98,470.07,470.07
484.54,470.07,470.07
479.06,470.07,470.07
476.47,469.55,469.55
472.89,467.6,467.6
475.95,467.5,467.5
477.1,467.5,467.5
476.79,467.5,467.5
485.84,467.5,467.5
499.7,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
501.5,467.5,467.5
489.3,467.5,467.5
487.02,467.5,467.5
484.23,467.5,467.5
482.64,467.5,467.5
483.72,467.5,467.5
484.72,467.5,467.5
485.65,467.5,467.5
489.74,467.5,467.5
500.19,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
501.59,467.5,467.5
486.57,467.5,467.5
481.06,467.5,467.5
478.23,467.5,467.5
475.63,467.5,467.5
475.97,467.5,467.5
477.33,467.5,467.5
479.8,467.5,467.5
485.26,467.5,467.5
498.95,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
501.18,467.5,467.5
487.15,467.5,467.5
482.42,467.5,467.5
480.24,467.5,467.5
478.15,467.5,467.5
478.45,467.5,467.5
479.75,467.5,467.5
481.48,467.5,467.5
485.87,467.5,467.5
498.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
501.15,467.5,467.5
486.28,467.5,467.5
480.54,467.5,467.5
477.65,467.5,467.5
474.97,467.5,467.5
475.29,467.5,467.5
476.76,467.5,467.5
479.26,467.5,467.5
484.7,467.5,467.5
498.23,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
501.15,467.5,467.5
486.37,467.5,467.5
480.67,467.5,467.5
477.79,467.5,467.5
475.06,467.5,467.5
475.35,467.5,467.5
476.68,467.5,467.5
478.97,467.5,467.5
484.33,467.5,467.5
497.81,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
500.83,467.5,467.5
482.54,467.5,467.5
475.8,467.5,467.5
472.59,467.5,467.5
470.07,467.5,467.5
470.24,467.5,467.5
471.67,467.5,467.5
474.49,467.5,467.5
480.65,467.5,467.5
496.49,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
502.67,467.5,467.5
500.55,467.5,467.5
480.03,467.5,467.5
472.84,467.5,467.5
469.55,467.5,467.5
467.6,466.53,466.53
467.5,466.14,466.14
468.72,466.14,466.14
471.69,466.14,466.14
478.4,466.14,466.14
495.69,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
501.01,466.14,466.14
486.36,466.14,466.14
481.0,466.14,466.14
478.21,466.14,466.14
475.64,466.14,466.14
476.08,466.14,466.14
477.6,466.14,466.14
479.7,466.14,466.14
484.46,466.14,466.14
496.86,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
501.01,466.14,466.14
486.81,466.14,466.14
481.76,466.14,466.14
479.18,466.14,466.14
476.76,466.14,466.14
477.09,466.14,466.14
478.37,466.14,466.14
480.47,466.14,466.14
485.16,466.14,466.14
496.84,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
501.0,466.14,466.14
486.9,466.14,466.14
481.63,466.14,466.14
479.01,466.14,466.14
476.72,466.14,466.14
477.1,466.14,466.14
478.34,466.14,466.14
480.31,466.14,466.14
484.92,466.14,466.14
496.45,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
500.91,466.14,466.14
486.9,466.14,466.14
481.84,466.14,466.14
479.37,466.14,466.14
477.19,466.14,466.14
477.42,466.14,466.14
478.73,466.14,466.14
480.63,466.14,466.14
485.12,466.14,466.14
496.23,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
502.67,466.14,466.14
