slack_0,non_interrupt,interrupt
370.33,259.38,259.38
367.21,259.38,259.38
411.16,259.38,259.38
430.6,259.38,259.38
438.31,259.38,259.38
446.39,259.38,259.38
450.15,259.38,259.38
424.44,259.38,259.38
382.47,259.38,259.38
320.47,259.38,259.38
265.47,259.38,259.38
266.68,259.38,259.38
259.38,259.38,259.38
265.18,260.07,260.07
268.69,260.07,260.07
260.07,260.07,260.07
275.0,265.22,265.22
311.83,265.22,265.22
342.77,265.22,265.22
357.67,265.22,265.22
366.55,265.22,265.22
366.23,265.22,265.22
358.19,265.22,265.22
355.53,265.22,265.22
355.46,265.22,265.22
336.89,265.22,265.22
322.97,265.22,265.22
303.73,265.22,265.22
285.79,265.22,265.22
280.0,265.22,265.22
286.05,265.22,265.22
290.66,265.22,265.22
289.46,265.22,265.22
291.02,243.06,243.06
291.84,230.3,230.3
306.24,225.85,225.85
325.24,225.85,225.85
354.9,225.85,225.85
361.92,225.85,225.85
347.5,225.85,225.85
370.91,225.85,225.85
394.65,225.85,225.85
386.66,225.85,225.85
375.84,225.85,225.85
372.13,225.85,225.85
380.74,225.85,225.85
421.54,225.85,225.85
504.18,225.85,225.85
524.08,225.85,225.85
528.22,225.85,225.85
527.63,225.85,225.85
527.07,225.85,225.85
526.51,225.85,225.85
527.83,225.85,225.85
524.07,225.85,225.85
519.21,225.85,225.85
518.39,225.85,225.85
516.27,225.85,225.85
512.18,225.85,225.85
503.44,225.85,225.85
506.02,225.85,225.85
504.63,225.85,225.85
476.18,225.85,225.85
450.58,225.85,225.85
458.4,225.85,225.85
447.59,225.85,225.85
425.47,225.85,225.85
393.57,225.85,225.85
362.44,225.85,225.85
340.94,225.85,225.85
376.12,225.85,225.85
451.23,225.85,225.85
428.84,225.85,225.85
377.4,225.85,225.85
334.63,225.85,225.85
325.59,225.85,225.85
317.65,225.85,225.85
307.62,225.85,225.85
306.29,225.85,225.85
309.22,225.85,225.85
322.2,225.85,225.85
338.13,225.85,225.85
343.5,225.85,225.85
347.08,225.85,225.85
367.12,225.85,225.85
385.58,225.85,225.85
378.93,225.85,225.85
362.47,225.85,225.85
338.17,225.85,225.85
305.31,225.85,225.85
289.39,225.85,225.85
274.64,225.85,225.85
268.3,225.85,225.85
265.22,225.85,225.85
291.26,225.85,225.85
387.72,225.85,225.85
411.13,225.85,225.85
372.94,225.85,225.85
357.51,225.85,225.85
344.84,225.85,225.85
331.72,225.85,225.85
340.83,225.85,225.85
353.71,225.85,225.85
355.19,225.85,225.85
352.7,225.85,225.85
317.42,225.85,225.85
310.08,225.85,225.85
321.19,225.85,225.85
351.97,225.85,225.85
373.82,225.85,225.85
351.07,225.85,225.85
319.45,225.85,225.85
339.62,225.85,225.85
400.35,225.85,225.85
447.7,225.85,225.85
466.09,225.85,225.85
465.1,225.85,225.85
456.81,225.85,225.85
459.25,225.85,225.85
518.32,225.85,225.85
528.42,225.85,225.85
517.55,225.85,225.85
493.47,225.85,225.85
459.86,225.85,225.85
406.8,225.85,225.85
350.7,225.85,225.85
337.22,225.85,225.85
325.56,225.85,225.85
317.95,225.85,225.85
344.61,225.85,225.85
328.63,225.85,225.85
322.55,225.85,225.85
343.36,225.85,225.85
351.41,225.85,225.85
344.66,225.85,225.85
336.41,225.85,225.85
332.34,225.85,225.85
329.55,225.85,225.85
330.56,225.85,225.85
367.09,225.85,225.85
397.18,225.85,225.85
407.74,225.85,225.85
446.03,225.85,225.85
505.05,225.85,225.85
511.67,225.85,225.85
498.1,225.85,225.85
491.04,225.85,225.85
480.71,225.85,225.85
480.5,225.85,225.85
478.56,225.85,225.85
478.43,225.85,225.85
480.36,225.85,225.85
481.98,225.85,225.85
494.94,225.85,225.85
496.06,225.85,225.85
495.5,225.85,225.85
497.1,225.85,225.85
499.07,225.85,225.85
492.97,225.85,225.85
474.1,225.85,225.85
466.66,225.85,225.85
460.28,225.85,225.85
443.53,225.85,225.85
428.44,225.85,225.85
409.77,225.85,225.85
401.86,225.85,225.85
408.21,225.85,225.85
440.22,225.85,225.85
415.23,225.85,225.85
383.87,225.85,225.85
376.78,225.85,225.85
363.94,225.85,225.85
348.89,225.85,225.85
340.23,225.85,225.85
330.82,219.47,219.47
324.72,206.22,206.22
314.55,203.49,203.49
311.68,203.49,203.49
312.25,203.49,203.49
324.89,203.49,203.49
345.82,203.49,203.49
368.97,203.49,203.49
350.2,203.49,203.49
357.03,203.49,203.49
355.76,203.49,203.49
354.25,203.49,203.49
353.32,203.49,203.49
348.15,203.49,203.49
341.92,203.49,203.49
333.88,203.49,203.49
343.79,203.49,203.49
422.04,203.49,203.49
446.84,203.49,203.49
422.05,203.49,203.49
389.71,203.49,203.49
355.18,203.49,203.49
323.26,203.49,203.49
322.81,203.49,203.49
322.03,203.49,203.49
297.82,203.49,203.49
267.63,203.49,203.49
243.06,203.49,203.49
230.3,203.49,203.49
225.85,203.49,203.49
237.65,203.49,203.49
255.61,203.49,203.49
272.79,203.49,203.49
294.19,203.49,203.49
301.24,203.49,203.49
301.86,203.49,203.49
311.11,203.49,203.49
303.96,203.49,203.49
308.11,203.49,203.49
306.37,203.49,203.49
323.67,203.49,203.49
372.47,203.49,203.49
399.72,203.49,203.49
391.41,203.49,203.49
388.64,203.49,203.49
376.76,203.49,203.49
381.71,203.49,203.49
384.37,203.49,203.49
382.11,203.49,203.49
383.65,203.49,203.49
388.85,203.49,203.49
397.61,203.49,203.49
430.43,203.49,203.49
445.2,203.49,203.49
456.82,203.49,203.49
486.71,203.49,203.49
495.27,203.49,203.49
486.43,203.49,203.49
485.6,203.49,203.49
479.57,203.49,203.49
483.48,203.49,203.49
479.92,203.49,203.49
470.15,203.49,203.49
485.07,203.49,203.49
513.08,203.49,203.49
550.11,203.49,203.49
551.18,203.49,203.49
533.05,203.49,203.49
523.72,203.49,203.49
514.98,203.49,203.49
509.65,203.49,203.49
490.89,203.49,203.49
475.77,203.49,203.49
454.79,203.49,203.49
442.76,203.49,203.49
437.83,203.49,203.49
447.59,203.49,203.49
463.03,203.49,203.49
468.12,203.49,203.49
468.11,203.49,203.49
466.95,203.49,203.49
459.2,203.49,203.49
445.72,203.49,203.49
413.77,203.49,203.49
395.51,203.49,203.49
379.65,203.49,203.49
363.04,203.49,203.49
379.34,203.49,203.49
440.99,203.49,203.49
500.11,203.49,203.49
493.31,203.49,203.49
460.73,203.49,203.49
434.31,203.49,203.49
425.09,203.49,203.49
415.74,203.49,203.49
388.94,203.49,203.49
385.43,203.49,203.49
399.56,203.49,203.49
408.69,203.49,203.49
429.68,203.49,203.49
452.84,203.49,203.49
479.85,203.49,203.49
496.06,203.49,203.49
515.43,203.49,203.49
506.44,203.49,203.49
487.31,203.49,203.49
482.57,203.49,203.49
484.34,203.49,203.49
482.6,203.49,203.49
472.23,203.49,203.49
473.6,203.49,203.49
478.28,203.49,203.49
510.17,203.49,203.49
567.72,203.49,203.49
586.19,203.49,203.49
586.43,203.49,203.49
584.31,203.49,203.49
584.65,203.49,203.49
582.95,203.49,203.49
570.31,203.49,203.49
556.07,203.49,203.49
544.87,203.49,203.49
547.87,203.49,203.49
553.29,203.49,203.49
552.45,203.49,203.49
544.12,203.49,203.49
531.88,203.49,203.49
530.71,203.49,203.49
509.63,203.49,203.49
483.85,203.49,203.49
501.11,203.49,203.49
506.48,203.49,203.49
509.49,203.49,203.49
507.88,203.49,203.49
501.38,203.49,203.49
497.76,203.49,203.49
513.43,203.49,203.49
570.02,203.49,203.49
585.02,203.49,203.49
577.88,203.49,203.49
562.36,203.49,203.49
539.57,203.49,203.49
502.58,203.49,203.49
470.51,203.49,203.49
421.17,203.49,203.49
375.03,203.49,203.49
355.35,203.49,203.49
356.89,203.49,203.49
350.34,203.49,203.49
348.9,203.49,203.49
365.58,203.49,203.49
366.45,203.49,203.49
340.95,203.49,203.49
