slack_0,non_interrupt,interrupt
318.38,248.68,248.68
320.85,248.68,248.68
310.41,248.68,248.68
297.73,248.68,248.68
300.46,248.68,248.68
292.94,248.68,248.68
284.56,248.68,248.68
265.68,248.68,248.68
249.04,248.68,248.68
248.68,248.68,248.68
266.23,256.54,256.54
274.78,256.54,256.54
277.31,256.54,256.54
258.69,256.54,256.54
256.54,256.54,256.54
278.77,278.77,278.77
294.99,283.62,283.62
303.74,283.62,283.62
311.28,283.62,283.62
320.83,283.62,283.62
318.9,283.62,283.62
316.95,283.62,283.62
313.69,278.66,278.66
283.62,278.66,278.66
297.88,278.66,278.66
296.84,278.66,278.66
309.07,278.66,278.66
317.43,278.66,278.66
319.7,278.66,278.66
314.44,278.66,278.66
311.92,278.66,278.66
302.87,278.66,278.66
298.38,278.66,278.66
297.55,278.66,278.66
298.95,278.66,278.66
298.07,278.66,278.66
307.56,278.66,278.66
305.1,278.66,278.66
302.0,278.66,278.66
292.28,278.66,278.66
303.22,278.66,278.66
306.3,278.66,278.66
302.58,278.66,278.66
299.4,278.66,278.66
300.87,278.66,278.66
287.6,278.66,278.66
278.66,278.66,278.66
295.52,295.52,295.52
313.01,312.43,312.43
322.11,312.43,312.43
317.32,312.43,312.43
318.63,312.43,312.43
312.43,312.43,312.43
336.13,323.72,323.72
349.05,323.72,323.72
348.13,323.72,323.72
349.2,323.72,323.72
352.78,323.72,323.72
355.91,323.72,323.72
364.39,323.72,323.72
355.55,323.72,323.72
357.72,323.72,323.72
351.5,323.72,323.72
352.08,323.72,323.72
339.58,323.72,323.72
335.66,323.72,323.72
346.63,323.72,323.72
367.06,323.72,323.72
354.97,323.72,323.72
360.25,323.72,323.72
351.56,323.72,323.72
340.71,323.72,323.72
323.72,323.72,323.72
333.95,333.95,333.95
347.61,331.44,331.44
351.27,331.44,331.44
353.98,331.44,331.44
387.85,331.44,331.44
396.82,331.44,331.44
390.86,331.44,331.44
387.82,331.44,331.44
385.6,331.44,331.44
390.02,331.44,331.44
400.58,331.44,331.44
395.6,331.44,331.44
401.14,331.44,331.44
401.42,331.44,331.44
394.38,331.44,331.44
371.05,331.44,331.44
376.05,331.44,331.44
388.76,331.44,331.44
404.19,331.44,331.44
409.92,331.44,331.44
408.82,331.44,331.44
369.9,331.44,331.44
351.39,331.44,331.44
341.89,331.44,331.44
342.43,331.44,331.44
331.44,331.44,331.44
331.49,331.49,331.49
359.78,350.07,350.07
350.07,350.07,350.07
371.32,353.61,353.61
356.49,353.61,353.61
355.07,353.61,353.61
353.68,353.61,353.61
353.61,353.61,353.61
363.25,355.57,355.57
355.57,355.57,355.57
364.83,357.13,357.13
364.41,357.13,357.13
357.39,357.13,357.13
357.13,357.13,357.13
360.53,360.53,360.53
364.65,364.65,364.65
395.84,381.4,381.4
389.17,381.4,381.4
406.08,381.4,381.4
445.6,381.4,381.4
435.17,381.4,381.4
428.84,381.4,381.4
424.54,381.4,381.4
413.74,381.4,381.4
401.92,381.4,381.4
440.87,381.4,381.4
421.23,381.4,381.4
431.01,381.4,381.4
416.61,381.4,381.4
391.93,378.44,378.44
395.4,362.62,362.62
395.19,360.46,360.46
412.26,360.46,360.46
409.22,352.82,352.82
425.63,352.82,352.82
458.12,352.82,352.82
473.8,352.82,352.82
417.82,352.82,352.82
381.4,352.82,352.82
391.56,352.82,352.82
420.87,352.82,352.82
429.82,352.82,352.82
412.76,352.82,352.82
419.09,352.82,352.82
415.25,352.82,352.82
411.25,352.82,352.82
406.61,352.82,352.82
407.57,352.82,352.82
398.48,352.82,352.82
392.14,352.82,352.82
394.77,352.82,352.82
421.44,352.82,352.82
390.84,352.82,352.82
378.44,352.82,352.82
362.62,352.82,352.82
360.46,346.75,346.75
365.28,346.75,346.75
352.82,346.75,346.75
370.06,346.75,346.75
390.47,346.75,346.75
398.62,346.75,346.75
367.42,346.75,346.75
360.92,346.75,346.75
369.0,346.75,346.75
389.71,346.75,346.75
407.92,346.75,346.75
403.21,346.75,346.75
411.36,346.75,346.75
387.53,346.75,346.75
407.28,346.75,346.75
403.08,346.75,346.75
410.98,346.75,346.75
408.07,346.75,346.75
406.54,346.75,346.75
397.2,346.75,346.75
405.42,346.75,346.75
397.16,346.75,346.75
374.37,346.75,346.75
360.81,346.75,346.75
346.75,346.75,346.75
361.51,340.32,340.32
356.87,340.32,340.32
368.2,340.32,340.32
396.5,340.32,340.32
402.95,340.32,340.32
375.01,340.32,340.32
367.6,340.32,340.32
365.25,340.32,340.32
376.11,340.32,340.32
385.46,340.32,340.32
394.51,340.32,340.32
375.55,340.32,340.32
378.83,340.32,340.32
374.62,340.32,340.32
363.46,340.32,340.32
357.26,340.32,340.32
363.43,340.32,340.32
357.1,340.32,340.32
360.42,340.32,340.32
350.09,340.32,340.32
357.85,340.32,340.32
374.43,340.32,340.32
373.33,340.32,340.32
348.12,340.32,340.32
340.32,340.32,340.32
340.97,340.97,340.97
350.51,350.51,350.51
378.65,362.16,362.16
378.65,362.16,362.16
