slack_0,non_interrupt,interrupt
49.35,45.67,45.67
50.52,45.67,45.67
49.75,45.67,45.67
51.03,45.67,45.67
54.03,44.57,44.57
55.64,44.57,44.57
51.67,44.57,44.57
54.1,44.57,44.57
54.89,44.57,44.57
55.88,44.57,44.57
57.47,44.57,44.57
58.79,44.57,44.57
59.42,44.57,44.57
55.88,44.57,44.57
50.0,44.57,44.57
51.24,44.57,44.57
52.28,44.57,44.57
54.27,44.57,44.57
52.58,44.57,44.57
53.47,44.57,44.57
56.4,44.57,44.57
56.39,44.57,44.57
52.43,44.57,44.57
46.76,44.57,44.57
45.67,43.06,43.06
48.82,43.06,43.06
48.6,43.06,43.06
47.61,43.06,43.06
44.57,43.06,43.06
45.3,43.06,43.06
53.43,43.06,43.06
54.76,43.06,43.06
52.8,43.06,43.06
51.63,43.06,43.06
51.22,43.06,43.06
51.48,43.06,43.06
51.4,43.06,43.06
49.97,43.06,43.06
48.65,43.06,43.06
46.16,43.06,43.06
47.94,43.06,43.06
50.65,43.06,43.06
51.19,43.06,43.06
54.95,43.06,43.06
56.62,43.06,43.06
55.64,43.06,43.06
54.62,43.06,43.06
44.97,43.06,43.06
43.06,43.06,43.06
46.46,46.46,46.46
47.1,46.87,46.87
49.55,46.87,46.87
49.74,46.87,46.87
51.9,46.87,46.87
49.37,46.87,46.87
46.87,46.87,46.87
55.16,47.27,47.27
49.22,47.27,47.27
47.92,47.27,47.27
52.26,47.27,47.27
51.4,47.27,47.27
53.32,47.27,47.27
47.38,47.27,47.27
47.5,47.27,47.27
47.27,47.27,47.27
50.31,50.31,50.31
50.36,50.36,50.36
51.06,50.49,50.49
54.87,50.49,50.49
56.56,50.49,50.49
54.97,50.49,50.49
50.49,50.49,50.49
51.06,50.76,50.76
52.17,50.76,50.76
50.76,50.76,50.76
52.97,49.64,49.64
53.28,47.36,47.36
55.05,47.36,47.36
60.99,47.36,47.36
63.08,47.36,47.36
64.87,47.36,47.36
64.0,47.36,47.36
63.75,47.36,47.36
63.38,47.36,47.36
65.06,47.36,47.36
60.0,47.36,47.36
52.54,47.36,47.36
56.2,47.36,47.36
57.23,47.36,47.36
57.61,47.36,47.36
56.01,47.36,47.36
57.58,47.36,47.36
61.22,47.36,47.36
61.69,47.06,47.06
58.28,47.06,47.06
52.48,44.73,44.73
53.09,44.73,44.73
56.23,44.73,44.73
55.29,44.73,44.73
49.64,44.73,44.73
47.36,44.73,44.73
50.14,44.73,44.73
61.33,44.73,44.73
61.39,44.73,44.73
58.29,44.73,44.73
57.18,44.73,44.73
56.64,44.73,44.73
55.05,44.73,44.73
54.5,44.73,44.73
54.57,44.73,44.73
47.5,43.37,43.37
50.4,41.42,41.42
50.45,41.42,41.42
48.71,41.42,41.42
50.22,41.42,41.42
48.65,41.42,41.42
48.46,41.42,41.42
47.06,41.42,41.42
48.63,41.42,41.42
44.73,41.42,41.42
46.0,41.42,41.42
48.04,41.42,41.42
46.88,41.42,41.42
47.41,41.42,41.42
47.85,41.42,41.42
48.34,41.42,41.42
55.95,41.42,41.42
56.63,41.42,41.42
51.67,41.42,41.42
51.39,41.42,41.42
50.63,41.42,41.42
49.69,41.42,41.42
48.55,41.42,41.42
47.32,41.42,41.42
43.37,41.42,41.42
41.42,41.42,41.42
45.49,42.55,42.55
47.14,42.55,42.55
49.15,42.55,42.55
48.08,42.55,42.55
48.71,42.55,42.55
51.73,42.55,42.55
51.72,42.55,42.55
49.05,42.55,42.55
47.31,42.55,42.55
48.92,42.55,42.55
50.43,42.55,42.55
51.5,42.55,42.55
51.11,42.55,42.55
53.75,42.55,42.55
54.35,42.55,42.55
54.37,42.55,42.55
56.41,42.55,42.55
56.68,42.55,42.55
55.75,42.55,42.55
55.55,42.55,42.55
54.52,42.55,42.55
46.3,42.55,42.55
42.71,42.55,42.55
42.55,42.55,42.55
45.01,45.01,45.01
48.85,46.6,46.6
51.52,46.6,46.6
52.27,46.6,46.6
53.39,46.6,46.6
55.19,46.6,46.6
54.9,46.6,46.6
52.77,46.6,46.6
46.6,46.6,46.6
46.88,46.88,46.88
48.02,46.88,46.88
48.91,46.88,46.88
49.29,46.88,46.88
53.03,46.88,46.88
61.18,46.88,46.88
60.42,46.88,46.88
62.64,46.88,46.88
63.34,46.88,46.88
62.83,46.88,46.88
62.13,46.88,46.88
60.72,46.88,46.88
56.47,46.88,46.88
52.23,46.88,46.88
52.22,46.88,46.88
52.53,46.88,46.88
53.98,46.88,46.88
52.85,46.88,46.88
52.86,46.88,46.88
52.2,46.88,46.88
52.81,46.88,46.88
53.79,46.88,46.88
49.67,46.88,46.88
46.88,46.76,46.76
48.14,46.76,46.76
48.97,46.76,46.76
49.46,46.3,46.3
50.69,46.3,46.3
50.27,46.3,46.3
51.97,46.3,46.3
52.04,46.3,46.3
51.06,46.27,46.27
53.42,46.27,46.27
53.11,46.27,46.27
53.87,46.27,46.27
54.33,46.27,46.27
52.71,46.27,46.27
49.09,46.27,46.27
49.19,46.27,46.27
48.94,46.27,46.27
49.29,46.27,46.27
50.13,46.27,46.27
53.27,46.27,46.27
57.64,46.27,46.27
56.01,46.27,46.27
57.54,46.27,46.27
51.87,46.27,46.27
46.76,46.27,46.27
47.72,46.27,46.27
47.31,46.27,46.27
46.3,46.27,46.27
47.59,46.27,46.27
47.35,46.27,46.27
47.92,46.27,46.27
46.95,46.27,46.27
46.27,42.64,42.64
48.24,41.26,41.26
49.26,38.61,38.61
50.78,38.61,38.61
52.45,38.61,38.61
51.08,38.61,38.61
49.78,38.61,38.61
51.5,38.61,38.61
52.85,38.61,38.61
54.45,38.61,38.61
55.64,38.61,38.61
54.33,38.61,38.61
53.07,38.61,38.61
52.86,38.61,38.61
51.23,38.61,38.61
48.84,38.61,38.61
48.01,38.61,38.61
50.59,38.61,38.61
50.71,38.61,38.61
50.37,38.61,38.61
54.98,38.61,38.61
56.28,38.61,38.61
56.91,38.61,38.61
53.04,38.61,38.61
42.64,38.61,38.61
41.26,38.61,38.61
38.61,38.61,38.61
39.07,39.07,39.07
40.19,40.19,40.19
43.12,42.69,42.69
45.17,42.69,42.69
46.72,42.69,42.69
47.27,42.69,42.69
48.76,42.69,42.69
48.6,42.69,42.69
48.27,42.69,42.69
49.53,42.69,42.69
53.56,42.69,42.69
51.92,42.69,42.69
50.29,42.69,42.69
44.29,42.69,42.69
43.52,42.69,42.69
44.36,42.69,42.69
45.36,42.69,42.69
48.94,42.69,42.69
49.26,42.69,42.69
48.13,42.69,42.69
45.39,42.69,42.69
45.36,42.69,42.69
48.73,42.69,42.69
47.16,42.69,42.69
43.05,42.69,42.69
42.69,42.69,42.69
45.96,44.76,44.76
48.76,42.27,42.27
50.27,42.27,42.27
51.04,42.27,42.27
52.18,42.27,42.27
55.31,42.27,42.27
56.6,42.27,42.27
58.62,42.27,42.27
60.49,42.27,42.27
58.18,42.27,42.27
54.89,42.27,42.27
50.53,42.08,42.08
49.02,41.81,41.81
49.04,41.81,41.81
50.62,41.81,41.81
51.9,41.81,41.81
53.01,41.81,41.81
54.06,41.81,41.81
53.31,41.81,41.81
49.0,41.81,41.81
46.23,41.81,41.81
44.76,41.81,41.81
45.99,41.81,41.81
46.33,41.81,41.81
48.91,41.81,41.81
42.27,41.16,41.16
43.3,41.16,41.16
44.69,41.16,41.16
43.75,41.16,41.16
44.5,41.16,41.16
43.95,41.16,41.16
44.38,41.16,41.16
44.11,41.16,41.16
44.33,41.16,41.16
44.01,41.16,41.16
42.08,41.16,41.16
41.81,41.16,41.16
41.82,41.16,41.16
42.89,41.16,41.16
46.69,41.16,41.16
46.27,41.16,41.16
47.67,41.16,41.16
47.4,41.16,41.16
46.21,38.81,38.81
45.85,38.81,38.81
46.62,38.81,38.81
44.66,36.7,36.7
44.04,36.7,36.7
45.96,36.7,36.7
41.16,36.7,36.7
41.65,36.7,36.7
41.44,36.7,36.7
42.28,36.7,36.7
43.3,36.7,36.7
44.14,36.7,36.7
46.04,36.7,36.7
47.51,36.7,36.7
45.93,36.7,36.7
44.36,36.7,36.7
42.92,36.7,36.7
43.63,36.7,36.7
43.69,36.7,36.7
42.63,36.7,36.7
41.95,36.7,36.7
43.08,36.7,36.7
42.29,36.7,36.7
42.89,36.7,36.7
38.81,36.59,36.59
39.51,33.13,33.13
38.91,32.24,32.24
36.7,31.68,31.68
37.1,31.68,31.68
37.63,31.68,31.68
39.78,31.68,31.68
39.99,31.68,31.68
40.49,31.68,31.68
42.64,31.68,31.68
42.76,31.68,31.68
44.51,31.68,31.68
46.21,31.68,31.68
45.55,31.68,31.68
43.83,31.68,31.68
41.12,31.68,31.68
42.52,31.68,31.68
41.57,31.68,31.68
42.53,31.68,31.68
41.98,31.68,31.68
41.8,31.68,31.68
40.29,31.68,31.68
40.21,31.68,31.68
37.91,31.68,31.68
36.59,31.68,31.68
33.13,31.68,31.68
32.24,31.68,31.68
31.68,31.68,31.68
32.05,32.05,32.05
33.45,33.45,33.45
36.29,34.31,34.31
37.62,34.31,34.31
39.25,34.31,34.31
40.63,34.31,34.31
41.15,34.31,34.31
42.34,34.31,34.31
44.66,34.31,34.31
45.27,34.31,34.31
44.59,34.31,34.31
40.98,34.31,34.31
38.06,34.31,34.31
39.16,34.31,34.31
39.5,34.31,34.31
40.08,34.31,34.31
40.89,34.31,34.31
40.21,34.31,34.31
39.78,34.31,34.31
38.76,34.31,34.31
35.76,34.31,34.31
34.73,34.31,34.31
34.4,34.31,34.31
34.31,34.31,34.31
36.37,36.37,36.37
37.61,36.94,36.94
38.66,36.94,36.94
39.18,36.94,36.94
40.95,36.94,36.94
41.9,36.94,36.94
43.14,36.94,36.94
44.01,36.94,36.94
44.2,36.94,36.94
43.34,36.94,36.94
42.68,36.94,36.94
40.65,35.42,35.42
38.28,35.42,35.42
40.61,35.42,35.42
40.89,35.42,35.42
41.22,35.41,35.41
43.14,35.36,35.36
46.91,35.36,35.36
44.67,35.36,35.36
43.93,35.36,35.36
44.28,35.36,35.36
41.64,34.53,34.53
40.96,34.4,34.4
40.02,34.4,34.4
40.02,34.4,34.4
36.94,34.4,34.4
37.94,34.4,34.4
38.55,34.4,34.4
38.63,34.4,34.4
39.49,34.4,34.4
41.12,34.4,34.4
41.18,34.4,34.4
39.88,34.4,34.4
38.92,34.4,34.4
38.52,34.4,34.4
35.42,34.4,34.4
35.78,34.4,34.4
35.97,34.4,34.4
35.78,34.4,34.4
35.41,34.4,34.4
35.36,34.4,34.4
38.38,34.4,34.4
40.7,34.4,34.4
38.71,34.4,34.4
35.65,31.99,31.99
34.53,31.81,31.81
34.4,31.43,31.43
35.77,31.43,31.43
37.21,31.43,31.43
35.66,31.43,31.43
34.78,31.43,31.43
36.86,31.43,31.43
38.13,31.43,31.43
38.71,31.43,31.43
39.34,31.43,31.43
40.56,31.43,31.43
41.43,31.43,31.43
42.59,31.43,31.43
41.82,31.43,31.43
37.59,31.43,31.43
35.48,31.43,31.43
35.64,31.43,31.43
36.43,31.43,31.43
36.16,31.43,31.43
35.54,31.43,31.43
38.39,31.43,31.43
38.04,31.43,31.43
36.18,31.43,31.43
31.99,31.43,31.43
31.81,31.43,31.43
31.43,31.43,31.43
31.52,31.52,31.52
33.4,33.4,33.4
35.32,34.13,34.13
35.46,34.13,34.13
36.69,34.13,34.13
37.42,34.13,34.13
37.27,34.13,34.13
36.73,34.13,34.13
39.42,34.13,34.13
38.56,34.13,34.13
38.64,34.13,34.13
36.31,34.13,34.13
35.85,34.13,34.13
34.49,34.13,34.13
37.76,34.13,34.13
37.2,34.13,34.13
37.7,34.13,34.13
41.28,34.13,34.13
43.06,34.13,34.13
40.27,34.13,34.13
38.34,34.13,34.13
34.78,34.13,34.13
34.21,34.13,34.13
34.13,34.13,34.13
34.15,34.15,34.15
35.23,35.23,35.23
37.33,36.73,36.73
36.73,36.73,36.73
37.92,37.23,37.23
39.15,37.23,37.23
40.12,37.23,37.23
40.42,37.23,37.23
41.0,37.23,37.23
41.02,37.23,37.23
41.0,37.23,37.23
41.76,37.23,37.23
40.4,37.23,37.23
38.89,37.23,37.23
38.06,37.23,37.23
37.23,37.23,37.23
38.16,38.04,38.04
40.12,38.04,38.04
39.44,38.04,38.04
39.63,38.04,38.04
39.69,38.04,38.04
38.04,38.04,38.04
38.7,38.56,38.56
38.93,38.56,38.56
39.74,38.56,38.56
38.56,38.56,38.56
38.89,38.58,38.58
38.58,38.58,38.58
40.92,39.72,39.72
43.23,39.72,39.72
44.49,39.72,39.72
43.98,39.72,39.72
43.8,39.72,39.72
44.16,39.72,39.72
44.64,39.72,39.72
44.21,39.72,39.72
43.66,39.72,39.72
40.95,39.72,39.72
42.26,39.72,39.72
41.92,39.72,39.72
42.1,39.72,39.72
41.87,39.72,39.72
41.24,39.72,39.72
43.14,39.72,39.72
42.8,39.72,39.72
43.74,39.72,39.72
41.5,39.72,39.72
40.86,39.27,39.27
40.2,39.27,39.27
39.72,39.27,39.27
41.51,39.27,39.27
41.29,39.27,39.27
43.1,39.27,39.27
45.23,39.27,39.27
47.03,39.27,39.27
46.78,39.27,39.27
47.34,39.27,39.27
49.06,39.27,39.27
49.84,39.27,39.27
49.8,39.27,39.27
46.02,39.27,39.27
44.15,39.27,39.27
45.68,39.27,39.27
45.59,39.27,39.27
45.34,39.27,39.27
44.36,39.27,39.27
44.63,39.27,39.27
43.45,39.27,39.27
44.0,39.27,39.27
40.88,39.27,39.27
40.19,39.27,39.27
39.27,39.27,39.27
40.5,39.93,39.93
41.95,39.93,39.93
39.93,39.93,39.93
41.41,40.27,40.27
41.55,40.27,40.27
42.78,40.27,40.27
43.01,40.27,40.27
43.27,40.27,40.27
44.39,40.27,40.27
44.15,40.27,40.27
45.5,40.27,40.27
46.38,40.27,40.27
43.59,40.27,40.27
41.27,40.27,40.27
43.98,40.27,40.27
43.55,40.27,40.27
43.0,40.27,40.27
42.81,40.27,40.27
43.38,40.27,40.27
40.75,40.27,40.27
40.84,40.27,40.27
44.81,40.27,40.27
44.16,40.27,40.27
44.1,40.27,40.27
44.15,40.27,40.27
45.22,40.27,40.27
40.27,40.27,40.27
41.56,41.56,41.56
43.83,43.83,43.83
45.5,45.5,45.5
46.97,45.91,45.91
46.67,45.91,45.91
48.62,45.91,45.91
50.14,45.91,45.91
54.98,45.91,45.91
56.87,45.91,45.91
55.92,45.91,45.91
51.94,45.91,45.91
49.68,45.91,45.91
47.67,45.91,45.91
47.53,45.91,45.91
48.06,45.91,45.91
46.63,45.91,45.91
46.95,45.91,45.91
45.91,45.91,45.91
53.72,47.27,47.27
52.91,47.27,47.27
52.8,47.27,47.27
51.83,47.27,47.27
49.51,46.4,46.4
47.27,44.58,44.58
49.36,44.58,44.58
51.17,44.58,44.58
52.46,44.58,44.58
52.87,44.58,44.58
54.72,44.58,44.58
57.67,44.58,44.58
59.18,44.58,44.58
58.23,44.58,44.58
59.41,44.58,44.58
54.13,44.58,44.58
50.46,44.58,44.58
50.87,44.58,44.58
51.5,44.58,44.58
51.77,44.58,44.58
50.79,44.58,44.58
52.83,44.58,44.58
49.49,44.58,44.58
48.64,44.58,44.58
52.3,44.58,44.58
52.55,44.58,44.58
52.79,44.58,44.58
50.53,44.58,44.58
46.4,44.58,44.58
44.58,44.58,44.58
45.56,45.56,45.56
50.68,46.41,46.41
53.85,46.41,46.41
58.31,46.41,46.41
60.51,46.41,46.41
61.89,46.41,46.41
61.35,46.41,46.41
62.49,46.41,46.41
62.94,46.41,46.41
58.17,46.41,46.41
51.82,46.41,46.41
52.69,46.41,46.41
51.76,46.41,46.41
52.74,46.41,46.41
50.21,46.41,46.41
48.68,46.41,46.41
48.45,46.41,46.41
49.71,46.41,46.41
48.89,46.41,46.41
49.25,46.41,46.41
48.19,46.24,46.24
48.72,46.24,46.24
48.09,46.24,46.24
46.41,45.36,45.36
46.67,45.36,45.36
49.29,45.36,45.36
52.26,45.36,45.36
54.8,45.36,45.36
55.83,45.36,45.36
54.93,45.36,45.36
52.89,45.36,45.36
52.79,45.36,45.36
50.13,45.36,45.36
48.25,45.36,45.36
47.04,44.45,44.45
48.04,44.45,44.45
48.72,44.45,44.45
49.91,44.45,44.45
48.85,44.45,44.45
49.25,44.45,44.45
48.34,44.45,44.45
47.21,42.91,42.91
46.42,40.16,40.16
46.69,39.21,39.21
46.24,37.83,37.83
46.69,37.49,37.49
46.38,37.31,37.31
45.36,35.13,35.13
46.11,35.13,35.13
45.9,35.13,35.13
48.06,35.13,35.13
47.16,35.13,35.13
48.51,35.13,35.13
48.48,35.13,35.13
48.22,35.13,35.13
49.69,35.13,35.13
51.26,35.13,35.13
48.61,35.13,35.13
44.45,35.13,35.13
45.49,35.13,35.13
46.61,35.13,35.13
45.71,35.13,35.13
44.61,35.13,35.13
45.45,35.13,35.13
45.2,35.13,35.13
42.91,35.13,35.13
40.16,35.13,35.13
39.21,35.13,35.13
37.83,35.13,35.13
37.49,35.13,35.13
37.31,35.13,35.13
35.13,35.13,35.13
37.76,37.76,37.76
39.15,38.78,38.78
43.48,38.78,38.78
46.95,38.78,38.78
47.89,38.78,38.78
48.73,38.78,38.78
50.03,38.78,38.78
49.89,38.78,38.78
49.85,38.78,38.78
46.73,38.78,38.78
41.18,38.78,38.78
40.4,38.78,38.78
40.76,38.78,38.78
41.93,38.78,38.78
43.27,38.78,38.78
43.02,38.78,38.78
43.51,38.78,38.78
42.44,38.78,38.78
40.97,38.78,38.78
39.16,38.78,38.78
38.78,38.78,38.78
41.01,40.19,40.19
40.39,40.19,40.19
40.19,40.19,40.19
42.44,39.74,39.74
43.83,39.74,39.74
44.41,39.74,39.74
47.11,39.74,39.74
48.06,39.74,39.74
47.69,39.74,39.74
46.15,39.74,39.74
45.49,39.74,39.74
44.67,39.74,39.74
45.33,39.74,39.74
45.14,39.74,39.74
44.97,39.74,39.74
42.59,39.74,39.74
42.55,39.74,39.74
43.94,39.74,39.74
45.22,39.74,39.74
42.05,39.74,39.74
42.95,39.74,39.74
42.31,39.74,39.74
42.11,39.74,39.74
41.63,39.74,39.74
41.69,39.74,39.74
40.38,39.74,39.74
40.36,39.74,39.74
39.74,39.74,39.74
40.89,40.84,40.84
43.32,40.84,40.84
44.72,40.84,40.84
48.23,40.84,40.84
49.37,40.84,40.84
49.01,40.84,40.84
47.23,40.84,40.84
46.68,40.84,40.84
45.82,40.84,40.84
41.57,40.05,40.05
42.52,40.05,40.05
42.49,40.05,40.05
43.23,40.05,40.05
46.22,40.05,40.05
48.14,40.05,40.05
46.81,40.05,40.05
46.79,40.05,40.05
45.85,40.05,40.05
46.22,40.05,40.05
45.75,40.05,40.05
44.5,40.05,40.05
42.59,40.05,40.05
41.54,40.05,40.05
