slack_0,non_interrupt,interrupt
218.96,134.0,134.0
221.18,134.0,134.0
225.08,134.0,134.0
222.93,134.0,134.0
222.4,134.0,134.0
220.12,134.0,134.0
223.92,134.0,134.0
222.84,134.0,134.0
222.5,134.0,134.0
216.42,134.0,134.0
214.36,134.0,134.0
214.0,134.0,134.0
214.59,134.0,134.0
214.33,134.0,134.0
209.16,134.0,134.0
207.39,134.0,134.0
205.89,134.0,134.0
206.59,134.0,134.0
206.55,134.0,134.0
211.96,134.0,134.0
213.7,134.0,134.0
214.01,134.0,134.0
225.34,134.0,134.0
233.71,134.0,134.0
230.18,134.0,134.0
228.09,134.0,134.0
224.81,134.0,134.0
221.32,134.0,134.0
221.58,134.0,134.0
224.93,134.0,134.0
223.73,134.0,134.0
216.56,134.0,134.0
213.41,134.0,134.0
205.69,134.0,134.0
207.72,134.0,134.0
212.58,134.0,134.0
208.7,134.0,134.0
205.86,134.0,134.0
200.0,134.0,134.0
199.53,134.0,134.0
205.96,134.0,134.0
203.58,134.0,134.0
205.96,134.0,134.0
209.48,134.0,134.0
206.41,134.0,134.0
209.14,134.0,134.0
211.69,134.0,134.0
219.46,134.0,134.0
224.95,134.0,134.0
227.35,134.0,134.0
225.24,134.0,134.0
222.05,134.0,134.0
210.99,134.0,134.0
212.49,134.0,134.0
212.71,134.0,134.0
211.39,134.0,134.0
209.78,134.0,134.0
209.74,134.0,134.0
208.89,134.0,134.0
210.87,134.0,134.0
214.33,134.0,134.0
215.12,134.0,134.0
212.94,134.0,134.0
212.01,134.0,134.0
213.0,134.0,134.0
214.24,134.0,134.0
214.85,134.0,134.0
215.48,134.0,134.0
211.54,134.0,134.0
219.34,134.0,134.0
222.95,134.0,134.0
223.19,134.0,134.0
217.78,134.0,134.0
217.32,134.0,134.0
216.31,134.0,134.0
217.04,134.0,134.0
219.74,134.0,134.0
221.29,134.0,134.0
223.5,134.0,134.0
227.37,134.0,134.0
234.49,134.0,134.0
233.67,134.0,134.0
231.55,134.0,134.0
229.07,134.0,134.0
231.73,134.0,134.0
227.92,134.0,134.0
225.8,134.0,134.0
224.69,134.0,134.0
226.75,134.0,134.0
225.13,134.0,134.0
