slack_0,non_interrupt,interrupt
388.75,187.92,187.92
409.02,187.92,187.92
447.18,187.92,187.92
467.56,187.92,187.92
458.44,187.92,187.92
414.9,187.92,187.92
358.25,187.92,187.92
323.48,187.92,187.92
296.3,187.92,187.92
290.03,187.92,187.92
290.31,187.92,187.92
306.03,187.92,187.92
304.52,187.92,187.92
324.1,187.92,187.92
353.79,187.92,187.92
366.66,187.92,187.92
341.9,187.92,187.92
327.19,187.92,187.92
326.85,187.92,187.92
318.83,187.92,187.92
304.44,187.92,187.92
309.62,187.92,187.92
313.85,187.92,187.92
358.38,187.92,187.92
365.91,187.92,187.92
361.08,187.92,187.92
353.08,187.92,187.92
334.58,187.92,187.92
304.93,187.92,187.92
299.46,187.92,187.92
287.14,187.92,187.92
272.1,187.92,187.92
258.85,187.92,187.92
262.41,187.92,187.92
253.83,187.92,187.92
261.16,187.92,187.92
289.89,187.92,187.92
329.41,187.92,187.92
360.94,187.92,187.92
387.97,187.92,187.92
388.56,187.92,187.92
400.41,187.92,187.92
409.82,187.92,187.92
417.65,187.92,187.92
429.53,187.92,187.92
420.6,187.92,187.92
473.6,187.92,187.92
496.73,187.92,187.92
488.73,187.92,187.92
475.69,187.92,187.92
431.06,187.92,187.92
403.77,187.92,187.92
351.23,187.92,187.92
333.27,187.92,187.92
314.33,187.92,187.92
281.0,187.92,187.92
247.43,187.92,187.92
234.31,187.92,187.92
233.15,187.92,187.92
242.96,187.92,187.92
247.88,187.92,187.92
290.26,187.92,187.92
321.3,187.92,187.92
330.31,187.92,187.92
322.04,187.92,187.92
325.47,187.92,187.92
334.04,187.92,187.92
336.72,187.92,187.92
353.05,187.92,187.92
386.91,187.92,187.92
395.04,187.92,187.92
424.66,187.92,187.92
435.63,187.92,187.92
442.39,187.92,187.92
413.04,187.92,187.92
417.86,187.92,187.92
366.32,187.92,187.92
355.05,187.92,187.92
337.19,187.92,187.92
310.12,187.92,187.92
285.68,187.92,187.92
285.93,187.92,187.92
279.91,187.92,187.92
287.6,187.92,187.92
290.12,187.92,187.92
309.39,187.92,187.92
327.42,187.92,187.92
327.85,187.92,187.92
316.92,187.92,187.92
314.12,187.92,187.92
321.66,187.92,187.92
308.8,187.92,187.92
306.75,187.92,187.92
314.99,187.92,187.92
320.36,187.92,187.92
350.44,187.92,187.92
339.73,187.92,187.92
350.55,187.92,187.92
331.21,187.92,187.92
316.84,187.92,187.92
282.98,187.92,187.92
261.38,187.92,187.92
246.68,187.92,187.92
222.49,187.92,187.92
199.87,187.92,187.92
199.71,187.92,187.92
199.19,187.92,187.92
200.29,187.92,187.92
205.68,187.92,187.92
231.32,187.92,187.92
253.58,187.92,187.92
269.7,187.92,187.92
270.21,187.92,187.92
268.16,187.92,187.92
269.29,187.92,187.92
265.86,187.92,187.92
248.06,187.92,187.92
254.95,187.92,187.92
266.4,187.92,187.92
294.66,187.92,187.92
303.25,187.92,187.92
306.17,187.92,187.92
284.96,187.92,187.92
284.0,187.92,187.92
246.24,187.92,187.92
212.59,187.92,187.92
199.37,187.92,187.92
208.33,187.92,187.92
200.17,187.92,187.92
187.92,187.92,187.92
189.54,189.54,189.54
210.45,210.45,210.45
225.28,225.28,225.28
261.59,261.59,261.59
304.89,289.27,289.27
319.16,289.27,289.27
332.66,289.27,289.27
338.36,289.27,289.27
346.98,289.27,289.27
366.86,289.27,289.27
360.37,289.27,289.27
362.01,289.27,289.27
396.74,289.27,289.27
452.49,289.27,289.27
482.49,289.27,289.27
485.74,289.27,289.27
489.85,289.27,289.27
493.58,289.27,289.27
461.74,289.27,289.27
425.23,289.27,289.27
403.14,289.27,289.27
371.63,289.27,289.27
354.55,289.27,289.27
355.14,289.27,289.27
362.43,289.27,289.27
383.43,289.27,289.27
396.72,289.27,289.27
414.4,289.27,289.27
425.54,289.27,289.27
409.25,289.27,289.27
399.85,289.27,289.27
397.61,289.27,289.27
403.61,289.27,289.27
407.14,289.27,289.27
408.54,289.27,289.27
443.12,289.27,289.27
491.15,289.27,289.27
501.67,289.27,289.27
482.16,289.27,289.27
493.08,289.27,289.27
482.89,289.27,289.27
472.87,289.27,289.27
442.83,289.27,289.27
402.77,289.27,289.27
384.33,289.27,289.27
354.26,289.27,289.27
334.83,289.27,289.27
333.68,289.27,289.27
354.18,289.27,289.27
358.55,289.27,289.27
381.39,289.27,289.27
406.84,289.27,289.27
420.54,289.27,289.27
411.7,289.27,289.27
405.25,289.27,289.27
398.95,289.27,289.27
404.92,289.27,289.27
419.52,289.27,289.27
422.71,289.27,289.27
436.02,289.27,289.27
501.49,289.27,289.27
499.16,289.27,289.27
493.41,289.27,289.27
475.94,289.27,289.27
449.32,289.27,289.27
453.53,289.27,289.27
432.64,289.27,289.27
385.06,289.27,289.27
381.28,289.27,289.27
363.53,289.27,289.27
348.94,289.27,289.27
378.82,289.27,289.27
371.3,289.27,289.27
386.95,289.27,289.27
402.73,289.27,289.27
418.13,289.27,289.27
436.73,289.27,289.27
422.91,289.27,289.27
414.11,289.27,289.27
408.92,289.27,289.27
406.44,289.27,289.27
434.3,289.27,289.27
435.66,289.27,289.27
445.47,289.27,289.27
507.71,289.27,289.27
511.32,289.27,289.27
492.59,289.27,289.27
494.31,289.27,289.27
478.28,289.27,289.27
472.39,289.27,289.27
444.5,289.27,289.27
414.57,289.27,289.27
396.37,289.27,289.27
358.4,289.27,289.27
353.07,289.27,289.27
364.97,289.27,289.27
370.09,289.27,289.27
378.55,289.27,289.27
385.73,289.27,289.27
392.95,289.27,289.27
400.56,289.27,289.27
396.39,289.27,289.27
385.5,289.27,289.27
365.12,289.27,289.27
357.08,289.27,289.27
358.72,289.27,289.27
345.92,289.27,289.27
331.42,289.27,289.27
354.19,289.27,289.27
381.0,289.27,289.27
376.75,289.27,289.27
349.84,289.27,289.27
345.4,289.27,289.27
361.11,289.27,289.27
386.29,289.27,289.27
358.16,289.27,289.27
