slack_0,non_interrupt,interrupt
610.89,315.52,315.52
579.5,315.52,315.52
581.69,315.52,315.52
577.8,315.52,315.52
579.94,315.52,315.52
584.31,315.52,315.52
585.52,315.52,315.52
582.78,315.52,315.52
581.97,315.52,315.52
601.76,315.52,315.52
588.41,315.52,315.52
589.33,315.52,315.52
562.21,315.52,315.52
576.68,315.52,315.52
589.26,315.52,315.52
580.42,315.52,315.52
570.62,315.52,315.52
570.95,315.52,315.52
582.58,315.52,315.52
603.26,315.52,315.52
606.9,315.52,315.52
605.8,315.52,315.52
602.11,315.52,315.52
631.82,315.52,315.52
632.57,315.52,315.52
631.66,315.52,315.52
627.15,315.52,315.52
625.64,315.52,315.52
619.95,315.52,315.52
616.89,315.52,315.52
630.39,315.52,315.52
617.85,315.52,315.52
599.93,315.52,315.52
579.78,315.52,315.52
559.14,315.52,315.52
549.38,315.52,315.52
510.36,315.52,315.52
487.92,315.52,315.52
497.14,315.52,315.52
551.9,315.52,315.52
567.73,315.52,315.52
580.04,315.52,315.52
586.06,315.52,315.52
598.17,315.52,315.52
597.56,315.52,315.52
592.77,315.52,315.52
552.76,315.52,315.52
559.06,315.52,315.52
560.27,315.52,315.52
544.85,315.52,315.52
539.28,315.52,315.52
546.25,315.52,315.52
552.14,315.52,315.52
583.6,315.52,315.52
588.47,315.52,315.52
570.2,315.52,315.52
530.03,315.52,315.52
490.56,315.52,315.52
477.93,315.52,315.52
464.23,315.52,315.52
462.72,315.52,315.52
474.05,315.52,315.52
498.2,315.52,315.52
523.68,315.52,315.52
542.51,315.52,315.52
573.85,315.52,315.52
573.61,315.52,315.52
588.37,315.52,315.52
585.22,315.52,315.52
577.01,315.52,315.52
561.95,315.52,315.52
575.98,315.52,315.52
586.6,315.52,315.52
553.15,315.52,315.52
541.75,315.52,315.52
546.47,315.52,315.52
569.54,315.52,315.52
598.55,315.52,315.52
596.4,315.52,315.52
590.38,315.52,315.52
531.78,315.52,315.52
496.91,315.52,315.52
477.78,315.52,315.52
481.31,315.52,315.52
487.19,315.52,315.52
495.76,315.52,315.52
480.04,315.52,315.52
488.98,315.52,315.52
507.45,315.52,315.52
516.47,315.52,315.52
536.97,315.52,315.52
513.14,315.52,315.52
497.53,315.52,315.52
494.22,315.52,315.52
489.61,315.52,315.52
438.12,315.52,315.52
423.37,315.52,315.52
428.29,315.52,315.52
450.25,315.52,315.52
452.66,315.52,315.52
442.05,315.52,315.52
452.21,315.52,315.52
453.8,315.52,315.52
404.29,315.52,315.52
405.34,315.52,315.52
382.91,315.52,315.52
369.97,315.52,315.52
341.75,315.52,315.52
367.49,315.52,315.52
376.95,315.52,315.52
349.37,315.52,315.52
373.38,315.52,315.52
393.3,315.52,315.52
382.57,315.52,315.52
381.34,315.52,315.52
395.42,315.52,315.52
407.15,315.52,315.52
409.69,315.52,315.52
414.89,315.52,315.52
398.81,315.52,315.52
401.29,315.52,315.52
406.67,315.52,315.52
414.63,315.52,315.52
425.41,315.52,315.52
431.49,315.52,315.52
433.86,315.52,315.52
453.13,315.52,315.52
453.97,315.52,315.52
428.06,315.52,315.52
402.89,315.52,315.52
401.15,315.52,315.52
410.55,315.52,315.52
436.39,315.52,315.52
455.33,315.52,315.52
468.55,315.52,315.52
502.05,315.52,315.52
534.62,315.52,315.52
531.07,315.52,315.52
537.15,315.52,315.52
577.18,315.52,315.52
566.67,315.52,315.52
563.08,315.52,315.52
554.73,315.52,315.52
564.1,315.52,315.52
554.99,315.52,315.52
546.89,315.52,315.52
537.49,315.52,315.52
520.69,315.52,315.52
517.41,315.52,315.52
502.27,315.52,315.52
461.01,315.52,315.52
454.28,315.52,315.52
457.91,315.52,315.52
440.21,315.52,315.52
428.19,315.52,315.52
438.25,315.52,315.52
441.82,315.52,315.52
459.66,315.52,315.52
464.74,315.52,315.52
504.95,315.52,315.52
504.37,315.52,315.52
491.76,315.52,315.52
477.46,315.52,315.52
497.23,315.52,315.52
507.8,315.52,315.52
466.98,315.52,315.52
479.7,315.52,315.52
466.95,315.52,315.52
453.23,315.52,315.52
416.82,315.52,315.52
432.15,315.52,315.52
436.22,315.52,315.52
446.12,315.52,315.52
436.75,315.52,315.52
466.98,315.52,315.52
439.42,315.52,315.52
417.78,315.52,315.52
397.3,315.52,315.52
407.34,315.52,315.52
402.41,315.52,315.52
391.87,315.52,315.52
394.8,315.52,315.52
409.06,315.52,315.52
421.08,315.52,315.52
417.73,315.52,315.52
430.26,315.52,315.52
455.36,315.52,315.52
479.12,315.52,315.52
479.69,315.52,315.52
444.08,315.52,315.52
435.02,315.52,315.52
432.58,315.52,315.52
403.33,315.52,315.52
401.33,315.52,315.52
398.21,315.52,315.52
394.61,315.52,315.52
384.58,315.52,315.52
371.65,315.52,315.52
365.7,315.52,315.52
360.04,315.52,315.52
358.41,315.52,315.52
357.39,315.52,315.52
363.86,315.52,315.52
373.62,315.52,315.52
354.4,315.52,315.52
368.31,315.52,315.52
372.52,315.52,315.52
371.52,315.52,315.52
371.07,315.52,315.52
366.86,315.52,315.52
366.68,315.52,315.52
366.87,315.52,315.52
367.25,315.52,315.52
369.96,315.52,315.52
370.38,315.52,315.52
362.32,315.52,315.52
377.07,315.52,315.52
412.04,315.52,315.52
436.7,315.52,315.52
473.53,315.52,315.52
488.62,315.52,315.52
512.68,315.52,315.52
526.5,315.52,315.52
544.12,315.52,315.52
519.17,315.52,315.52
479.58,315.52,315.52
437.87,315.52,315.52
385.67,315.52,315.52
376.2,315.52,315.52
381.9,315.52,315.52
414.05,315.52,315.52
467.64,315.52,315.52
474.59,315.52,315.52
461.27,315.52,315.52
454.76,315.52,315.52
453.11,315.52,315.52
450.59,315.52,315.52
431.3,315.52,315.52
437.96,315.52,315.52
442.79,315.52,315.52
448.8,315.52,315.52
457.66,315.52,315.52
450.84,315.52,315.52
447.97,315.52,315.52
453.58,315.52,315.52
422.61,315.52,315.52
412.87,315.52,315.52
397.92,315.52,315.52
392.01,315.52,315.52
372.52,315.52,315.52
361.38,315.52,315.52
357.41,315.52,315.52
374.58,315.52,315.52
401.77,315.52,315.52
391.58,255.9,255.9
416.49,224.18,224.18
483.87,224.18,224.18
491.0,224.18,224.18
484.84,224.18,224.18
476.12,224.18,224.18
424.4,224.18,224.18
358.75,224.18,224.18
338.66,224.18,224.18
