slack_0,non_interrupt,interrupt
283.71,211.91,211.91
266.4,211.91,211.91
273.06,211.91,211.91
280.25,211.91,211.91
298.17,211.91,211.91
304.53,211.91,211.91
311.5,211.91,211.91
310.54,211.91,211.91
310.68,211.91,211.91
304.76,211.91,211.91
322.82,211.91,211.91
305.18,211.91,211.91
310.73,211.91,211.91
314.44,211.91,211.91
308.39,211.91,211.91
318.31,211.91,211.91
322.11,211.91,211.91
312.22,211.91,211.91
311.91,211.91,211.91
317.27,211.91,211.91
316.36,211.91,211.91
320.75,211.91,211.91
333.89,211.91,211.91
336.32,211.91,211.91
289.91,211.91,211.91
295.69,211.91,211.91
286.72,211.91,211.91
280.91,211.91,211.91
274.15,211.91,211.91
277.69,211.91,211.91
284.8,211.91,211.91
302.25,211.91,211.91
289.92,211.91,211.91
283.04,211.91,211.91
284.35,211.91,211.91
285.73,211.91,211.91
286.88,211.91,211.91
279.85,211.91,211.91
280.55,211.91,211.91
295.61,211.91,211.91
303.54,211.91,211.91
336.79,211.91,211.91
346.59,211.91,211.91
347.12,211.91,211.91
353.24,211.91,211.91
364.07,211.91,211.91
338.25,211.91,211.91
295.87,211.91,211.91
266.49,211.91,211.91
264.41,211.91,211.91
251.05,211.91,211.91
274.17,211.91,211.91
277.08,211.91,211.91
279.06,211.91,211.91
282.66,211.91,211.91
280.33,211.91,211.91
277.69,211.91,211.91
272.21,211.91,211.91
273.37,211.91,211.91
279.7,211.91,211.91
280.51,211.91,211.91
300.14,211.91,211.91
312.9,211.91,211.91
317.64,211.91,211.91
309.12,211.91,211.91
283.85,211.91,211.91
293.78,211.91,211.91
302.96,211.91,211.91
320.47,211.91,211.91
332.34,211.91,211.91
311.95,211.91,211.91
313.69,211.91,211.91
319.24,211.91,211.91
304.61,211.91,211.91
305.69,211.91,211.91
320.84,211.91,211.91
312.37,211.91,211.91
310.95,211.91,211.91
280.05,211.91,211.91
277.04,211.91,211.91
293.2,211.91,211.91
290.55,211.91,211.91
288.69,211.91,211.91
288.75,211.91,211.91
285.66,211.91,211.91
285.13,211.91,211.91
284.4,211.91,211.91
308.68,211.91,211.91
314.96,211.91,211.91
297.87,211.91,211.91
316.89,211.91,211.91
311.78,211.91,211.91
290.49,211.91,211.91
302.97,211.91,211.91
310.32,211.91,211.91
303.14,211.91,211.91
300.67,211.91,211.91
305.32,211.91,211.91
312.1,211.91,211.91
310.02,211.91,211.91
323.39,211.91,211.91
322.1,211.91,211.91
306.69,211.91,211.91
298.37,211.91,211.91
278.51,211.91,211.91
285.31,211.91,211.91
286.26,211.91,211.91
265.63,211.91,211.91
263.74,211.91,211.91
268.59,211.91,211.91
271.67,211.91,211.91
297.52,211.91,211.91
329.09,211.91,211.91
344.48,211.91,211.91
367.59,211.91,211.91
370.84,211.91,211.91
350.03,211.91,211.91
343.12,211.91,211.91
325.76,211.91,211.91
346.4,211.91,211.91
360.84,211.91,211.91
354.24,211.91,211.91
340.09,211.91,211.91
341.93,211.91,211.91
337.37,211.91,211.91
330.29,211.91,211.91
295.58,211.91,211.91
299.36,211.91,211.91
282.13,211.91,211.91
280.65,211.91,211.91
275.12,211.91,211.91
261.49,211.91,211.91
267.39,211.91,211.91
272.6,211.91,211.91
274.49,211.91,211.91
282.39,211.91,211.91
320.66,211.91,211.91
299.53,211.91,211.91
305.81,211.91,211.91
305.07,211.91,211.91
291.33,211.91,211.91
291.42,211.91,211.91
272.28,211.91,211.91
253.71,211.91,211.91
251.63,211.91,211.91
261.06,211.91,211.91
252.26,211.91,211.91
250.73,211.91,211.91
249.62,211.91,211.91
254.39,211.91,211.91
