slack_0,non_interrupt,interrupt
558.31,332.84,332.84
580.62,332.84,332.84
577.06,332.84,332.84
568.76,332.84,332.84
587.15,332.84,332.84
596.86,332.84,332.84
604.2,332.84,332.84
607.46,332.84,332.84
597.42,332.84,332.84
606.92,332.84,332.84
576.14,332.84,332.84
580.03,332.84,332.84
615.8,332.84,332.84
614.87,332.84,332.84
615.71,332.84,332.84
646.44,332.84,332.84
623.31,332.84,332.84
604.88,332.84,332.84
609.6,332.84,332.84
604.29,332.84,332.84
627.5,332.84,332.84
638.84,332.84,332.84
673.89,332.84,332.84
698.87,332.84,332.84
705.93,332.84,332.84
706.26,332.84,332.84
689.5,332.84,332.84
678.18,332.84,332.84
681.96,332.84,332.84
694.87,332.84,332.84
657.39,332.84,332.84
621.66,332.84,332.84
561.55,332.84,332.84
549.79,332.84,332.84
579.64,332.84,332.84
591.85,332.84,332.84
597.01,332.84,332.84
596.01,332.84,332.84
604.03,332.84,332.84
583.33,332.84,332.84
590.47,332.84,332.84
623.58,332.84,332.84
643.82,332.84,332.84
651.19,332.84,332.84
643.16,332.84,332.84
667.86,332.84,332.84
710.79,332.84,332.84
772.98,332.84,332.84
768.55,332.84,332.84
749.39,332.84,332.84
727.47,332.84,332.84
652.3,332.84,332.84
575.0,332.84,332.84
535.26,332.84,332.84
543.12,332.84,332.84
537.94,332.84,332.84
547.82,332.84,332.84
533.2,332.84,332.84
530.91,332.84,332.84
519.28,332.84,332.84
506.66,332.84,332.84
553.71,332.84,332.84
653.51,332.84,332.84
663.69,332.84,332.84
719.2,332.84,332.84
720.02,332.84,332.84
719.75,332.84,332.84
743.24,332.84,332.84
756.36,332.84,332.84
771.65,332.84,332.84
789.28,332.84,332.84
777.13,332.84,332.84
733.0,332.84,332.84
685.81,332.84,332.84
631.8,332.84,332.84
578.04,332.84,332.84
563.8,332.84,332.84
553.61,332.84,332.84
560.24,332.84,332.84
533.3,332.84,332.84
507.0,332.84,332.84
495.88,332.84,332.84
475.23,332.84,332.84
468.22,332.84,332.84
442.16,332.84,332.84
437.39,332.84,332.84
442.49,332.84,332.84
455.31,332.84,332.84
469.08,332.84,332.84
471.91,332.84,332.84
512.34,332.84,332.84
511.75,332.84,332.84
513.67,332.84,332.84
502.77,332.84,332.84
492.17,332.84,332.84
488.52,332.84,332.84
518.84,332.84,332.84
526.65,332.84,332.84
508.06,332.84,332.84
520.17,332.84,332.84
510.13,332.84,332.84
481.57,332.84,332.84
492.69,332.84,332.84
508.18,332.84,332.84
533.03,332.84,332.84
687.76,332.84,332.84
729.35,332.84,332.84
640.13,332.84,332.84
617.86,332.84,332.84
631.56,332.84,332.84
619.01,332.84,332.84
559.0,332.84,332.84
545.5,332.84,332.84
519.94,332.84,332.84
521.32,332.84,332.84
526.53,332.84,332.84
515.68,332.84,332.84
494.28,332.84,332.84
483.14,332.84,332.84
521.41,332.84,332.84
566.49,332.84,332.84
563.41,332.84,332.84
564.7,332.84,332.84
581.92,332.84,332.84
596.63,332.84,332.84
593.31,332.84,332.84
600.43,332.84,332.84
660.28,332.84,332.84
712.22,332.84,332.84
735.91,332.84,332.84
740.44,332.84,332.84
758.36,332.84,332.84
761.59,332.84,332.84
788.04,332.84,332.84
784.58,332.84,332.84
788.84,332.84,332.84
768.86,332.84,332.84
724.99,332.84,332.84
665.73,332.84,332.84
624.07,332.84,332.84
552.52,332.84,332.84
560.35,332.84,332.84
581.96,332.84,332.84
581.3,332.84,332.84
575.72,332.84,332.84
581.31,332.84,332.84
586.43,332.84,332.84
570.07,332.84,332.84
558.17,332.84,332.84
556.25,332.84,332.84
554.1,332.84,332.84
617.23,332.84,332.84
677.35,332.84,332.84
698.43,332.84,332.84
673.58,332.84,332.84
642.5,332.84,332.84
608.65,332.84,332.84
588.03,332.84,332.84
508.23,332.84,332.84
477.19,332.84,332.84
500.27,332.84,332.84
492.18,332.84,332.84
499.37,332.84,332.84
517.86,332.84,332.84
552.78,332.84,332.84
552.65,332.84,332.84
530.78,332.84,332.84
514.3,332.84,332.84
517.99,332.84,332.84
559.59,332.84,332.84
532.4,332.84,332.84
523.89,332.84,332.84
526.35,332.84,332.84
517.73,332.84,332.84
502.5,332.84,332.84
500.73,332.84,332.84
496.84,332.84,332.84
511.17,332.84,332.84
519.11,332.84,332.84
521.38,332.84,332.84
530.62,332.84,332.84
560.18,332.84,332.84
541.57,332.84,332.84
533.8,332.84,332.84
485.02,332.84,332.84
462.31,332.84,332.84
511.95,332.84,332.84
523.8,332.84,332.84
488.68,332.84,332.84
448.64,332.84,332.84
449.45,332.84,332.84
454.63,332.84,332.84
485.31,332.84,332.84
494.78,332.84,332.84
506.71,332.84,332.84
524.5,332.84,332.84
525.89,332.84,332.84
602.85,332.84,332.84
684.36,332.84,332.84
732.22,332.84,332.84
764.39,332.84,332.84
756.14,332.84,332.84
743.67,332.84,332.84
722.07,332.84,332.84
657.65,332.84,332.84
552.99,332.84,332.84
509.58,332.84,332.84
492.48,332.84,332.84
500.74,332.84,332.84
491.75,332.84,332.84
495.28,332.84,332.84
512.58,332.84,332.84
515.31,332.84,332.84
562.48,332.84,332.84
668.79,332.84,332.84
738.83,332.84,332.84
696.67,332.84,332.84
659.85,332.84,332.84
656.48,332.84,332.84
654.29,332.84,332.84
