slack_0,non_interrupt,interrupt
664.13,470.32,470.32
663.44,470.32,470.32
658.52,470.32,470.32
656.82,470.32,470.32
656.06,470.32,470.32
667.12,470.32,470.32
659.47,470.32,470.32
670.41,470.32,470.32
652.74,470.32,470.32
656.02,470.32,470.32
653.35,470.32,470.32
653.37,470.32,470.32
649.33,470.32,470.32
654.21,470.32,470.32
637.37,470.32,470.32
617.77,470.32,470.32
577.29,451.79,451.79
556.98,444.39,444.39
560.41,429.41,429.41
567.93,429.28,429.28
558.65,426.78,426.78
557.69,426.78,426.78
577.43,426.78,426.78
624.77,426.78,426.78
665.77,426.78,426.78
674.59,426.78,426.78
672.83,426.78,426.78
690.11,426.78,426.78
723.22,426.78,426.78
746.65,426.78,426.78
748.56,426.78,426.78
716.44,426.78,426.78
702.01,426.78,426.78
714.81,426.78,426.78
713.23,426.78,426.78
718.05,426.78,426.78
733.27,426.78,426.78
722.02,426.78,426.78
704.93,426.78,426.78
652.31,426.78,426.78
612.64,426.78,426.78
607.25,426.78,426.78
598.35,426.78,426.78
586.6,426.78,426.78
591.34,426.78,426.78
601.63,426.78,426.78
633.74,426.78,426.78
702.4,426.78,426.78
741.78,426.78,426.78
730.82,426.78,426.78
721.84,426.78,426.78
728.08,426.78,426.78
727.16,426.78,426.78
731.23,426.78,426.78
735.35,426.78,426.78
736.42,426.78,426.78
734.77,426.78,426.78
735.23,426.78,426.78
734.46,426.78,426.78
725.94,426.78,426.78
715.93,426.78,426.78
716.96,426.78,426.78
708.24,426.78,426.78
642.48,426.78,426.78
620.15,426.78,426.78
623.83,426.78,426.78
620.63,426.78,426.78
622.96,426.78,426.78
631.55,426.78,426.78
632.9,426.78,426.78
661.08,426.78,426.78
704.21,426.78,426.78
710.63,426.78,426.78
700.54,426.78,426.78
689.35,426.78,426.78
677.15,426.78,426.78
673.91,426.78,426.78
677.52,426.78,426.78
682.57,426.78,426.78
701.07,426.78,426.78
692.16,426.78,426.78
686.3,426.78,426.78
677.08,426.78,426.78
673.99,426.78,426.78
677.74,426.78,426.78
690.89,426.78,426.78
676.81,426.78,426.78
638.96,426.78,426.78
628.26,426.78,426.78
600.4,426.78,426.78
581.64,426.78,426.78
606.73,426.78,426.78
595.43,426.78,426.78
588.57,426.78,426.78
574.75,426.78,426.78
647.09,426.78,426.78
678.2,426.78,426.78
662.23,426.78,426.78
664.86,426.78,426.78
670.3,426.78,426.78
676.42,426.78,426.78
677.56,426.78,426.78
682.32,426.78,426.78
693.22,426.78,426.78
708.46,426.78,426.78
714.97,426.78,426.78
740.0,426.78,426.78
746.45,426.78,426.78
726.27,426.78,426.78
718.88,426.78,426.78
709.68,426.78,426.78
667.44,426.78,426.78
633.42,426.78,426.78
602.82,426.78,426.78
562.86,426.78,426.78
536.37,426.78,426.78
534.05,426.78,426.78
512.32,426.78,426.78
525.38,426.78,426.78
606.13,426.78,426.78
642.28,426.78,426.78
641.87,426.78,426.78
644.01,426.78,426.78
646.59,426.78,426.78
649.25,426.78,426.78
641.4,426.78,426.78
651.09,426.78,426.78
704.22,426.78,426.78
693.32,426.78,426.78
685.53,426.78,426.78
722.97,426.78,426.78
698.36,426.78,426.78
703.03,426.78,426.78
695.94,426.78,426.78
677.93,426.78,426.78
628.46,426.78,426.78
615.29,426.78,426.78
606.09,426.78,426.78
604.26,426.78,426.78
618.56,426.78,426.78
622.07,426.78,426.78
616.48,426.78,426.78
616.27,426.78,426.78
700.86,426.78,426.78
750.29,426.78,426.78
743.51,426.78,426.78
752.38,426.78,426.78
747.78,426.78,426.78
731.82,426.78,426.78
725.05,426.78,426.78
714.08,426.78,426.78
708.57,426.78,426.78
697.62,426.78,426.78
688.59,426.78,426.78
674.27,426.78,426.78
678.13,426.78,426.78
680.6,426.78,426.78
676.32,426.78,426.78
669.65,426.78,426.78
605.18,426.78,426.78
574.22,426.78,426.78
563.48,426.78,426.78
552.68,426.78,426.78
544.17,426.78,426.78
532.14,426.78,426.78
524.0,426.78,426.78
543.06,426.78,426.78
597.56,426.78,426.78
