slack_0,non_interrupt,interrupt
423.6,117.86,117.86
466.5,117.86,117.86
483.35,117.86,117.86
411.51,117.86,117.86
399.85,117.86,117.86
402.07,117.86,117.86
376.07,117.86,117.86
236.86,117.86,117.86
199.08,117.86,117.86
211.89,117.86,117.86
227.71,117.86,117.86
233.64,117.86,117.86
224.96,117.86,117.86
232.98,117.86,117.86
285.48,117.86,117.86
328.27,117.86,117.86
371.07,117.86,117.86
403.89,117.86,117.86
436.6,117.86,117.86
473.65,117.86,117.86
493.86,117.86,117.86
483.6,117.86,117.86
476.78,117.86,117.86
423.22,117.86,117.86
411.53,117.86,117.86
417.32,117.86,117.86
416.64,117.86,117.86
426.63,117.86,117.86
449.34,117.86,117.86
473.14,117.86,117.86
489.44,117.86,117.86
429.8,117.86,117.86
388.36,117.86,117.86
372.49,117.86,117.86
341.89,117.86,117.86
345.81,117.86,117.86
374.32,117.86,117.86
417.09,117.86,117.86
423.66,117.86,117.86
472.71,117.86,117.86
468.37,117.86,117.86
479.17,117.86,117.86
538.19,117.86,117.86
548.03,117.86,117.86
490.22,117.86,117.86
487.42,117.86,117.86
473.3,117.86,117.86
347.86,117.86,117.86
388.64,117.86,117.86
349.35,117.86,117.86
326.1,117.86,117.86
328.61,117.86,117.86
337.98,117.86,117.86
369.47,117.86,117.86
393.65,117.86,117.86
404.62,117.86,117.86
401.32,117.86,117.86
376.31,117.86,117.86
379.76,117.86,117.86
363.81,117.86,117.86
369.68,117.86,117.86
382.45,117.86,117.86
407.24,117.86,117.86
465.54,117.86,117.86
475.68,117.86,117.86
518.09,117.86,117.86
542.83,117.86,117.86
561.29,117.86,117.86
570.3,117.86,117.86
576.47,117.86,117.86
525.79,117.86,117.86
506.41,117.86,117.86
518.42,117.86,117.86
540.2,117.86,117.86
542.0,117.86,117.86
516.69,117.86,117.86
501.24,117.86,117.86
580.98,117.86,117.86
582.19,117.86,117.86
528.04,117.86,117.86
479.13,117.86,117.86
422.99,117.86,117.86
388.32,117.86,117.86
387.51,117.86,117.86
386.2,117.86,117.86
384.21,117.86,117.86
416.33,117.86,117.86
452.23,117.86,117.86
450.46,117.86,117.86
444.28,117.86,117.86
444.7,117.86,117.86
460.27,117.86,117.86
444.89,117.86,117.86
434.7,117.86,117.86
417.58,117.86,117.86
427.92,117.86,117.86
441.03,117.86,117.86
442.58,117.86,117.86
425.36,117.86,117.86
414.42,117.86,117.86
449.6,117.86,117.86
444.84,117.86,117.86
482.11,117.86,117.86
460.46,117.86,117.86
414.12,117.86,117.86
331.11,117.86,117.86
304.35,117.86,117.86
318.96,117.86,117.86
325.12,117.86,117.86
359.94,117.86,117.86
385.5,117.86,117.86
426.23,117.86,117.86
426.53,117.86,117.86
425.64,117.86,117.86
425.86,117.86,117.86
421.82,117.86,117.86
405.5,117.86,117.86
399.22,117.86,117.86
403.25,117.86,117.86
346.85,117.86,117.86
365.23,117.86,117.86
365.79,117.86,117.86
365.82,117.86,117.86
381.94,117.86,117.86
429.17,117.86,117.86
449.89,117.86,117.86
462.33,117.86,117.86
446.61,117.86,117.86
417.08,117.86,117.86
392.74,117.86,117.86
425.82,117.86,117.86
438.41,117.86,117.86
448.5,117.86,117.86
462.43,117.86,117.86
510.83,117.86,117.86
539.03,117.86,117.86
523.38,117.86,117.86
522.77,117.86,117.86
524.33,117.86,117.86
523.55,117.86,117.86
506.18,117.86,117.86
507.34,117.86,117.86
529.73,117.86,117.86
422.31,117.86,117.86
392.98,117.86,117.86
390.56,117.86,117.86
378.89,117.86,117.86
352.18,117.86,117.86
345.09,117.86,117.86
378.16,117.86,117.86
410.5,117.86,117.86
413.79,117.86,117.86
410.15,117.86,117.86
382.89,117.86,117.86
382.25,117.86,117.86
377.84,117.86,117.86
383.22,117.86,117.86
388.67,117.86,117.86
390.99,117.86,117.86
400.46,117.86,117.86
399.07,117.86,117.86
