slack_0,non_interrupt,interrupt
2973.72,549.89,518.29
3149.58,549.89,518.29
3287.5699999999997,549.89,518.29
3421.1,549.89,518.29
3558.92,549.89,518.29
3679.0299999999997,549.89,518.29
3745.5,549.89,518.29
3782.59,549.89,518.29
3757.68,549.89,518.29
3718.44,549.89,518.29
3604.62,549.89,518.29
3372.52,549.89,518.29
3094.95,549.89,518.29
2839.09,549.89,518.29
2629.8,549.89,518.29
2409.13,549.89,518.29
2148.25,549.89,518.29
1873.42,549.89,518.29
1610.41,549.89,518.29
1373.6200000000001,549.89,518.29
1172.25,549.89,518.29
1021.99,549.89,518.29
981.78,549.89,518.29
1041.73,549.89,518.29
1148.8700000000001,549.89,518.29
1275.25,549.89,518.29
1433.43,549.89,518.29
1604.3600000000001,549.89,518.29
1728.16,549.89,518.29
1827.23,549.89,518.29
1926.44,549.89,518.29
2052.91,549.89,518.29
2160.74,549.89,518.29
2226.01,549.89,518.29
2178.44,549.89,518.29
2085.81,549.89,518.29
1973.02,549.89,518.29
1844.33,549.89,518.29
1682.72,549.89,518.29
1509.5,549.89,518.29
1385.53,549.89,518.29
1285.87,549.89,518.29
1173.15,549.89,518.29
1020.99,549.89,518.29
854.8,549.89,518.29
708.1700000000001,549.89,518.29
653.02,549.89,518.29
632.37,549.89,518.29
621.16,549.89,518.29
612.55,549.89,518.29
606.83,549.89,518.29
633.91,549.89,518.29
683.0699999999999,549.89,518.29
732.54,549.89,518.29
778.31,549.89,518.29
819.08,549.89,518.29
862.37,549.89,519.51
911.42,549.89,522.19
955.28,549.89,525.36
959.99,549.89,526.14
961.89,549.89,526.14
966.48,549.89,526.14
971.58,549.89,526.14
944.1800000000001,549.89,526.14
895.99,549.89,526.14
847.34,549.89,526.14
802.03,549.89,526.14
760.28,549.89,526.14
715.09,549.89,526.14
664.18,549.89,526.14
621.27,549.89,526.14
617.12,549.89,526.14
610.03,549.89,526.14
604.11,549.89,526.14
600.76,549.89,526.14
595.49,549.89,526.14
588.11,549.89,526.14
583.51,549.89,526.14
583.6,549.89,526.14
588.16,549.89,526.14
602.44,549.89,530.62
617.22,549.89,536.55
623.98,549.89,539.8
623.35,549.89,540.87
624.38,549.89,541.82
621.4300000000001,549.89,541.82
616.78,549.89,541.82
615.94,549.89,541.82
617.69,549.89,542.65
616.98,549.89,542.78
610.61,549.89,542.78
602.81,549.89,542.78
586.72,549.89,542.78
567.12,549.89,542.78
553.21,549.89,542.78
549.89,549.89,545.32
552.09,552.09,546.2
557.36,557.36,547.07
585.04,585.04,548.08
624.78,624.78,548.4
649.47,641.63,549.68
658.33,641.63,553.09
667.91,641.63,559.75
678.72,641.63,568.6
689.34,641.63,580.91
705.77,641.63,598.01
725.22,641.63,615.36
739.5600000000001,641.63,627.78
748.1,641.63,632.88
747.6700000000001,641.63,635.63
721.14,641.63,635.63
683.14,641.63,635.63
658.59,641.63,635.63
649.39,641.63,635.78
641.63,641.63,638.19
642.32,642.32,642.32
678.58,678.58,651.7
737.23,737.23,661.98
797.39,797.39,668.91
856.6,856.6,675.9
919.93,919.93,681.08
995.88,976.44,693.24
1087.42,976.44,709.35
1191.76,976.44,724.67
1262.34,976.44,741.79
1322.35,976.44,762.47
1387.76,976.44,783.83
1450.03,976.44,796.47
1475.79,976.44,796.47
1478.97,976.44,796.47
1474.18,976.44,796.47
1464.78,976.44,796.47
1436.31,976.44,796.47
1400.09,976.44,796.47
1342.65,976.44,796.47
1255.87,976.44,796.47
1201.28,976.44,796.47
1162.12,976.44,796.47
1119.63,976.44,796.47
1082.47,976.44,796.47
1047.45,976.44,796.47
1015.3,976.44,796.47
988.9,976.44,796.47
976.4399999999999,976.44,796.47
993.76,993.76,796.47
1024.02,993.84,796.47
1079.98,993.84,796.47
1161.9,993.84,796.47
1277.03,993.84,799.85
1397.55,993.84,801.41
1528.63,993.84,802.34
1657.09,993.84,802.34
1814.8899999999999,993.84,802.34
1954.26,993.84,802.34
2022.01,993.84,802.34
2002.13,993.84,802.34
1962.29,993.84,802.34
1906.96,993.84,802.34
1837.91,993.84,802.34
1760.69,993.84,802.34
1648.94,993.84,802.34
1526.6399999999999,993.84,802.34
1389.21,993.84,802.34
1240.92,993.84,802.34
1077.31,993.84,802.34
993.8399999999999,993.84,802.34
1059.95,1059.95,802.34
1212.27,1076.22,802.34
1297.0,1076.22,802.34
1353.3799999999999,1076.22,805.13
1418.27,1076.22,806.07
1494.26,1076.22,806.07
1587.68,1076.22,810.03
1680.72,1076.22,822.49
1773.29,1076.22,841.17
1856.74,1076.22,863.45
1932.22,1076.22,875.69
1940.47,1076.22,875.69
1847.24,1076.22,875.69
1692.07,1076.22,875.69
1606.6,1076.22,875.52
1550.61,1076.22,840.31
1481.69,1076.22,805.66
1398.1299999999999,1076.22,774.05
1299.43,1076.22,743.75
1203.97,1076.22,721.11
1112.3899999999999,1039.97,713.23
1076.22,1003.44,713.23
1087.68,1003.44,713.23
1162.92,1003.44,713.23
1306.72,1003.44,713.23
1458.35,1003.44,713.23
1583.21,1003.44,713.23
1745.22,1003.44,723.69
1913.33,1003.44,739.12
2075.7,1003.44,756.67
2173.98,1003.44,777.98
2223.07,1003.44,799.09
2260.5,1003.44,821.68
2259.1,1003.44,821.68
2213.65,1003.44,821.68
2097.29,1003.44,821.68
1926.15,1003.44,821.68
1806.78,1003.44,821.68
1716.98,1003.44,821.68
1635.7,1003.44,821.68
1609.04,1003.44,821.68
1626.2,1003.44,821.68
1682.61,1003.44,821.68
1794.58,1003.44,821.68
1914.77,1003.44,821.68
2051.7200000000003,1003.44,821.68
2188.92,1003.44,821.68
2317.99,1003.44,821.68
2456.73,1003.44,821.68
2542.08,1003.44,821.68
2575.76,1003.44,821.68
2552.8,1003.44,821.68
2470.93,1003.44,821.68
2350.53,1003.44,821.68
2233.01,1003.44,821.68
2086.83,1003.44,821.28
1957.47,1003.44,821.28
1829.1,1003.44,821.28
1764.66,1003.44,821.28
1765.04,1003.44,821.02
1748.68,1003.44,816.06
1772.56,1003.44,782.13
1843.35,1003.44,743.09
1928.19,1003.44,709.9
2022.01,1003.44,679.34
2116.0299999999997,900.96,649.79
2226.92,839.51,621.89
2358.93,802.46,608.49
2483.06,761.46,605.03
2593.47,712.63,596.44
2648.35,661.82,586.06
2679.38,615.71,575.3
2752.94,575.28,565.76
2841.56,563.73,555.24
2952.81,557.51,545.19
3063.35,547.15,535.44
3168.18,533.18,524.01
3275.27,516.1,510.06
3384.46,499.58,495.94
3484.7,483.73,481.27
3578.62,469.62,469.62
3661.1,461.07,461.07
3729.02,453.79,453.65
3740.89,448.5,447.78
3704.45,448.16,447.78
3627.9,448.16,447.78
3513.87,448.16,447.78
3399.34,448.16,447.78
3273.4,448.16,447.78
3140.28,448.16,447.78
3005.46,448.16,447.78
2880.06,448.16,447.78
2761.13,448.16,447.78
2653.77,448.16,447.78
2560.25,448.16,447.78
2520.66,448.16,445.52
2526.2,448.16,445.11
2569.74,448.16,445.11
2645.63,448.16,444.2
2719.19,448.16,442.5
2802.45,448.16,439.84
2891.76,448.16,436.63
2980.5299999999997,448.16,436.44
3058.49,448.16,436.44
3129.02,448.16,434.82
3187.78,448.16,431.97
3234.0,448.16,428.39
3232.32,448.16,426.53
3188.8,448.16,426.53
3110.98,448.16,426.53
3003.42,448.16,426.53
2901.03,448.16,426.53
2790.9300000000003,448.16,426.53
2675.37,448.16,426.53
2560.77,448.16,426.53
2457.44,448.16,426.53
2361.7,448.16,426.53
2277.87,448.16,426.53
2205.87,448.16,426.53
2179.61,448.16,426.53
2191.96,448.16,426.53
2236.46,448.16,426.53
2305.39,448.16,426.53
2366.24,448.16,426.53
2433.06,448.16,426.53
2504.16,448.16,426.53
2571.88,448.16,426.53
2626.91,448.16,426.14
2673.36,448.16,424.53
2707.8,448.16,423.11
2731.7400000000002,448.16,423.11
2716.18,448.16,423.11
2665.38,448.16,423.11
2586.26,448.16,423.11
2485.34,448.16,423.11
2395.39,448.16,423.11
2301.5,448.16,423.11
2203.97,448.16,423.11
2110.21,448.16,423.11
2029.62,448.16,423.11
1957.76,448.16,423.11
1898.05,448.16,423.11
1848.1499999999999,448.16,423.11
1835.55,448.16,423.11
1854.9099999999999,448.16,423.11
1900.3899999999999,448.16,423.11
1962.17,448.16,423.11
2010.01,448.16,423.11
2059.98,448.16,423.11
2112.4,448.16,423.11
2158.54,448.16,423.11
2189.96,448.16,423.11
2211.63,448.16,423.11
2221.14,448.16,423.1
2222.2200000000003,448.16,423.1
2192.4700000000003,448.16,423.1
2134.19,448.16,423.1
2053.76,448.16,423.1
1959.73,448.16,423.1
1847.89,448.16,423.1
1734.97,448.16,423.1
1625.66,448.16,423.1
1532.32,448.16,423.1
1456.02,448.16,423.1
1390.32,448.16,423.1
1343.43,448.16,423.1
1315.15,448.16,423.1
1325.83,448.16,423.1
1361.37,448.16,423.1
1409.98,448.16,423.1
1477.0,448.16,423.1
1561.18,448.16,423.1
1649.96,448.16,423.1
1736.29,448.16,423.1
1808.76,448.16,423.1
1862.21,448.16,423.1
1909.41,448.16,423.1
1945.17,448.16,423.1
1961.14,448.16,423.1
1928.56,448.16,423.1
1858.29,448.16,423.1
1781.29,448.16,423.1
1687.55,448.16,423.1
1567.99,448.16,423.1
1445.81,448.16,423.1
1326.6200000000001,448.16,423.1
1215.74,448.16,423.1
1121.36,448.16,423.1
1039.97,448.16,423.1
1003.44,448.16,423.1
1033.22,448.16,423.1
1131.37,448.16,423.1
1272.2,448.16,423.1
1440.29,448.16,423.1
1638.6,448.16,423.1
1841.34,448.16,423.1
2072.39,448.16,423.1
2335.7799999999997,448.16,423.1
2596.02,448.16,423.1
2776.24,448.16,423.1
2988.34,448.16,423.1
3153.65,448.16,423.1
3294.81,448.16,423.1
3397.65,448.16,423.1
3396.5,448.16,423.1
3331.86,448.16,423.1
3203.83,448.16,423.1
3069.49,448.16,423.1
2896.63,448.16,423.1
2680.63,448.16,423.1
2466.09,448.16,423.1
2331.25,448.16,423.1
2160.11,448.16,423.1
2034.63,448.16,423.1
1889.54,448.16,423.1
1758.31,448.16,423.1
1713.81,448.16,423.1
1722.1200000000001,448.16,423.1
1747.49,448.16,423.1
1797.0,448.16,423.1
1846.99,448.16,423.1
1904.91,448.16,423.1
1923.06,448.16,423.1
1915.28,448.16,423.1
1900.74,448.16,423.1
1840.1200000000001,448.16,423.1
1752.45,448.16,423.1
1638.17,448.16,423.1
1515.98,448.16,423.1
1362.45,448.16,423.1
1227.76,448.16,423.1
1110.27,448.16,423.1
1004.93,448.16,423.1
900.96,448.16,423.1
839.51,448.16,423.1
802.46,448.16,423.1
761.46,448.16,423.1
712.63,448.16,423.1
661.82,448.16,423.1
615.71,448.16,423.1
575.28,448.16,423.1
563.73,448.16,423.1
557.51,448.16,423.1
547.15,448.16,423.1
533.1800000000001,448.16,423.1
516.1,448.16,423.1
499.58000000000004,448.16,423.1
483.73,448.16,423.1
469.62,448.16,423.1
461.07,448.16,423.1
453.79,448.16,423.1
448.5,448.16,423.1
448.15999999999997,448.16,423.1
452.27,452.27,423.1
459.99,453.5,423.1
468.43,453.5,423.1
479.75,453.5,423.1
494.83,453.5,423.29
510.42,453.5,423.81
527.23,453.5,425.29
539.99,453.5,426.6
550.12,453.5,428.13
556.82,453.5,430.86
559.85,453.5,432.24
558.63,453.5,432.24
555.47,453.5,432.24
546.84,453.5,432.24
536.54,453.5,432.24
524.38,453.5,432.24
510.12,453.5,432.24
497.84000000000003,453.5,432.24
485.38,453.5,432.24
474.68,453.5,432.24
465.08,453.5,432.24
458.84000000000003,453.5,432.24
455.74,453.5,432.24
453.95,453.5,432.24
453.5,453.5,432.24
457.36,457.36,432.24
463.72,463.72,432.24
472.86,469.75,432.24
480.61,469.75,433.8
485.9,469.75,433.8
489.84000000000003,469.75,433.8
492.68,469.75,434.96
498.96000000000004,469.75,437.63
516.12,469.75,441.33
577.41,469.75,445.24
661.86,469.75,446.75
730.7,469.75,446.75
795.97,469.75,446.75
845.17,469.75,446.75
892.92,469.75,446.75
929.14,469.75,446.75
955.58,469.75,446.75
949.52,469.75,446.75
944.68,469.75,446.75
937.62,469.75,446.75
921.46,469.75,446.75
862.78,469.75,446.75
780.09,469.75,446.75
710.45,469.75,446.75
643.73,469.75,446.75
590.26,469.75,446.75
537.52,469.75,446.75
499.54,469.75,446.75
469.75,469.75,446.75
494.18,477.14,450.16
551.46,477.14,455.2
619.19,477.14,460.57
707.94,477.14,465.3
812.41,477.14,467.85
915.76,477.14,469.37
1017.16,477.14,470.92
1103.6399999999999,477.14,470.92
1180.6399999999999,477.14,471.79
1255.6200000000001,477.14,471.9
1330.8899999999999,477.14,471.9
1404.3,477.14,474.55
1427.68,477.14,474.55
1381.99,477.14,474.55
1315.04,477.14,474.55
1226.48,477.14,474.55
1121.66,477.14,474.55
1015.21,477.14,474.55
912.16,477.14,474.55
823.6,477.14,474.55
745.35,477.14,474.55
669.01,477.14,474.55
593.17,477.14,474.55
520.94,477.14,474.55
480.19,477.14,474.55
477.14,477.14,474.55
507.5,507.5,482.48
547.21,547.21,490.29
593.48,570.55,496.78
653.34,570.55,505.65
707.46,570.55,513.16
766.59,570.55,519.34
833.16,570.55,526.17
897.15,570.55,533.18
901.29,570.55,539.47
906.0,570.55,547.27
910.29,570.55,553.74
917.59,570.55,560.93
904.53,570.55,560.93
879.7,570.55,560.93
841.5,570.55,560.93
791.91,570.55,560.93
750.61,570.55,560.93
697.66,570.55,560.93
