slack_0,non_interrupt,interrupt
6071.72,5048.34,4741.5
6207.81,5048.34,4741.5
6339.59,5048.34,4741.5
6509.12,5048.34,4741.5
6729.45,5048.34,4741.5
6977.81,5048.34,4741.5
7221.82,5048.34,4741.5
7463.17,5048.34,4741.5
7695.87,5048.34,4741.5
7895.62,5048.34,4741.5
8039.4,5048.34,4741.5
8131.59,5048.34,4741.5
8151.68,5048.34,4741.5
8102.87,5048.34,4741.5
8001.06,5048.34,4741.5
7811.08,5048.34,4741.5
7536.42,5048.34,4741.5
7226.47,5048.34,4741.5
6926.76,5048.34,4741.5
6654.55,5048.34,4741.5
6424.29,5048.34,4741.5
6230.9400000000005,5048.34,4741.5
6083.51,5048.34,4741.5
6004.6,5048.34,4741.5
6012.05,5048.34,4741.5
6072.89,5048.34,4741.5
6184.72,5048.34,4741.5
6358.1900000000005,5048.34,4741.5
6572.77,5048.34,4741.5
6806.69,5048.34,4750.53
7018.0599999999995,5048.34,4750.53
7198.69,5048.34,4750.53
7353.54,5048.34,4750.53
7456.63,5048.34,4750.53
7435.5599999999995,5048.34,4750.53
7338.22,5048.34,4750.53
7196.12,5048.34,4750.53
7009.4,5048.34,4750.53
6784.26,5048.34,4750.53
6534.5199999999995,5048.34,4750.53
6267.7,5048.34,4750.53
5988.92,5048.34,4750.53
5717.9,5048.34,4750.53
5460.25,5048.34,4750.53
5219.79,5048.34,4750.53
5059.25,5048.34,4750.53
5048.34,5048.34,4750.53
5111.15,5111.15,4750.53
5229.89,5229.89,4750.53
5406.03,5406.03,4758.87
5602.87,5530.56,4793.64
5804.73,5530.56,4845.22
6027.66,5530.56,4908.11
6251.08,5530.56,4973.72
6474.17,5530.56,5048.68
6678.8,5530.56,5119.96
6879.04,5530.56,5171.6
7019.1900000000005,5530.56,5171.6
7052.68,5530.56,5171.6
7031.48,5530.56,5171.6
6977.12,5530.56,5171.6
6885.29,5530.56,5156.08
6768.34,5530.56,5120.63
6637.12,5530.56,5117.59
6473.23,5530.56,5117.59
6303.7,5530.56,5117.59
6129.79,5530.56,5117.59
5975.03,5530.56,5117.59
5823.87,5530.56,5117.59
5721.47,5530.56,5117.59
5719.09,5530.56,5117.59
5756.09,5530.56,5117.59
5802.46,5530.56,5117.59
5860.74,5530.56,5117.59
5952.85,5530.56,5117.59
6057.63,5530.56,5117.59
6158.49,5530.56,5141.0
6249.8,5530.56,5174.11
6344.21,5530.56,5208.65
6444.42,5530.56,5233.47
6554.82,5530.56,5238.4
6613.25,5530.56,5238.4
6574.01,5530.56,5238.4
6486.05,5530.56,5238.4
6394.06,5530.56,5216.38
6305.12,5530.56,5194.91
6202.43,5530.56,5166.78
6082.46,5530.56,5130.25
5973.92,5530.56,5114.49
5850.8,5530.56,5107.77
5724.57,5530.56,5106.86
5609.38,5530.56,5106.86
5541.15,5530.56,5106.86
5530.56,5498.18,5106.86
5571.6900000000005,5498.18,5106.86
5676.59,5498.18,5106.86
5823.9,5498.18,5106.86
5999.38,5498.18,5106.86
6191.5,5498.18,5106.86
6397.2,5498.18,5111.16
6628.63,5498.18,5131.14
6887.89,5498.18,5186.82
7133.89,5498.18,5248.77
7394.41,5498.18,5288.57
7580.84,5498.18,5288.57
7654.21,5498.18,5288.57
7675.87,5498.18,5283.65
7630.49,5498.18,5250.28
7550.34,5498.18,5193.92
7433.92,5498.18,5131.3
7284.95,5498.18,5066.54
7129.17,5498.18,5005.71
6982.4,5489.09,4965.89
6857.0,5348.57,4943.48
6699.74,5239.07,4940.04
6502.0199999999995,5153.73,4940.04
6294.78,5103.88,4940.04
6167.11,5102.28,4940.04
6113.469999999999,5102.28,4940.04
6123.33,5102.28,4940.04
6178.12,5102.28,4940.04
6316.32,5102.28,4940.04
6461.51,5102.28,4940.04
6639.86,5102.28,4940.04
6804.389999999999,5102.28,4940.04
6960.72,5102.28,4940.04
7170.18,5102.28,4940.04
7360.29,5102.28,4940.04
7564.45,5102.28,4940.04
7735.7,5102.28,4940.04
7856.95,5102.28,4940.04
7947.84,5102.28,4940.04
7987.59,5102.28,4940.04
7941.84,5102.28,4940.04
7922.03,5102.28,4940.04
7871.76,5102.28,4940.04
7790.75,5102.28,4940.04
7618.82,5102.28,4940.04
7426.79,5102.28,4940.04
7266.900000000001,5102.28,4940.04
7150.650000000001,5102.28,4940.04
7059.62,5102.28,4940.04
6990.22,5102.28,4940.04
6957.78,5102.28,4940.04
6951.6,5102.28,4940.04
6964.56,5102.28,4940.04
6960.15,5102.28,4940.04
6978.58,5102.28,4940.04
7033.09,5102.28,4940.04
7177.9,5102.28,4940.04
7342.25,5102.28,4940.04
7498.11,5102.28,4940.04
7620.4,5102.28,4940.04
7704.51,5102.28,4940.04
7758.07,5102.28,4940.04
7754.88,5102.28,4940.04
7706.11,5102.28,4940.04
7647.98,5102.28,4940.04
7577.44,5102.28,4940.04
7471.98,5102.28,4940.04
7338.31,5102.28,4934.01
7165.46,5102.28,4934.01
6988.76,5102.28,4934.01
6810.13,5102.28,4934.01
6631.09,5102.28,4934.01
6541.15,5102.28,4934.01
6478.74,5102.28,4934.01
6459.01,5102.28,4934.01
6486.93,5102.28,4934.01
6539.1,5102.28,4934.01
6608.99,5102.28,4934.01
6710.38,5102.28,4934.01
6844.16,5102.28,4934.01
7029.46,5102.28,4934.01
7194.6900000000005,5102.28,4934.01
7383.25,5102.28,4934.01
7523.79,5102.28,4934.01
7605.32,5102.28,4934.01
7681.66,5102.28,4934.01
7718.41,5102.28,4934.01
7692.12,5102.28,4934.01
7597.1900000000005,5102.28,4934.01
7462.39,5102.28,4934.01
7298.1,5102.28,4934.01
7113.17,5102.28,4934.01
6909.35,5102.28,4934.01
6741.52,5102.28,4934.01
6594.9,5102.28,4934.01
6489.47,5102.28,4934.01
6403.62,5102.28,4934.01
6361.18,5102.28,4934.01
6360.52,5102.28,4934.01
6417.23,5102.28,4934.01
6551.16,5102.28,4934.01
6739.4,5102.28,4934.01
6960.01,5102.28,4934.01
7205.28,5102.28,4934.01
7454.3099999999995,5102.28,4934.01
7682.85,5102.28,4934.01
7823.33,5102.28,4934.01
7937.889999999999,5102.28,4934.01
8014.86,5102.28,4934.01
8029.08,5102.28,4934.01
8016.01,5102.28,4934.01
7945.61,5102.28,4934.01
7813.79,5102.28,4934.01
7642.5599999999995,5102.28,4934.01
7444.41,5102.28,4934.01
7207.94,5102.28,4934.01
6963.64,5102.28,4934.01
6714.98,5102.28,4934.01
6516.63,5102.28,4934.01
6343.1,5102.28,4934.01
6194.16,5102.28,4934.01
6097.62,5102.28,4934.01
6030.9400000000005,5102.28,4934.01
6076.8,5102.28,4934.01
6195.47,5102.28,4934.01
6323.41,5102.28,4934.01
6469.5599999999995,5102.28,4934.01
6611.43,5102.28,4934.01
6723.01,5102.28,4934.01
6833.72,5102.28,4934.01
6943.27,5102.28,4934.01
7084.42,5102.28,4934.01
7179.98,5102.28,4934.01
7217.99,5102.28,4934.01
7219.4,5102.28,4934.01
7093.47,5102.28,4934.01
6883.78,5102.28,4934.01
6672.15,5102.28,4910.51
6487.62,5102.28,4859.36
6349.04,5102.28,4805.88
6241.1,5102.28,4753.84
6132.71,5102.28,4723.54
6008.64,5102.28,4715.4
5836.98,5102.28,4715.4
5726.86,5102.28,4715.4
5699.54,5102.28,4715.4
5709.62,5102.28,4715.4
5810.6,5102.28,4715.4
5975.9,5102.28,4715.4
6188.16,5102.28,4715.4
6379.08,5102.28,4715.4
6543.73,5102.28,4715.4
6690.75,5102.28,4715.4
6820.58,5102.28,4715.4
6956.93,5102.28,4715.4
7089.389999999999,5102.28,4715.4
7185.21,5102.28,4715.4
7171.5599999999995,5102.28,4715.4
7096.01,5102.28,4710.73
6949.79,5102.28,4692.57
6779.39,5102.28,4686.92
6577.01,5102.28,4664.87
6356.95,5102.28,4625.34
6150.28,5102.28,4580.85
