slack_0,non_interrupt,interrupt
6431.52,4778.64,4742.32
6391.89,4778.64,4742.32
6352.67,4778.64,4742.32
6313.9,4778.64,4742.32
6255.61,4778.64,4742.32
6179.22,4778.64,4742.32
6103.35,4778.64,4742.32
6040.01,4778.64,4742.32
6009.66,4778.64,4742.32
5977.16,4778.64,4742.32
5954.22,4778.64,4742.32
5939.41,4778.64,4742.32
5949.91,4778.64,4742.32
5967.85,4778.64,4742.32
5983.27,4778.64,4742.32
5986.62,4778.64,4742.32
6009.39,4778.64,4742.32
6052.79,4778.64,4742.32
6085.53,4778.64,4742.32
6111.11,4778.64,4742.32
6105.3,4778.64,4742.32
6085.09,4778.64,4742.32
6046.98,4778.64,4742.32
6008.96,4778.64,4742.32
5950.92,4778.64,4742.32
5879.61,4778.64,4742.32
5804.02,4778.64,4742.32
5739.44,4778.64,4742.32
5664.03,4778.64,4742.32
5571.05,4778.64,4742.32
5490.12,4778.64,4742.32
5420.89,4778.64,4742.32
5380.05,4778.64,4742.32
5363.13,4778.64,4742.32
5379.49,4778.64,4742.32
5411.88,4778.64,4742.32
5467.32,4778.64,4742.32
5539.85,4778.64,4742.32
5626.87,4778.64,4742.32
5712.74,4778.64,4742.32
5800.95,4778.64,4742.32
5881.99,4778.64,4742.32
5943.64,4778.64,4742.32
5956.73,4778.64,4742.32
5937.44,4778.64,4742.32
5924.54,4778.64,4742.32
5893.98,4778.64,4742.32
5857.3099999999995,4778.64,4742.32
5796.03,4778.64,4742.32
5716.05,4778.64,4742.32
5626.21,4778.64,4742.32
5531.92,4778.64,4742.32
5429.0,4778.64,4742.32
5348.43,4778.64,4742.32
5284.12,4778.64,4742.32
5268.68,4778.64,4742.32
5281.889999999999,4778.64,4742.32
5285.79,4778.64,4742.32
5312.16,4778.64,4742.32
5349.01,4778.64,4742.32
5409.32,4778.64,4742.32
5488.66,4778.64,4742.32
5570.41,4778.64,4742.32
5655.01,4778.64,4742.32
5755.64,4778.64,4742.32
5852.07,4778.64,4742.32
5934.43,4778.64,4742.32
5969.03,4778.64,4742.32
5968.05,4778.64,4742.32
5966.1,4778.64,4742.32
5944.95,4778.64,4742.32
5927.78,4778.64,4742.32
5890.8,4778.64,4742.32
5832.0,4778.64,4742.32
5764.79,4778.64,4742.32
5695.01,4778.64,4742.32
5615.74,4778.64,4742.32
5527.83,4778.64,4742.32
5459.29,4778.64,4742.32
5437.4800000000005,4778.64,4742.32
5445.32,4778.64,4742.32
5453.5,4778.64,4742.32
5474.21,4778.64,4742.32
5483.7300000000005,4778.64,4742.32
5512.49,4778.64,4742.32
5563.54,4778.64,4742.32
5613.68,4778.64,4742.32
5648.39,4778.64,4742.32
5686.84,4778.64,4742.32
5740.61,4778.64,4742.32
5777.58,4778.64,4742.32
5766.52,4778.64,4742.32
5727.71,4778.64,4742.32
5690.4,4778.64,4737.43
5634.39,4778.64,4726.17
5575.88,4778.64,4726.17
5495.71,4778.64,4726.17
5396.37,4778.64,4726.17
5302.14,4778.64,4726.17
5226.59,4778.64,4726.17
5147.77,4778.64,4726.17
5063.64,4778.64,4726.17
4993.43,4778.64,4726.17
4972.52,4778.64,4726.17
4981.02,4778.64,4726.17
4981.16,4778.64,4726.17
5002.61,4778.64,4731.52
5029.81,4778.64,4731.52
5074.91,4778.64,4731.52
5129.43,4778.64,4731.52
5179.2,4778.64,4731.52
5217.59,4778.64,4731.52
5262.5,4778.64,4731.52
5306.4,4778.64,4731.52
5347.61,4778.64,4731.52
5351.48,4778.64,4731.52
5329.75,4778.64,4731.52
5313.26,4778.64,4731.52
5267.74,4778.64,4731.52
5220.55,4778.64,4731.52
5151.95,4778.64,4731.52
5072.18,4778.64,4731.52
4998.0199999999995,4778.64,4731.52
4938.38,4778.64,4731.52
4885.39,4778.64,4731.52
4830.2,4778.64,4731.52
4783.32,4778.64,4731.52
4778.64,4778.64,4731.52
4801.19,4801.19,4734.73
4844.95,4844.95,4752.83
4921.93,4921.93,4788.91
5004.99,5004.99,4815.83
5111.1,5040.19,4845.63
5233.78,5040.19,4877.66
5360.23,5040.19,4902.37
5486.61,5040.19,4919.8
5612.66,5040.19,4928.8
5747.93,5040.19,4942.58
5856.7,5040.19,4948.08
5901.67,5040.19,4948.08
5912.99,5040.19,4948.08
5902.53,5040.19,4948.08
5866.53,5040.19,4948.08
5829.2,5040.19,4948.08
5781.54,5040.19,4948.08
5708.93,5040.19,4948.08
5632.1,5040.19,4948.08
5556.52,5040.19,4948.08
5473.21,5040.19,4948.08
5381.69,5040.19,4948.08
5319.8099999999995,5040.19,4948.08
5318.86,5040.19,4948.08
5350.2,5040.19,4948.08
5407.13,5040.19,4948.08
5481.5,5040.19,4949.61
5548.05,5040.19,4949.61
5628.91,5040.19,4949.61
5739.89,5040.19,4949.61
5854.72,5040.19,4949.61
5957.0,5040.19,4949.61
6059.12,5040.19,4949.61
6160.88,5040.19,4949.61
6240.43,5040.19,4949.61
6272.87,5040.19,4949.61
6276.97,5040.19,4949.61
6248.59,5040.19,4949.61
6208.59,5040.19,4949.61
6165.0,5040.19,4949.61
6099.0,5040.19,4949.59
6014.63,5040.19,4949.59
5927.25,5040.19,4949.59
5847.82,5040.19,4949.59
5764.59,5040.19,4949.59
5677.48,5040.19,4949.59
5604.82,5040.19,4949.59
5576.87,5040.19,4949.59
