slack_0,non_interrupt,interrupt
3546.07,2579.79,2014.87
3577.81,2579.79,2014.87
3596.05,2579.79,2014.87
3613.9,2579.79,2014.87
3606.01,2579.79,2014.87
3510.28,2579.79,2014.87
3381.19,2579.79,2013.84
3253.71,2579.79,2003.48
3116.21,2579.79,1991.62
2986.49,2552.19,1978.62
2860.52,2478.57,1967.67
2743.15,2404.29,1960.69
2656.21,2361.66,1960.69
2635.0299999999997,2361.66,1960.69
2645.42,2361.66,1960.69
2655.08,2361.66,1960.69
2685.54,2361.66,1960.69
2802.81,2361.66,1960.69
2965.3,2361.66,1960.69
3138.7,2361.66,1964.93
3322.0299999999997,2361.66,1982.4
3498.7599999999998,2361.66,1999.66
3663.3,2361.66,2012.93
3812.52,2361.66,2012.93
3929.74,2361.66,2012.93
3971.3599999999997,2361.66,2012.93
3974.5,2361.66,2012.93
3972.39,2361.66,2012.93
3951.85,2361.66,2012.93
3841.68,2361.66,2012.93
3687.09,2361.66,1993.36
3519.5099999999998,2361.66,1966.27
3353.1,2361.66,1928.15
3193.85,2361.66,1889.73
3045.2799999999997,2361.66,1859.32
2896.77,2361.66,1842.1
2773.49,2361.66,1842.1
2730.62,2361.66,1842.1
2724.06,2361.66,1842.1
2722.25,2361.66,1842.1
2746.13,2361.66,1842.1
2857.54,2361.66,1842.1
3008.18,2361.66,1842.1
3169.65,2361.66,1842.1
3333.8199999999997,2361.66,1842.1
3495.62,2361.66,1842.1
3649.44,2361.66,1842.1
3798.58,2361.66,1842.1
3920.02,2361.66,1842.1
3964.21,2361.66,1842.1
3980.65,2361.66,1842.1
4001.8,2361.66,1842.1
3998.23,2361.66,1842.1
3920.85,2361.66,1842.1
3793.26,2361.66,1842.1
3658.81,2361.66,1842.1
3516.59,2361.66,1842.1
3382.55,2361.66,1842.1
3258.35,2361.66,1842.1
3139.59,2361.66,1842.1
3061.94,2361.66,1842.1
3044.45,2361.66,1842.1
3031.17,2361.66,1842.1
3007.78,2361.66,1842.1
3004.4,2361.66,1842.1
3072.54,2361.66,1842.1
3182.56,2361.66,1842.1
3283.73,2361.66,1842.1
3388.8,2361.66,1842.1
3481.21,2361.66,1842.1
3565.27,2361.66,1842.1
3653.11,2361.66,1842.1
3702.61,2361.66,1842.1
3696.28,2361.66,1842.1
3689.09,2361.66,1842.1
3690.19,2361.66,1842.1
3674.28,2361.66,1842.1
3590.4300000000003,2361.66,1842.1
3460.87,2361.66,1842.1
3332.27,2361.66,1842.1
3200.82,2361.66,1842.1
3074.65,2361.66,1842.1
2952.2000000000003,2361.66,1842.1
2829.04,2361.66,1842.1
2744.4,2361.66,1842.1
2748.29,2361.66,1842.1
2766.58,2361.66,1842.1
2774.12,2361.66,1842.1
2794.2200000000003,2361.66,1842.1
2877.08,2361.66,1842.1
3012.1,2361.66,1842.1
3163.44,2361.66,1842.1
3321.86,2361.66,1842.1
3472.1400000000003,2361.66,1842.1
3605.87,2361.66,1847.52
3725.78,2361.66,1847.52
3815.03,2361.66,1847.52
3806.2,2361.66,1847.52
3777.74,2361.66,1847.52
3777.09,2361.66,1847.52
3772.58,2361.66,1847.52
3713.44,2361.66,1847.52
3616.36,2361.66,1847.52
3503.56,2361.66,1847.52
3383.2,2361.66,1847.52
3266.83,2361.66,1847.52
3164.59,2361.66,1847.52
3073.5,2361.66,1847.52
3017.32,2361.66,1847.52
3052.57,2361.66,1847.52
3098.14,2361.66,1847.52
3126.38,2361.66,1847.52
3168.07,2361.66,1847.52
3272.84,2361.66,1847.52
3409.28,2361.66,1847.52
3545.71,2361.66,1847.52
3688.18,2361.66,1847.52
3819.5,2361.66,1847.52
3949.7200000000003,2361.66,1847.52
4075.69,2361.66,1847.52
4151.44,2361.66,1847.52
4145.13,2361.66,1847.52
4132.84,2361.66,1847.52
4121.22,2361.66,1847.52
4089.27,2361.66,1847.52
4003.93,2361.66,1847.52
3871.88,2361.66,1847.52
3735.17,2361.66,1847.52
3596.2,2361.66,1847.52
3466.92,2361.66,1847.52
3343.13,2361.66,1847.52
3210.85,2361.66,1847.52
3121.57,2361.66,1847.52
3103.3,2361.66,1847.52
3095.23,2361.66,1847.52
3077.91,2361.66,1847.52
3075.73,2361.66,1847.52
3124.05,2361.66,1847.52
3222.79,2361.66,1847.52
3333.89,2361.66,1847.52
3443.59,2361.66,1847.52
3550.42,2361.66,1847.52
3643.35,2361.66,1847.52
3742.24,2361.66,1847.52
3796.5099999999998,2361.66,1847.52
3773.16,2361.66,1847.52
3728.5,2361.66,1847.52
3692.45,2361.66,1847.52
3644.58,2361.66,1847.52
3532.97,2361.66,1847.52
3383.84,2361.66,1847.52
3235.72,2361.66,1847.52
3090.09,2361.66,1847.52
2955.0099999999998,2361.66,1847.52
2837.64,2361.66,1847.52
2723.79,2361.66,1847.52
2651.6,2361.66,1847.52
2627.69,2361.66,1847.52
2608.55,2361.66,1847.52
2587.98,2361.66,1847.52
2579.79,2361.66,1847.52
2623.78,2361.66,1847.52
2711.2200000000003,2361.66,1847.52
2787.7400000000002,2361.66,1847.52
2849.65,2361.66,1847.52
2914.83,2361.66,1847.52
2969.44,2361.66,1847.52
3025.03,2361.66,1847.52
3051.4,2361.66,1847.52
3036.08,2361.66,1847.52
3007.67,2361.66,1847.52
2980.52,2361.66,1847.52
2944.77,2361.66,1847.52
2887.43,2361.66,1847.52
2793.96,2361.66,1847.52
2706.06,2361.66,1847.52
2632.29,2361.66,1847.52
2552.19,2361.66,1847.52
2478.57,2361.66,1847.52
2404.29,2361.66,1847.52
2361.66,2361.66,1847.52
2391.29,2385.78,1847.52
2459.21,2385.78,1847.52
2528.71,2385.78,1847.52
2603.81,2385.78,1847.52
2714.5,2385.78,1847.52
2858.43,2385.78,1850.45
3014.96,2385.78,1865.87
3167.39,2385.78,1884.24
3322.9700000000003,2385.78,1904.2
3468.42,2385.78,1924.05
3607.48,2385.78,1944.33
3708.6,2385.78,1944.33
3730.5,2385.78,1944.33
3718.82,2385.78,1944.33
3698.19,2385.78,1944.33
3665.58,2385.78,1944.33
3551.49,2385.78,1944.33
3388.64,2385.78,1927.56
3215.16,2385.78,1900.75
3035.82,2385.78,1872.03
2853.65,2385.78,1848.41
2683.76,2385.78,1834.3
2529.85,2385.78,1834.3
2413.41,2385.78,1834.3
2385.7799999999997,2385.78,1834.3
2406.29,2406.29,1834.3
2433.63,2433.63,1834.3
2473.9700000000003,2473.97,1834.3
2598.38,2535.7,1834.3
2769.73,2535.7,1859.12
2951.04,2535.7,1892.16
3140.24,2535.7,1937.44
3335.98,2535.7,1983.99
3524.87,2535.7,2028.28
3697.5299999999997,2535.7,2063.41
3833.91,2535.7,2063.41
3892.04,2535.7,2063.41
3913.75,2535.7,2063.41
3936.21,2535.7,2063.41
3951.3,2535.7,2063.41
3924.15,2535.7,2063.41
3864.2,2535.7,2063.41
3786.19,2535.7,2063.41
3693.34,2535.7,2063.41
3587.45,2535.7,2063.41
3484.73,2535.7,2063.41
3400.37,2535.7,2063.41
3345.63,2535.7,2063.41
3343.62,2535.7,2063.41
3357.38,2535.7,2063.41
3363.31,2535.7,2063.41
3372.71,2535.7,2063.41
3421.37,2535.7,2063.41
3505.22,2535.7,2063.41
3600.21,2535.7,2063.41
3709.82,2535.7,2063.41
3824.74,2535.7,2063.41
3928.59,2535.7,2063.41
4014.82,2535.7,2063.41
4068.59,2535.7,2063.41
4065.3,2535.7,2063.41
4041.14,2535.7,2063.41
4016.01,2535.7,2063.41
3992.5,2535.7,2063.41
3902.84,2535.7,2063.41
3757.48,2535.7,2061.8
3598.41,2535.7,2049.66
3437.73,2535.7,2031.7
3277.83,2535.7,2009.14
3136.96,2535.7,1986.97
3006.41,2527.45,1960.42
2911.47,2441.69,1959.75
2891.38,2424.78,1959.75
2897.44,2424.78,1959.75
2909.45,2422.13,1959.75
2922.27,2422.13,1959.75
2995.7200000000003,2422.13,1959.75
3124.9700000000003,2422.13,1959.75
3272.55,2422.13,1959.75
3415.74,2422.13,1959.75
3554.23,2422.13,1959.75
3680.65,2422.13,1959.75
3797.52,2422.13,1959.75
3884.9,2422.13,1959.75
3897.56,2422.13,1959.75
3885.95,2422.13,1959.75
3873.14,2422.13,1959.75
3855.63,2422.13,1959.75
3785.2,2422.13,1959.75
3664.89,2422.13,1959.75
3528.3199999999997,2422.13,1959.75
3398.71,2422.13,1959.75
3275.8599999999997,2422.13,1959.75
3167.5299999999997,2422.13,1959.75
3091.29,2422.13,1959.75
3052.7999999999997,2422.13,1959.75
3058.43,2422.13,1959.75
3075.01,2422.13,1959.75
3088.44,2422.13,1959.75
3107.14,2422.13,1959.75
3180.85,2422.13,1959.75
3304.15,2422.13,1959.75
3448.37,2422.13,1959.75
3586.53,2422.13,1959.75
3719.94,2422.13,1959.75
3838.9100000000003,2422.13,1959.75
3927.4100000000003,2422.13,1959.75
3973.29,2422.13,1959.75
3974.56,2422.13,1959.75
3972.94,2422.13,1959.75
3973.32,2422.13,1959.75
3963.9900000000002,2422.13,1959.75
3920.09,2422.13,1959.75
3854.95,2422.13,1953.68
3772.5,2422.13,1933.44
3690.4700000000003,2422.13,1914.2
3604.67,2422.13,1896.65
3534.02,2422.13,1878.11
3481.75,2422.13,1867.37
3448.83,2422.13,1867.37
3435.02,2422.13,1867.37
3414.37,2422.13,1867.37
3389.67,2422.13,1867.37
3377.04,2422.13,1867.37
3405.42,2422.13,1867.37
3444.32,2422.13,1867.37
3493.35,2422.13,1867.37
3542.81,2422.13,1867.37
3576.36,2422.13,1867.37
3592.89,2422.13,1867.37
3589.75,2422.13,1867.37
3568.12,2422.13,1867.37
3534.1,2422.13,1867.37
3509.54,2422.13,1867.37
3490.4,2422.13,1867.37
3460.64,2422.13,1867.37
3382.51,2422.13,1867.37
3281.26,2422.13,1865.08
3165.08,2422.13,1851.09
3046.33,2422.13,1831.7
2946.56,2422.13,1807.95
2858.76,2422.13,1780.15
2786.09,2408.49,1761.34
2732.2200000000003,2292.59,1761.34
2666.01,2257.28,1761.34
2618.42,2257.28,1761.34
2574.57,2257.28,1761.34
2535.7,2257.28,1761.34
2545.2,2257.28,1761.34
2620.69,2257.28,1761.34
2734.85,2257.28,1761.34
2845.28,2257.28,1761.34
2963.4300000000003,2257.28,1761.34
3082.49,2257.28,1761.34
3191.26,2257.28,1761.34
3274.89,2257.28,1761.34
3350.67,2257.28,1761.34
3390.58,2257.28,1761.34
3433.06,2257.28,1761.34
3479.39,2257.28,1761.34
3498.51,2257.28,1761.34
3469.7799999999997,2257.28,1731.94
3412.01,2257.28,1702.05
3356.3,2257.28,1671.16
3307.47,2257.28,1643.32
3269.91,2257.28,1612.39
3250.4,2193.47,1586.16
3245.7,2089.83,1586.16
3269.11,2075.07,1586.16
3297.48,2075.07,1586.16
3316.84,2075.07,1586.16
3342.24,2075.07,1586.16
3390.09,2075.07,1586.16
3450.31,2075.07,1586.16
3520.91,2075.07,1586.16
3593.49,2075.07,1586.16
3650.1800000000003,2075.07,1586.16
3682.6800000000003,2075.07,1586.16
3697.7200000000003,2075.07,1586.16
3703.4300000000003,2075.07,1586.16
3691.5,2075.07,1586.16
3668.61,2075.07,1586.16
3646.4900000000002,2075.07,1586.16
3601.7200000000003,2075.07,1586.16
3488.1,2075.07,1586.16
3341.38,2075.07,1566.0
3178.1,2075.07,1545.4
3022.08,2075.07,1538.75
2876.68,2075.07,1530.49
2745.57,2075.07,1520.98
2625.19,2075.07,1520.98
2553.18,2075.07,1520.98
2544.95,2075.07,1520.98
2571.36,2075.07,1520.98
2600.3,2075.07,1520.98
2648.99,2075.07,1520.98
2764.0,2075.07,1520.98
2913.83,2075.07,1520.98
3080.97,2075.07,1520.98
3247.91,2075.07,1520.98
3410.56,2075.07,1520.98
3564.28,2075.07,1520.98
3699.4300000000003,2075.07,1520.98
3787.26,2075.07,1520.98
3806.66,2075.07,1520.98
3799.2,2075.07,1520.98
3788.25,2075.07,1520.98
3765.69,2075.07,1520.98
3697.21,2075.07,1520.98
3596.57,2075.07,1520.98
3486.6,2075.07,1520.98
3368.48,2075.07,1520.98
3251.36,2075.07,1520.98
3141.42,2075.07,1520.98
3048.18,2075.07,1520.98
2981.0099999999998,2075.07,1520.98
2957.68,2075.07,1520.98
2951.16,2075.07,1520.98
2942.8199999999997,2075.07,1520.98
2938.7,2075.07,1520.98
2981.19,2075.07,1520.98
3058.01,2075.07,1520.98
3142.02,2075.07,1520.98
3224.3,2075.07,1520.98
3299.87,2075.07,1520.98
3366.76,2075.07,1520.98
3408.69,2075.07,1520.98
3424.98,2075.07,1520.98
3400.52,2075.07,1520.98
3359.66,2075.07,1520.98
3334.94,2075.07,1520.98
3305.89,2075.07,1520.98
3229.07,2075.07,1520.98
3118.22,2075.07,1520.98
2993.95,2075.07,1520.98
2874.93,2075.07,1520.98
2755.31,2075.07,1520.98
2637.84,2075.07,1520.98
2527.45,2075.07,1520.98
2441.69,2075.07,1520.98
2424.78,2075.07,1520.98
2432.25,2075.07,1520.98
2422.13,2075.07,1520.98
2425.59,2075.07,1520.98
2494.9,2075.07,1520.98
2591.01,2075.07,1520.98
2699.68,2075.07,1520.98
2809.92,2075.07,1520.98
2934.58,2075.07,1520.98
3055.13,2075.07,1520.98
3174.14,2075.07,1520.98
3268.59,2075.07,1520.98
3301.85,2075.07,1520.98
3324.95,2075.07,1520.98
3355.95,2075.07,1520.98
3384.2799999999997,2075.07,1520.98
3331.87,2075.07,1520.98
3245.52,2075.07,1520.98
3153.67,2075.07,1520.98
3069.57,2075.07,1520.98
2972.52,2075.07,1520.98
2873.85,2075.07,1520.98
2784.69,2075.07,1520.98
2717.5,2075.07,1520.98
2715.65,2075.07,1520.98
2744.71,2075.07,1520.98
2774.6,2075.07,1520.98
2803.16,2075.07,1520.98
2901.36,2075.07,1520.98
3038.63,2075.07,1520.98
3185.14,2075.07,1520.98
3319.08,2075.07,1520.98
3456.89,2075.07,1520.98
3595.35,2075.07,1520.98
3731.87,2075.07,1520.98
3841.81,2075.07,1520.98
3881.31,2075.07,1520.98
3879.01,2075.07,1520.98
3874.4300000000003,2075.07,1520.98
3850.91,2075.07,1520.98
3735.9,2075.07,1520.98
3576.89,2075.07,1520.98
3397.25,2075.07,1520.98
3226.15,2075.07,1520.98
3057.16,2075.07,1520.98
2889.27,2075.07,1520.98
2723.93,2075.07,1520.98
2591.16,2075.07,1520.98
2541.21,2075.07,1520.98
2537.06,2075.07,1520.98
2530.22,2075.07,1520.98
2538.99,2075.07,1520.98
2632.58,2075.07,1520.98
2768.66,2075.07,1520.98
2915.58,2075.07,1520.98
3051.04,2075.07,1520.98
3180.48,2075.07,1520.98
3305.98,2075.07,1520.98
3433.82,2075.07,1520.98
3528.12,2075.07,1520.98
3535.4900000000002,2075.07,1520.98
3491.28,2075.07,1520.98
3454.3900000000003,2075.07,1520.98
3412.05,2075.07,1520.98
3301.64,2075.07,1520.98
3155.05,2075.07,1520.98
3000.1,2075.07,1520.98
2850.35,2075.07,1520.98
2700.7,2075.07,1520.98
2553.5,2075.07,1520.98
2408.49,2075.07,1520.98
2292.59,2075.07,1520.98
2257.28,2075.07,1520.98
2264.06,2075.07,1520.98
2272.03,2075.07,1520.98
2286.79,2075.07,1520.98
2361.53,2075.07,1520.98
2470.37,2075.07,1520.98
2590.41,2075.07,1520.98
2714.61,2075.07,1520.98
2847.79,2075.07,1520.98
2989.17,2075.07,1529.12
3116.17,2075.07,1538.22
3216.65,2075.07,1538.22
3239.89,2075.07,1538.22
3219.59,2075.07,1538.22
3188.89,2075.07,1538.22
3148.88,2075.07,1538.22
3049.7,2075.07,1538.22
2904.9,2075.07,1538.22
2761.76,2075.07,1538.22
2622.09,2075.07,1538.22
2479.85,2075.07,1538.22
2331.72,2075.07,1538.22
2193.47,2075.07,1538.22
2089.83,2075.07,1538.22
2075.07,2075.07,1538.22
2115.3199999999997,2115.32,1538.22
2165.47,2165.47,1538.22
2227.89,2227.89,1538.22
2356.43,2308.82,1538.22
2524.48,2308.82,1567.92
2702.51,2308.82,1599.74
2880.21,2308.82,1633.77
3067.77,2308.82,1666.49
3259.94,2308.82,1702.62
3442.18,2308.82,1737.84
3597.41,2308.82,1740.84
3659.94,2308.82,1740.84
3673.85,2308.82,1740.84
3678.0099999999998,2308.82,1740.84
3648.7599999999998,2308.82,1740.84
3525.1,2308.82,1740.84
3361.64,2308.82,1701.38
3186.11,2308.82,1657.87
3017.23,2308.82,1619.7
2833.11,2308.82,1588.83
2643.68,2308.82,1558.41
2481.79,2308.82,1533.83
2349.79,2199.02,1533.83
2308.82,2142.78,1533.83
2324.86,2142.78,1533.83
2345.95,2142.78,1533.83
2397.15,2142.78,1533.83
