slack_0,non_interrupt,interrupt
8190.65,7864.82,7721.67
8157.89,7864.82,7721.67
8115.04,7864.82,7721.67
8070.4400000000005,7864.82,7721.67
8040.85,7864.82,7721.67
7968.56,7864.82,7721.67
7954.02,7864.82,7721.67
7928.73,7864.82,7721.67
7915.3,7864.82,7721.67
7889.96,7864.82,7721.67
7879.26,7864.82,7721.67
7868.95,7864.82,7721.67
7864.82,7864.82,7721.67
7872.71,7867.98,7721.67
7900.16,7867.98,7721.67
7956.23,7867.98,7732.81
7997.81,7867.98,7733.4
8027.72,7867.98,7733.5
8039.36,7867.98,7733.5
8058.77,7867.98,7737.79
8078.82,7867.98,7737.79
8120.56,7867.98,7748.81
8155.8,7867.98,7748.81
8186.58,7867.98,7748.81
8214.93,7867.98,7748.81
8234.28,7867.98,7748.81
8227.02,7867.98,7748.81
8182.81,7867.98,7748.81
8149.36,7867.98,7748.81
8143.0,7867.98,7748.81
8143.66,7867.98,7748.81
8146.29,7867.98,7748.81
8138.8,7867.98,7748.81
8136.76,7867.98,7748.81
8140.23,7867.98,7748.81
8145.49,7867.98,7748.81
8156.04,7867.98,7748.81
8169.5199999999995,7867.98,7748.81
8202.369999999999,7867.98,7748.81
8249.69,7867.98,7756.22
8280.3,7867.98,7757.55
8278.14,7867.98,7757.55
8280.4,7867.98,7757.55
8301.15,7867.98,7757.55
8325.09,7867.98,7757.55
8336.94,7867.98,7757.55
8323.72,7867.98,7757.55
8293.18,7867.98,7757.55
8270.14,7867.98,7757.55
8260.86,7867.98,7757.55
8244.5,7867.98,7757.55
8225.52,7867.98,7757.55
8211.96,7867.98,7757.55
8214.01,7867.98,7757.55
8207.42,7867.98,7757.55
8185.79,7867.98,7757.55
8160.12,7867.98,7757.55
8161.22,7867.98,7757.55
8198.12,7867.98,7757.55
8254.15,7867.98,7757.55
8314.95,7867.98,7757.55
8372.23,7867.98,7757.55
8422.09,7867.98,7757.55
8474.91,7867.98,7757.55
8525.4,7867.98,7757.55
