slack_0,non_interrupt,interrupt
4745.07,2503.71,2503.71
4760.6900000000005,2465.16,2453.14
4763.83,2456.19,2443.33
4724.97,2422.85,2422.8
4696.99,2413.4,2413.4
4651.83,2413.4,2413.4
4593.89,2413.4,2413.4
4514.4400000000005,2413.4,2413.4
4417.62,2413.4,2413.4
4314.79,2413.4,2413.4
4225.05,2413.4,2413.4
4114.72,2413.4,2413.4
3993.4500000000003,2413.4,2413.4
3834.67,2413.4,2390.44
3690.54,2413.4,2385.8
3597.53,2413.4,2363.49
3472.7400000000002,2413.4,2363.49
3338.26,2413.4,2363.49
3215.17,2413.4,2363.49
3078.1,2413.4,2363.49
2948.35,2413.4,2361.24
2828.4900000000002,2413.4,2361.24
2697.2400000000002,2413.4,2361.24
2592.77,2413.4,2361.24
2503.71,2413.4,2359.39
2465.16,2413.4,2359.39
2456.19,2413.4,2348.14
2422.85,2413.4,2348.14
2413.4,2413.4,2348.14
2432.37,2432.37,2351.1
2449.9,2449.9,2351.1
2507.35,2507.35,2380.36
2568.24,2568.24,2416.07
2649.8,2649.8,2467.61
2725.19,2723.79,2517.54
2801.75,2723.79,2559.49
2857.3,2723.79,2599.03
2863.08,2723.79,2619.95
2858.01,2723.79,2599.21
2842.14,2723.79,2574.35
2835.2200000000003,2723.79,2563.91
2837.14,2723.79,2563.91
2852.1,2723.79,2563.29
2847.56,2723.79,2510.0
2822.7,2684.53,2448.22
2793.85,2595.46,2409.5
2787.23,2493.04,2361.32
2760.01,2386.81,2307.54
2738.45,2318.75,2266.5
2751.12,2288.68,2251.57
2733.43,2288.68,2246.69
2749.44,2288.68,2239.52
2768.6,2277.43,2226.0
2750.67,2268.9,2226.0
2723.79,2232.11,2201.85
2725.97,2232.11,2170.52
2766.73,2232.11,2150.93
2815.91,2232.11,2136.52
2850.23,2232.11,2136.52
2892.27,2232.11,2136.52
2918.85,2232.11,2136.52
2921.3199999999997,2232.11,2136.52
2915.99,2232.11,2136.52
2890.99,2232.11,2136.52
2860.92,2232.11,2136.52
2871.73,2232.11,2136.52
2864.42,2232.11,2136.52
2786.52,2232.11,2136.52
2684.53,2232.11,2136.52
2595.46,2232.11,2136.52
2493.04,2232.11,2136.52
2386.81,2232.11,2136.52
2318.75,2232.11,2136.52
2288.68,2232.11,2136.52
2293.63,2232.11,2136.52
2295.45,2232.11,2136.61
2277.43,2232.11,2136.61
2268.9,2232.11,2136.61
2232.11,2232.11,2136.61
2236.27,2236.27,2165.64
2254.41,2253.49,2214.78
2253.4900000000002,2253.49,2253.49
2304.32,2304.32,2304.32
2405.24,2405.24,2400.38
2521.53,2521.53,2489.0
2638.24,2638.24,2562.1
2780.23,2780.23,2641.98
2946.08,2946.08,2738.44
3116.65,3116.65,2846.3
3271.79,3271.79,2935.42
3466.2,3466.2,3061.53
3675.5,3675.5,3203.63
3887.4,3804.59,3347.41
4089.05,3804.59,3490.4
4237.26,3804.59,3605.54
4328.2,3804.59,3686.92
4405.66,3804.59,3743.86
4457.8,3804.59,3790.22
4445.37,3804.59,3798.81
4406.37,3804.59,3792.5
4350.14,3804.59,3792.5
4241.2699999999995,3804.59,3788.89
4123.53,3804.59,3784.53
4045.23,3804.59,3784.53
3944.21,3804.59,3780.24
3882.89,3804.59,3734.77
3826.08,3804.59,3639.57
3816.52,3804.59,3527.01
3804.59,3804.59,3388.24
3820.48,3737.23,3307.43
3865.17,3600.73,3223.48
3921.46,3472.89,3134.09
4002.91,3278.27,2989.49
4133.52,3087.06,2884.64
4273.38,2893.95,2779.36
4358.52,2693.97,2633.87
4452.53,2480.54,2480.54
4525.27,2324.51,2324.51
4613.31,2224.49,2224.49
4668.0,2152.95,2144.52
4715.97,2112.49,2066.02
4743.67,2083.5,2045.46
4734.75,2083.5,2045.46
4707.29,2083.5,2045.46
4675.86,2083.5,2045.46
4631.61,2083.5,2045.46
4579.58,2083.5,2045.46
4548.93,2083.5,2045.46
4515.02,2083.5,2045.46
4424.38,2083.5,2045.46
4275.3,2083.5,2045.46
4108.05,2083.5,2045.46
3900.29,2083.5,2045.46
3737.23,2083.5,2045.46
3600.73,2083.5,2045.46
3472.89,2083.5,2045.46
3278.27,2083.5,2045.46
3087.06,2083.5,2045.46
2893.95,2083.5,2045.46
2693.9700000000003,2083.5,2045.46
2480.54,2083.5,2045.46
2324.51,2083.5,2045.46
2224.49,2083.5,2045.46
2152.95,2083.5,2045.46
2112.49,2083.5,2082.84
2083.5,2083.5,2082.84
2092.72,2092.72,2082.84
2105.75,2105.75,2095.7
2177.32,2177.32,2168.56
2257.91,2257.91,2249.15
2339.96,2339.96,2339.96
2472.71,2472.71,2465.02
2648.56,2648.56,2614.32
2828.71,2828.71,2753.23
3005.48,3005.48,2889.16
3172.2799999999997,3172.28,3015.38
3321.76,3321.76,3146.33
3393.88,3393.88,3222.67
3436.52,3436.52,3268.28
3482.91,3482.91,3323.02
3529.0299999999997,3529.03,3382.79
3576.22,3576.22,3439.82
3627.81,3610.55,3501.49
3633.77,3610.55,3512.17
3624.0299999999997,3610.55,3512.17
3614.45,3610.55,3512.17
3610.55,3610.55,3512.17
3612.24,3612.24,3512.17
3637.5299999999997,3637.53,3465.28
3680.79,3680.79,3439.58
3719.44,3711.61,3406.05
3741.93,3633.7,3361.65
3751.84,3556.67,3319.72
3761.68,3466.2,3248.44
3764.46,3331.38,3123.7
3784.65,3153.82,2970.06
3817.79,2967.07,2812.69
3835.34,2777.93,2662.93
3840.22,2571.98,2521.39
3816.52,2377.0,2377.0
3795.5699999999997,2277.22,2270.93
3781.1,2178.56,2177.17
3772.94,2044.24,2044.24
3783.96,1931.71,1930.8
3809.15,1843.19,1843.19
3818.5,1791.7,1791.7
3825.8,1784.66,1782.29
3829.53,1784.66,1782.29
3824.23,1784.66,1782.29
3827.6,1784.66,1782.29
3853.7,1784.66,1782.29
3888.5,1784.66,1782.29
3830.12,1784.66,1782.29
3775.63,1784.66,1782.29
3711.61,1784.66,1782.29
3633.7,1784.66,1782.29
3556.67,1784.66,1782.29
3466.2,1784.66,1782.29
3331.38,1784.66,1782.29
3153.82,1784.66,1782.29
2967.07,1784.66,1782.29
2777.93,1784.66,1782.29
2571.98,1784.66,1782.29
2377.0,1784.66,1782.29
2277.22,1784.66,1782.29
2178.56,1784.66,1782.29
2044.24,1784.66,1782.29
1931.71,1784.66,1782.29
1843.19,1784.66,1782.29
1791.7,1784.66,1782.29
1784.6599999999999,1784.66,1784.66
1834.23,1834.23,1833.45
1909.21,1909.21,1883.4
2046.1100000000001,2046.11,1926.07
2211.48,2211.48,1974.83
2389.14,2389.14,2027.14
2555.03,2512.53,2075.43
2695.66,2512.53,2121.25
2884.93,2512.53,2208.22
3048.46,2512.53,2291.56
3174.51,2512.53,2322.98
3293.94,2512.53,2368.62
3429.58,2512.53,2424.23
3515.48,2512.53,2430.57
3574.7,2512.53,2367.31
3545.45,2466.59,2296.87
3470.21,2402.55,2229.79
3386.96,2334.1,2163.79
3313.81,2275.11,2105.39
3243.0,2204.06,2063.46
3158.8,2111.44,2026.59
3080.5,2072.28,2016.15
2994.31,2072.28,2015.77
2899.46,2072.28,2015.77
2825.73,2001.87,1970.9
2747.38,1993.6,1969.14
2671.0099999999998,1993.6,1969.14
2616.44,1993.6,1969.14
2582.87,1993.6,1969.14
2551.45,1993.6,1969.14
2512.53,1993.6,1969.14
2512.71,1993.6,1969.14
2542.13,1993.6,1969.14
2558.12,1993.6,1942.16
2549.68,1993.6,1887.9
2571.3,1993.6,1834.02
2578.5,1993.6,1775.13
2577.29,1993.6,1735.49
2527.16,1993.6,1701.25
2466.59,1993.6,1692.0
2402.5499999999997,1993.6,1692.0
2334.1,1969.88,1692.0
2275.11,1904.95,1692.0
2204.06,1840.25,1692.0
2111.44,1803.59,1692.0
2072.2799999999997,1803.59,1692.0
2086.85,1803.59,1692.0
2075.12,1803.59,1692.0
2001.87,1803.59,1692.0
1993.6,1803.59,1692.0
2050.21,1803.59,1696.01
2125.03,1803.59,1714.65
2210.35,1803.59,1734.18
2286.54,1803.59,1755.55
2375.84,1803.59,1770.58
2433.65,1803.59,1774.34
2470.78,1803.59,1778.66
2445.91,1803.59,1778.66
2383.76,1803.59,1778.66
2317.88,1803.59,1778.66
2289.29,1803.59,1797.43
2223.82,1803.59,1797.43
2146.23,1803.59,1797.43
2080.8,1803.59,1797.43
2016.15,1803.59,1797.43
1969.88,1803.59,1797.43
1904.95,1803.59,1797.43
1840.25,1803.59,1797.43
1803.59,1803.59,1797.43
1806.51,1806.51,1803.03
1859.03,1859.03,1830.92
1918.01,1918.01,1857.84
1971.21,1971.21,1896.93
2075.85,2075.85,1945.65
2187.98,2187.98,1994.75
2266.85,2266.85,2025.06
2335.31,2268.02,2049.41
2387.94,2268.02,2065.89
2447.13,2268.02,2086.78
2536.8,2268.02,2129.32
2627.83,2268.02,2164.33
2714.84,2268.02,2198.53
2811.75,2268.02,2214.37
2869.58,2268.02,2227.99
2923.38,2268.02,2268.02
2920.84,2268.02,2268.02
2876.2400000000002,2268.02,2268.02
2863.87,2268.02,2268.02
2839.26,2268.02,2268.02
2816.13,2268.02,2268.02
2765.16,2268.02,2268.02
2710.2400000000002,2268.02,2268.02
2660.07,2268.02,2268.02
2575.7400000000002,2268.02,2268.02
2454.2,2268.02,2268.02
2364.31,2268.02,2268.02
2296.4,2268.02,2268.02
2268.02,2268.02,2268.02
2366.41,2366.41,2313.08
2471.63,2471.63,2350.23
2589.76,2589.76,2405.42
2718.65,2718.65,2467.66
2848.74,2848.74,2551.68
2975.64,2975.64,2632.52
3061.78,3061.78,2700.45
3154.96,3154.96,2771.06
3270.56,3270.56,2836.65
3395.3,3282.74,2876.38
3495.31,3282.74,2903.87
3562.55,3272.21,2893.05
3540.13,3139.75,2811.53
3486.36,3015.18,2748.09
3401.59,2912.87,2704.96
3326.2200000000003,2824.61,2674.93
3294.29,2740.01,2637.41
3282.7400000000002,2607.82,2566.47
3326.25,2550.63,2550.63
3392.56,2542.0,2542.0
3422.43,2529.42,2525.14
3440.59,2520.84,2486.62
3483.63,2520.84,2474.35
3530.64,2520.84,2461.44
3581.58,2520.84,2461.44
3642.71,2520.84,2461.44
3726.26,2520.84,2461.44
3793.21,2520.84,2461.44
3823.61,2520.84,2461.44
3836.05,2520.84,2461.44
3784.77,2520.84,2461.44
3695.89,2520.84,2461.44
3616.01,2520.84,2461.44
3512.84,2520.84,2461.44
3397.28,2520.84,2461.44
3272.21,2520.84,2461.44
3139.75,2520.84,2461.44
3015.18,2520.84,2461.44
2912.87,2520.84,2461.44
2824.61,2520.84,2461.44
2740.01,2520.84,2461.44
2607.82,2520.84,2461.44
2550.63,2520.84,2461.44
2542.0,2520.84,2461.44
2529.42,2520.84,2461.44
2520.84,2520.84,2485.06
2546.78,2546.78,2477.29
2571.87,2571.87,2475.4
2627.66,2627.66,2500.23
2674.03,2674.03,2515.43
2714.89,2714.89,2520.57
2755.01,2755.01,2511.77
2821.35,2821.35,2502.3
2951.63,2790.67,2519.15
3050.8599999999997,2734.72,2521.37
3139.92,2673.27,2517.57
3229.66,2623.01,2528.43
3334.84,2602.96,2557.61
3413.2999999999997,2602.96,2533.47
3479.48,2602.96,2522.04
3511.49,2602.96,2497.53
3593.2799999999997,2583.03,2462.0
3676.97,2567.68,2451.74
3756.54,2543.31,2425.2
3813.35,2507.4,2386.55
3812.2,2479.5,2343.41
3784.29,2393.01,2282.23
3748.63,2335.25,2236.02
3726.68,2286.12,2218.07
3670.73,2235.88,2189.15
3558.56,2210.68,2156.04
3465.4,2195.65,2147.77
3402.43,2195.65,2147.77
3289.47,2195.65,2147.77
3170.06,2195.65,2147.77
3035.57,2195.65,2147.77
2902.95,2195.65,2147.77
2790.67,2195.65,2139.72
2734.72,2195.65,2129.78
2673.27,2195.65,2126.41
2623.01,2195.65,2119.05
2602.96,2195.65,2119.05
2612.53,2195.65,2121.35
2628.08,2195.65,2121.87
2615.73,2195.65,2121.87
2583.03,2195.65,2121.87
2567.68,2195.65,2109.77
2543.31,2195.65,2109.77
2507.4,2195.65,2089.14
2479.5,2195.65,2089.14
2393.01,2195.65,2089.14
2335.25,2195.65,2089.14
2286.12,2195.65,2089.14
2235.88,2195.65,2089.14
2210.68,2195.65,2089.14
2195.65,2195.65,2089.14
2213.47,2213.47,2089.14
2276.21,2276.21,2089.14
2302.94,2302.94,2089.14
2316.1,2316.1,2089.14
2341.9,2341.9,2094.13
2353.84,2353.84,2107.37
2377.91,2377.91,2148.44
2394.66,2387.8,2178.25
2387.8,2387.8,2196.87
2419.36,2392.91,2228.43
2470.73,2392.91,2266.67
2532.96,2392.91,2288.1
2558.78,2392.91,2288.1
2511.53,2392.91,2288.1
2446.61,2392.91,2288.1
2434.35,2392.91,2295.0
2392.91,2392.91,2308.13
2403.9,2403.9,2370.0
2440.06,2440.06,2440.06
2514.61,2514.61,2514.61
2643.36,2643.36,2643.36
2766.4900000000002,2766.49,2761.1
2893.9,2893.9,2864.74
3011.27,3011.27,2939.11
3121.39,3121.39,3015.38
3296.39,3296.39,3138.58
3511.09,3511.09,3291.76
3708.18,3708.18,3432.12
3940.97,3940.97,3607.3
4129.95,4063.53,3703.28
4274.52,3988.82,3736.84
4352.87,3870.62,3682.87
4386.88,3737.33,3565.27
4420.2,3592.54,3420.76
4426.63,3401.95,3234.12
4417.25,3185.25,3040.36
4419.67,2963.07,2854.82
4399.57,2733.93,2667.68
4368.58,2493.92,2454.95
4333.03,2247.89,2229.77
4277.8,2006.46,2006.46
4215.97,1844.2,1844.2
4179.67,1741.67,1741.67
4165.55,1674.31,1674.31
4147.23,1638.48,1638.48
4114.19,1607.99,1607.99
4104.91,1589.19,1588.64
4107.16,1589.19,1582.49
4111.7699999999995,1589.19,1582.49
4118.11,1589.19,1582.49
4110.38,1589.19,1582.49
4097.08,1589.19,1582.49
4094.7,1589.19,1582.49
4063.5299999999997,1589.19,1582.49
3988.8199999999997,1589.19,1582.49
3870.62,1589.19,1582.49
3737.33,1589.19,1582.49
3592.54,1589.19,1582.49
3401.95,1589.19,1582.49
3185.25,1589.19,1582.49
2963.0699999999997,1589.19,1582.49
2733.93,1589.19,1582.49
2493.92,1589.19,1582.49
2247.89,1589.19,1582.49
2006.46,1589.19,1582.49
1844.2,1589.19,1582.49
1741.67,1589.19,1582.49
1674.31,1589.19,1582.49
1638.48,1589.19,1582.49
1607.99,1589.19,1582.49
1589.19,1589.19,1582.49
1594.16,1594.16,1594.16
1630.32,1630.32,1630.32
1718.45,1718.45,1713.65
1846.16,1846.16,1827.61
1967.81,1967.81,1962.3
2101.78,2101.78,2101.78
2230.39,2230.39,2230.39
2344.72,2344.72,2344.72
2490.7,2490.7,2490.7
2642.44,2642.44,2642.44
2817.3,2817.3,2808.37
3024.97,3024.97,2975.05
3241.29,3241.29,3103.44
3421.13,3421.13,3136.91
3528.99,3528.99,3077.51
3611.99,3611.99,3062.06
3731.05,3649.93,3051.64
3819.41,3504.9,3085.53
3885.37,3394.48,3116.12
3946.86,3317.02,3160.82
3982.76,3282.29,3194.89
3999.19,3231.04,3206.41
4008.46,3193.91,3193.91
4018.73,3193.91,3187.65
4023.67,3193.91,3187.65
4047.48,3193.91,3186.84
4080.85,3193.91,3186.84
4167.42,3193.91,3171.04
4244.1,3193.91,3146.77
4334.66,3193.91,3144.56
4409.71,3193.91,3141.47
4470.38,3193.91,3137.46
4503.28,3193.91,3105.56
4549.62,3193.91,3063.64
4556.05,3193.91,2967.12
4504.79,3193.91,2836.94
4411.92,3187.26,2697.64
4241.74,3038.79,2578.09
4041.11,2899.85,2483.36
3856.09,2757.91,2371.31
3649.93,2607.88,2241.49
3504.9,2459.45,2137.23
3394.48,2334.02,2090.97
3317.02,2209.05,2053.84
3282.29,2132.76,2038.34
3231.04,2084.98,2038.34
3193.91,2079.5,2032.86
3203.58,2079.5,2014.94
3249.03,2079.5,2014.94
3352.95,2079.5,2014.94
3507.86,2079.5,2046.26
3585.02,2079.5,2046.26
3662.58,2079.5,2046.26
3699.64,2079.5,2046.26
3712.33,2079.5,2046.26
3706.95,2079.5,2046.26
3660.45,2079.5,2046.26
3602.6,2079.5,2046.26
3500.14,2079.5,2046.26
3358.5299999999997,2079.5,2046.26
3187.2599999999998,2079.5,2046.26
3038.79,2079.5,2046.26
2899.85,2079.5,2046.26
2757.91,2079.5,2046.26
2607.88,2079.5,2046.26
2459.45,2079.5,2046.26
2334.02,2079.5,2046.26
2209.05,2079.5,2046.26
2132.76,2079.5,2046.26
2084.98,2079.5,2046.26
2079.5,2079.5,2046.26
2090.04,2090.04,2074.72
2136.48,2136.48,2136.48
2204.41,2204.41,2204.41
2265.39,2265.39,2265.39
2385.74,2385.74,2383.44
2525.7,2525.7,2523.4
2646.51,2646.51,2646.51
2766.13,2766.13,2766.13
2898.32,2898.32,2898.32
3039.64,3039.64,3027.31
3181.58,3181.58,3142.09
3350.82,3350.82,3271.07
3535.63,3535.63,3422.8
3712.4900000000002,3712.49,3558.33
3855.57,3855.57,3656.12
3987.94,3987.94,3748.46
4073.54,4073.54,3805.19
4159.65,4129.86,3850.57
4217.97,4129.86,3912.95
4253.58,4129.86,3959.06
4279.69,4129.86,3994.68
4267.36,4129.86,3994.46
4240.62,4129.86,3985.92
4205.37,4129.86,3985.92
4190.46,4129.86,3975.75
4159.45,4096.33,3957.76
4129.86,4006.17,3875.24
4137.36,3907.41,3805.16
4167.21,3817.21,3725.4
4201.38,3694.56,3591.89
4257.93,3526.82,3442.92
4299.57,3365.31,3298.29
4313.94,3211.46,3156.15
4317.69,3078.46,3035.26
4329.2,2927.09,2890.93
4346.69,2772.59,2762.64
4351.58,2639.57,2639.57
4364.24,2526.59,2526.59
4358.05,2493.21,2481.26
4339.2,2450.48,2448.62
4289.8,2404.42,2404.42
4214.9,2402.95,2380.87
4174.83,2399.71,2341.78
4150.07,2399.71,2341.78
4146.35,2399.71,2341.78
4154.71,2399.71,2341.78
4150.24,2399.71,2341.78
4153.53,2399.71,2341.78
4130.8,2399.71,2341.78
4096.33,2399.71,2341.78
4006.17,2399.71,2341.78
3907.41,2399.71,2341.78
3817.21,2399.71,2341.78
3694.56,2399.71,2341.78
3526.82,2399.71,2341.78
3365.31,2399.71,2341.78
3211.46,2399.71,2341.78
3078.46,2399.71,2341.78
2927.09,2399.71,2341.78
2772.59,2399.71,2341.78
2639.57,2399.71,2341.78
2526.59,2399.71,2341.78
2493.21,2399.71,2341.78
2450.48,2399.71,2341.78
2404.42,2399.71,2341.78
2402.95,2399.71,2361.26
2399.71,2399.71,2399.71
2452.96,2452.96,2452.96
2520.81,2520.81,2495.86
2578.2400000000002,2578.24,2484.66
2711.3,2711.3,2499.53
2838.4300000000003,2838.43,2491.34
2980.18,2980.18,2461.75
3108.5,3108.5,2441.01
3217.71,3036.26,2416.77
3332.67,2864.77,2390.46
3482.21,2693.48,2392.08
3650.26,2562.91,2391.49
3823.9,2449.56,2416.48
3920.22,2363.81,2363.81
3983.62,2311.09,2311.09
4026.06,2287.55,2268.45
4030.86,2273.99,2247.49
4041.18,2273.99,2247.49
4049.0,2273.99,2246.81
4077.63,2273.99,2246.81
4125.95,2273.99,2221.37
4156.17,2273.99,2194.65
4179.54,2258.54,2175.17
4141.47,2224.59,2143.92
4106.17,2184.47,2118.0
4042.93,2147.9,2079.11
3954.58,2125.39,2048.87
3843.51,2108.48,2012.36
3720.52,2087.87,1991.75
3574.88,2072.32,1991.75
3395.72,2037.88,1974.12
3218.03,2015.22,1974.12
3036.26,2015.22,1974.12
2864.77,2015.22,1974.12
2693.48,2015.22,1974.12
2562.91,2015.22,1974.12
2449.56,2015.22,1974.12
2363.81,2015.22,1974.12
2311.09,2015.22,1974.12
2287.55,2015.22,1974.12
2273.99,2015.22,1974.12
2287.46,2015.22,1974.12
2314.77,2015.22,1984.62
2340.46,2015.22,1984.62
2317.72,2015.22,1984.62
2292.53,2015.22,1984.62
2258.54,2015.22,1984.62
2224.59,2015.22,1984.62
2184.4700000000003,2015.22,1984.62
2147.9,2015.22,1984.62
2125.39,2015.22,1988.55
2108.48,2015.22,2009.37
2087.87,2015.22,2015.22
2072.32,2015.22,2015.22
2037.88,2015.22,2015.22
2015.22,2015.22,2015.22
2034.0,2034.0,2034.0
2066.9700000000003,2066.97,2059.53
2142.17,2142.17,2081.75
2246.74,2246.74,2121.31
2340.41,2340.41,2169.16
2454.66,2454.66,2234.47
2513.64,2513.64,2294.31
2559.02,2559.02,2366.35
2608.32,2608.32,2425.89
2642.63,2624.74,2461.16
2678.28,2624.74,2523.19
2711.7400000000002,2624.74,2538.61
2745.35,2624.74,2559.34
2771.44,2624.74,2581.05
2750.77,2624.74,2581.05
2705.56,2624.74,2581.05
2672.82,2624.74,2581.05
2624.74,2624.74,2581.05
2636.55,2636.55,2560.14
2665.7,2665.7,2541.62
2695.84,2630.26,2499.54
2736.2200000000003,2550.6,2441.21
2840.61,2478.0,2396.18
2926.12,2408.27,2308.41
3007.96,2348.39,2235.65
3077.54,2263.23,2165.47
3156.46,2186.79,2099.77
3226.92,2082.0,2036.16
3302.1400000000003,2014.94,1990.65
3384.38,1963.3,1963.3
3448.2200000000003,1930.06,1930.06
3493.5,1930.06,1929.96
