slack_0,non_interrupt,interrupt
2912.35,2810.61,2716.43
2870.59,2810.61,2716.43
2835.11,2810.61,2716.43
2811.21,2807.27,2716.43
2810.61,2807.27,2716.43
2819.38,2807.27,2716.43
2834.45,2807.27,2716.43
2863.24,2807.27,2716.43
2891.04,2807.27,2717.23
2925.88,2807.27,2726.25
2956.99,2807.27,2732.2
2984.94,2807.27,2742.4
3018.23,2807.27,2760.94
3051.82,2807.27,2779.73
3079.59,2807.27,2796.06
3095.99,2807.27,2807.27
3094.54,2807.27,2807.27
3085.83,2807.27,2807.27
3057.27,2807.27,2807.27
3022.81,2807.27,2807.27
2990.58,2807.27,2807.27
2955.19,2807.27,2807.27
2915.89,2807.27,2807.27
2882.43,2807.27,2807.27
2851.05,2807.27,2807.27
2825.56,2807.27,2807.27
2812.46,2807.27,2807.27
2807.27,2807.27,2807.27
2808.2400000000002,2808.24,2808.24
2818.64,2818.64,2813.37
2849.7200000000003,2849.72,2839.19
2890.1800000000003,2890.18,2870.52
2929.1400000000003,2929.14,2901.71
2976.3,2976.3,2938.24
3023.29,3023.29,2975.62
3067.81,3067.81,3013.88
3104.4900000000002,3104.49,3045.97
3136.06,3136.06,3071.53
3160.3900000000003,3143.15,3087.94
3178.36,3143.15,3102.6
3193.71,3143.15,3117.95
3201.09,3143.15,3122.89
3199.29,3143.15,3111.46
3190.45,3143.15,3098.56
3177.12,3143.15,3089.66
3163.03,3143.15,3083.79
3154.6400000000003,3143.15,3083.79
3149.48,3143.15,3083.79
3143.35,3143.15,3083.79
3143.15,3143.15,3083.79
3151.88,3151.88,3083.79
3172.89,3172.89,3083.79
3192.52,3192.52,3083.79
3212.05,3212.05,3083.79
3238.85,3217.42,3092.18
3266.12,3217.42,3105.24
3285.08,3217.42,3124.2
3311.11,3217.42,3140.26
3345.54,3217.42,3154.53
3378.83,3217.42,3169.0
3417.75,3217.42,3189.51
3439.7,3217.42,3202.09
3444.05,3217.42,3202.53
3431.98,3217.42,3192.73
3416.75,3217.42,3179.17
3394.78,3217.42,3166.28
3358.35,3217.42,3134.37
3326.84,3217.42,3099.25
3312.31,3217.42,3070.28
3287.99,3193.18,3035.83
3267.83,3140.59,3000.54
3244.56,3087.77,2967.36
3228.55,3043.29,2946.32
3221.57,3008.06,2939.16
3217.42,2989.43,2939.16
3224.38,2982.78,2939.16
3241.4,2982.78,2939.16
3266.26,2982.78,2939.16
3299.62,2982.78,2952.95
3329.7000000000003,2982.78,2964.76
3355.71,2982.78,2965.59
3378.67,2982.78,2966.87
3390.31,2982.78,2966.87
3404.76,2982.78,2966.87
3409.19,2982.78,2966.87
3415.58,2982.78,2964.16
3417.84,2982.78,2950.81
3405.2400000000002,2982.78,2930.72
3385.54,2982.78,2909.34
3363.16,2982.78,2891.28
3323.27,2982.78,2866.17
3277.88,2982.78,2836.35
3237.43,2950.89,2807.24
3193.18,2904.69,2777.45
3140.59,2852.69,2750.24
3087.77,2811.13,2734.44
3043.29,2783.33,2733.63
3008.06,2778.06,2733.63
2989.43,2778.06,2733.63
2982.7799999999997,2778.06,2733.63
2983.86,2778.06,2733.63
2990.51,2778.06,2733.63
3013.07,2778.06,2733.63
3041.23,2778.06,2734.82
3056.5,2778.06,2734.82
3079.07,2778.06,2739.66
3110.86,2778.06,2747.98
3143.85,2778.06,2764.56
3166.39,2778.06,2775.96
3173.7599999999998,2778.06,2778.06
3159.97,2778.06,2778.06
3137.0099999999998,2778.06,2778.06
3106.67,2778.06,2778.06
3074.5299999999997,2778.06,2778.06
3037.54,2778.06,2778.06
2992.89,2778.06,2778.06
2950.89,2778.06,2778.06
2904.69,2778.06,2778.06
2852.69,2778.06,2778.06
2811.13,2778.06,2778.06
2783.33,2778.06,2778.06
2778.06,2778.06,2778.06
2791.1,2791.1,2784.16
2814.73,2814.73,2799.64
2842.67,2842.67,2820.53
2867.9,2867.9,2841.14
2895.77,2895.77,2871.49
2940.18,2940.18,2911.81
2997.92,2997.92,2959.21
3062.51,3062.51,3009.73
3135.25,3135.25,3059.04
3205.17,3205.17,3098.78
3264.16,3212.72,3126.35
3303.54,3212.72,3135.28
3328.37,3212.72,3137.52
3338.13,3212.72,3143.2
3337.59,3212.72,3141.2
3332.97,3212.72,3135.85
3337.82,3212.72,3135.42
3332.18,3212.72,3123.98
3316.62,3203.28,3106.82
3297.74,3184.36,3097.98
3271.7200000000003,3166.65,3089.22
3247.25,3153.05,3086.79
3226.7,3142.98,3086.79
3213.63,3131.15,3086.79
3212.7200000000003,3131.15,3086.79
3229.3,3131.15,3086.79
3246.7,3131.15,3086.79
3281.1,3131.15,3089.64
3311.02,3131.15,3091.6
3334.35,3131.15,3097.38
3353.7,3131.15,3107.32
3370.29,3131.15,3119.39
3382.02,3131.15,3129.79
3384.21,3131.15,3131.15
3384.83,3131.15,3131.15
3379.27,3131.15,3131.15
3363.9700000000003,3131.15,3131.15
3343.91,3131.15,3122.07
3325.05,3131.15,3107.3
3289.92,3131.15,3087.87
3254.7200000000003,3131.15,3071.21
3225.59,3131.15,3055.08
3203.28,3131.15,3045.49
3184.36,3131.15,3032.07
3166.65,3131.15,3017.36
3153.05,3091.18,3000.99
3142.98,3046.03,2984.58
3131.15,3001.29,2968.3
3134.51,2970.02,2957.6
3141.19,2962.77,2957.6
3162.07,2962.77,2957.6
3186.31,2962.77,2957.6
3215.45,2962.77,2957.6
3245.34,2962.77,2958.97
3272.11,2962.77,2961.16
3303.26,2962.77,2961.16
3338.51,2962.77,2962.77
3371.62,2962.77,2962.77
3390.36,2962.77,2962.77
3409.99,2962.77,2962.77
3410.06,2962.77,2962.77
3395.06,2962.77,2962.77
3367.03,2962.77,2962.06
3331.66,2962.77,2962.06
3294.55,2962.77,2948.55
3258.66,2962.77,2942.44
3231.74,2962.77,2934.46
3190.16,2962.77,2931.6
3143.42,2962.77,2931.6
3091.18,2962.77,2931.6
3046.03,2962.77,2931.6
3001.29,2962.77,2931.6
2970.02,2962.77,2931.6
2962.77,2962.77,2931.6
2969.67,2969.67,2931.6
2993.04,2993.04,2934.21
3020.43,3020.43,2939.13
3047.9,3047.9,2945.45
3065.18,3065.18,2947.79
3091.99,3087.27,2957.74
3126.45,3087.27,2972.55
3168.42,3087.27,2991.22
3210.19,3087.27,3014.62
3250.76,3087.27,3039.23
3277.08,3087.27,3061.85
3285.98,3087.27,3076.5
3278.37,3087.27,3083.61
3266.82,3087.27,3083.9
3233.27,3087.27,3083.9
3207.87,3087.27,3083.9
3182.61,3087.27,3084.39
3156.69,3087.27,3084.39
3132.67,3087.27,3084.39
3108.7799999999997,3087.27,3084.39
3093.82,3087.27,3084.39
3087.27,3087.27,3084.39
3095.54,3095.54,3087.89
3110.64,3110.64,3097.76
3129.3199999999997,3129.32,3116.87
3146.59,3146.59,3133.2
3182.18,3182.18,3166.99
3210.42,3210.42,3195.23
3244.88,3244.88,3227.72
3286.62,3286.62,3259.77
3330.2999999999997,3330.3,3285.63
3384.88,3384.88,3307.26
3426.66,3426.66,3326.19
3460.25,3460.25,3340.65
3480.2,3480.2,3354.63
3496.0,3496.0,3370.43
3507.27,3496.66,3392.2
3506.33,3496.66,3413.65
3499.59,3496.66,3418.12
3496.66,3496.66,3412.52
3509.58,3509.58,3407.93
3517.35,3513.64,3394.91
3519.06,3513.64,3367.34
3513.64,3513.64,3347.82
3535.19,3535.19,3330.32
3577.7200000000003,3522.78,3323.0
3619.11,3477.67,3323.0
3654.14,3446.65,3323.0
3699.38,3419.1,3330.02
3745.19,3406.31,3348.22
3781.11,3406.31,3373.33
3814.5,3406.31,3394.92
3832.36,3406.31,3400.96
3863.05,3406.31,3403.74
3900.32,3406.31,3403.74
3943.84,3406.31,3403.74
3967.2,3406.31,3403.74
3959.52,3406.31,3403.74
3957.84,3406.31,3403.74
3957.35,3406.31,3400.68
3952.98,3406.31,3390.15
3943.63,3406.31,3374.9
3918.92,3406.31,3366.56
3882.86,3406.31,3365.13
3847.49,3406.31,3365.13
3796.01,3406.31,3362.29
3729.46,3406.31,3362.29
3655.29,3406.31,3361.87
3579.79,3406.31,3361.87
3522.7799999999997,3406.31,3361.87
3477.67,3406.31,3361.87
3446.65,3406.31,3361.87
3419.1,3406.31,3361.87
3406.31,3406.31,3361.87
3424.35,3424.35,3368.59
3448.61,3448.61,3388.26
3473.41,3473.41,3405.43
3504.89,3504.89,3423.04
3550.81,3531.62,3446.42
