slack_0,non_interrupt,interrupt
282.05,238.8,231.77
280.61,238.8,231.77
279.53,238.8,231.77
278.24,238.8,231.77
277.65,238.8,231.77
277.01,238.8,231.77
277.03,238.8,231.77
277.38,238.8,231.77
277.81,238.8,231.77
278.07,238.8,231.77
278.09,238.8,231.77
278.26,238.8,231.77
278.32,238.8,231.77
279.1,238.8,231.77
280.33,238.8,231.77
282.64,238.8,231.77
284.47,238.8,231.77
285.75,238.8,231.77
286.44,238.8,231.77
286.13,238.8,231.77
285.58,238.8,231.77
284.87,238.8,231.77
284.52,238.8,231.77
284.13,238.8,231.77
283.21,238.8,231.77
281.4,238.8,231.77
279.01,238.8,231.77
275.35,238.8,231.77
272.24,238.8,231.77
270.12,238.8,231.77
268.51,238.8,231.77
267.24,238.8,231.77
266.44,238.8,231.77
265.96,238.8,231.77
265.78,238.8,231.77
266.51,238.8,231.77
267.55,238.8,231.77
268.91,238.8,231.77
270.41,238.8,231.77
272.05,238.8,231.77
273.61,238.8,231.77
274.90999999999997,238.8,231.77
275.71,238.8,231.77
276.15999999999997,238.8,231.77
275.28,238.8,231.77
274.02,238.8,231.77
272.33,238.8,231.77
269.45,238.8,231.77
267.03,238.8,231.77
265.44,238.8,231.77
264.48,238.8,231.77
263.39,238.8,231.77
261.7,238.8,231.77
260.29,238.8,231.77
259.02,238.8,231.77
259.21999999999997,238.8,231.77
260.63,238.8,231.77
262.5,238.8,231.77
264.57,238.8,231.77
267.22,238.8,231.77
269.69,238.8,231.77
271.04,238.8,231.77
272.23,238.8,231.77
273.7,238.8,231.77
275.38,238.8,231.77
276.56,238.8,231.77
277.28000000000003,238.8,231.77
276.59000000000003,238.8,231.77
274.89,238.8,231.77
272.84000000000003,238.8,231.77
271.18,238.8,231.77
269.69,238.8,231.77
267.98,238.8,231.77
266.41,238.8,231.77
264.4,238.8,231.77
262.14,238.8,231.77
259.87,238.8,231.77
257.94,238.8,231.77
256.6,238.8,231.77
256.09,238.8,231.77
256.32,238.8,231.77
256.92,238.8,231.77
256.81,238.8,231.77
256.65999999999997,238.8,231.77
256.23,238.8,231.77
256.07,238.8,231.77
255.82999999999998,238.8,231.77
255.57,238.8,231.77
255.93,238.8,231.77
256.92,238.8,231.77
257.81,238.8,231.77
258.28,238.8,231.77
258.63,238.8,231.77
258.18,238.8,231.77
257.87,238.8,231.77
256.87,238.8,231.77
255.91,238.8,231.77
254.0,238.8,231.77
253.01,238.8,231.77
252.24,238.8,231.77
250.18,238.8,231.77
246.78,238.8,231.77
243.0,238.8,231.77
240.24,238.8,231.77
238.94,238.8,231.77
238.8,238.8,231.77
239.22,239.08,231.77
239.91,239.08,231.77
240.79,239.08,231.77
242.1,239.08,232.31
241.93,239.08,232.31
240.55,239.08,232.31
239.87,239.08,232.74
240.06,239.08,234.1
240.78,239.08,235.84
241.74,239.08,237.06
241.75,239.08,237.11
241.18,239.08,237.11
240.34,239.08,237.11
239.81,239.08,237.11
239.07999999999998,239.08,237.11
239.32999999999998,239.33,237.11
240.19,240.19,237.19
242.09,242.09,238.22
244.48,244.48,239.52
246.94,246.94,240.87
249.37,247.86,241.74
251.51999999999998,247.86,241.18
253.53,247.86,240.43
255.82999999999998,247.86,239.77
257.77,247.86,239.51
259.58,247.86,239.51
262.15,241.45,239.1
264.96,240.4,238.35
267.98,239.61,237.72
271.21,239.58,237.72
274.24,239.58,237.72
276.96,239.58,237.72
279.31,239.58,237.72
281.03,239.58,237.72
282.83,239.58,237.72
284.3,239.58,237.72
285.78,239.58,237.72
286.19,239.58,237.72
285.45,239.58,237.72
284.2,239.58,237.72
282.63,239.58,237.06
280.7,239.58,237.06
278.05,239.58,237.06
274.82,239.58,237.06
271.24,239.58,237.06
268.25,239.58,237.06
265.84,239.58,237.06
264.12,239.58,237.06
262.83,239.58,237.06
262.9,239.58,237.06
263.63,239.58,237.06
264.64,239.58,237.06
265.94,239.58,237.06
267.26,239.58,237.06
268.65999999999997,239.58,237.06
269.23,239.58,237.06
269.5,239.58,237.06
268.74,239.58,237.06
266.93,239.58,237.06
265.33,239.58,237.06
264.62,239.58,237.06
263.55,239.58,237.06
262.71999999999997,239.58,237.06
261.57,239.58,237.06
260.39,239.58,237.06
259.48,239.58,237.06
259.17,239.58,237.06
260.65,239.58,237.06
263.39,239.58,237.06
266.7,239.58,237.2
270.46,239.58,237.65
273.74,239.58,237.65
276.36,239.58,237.65
278.98,239.58,237.65
281.09000000000003,239.58,237.65
283.73,239.58,237.65
286.68,239.58,237.65
289.77,239.58,237.65
292.51,239.58,237.65
294.76,239.58,237.65
296.15,239.58,237.65
297.24,239.58,237.65
297.76,239.58,237.65
297.41,239.58,237.65
296.37,239.58,237.65
295.14,239.58,237.65
293.79,239.58,237.65
291.82,239.58,237.65
289.73,239.58,237.65
287.34000000000003,239.58,237.65
285.17,239.58,237.65
283.33,239.58,237.65
282.11,239.58,237.65
281.24,239.58,237.65
280.78,239.58,237.65
281.36,239.58,237.65
282.49,239.58,237.65
284.19,239.58,237.65
286.5,239.58,237.65
288.99,239.58,237.65
291.18,239.58,237.65
292.97,239.58,237.65
294.38,239.58,237.65
296.24,239.58,237.65
312.45,239.58,237.65
328.62,239.58,237.65
344.99,239.58,237.65
360.72,239.58,237.65
376.29,239.58,237.65
391.45,239.58,237.65
401.12,239.58,237.65
397.23,239.58,237.65
393.73,239.58,237.65
389.89,239.58,237.65
386.25,239.58,237.65
382.61,239.58,237.65
364.73,239.58,237.65
347.27,239.58,237.65
329.98,239.58,237.65
313.13,239.58,237.65
296.74,239.58,237.65
280.53000000000003,239.58,237.65
270.14,239.58,237.65
272.76,239.58,237.65
275.63,239.58,237.65
279.35,239.58,237.65
282.8,239.58,237.65
285.29,239.58,237.65
286.89,239.58,237.65
287.5,239.58,237.65
287.13,239.58,237.65
286.83,239.58,237.65
301.72,239.58,237.65
312.24,239.58,237.65
310.23,239.58,237.65
308.12,239.58,237.65
305.71,239.58,237.65
302.92,239.58,237.65
300.24,239.58,237.65
298.02,239.58,237.65
296.66,239.58,237.65
296.01,239.58,237.65
296.16,239.58,237.65
296.53000000000003,239.58,237.65
281.0,239.58,237.65
269.45,239.58,237.65
269.55,239.58,237.65
270.29,239.58,237.65
271.0,239.58,237.65
272.16,239.58,237.65
273.37,239.58,237.65
274.22,239.58,237.65
274.56,239.58,237.65
274.28,239.58,236.54
273.25,239.58,234.92
271.79,239.58,232.32
269.86,239.58,230.08
267.8,239.58,229.14
265.72,239.58,229.0
263.24,238.79,228.86
260.11,235.71,228.05
257.47,232.78,227.2
255.05,230.4,226.66
253.04,228.95,226.66
250.81,227.44,226.36
249.26,227.44,226.36
248.32999999999998,227.44,226.36
247.85999999999999,227.44,226.36
248.37,227.44,226.36
249.43,227.44,226.36
250.9,227.44,226.36
252.81,227.44,226.36
255.51,227.44,226.36
257.69,227.44,226.36
259.90999999999997,227.44,226.36
262.3,227.44,226.36
265.14,227.44,226.36
267.86,227.44,226.36
270.15999999999997,227.44,226.36
271.15999999999997,227.44,226.36
271.42,227.44,226.36
271.26,227.44,226.36
270.53999999999996,227.44,226.36
269.14,227.44,226.36
267.43,227.44,226.36
265.74,227.44,226.36
264.1,227.44,226.36
262.34,227.44,226.36
260.89,227.44,226.36
259.26,227.44,226.36
258.21999999999997,227.44,226.36
258.08,227.44,226.36
258.57,227.44,226.36
258.78,227.44,226.36
258.82,227.44,226.36
258.88,227.44,226.36
259.65999999999997,227.44,226.36
260.01,227.44,226.36
260.15,227.44,226.36
260.28,227.44,226.36
260.74,227.44,226.36
