slack_0,non_interrupt,interrupt
1330.8600000000001,830.73,822.7
1301.8700000000001,830.73,822.7
1272.24,830.73,822.7
1244.44,830.73,822.7
1226.16,830.73,822.7
1210.03,830.73,822.7
1201.78,830.73,822.7
1205.6,830.73,822.7
1211.93,830.73,822.7
1214.95,830.73,822.7
1239.07,830.73,822.7
1274.83,830.73,822.7
1293.93,830.73,822.7
1324.77,830.73,822.7
1353.0,830.73,822.7
1376.99,830.73,822.7
1390.28,830.73,822.7
1394.55,830.73,822.7
1388.88,830.73,822.7
1372.51,830.73,822.7
1354.41,830.73,822.7
1338.24,830.73,822.7
1308.95,830.73,822.7
1276.03,830.73,822.7
1248.77,830.73,822.7
1208.19,830.73,822.7
1178.22,830.73,822.7
1143.89,830.73,822.7
1115.47,830.73,822.7
1090.04,830.73,822.7
1062.86,830.73,822.7
1040.86,830.73,822.7
1027.04,830.73,822.7
1020.22,830.73,822.7
1026.55,830.73,822.7
1046.59,830.73,822.7
1063.57,830.73,822.7
1087.56,830.73,823.6
1101.45,830.73,823.6
1119.46,830.73,823.6
1137.61,830.73,823.6
1162.37,830.73,823.6
1193.02,830.73,823.6
1224.72,830.73,823.6
1262.09,830.73,823.6
1304.75,830.73,823.6
1336.79,830.73,823.6
1356.47,830.73,823.6
1377.6599999999999,830.73,823.6
1399.08,830.73,823.6
1426.73,830.73,823.6
1465.4,830.73,823.6
1505.99,830.73,823.6
1549.59,830.73,823.6
1586.42,830.73,823.6
1615.76,830.73,823.6
1646.74,830.73,823.6
1675.46,830.73,823.6
1707.31,830.73,823.6
1749.57,830.73,823.6
1808.3,830.73,823.6
1851.44,830.73,823.6
1882.72,830.73,823.6
1895.5,830.73,823.6
1911.45,830.73,823.6
1925.4299999999998,830.73,823.6
1942.96,830.73,823.6
1958.74,830.73,823.6
1981.99,830.73,823.6
2001.01,830.73,823.6
2006.11,830.73,823.6
1998.58,830.73,823.6
1961.9099999999999,830.73,823.6
1918.8899999999999,830.73,823.6
1906.06,830.73,823.6
1913.37,830.73,816.63
1930.79,830.73,816.63
1934.97,830.73,816.63
1962.13,830.73,816.63
2005.54,830.73,816.63
2044.22,830.73,816.63
2087.88,830.73,816.63
2156.18,830.73,816.63
2227.3,830.73,816.63
2296.75,830.73,816.63
2367.73,830.73,816.63
2390.71,830.73,816.63
2387.28,830.73,816.63
2370.5,830.73,816.63
2373.27,830.73,816.63
2347.25,830.73,816.63
2290.4,830.73,816.63
2218.17,830.73,816.63
2127.58,830.73,816.63
2020.33,830.73,816.63
1921.42,830.73,816.63
1831.95,830.73,816.63
1768.66,830.73,816.63
1741.34,830.73,816.63
1736.31,830.73,816.63
1733.72,830.73,816.63
1708.59,830.73,816.63
1674.73,830.73,816.63
1654.74,830.73,816.63
1644.08,830.73,816.63
1654.6200000000001,830.73,816.63
1678.8600000000001,830.73,816.63
1695.28,830.73,816.63
1722.99,830.73,816.63
1761.0900000000001,830.73,816.63
1804.71,830.73,816.63
1854.46,830.73,816.63
1920.26,830.73,816.63
1988.32,830.73,816.63
2073.25,830.73,816.63
2140.4,830.73,816.63
2175.28,830.73,816.63
2175.27,830.73,816.63
2167.4,830.73,816.63
2180.04,830.73,816.63
2197.91,830.73,816.63
2212.1,830.73,816.63
2209.66,830.73,816.63
2198.9700000000003,830.73,816.63
2153.19,830.73,816.63
2088.05,830.73,816.63
2025.51,830.73,816.63
2008.69,830.73,816.63
2041.81,830.73,816.63
2113.86,830.73,816.63
2190.18,830.73,816.63
2242.39,830.73,816.63
2277.74,830.73,816.63
2297.55,830.73,816.63
2311.25,830.73,816.63
2322.18,830.73,816.63
2342.89,830.73,816.63
2395.57,830.73,816.63
2435.93,830.73,816.63
2429.36,830.73,816.63
2383.48,830.73,816.63
2316.27,830.73,816.63
2249.06,830.73,816.63
2211.63,830.73,816.63
2186.33,830.73,816.63
2179.13,830.73,816.63
2171.83,830.73,816.63
2163.2,830.73,816.63
2149.46,830.73,816.63
2134.04,830.73,816.63
2134.79,830.73,816.63
2170.74,830.73,816.63
2240.44,830.73,816.63
2332.96,830.73,816.63
2419.05,830.73,816.63
2498.5,830.73,816.63
2574.76,830.73,816.63
2650.16,830.73,816.63
2742.13,830.73,816.63
2824.2799999999997,830.73,816.63
2911.2,830.73,816.63
2988.68,830.73,816.63
3042.72,830.73,816.63
3073.89,830.73,816.63
3102.02,830.73,816.63
3095.74,830.73,816.63
3085.17,830.73,816.63
3049.63,830.73,816.63
3011.0,830.73,816.63
2953.33,830.73,816.63
2884.0499999999997,830.73,816.63
2821.0299999999997,830.73,816.63
2746.79,830.73,816.63
2666.77,830.73,816.63
2592.94,830.73,816.63
2523.18,830.73,816.63
2424.43,830.73,816.63
2336.39,830.73,816.63
2258.42,830.73,816.63
2189.51,830.73,816.63
2117.04,830.73,816.63
2039.04,830.73,816.63
1954.25,830.73,816.63
1858.56,830.73,816.63
1776.8899999999999,830.73,816.63
1708.02,830.73,816.63
1651.02,830.73,816.63
1610.05,830.73,816.63
1613.09,830.73,816.63
1649.7,830.73,816.63
1694.42,830.73,816.63
1737.3,830.73,816.63
1793.8,830.73,816.63
1864.85,830.73,816.63
1940.31,830.73,816.63
2024.98,830.73,816.63
2098.45,830.73,816.63
2159.47,830.73,816.63
2220.83,830.73,816.63
2273.25,830.73,816.63
2331.05,830.73,816.63
2402.15,830.73,816.63
2443.2200000000003,830.73,816.63
2516.67,830.73,816.63
2595.51,830.73,816.63
2659.08,830.73,816.63
2715.41,830.73,816.63
2763.9,830.73,816.63
2827.86,830.73,816.63
2899.38,830.73,816.63
2883.96,830.73,816.63
2762.9900000000002,830.73,816.63
2614.73,830.73,816.63
2426.61,830.73,816.63
2256.53,830.73,816.63
2054.7,830.73,816.63
1837.47,830.73,816.63
1634.98,830.73,816.63
1446.67,830.73,816.63
1270.65,830.73,816.63
1091.65,830.73,816.63
922.41,830.73,816.63
830.73,830.73,816.63
837.57,837.57,827.9
873.86,873.86,828.02
968.1600000000001,959.77,831.83
1123.72,959.77,837.1
1327.8200000000002,959.77,847.82
1506.3000000000002,959.77,862.41
1708.41,959.77,875.88
1928.5900000000001,959.77,886.17
2152.92,959.77,896.13
2354.02,959.77,904.0
2528.21,959.77,904.47
2676.04,959.77,909.83
2739.27,959.77,918.57
2768.87,959.77,918.57
2750.14,959.77,918.57
2665.19,959.77,918.57
2545.36,959.77,918.57
2464.27,959.77,918.57
2363.0099999999998,959.77,918.57
2247.43,959.77,918.57
2103.22,959.77,918.57
1957.92,959.77,918.57
1811.27,959.77,918.57
1700.52,959.77,918.57
1700.77,959.77,918.57
1712.08,959.77,918.57
1764.35,959.77,918.57
1872.73,959.77,918.57
2009.13,959.77,918.57
2156.62,959.77,918.57
2293.2799999999997,959.77,918.57
2420.68,959.77,918.57
2566.15,959.77,918.57
2722.83,959.77,918.57
2892.5,959.77,918.57
2991.63,959.77,918.57
2979.08,959.77,918.57
2913.31,959.77,918.57
2826.45,959.77,918.57
2714.86,959.77,918.57
2586.4,959.77,918.57
2431.12,959.77,918.57
2289.55,959.77,918.57
2138.85,959.77,918.57
1987.95,959.77,918.57
1814.86,959.77,918.57
1624.0,959.77,918.57
1516.26,959.77,918.57
1513.8799999999999,959.77,918.57
1574.7,959.77,918.57
1691.87,959.77,918.57
1807.5,959.77,918.57
1912.8600000000001,959.77,918.57
2049.26,959.77,918.57
2164.81,959.77,918.57
2283.66,959.77,918.57
2407.13,959.77,918.57
2561.94,959.77,918.57
2746.17,959.77,918.57
2881.14,959.77,918.57
2922.01,959.77,918.57
2928.05,959.77,918.57
2845.9,959.77,918.57
2738.04,959.77,918.57
2628.15,959.77,918.57
2506.8,959.77,918.57
2420.1,959.77,918.57
2321.66,959.77,918.57
2213.61,959.77,918.57
2102.14,959.77,918.57
1967.68,959.77,918.57
1845.8,959.77,918.57
1798.05,959.77,918.57
