slack_0,non_interrupt,interrupt
2952.7,2751.63,2724.2
2871.95,2751.63,2724.2
2805.98,2751.63,2724.2
2751.63,2751.63,2724.2
2754.4700000000003,2754.47,2724.2
2772.58,2772.58,2724.2
2795.57,2795.57,2724.2
2837.84,2837.84,2733.52
2889.26,2889.26,2764.29
2954.01,2954.01,2812.82
3024.02,3024.02,2872.55
3102.0,3102.0,2937.53
3167.3,3167.3,3000.25
3224.16,3224.16,3053.17
3276.92,3276.92,3097.38
3335.45,3310.73,3139.82
3355.47,3310.73,3148.16
3366.16,3310.73,3148.16
3372.65,3310.73,3148.16
3372.2200000000003,3310.73,3148.16
3374.8,3310.73,3148.16
3377.03,3310.73,3148.16
3379.79,3310.73,3148.16
3373.34,3310.73,3148.16
3379.26,3310.73,3151.29
3383.53,3310.73,3151.29
3383.65,3310.73,3151.29
3384.23,3310.73,3151.29
3381.94,3310.73,3151.29
3375.47,3310.73,3151.29
3364.82,3310.73,3151.29
3349.76,3310.73,3151.29
3338.95,3310.73,3151.29
3332.87,3310.73,3151.29
3329.75,3310.73,3151.29
3316.65,3310.73,3151.29
3313.88,3310.73,3151.29
3310.73,3310.73,3151.29
3319.63,3319.63,3151.29
3324.27,3324.27,3151.29
3341.73,3341.73,3151.29
3354.69,3354.69,3151.29
3382.26,3382.26,3151.29
3430.79,3430.79,3151.29
3484.48,3482.63,3151.29
3535.9300000000003,3482.63,3151.29
3577.37,3482.63,3151.31
3639.36,3482.63,3165.07
3693.86,3482.63,3166.32
3736.0,3482.63,3166.32
3774.29,3482.63,3166.32
3817.14,3482.63,3166.32
3862.4700000000003,3482.63,3166.32
3895.09,3482.63,3166.32
3906.2,3482.63,3166.32
3908.12,3482.63,3166.32
3912.62,3482.63,3166.32
3913.38,3482.63,3166.32
3928.62,3482.63,3166.32
3921.32,3482.63,3166.32
3895.6,3482.63,3166.32
3864.53,3482.63,3166.32
3822.32,3482.63,3166.32
3774.42,3482.63,3166.32
3713.9700000000003,3482.63,3166.32
3665.28,3482.63,3166.32
3654.6,3482.63,3166.32
3654.51,3482.63,3166.32
3644.73,3482.63,3166.32
3635.29,3482.63,3166.32
3600.09,3482.63,3166.32
3581.82,3482.63,3166.32
3575.75,3482.63,3166.32
3588.79,3482.63,3166.32
3607.38,3482.63,3166.32
3630.22,3482.63,3166.32
3667.47,3482.63,3166.32
3703.48,3482.63,3166.32
3705.69,3482.63,3166.32
3696.87,3482.63,3166.32
3693.84,3482.63,3166.32
3692.71,3482.63,3166.32
3703.3,3482.63,3166.32
3680.9,3482.63,3166.32
3656.59,3482.63,3166.32
3638.52,3482.63,3166.32
3633.19,3482.63,3166.32
3626.55,3482.63,3166.32
3612.29,3482.63,3166.32
3605.99,3482.63,3166.32
3606.2,3482.63,3166.32
3626.14,3482.63,3166.32
3631.11,3482.63,3166.32
3624.61,3482.63,3166.32
3626.82,3482.63,3166.32
