slack_0,non_interrupt,interrupt
4285.67,3629.51,3392.74
4193.63,3629.51,3392.74
4108.12,3629.51,3392.74
4050.25,3629.51,3392.74
3984.92,3629.51,3392.74
3907.8,3629.51,3392.74
3843.59,3629.51,3392.74
3771.77,3629.51,3392.74
3724.61,3629.51,3392.74
3729.29,3629.51,3392.74
3793.95,3629.51,3398.98
3865.5,3629.51,3416.56
3956.24,3629.51,3440.9
4076.29,3629.51,3469.16
4208.33,3629.51,3480.37
4290.05,3629.51,3480.37
4351.42,3629.51,3480.37
4415.98,3629.51,3480.37
4442.03,3629.51,3480.37
4451.8,3629.51,3480.37
4454.15,3629.51,3480.37
4442.05,3629.51,3480.37
4398.61,3629.51,3480.37
4346.02,3629.51,3480.37
4267.62,3629.51,3480.37
4161.33,3629.51,3480.37
4034.08,3629.51,3480.37
3928.34,3629.51,3480.37
3847.28,3629.51,3480.37
3767.77,3629.51,3480.37
3716.81,3629.51,3480.37
3687.09,3629.51,3480.37
3656.3,3629.51,3480.37
3640.86,3629.51,3480.37
3629.51,3629.51,3480.37
3632.27,3632.27,3482.08
3670.54,3670.54,3496.84
3731.56,3731.56,3516.18
3787.96,3787.96,3527.19
3839.28,3839.28,3527.19
3891.35,3891.35,3527.19
3951.46,3951.46,3527.19
4022.42,4002.56,3527.19
4099.47,4002.56,3527.19
4183.06,4002.56,3527.19
4250.66,4002.56,3527.19
4318.73,4002.56,3531.78
4377.12,4002.56,3535.98
4422.41,4002.56,3535.98
4442.97,4002.56,3535.98
4478.07,4002.56,3535.98
4542.34,4002.56,3535.98
4624.91,4002.56,3535.98
4688.21,4002.56,3535.98
4727.72,4002.56,3535.98
4765.42,4002.56,3535.98
4814.11,4002.56,3535.98
4862.87,4002.56,3535.98
4903.19,4002.56,3535.98
4939.71,4002.56,3535.98
4942.91,4002.56,3535.98
4969.28,4002.56,3535.98
4978.389999999999,4002.56,3535.98
4924.22,4002.56,3535.98
4835.71,4002.56,3535.98
4753.92,4002.56,3535.98
4711.0199999999995,4002.56,3535.98
4680.12,4002.56,3535.98
4634.94,4002.56,3535.98
4576.91,4002.56,3535.98
4506.64,4002.56,3535.98
4447.3,4002.56,3535.98
4408.46,4002.56,3535.98
4357.53,4002.56,3535.98
4311.16,4002.56,3535.98
4301.86,4002.56,3535.98
4319.91,4002.56,3535.98
4339.81,4002.56,3535.98
4327.53,4002.56,3535.98
4301.45,4002.56,3535.98
4296.0599999999995,4002.56,3535.98
4304.73,4002.56,3535.98
4335.39,4002.56,3535.98
4323.99,4002.56,3535.98
4304.79,4002.56,3535.98
4278.97,4002.56,3535.98
4252.51,4002.56,3535.98
4216.5599999999995,4002.56,3535.98
4169.89,4002.56,3535.98
4135.33,4002.56,3535.98
4113.71,4002.56,3535.98
4098.69,4002.56,3535.98
4072.52,4002.56,3535.98
4040.56,4002.56,3535.98
4002.56,4002.56,3535.98
4005.0299999999997,4005.03,3535.98
4020.6,4020.6,3535.98
4024.21,4022.18,3535.98
4031.92,4022.18,3535.98
4045.82,4022.18,3535.98
4078.5,4022.18,3535.98
4091.11,4022.18,3535.98
4085.67,4022.18,3535.98
4067.28,4022.18,3535.98
4058.23,4022.18,3535.98
4063.46,4022.18,3535.98
4095.12,4022.18,3535.98
4135.15,4022.18,3535.98
4150.16,4022.18,3535.98
4182.01,4022.18,3535.98
