slack_0,non_interrupt,interrupt
4092.63,3162.53,3008.33
3963.04,3162.53,3008.33
3857.5,3162.53,3008.33
3820.32,3162.53,3008.33
3854.55,3162.53,3008.33
3896.6,3162.53,3008.33
3935.65,3162.53,3008.33
3994.23,3162.53,3008.33
4114.48,3162.53,3008.33
4275.92,3162.53,3008.33
4453.65,3162.53,3008.33
4626.66,3162.53,3008.33
4787.87,3162.53,3012.23
4959.7,3162.53,3021.69
5139.37,3162.53,3028.08
5260.88,3162.53,3028.08
5334.75,3162.53,3028.08
5379.53,3162.53,3028.08
5410.53,3162.53,3028.08
5424.99,3162.53,3028.08
5372.53,3162.53,3028.08
5267.41,3162.53,3028.08
5113.97,3162.53,3028.08
4954.28,3162.53,3028.08
4814.75,3162.53,3028.08
4673.8,3162.53,3028.08
4526.79,3162.53,3028.08
4438.5599999999995,3162.53,3028.08
4388.21,3162.53,3028.08
4315.08,3162.53,3028.08
4239.3,3162.53,3028.08
4170.32,3162.53,3028.08
4151.9,3162.53,3028.08
4187.0,3162.53,3028.08
4255.17,3162.53,3028.08
4337.79,3162.53,3028.08
4400.5,3162.53,3028.08
4440.0,3162.53,3028.08
4465.65,3162.53,3028.08
4437.38,3162.53,3028.08
4367.98,3162.53,3028.08
4347.01,3162.53,3028.08
4340.39,3162.53,3028.08
4340.83,3162.53,3028.08
4333.28,3162.53,3028.08
4294.59,3162.53,3028.08
4252.34,3162.53,3028.08
4204.37,3162.53,3028.08
4186.66,3162.53,3028.08
4207.58,3162.53,3028.08
4254.09,3162.53,3028.08
4334.91,3162.53,3028.08
4432.28,3162.53,3028.08
4503.61,3162.53,3028.08
4551.1,3162.53,3028.08
4589.58,3162.53,3028.08
4646.47,3162.53,3028.08
4724.19,3162.53,3028.08
4819.39,3162.53,3028.08
4902.97,3162.53,3028.08
4950.69,3162.53,3028.08
4947.65,3162.53,3028.08
4915.25,3162.53,3028.08
4830.88,3162.53,3028.08
4709.17,3162.53,3028.08
4596.99,3162.53,3028.08
4525.7,3162.53,3028.08
4457.59,3162.53,3028.08
4381.65,3162.53,3028.08
4285.5199999999995,3162.53,3028.08
4154.89,3162.53,3028.08
4027.17,3162.53,3028.08
3922.3999999999996,3162.53,3028.08
3853.84,3162.53,3028.08
3806.56,3162.53,3028.08
3817.39,3162.53,3028.08
3879.5,3162.53,3028.08
3929.09,3162.53,3028.08
3939.59,3162.53,3028.08
3941.0299999999997,3162.53,3028.08
3954.0299999999997,3162.53,3028.08
3959.91,3162.53,3028.08
4004.48,3162.53,3028.08
4002.88,3162.53,3028.08
4002.6,3162.53,3028.08
3995.97,3162.53,3028.08
3985.59,3162.53,3028.08
3938.99,3162.53,3028.08
3863.85,3162.53,3028.08
3807.7799999999997,3162.53,3028.08
3770.62,3162.53,3028.08
3752.16,3162.53,3028.08
3735.25,3162.53,3028.08
3732.44,3162.53,3028.08
3704.66,3162.53,3028.08
3730.78,3162.53,3028.08
3773.32,3162.53,3028.08
3808.2400000000002,3162.53,3028.08
3852.05,3162.53,3028.08
3909.35,3162.53,3028.08
3976.13,3162.53,3028.08
4018.69,3162.53,3028.08
4034.43,3162.53,3028.08
4023.24,3162.53,3028.08
4001.45,3162.53,3028.08
3963.92,3162.53,3028.08
3963.89,3162.53,3028.08
3976.65,3162.53,3028.08
3952.74,3162.53,3028.08
3940.89,3162.53,3028.08
3904.85,3162.53,3028.08
3861.76,3162.53,3028.08
3805.89,3162.53,3028.08
3821.92,3162.53,3028.08
3890.31,3162.53,3028.08
3987.14,3162.53,3028.08
4080.6800000000003,3162.53,3028.08
4188.97,3162.53,3028.08
4259.04,3162.53,3028.08
4330.66,3162.53,3028.08
4433.49,3162.53,3028.08
4550.57,3162.53,3028.08
4693.36,3162.53,3028.08
4871.18,3162.53,3028.08
5076.67,3162.53,3028.08
5210.69,3162.53,3028.08
5289.75,3162.53,3028.08
5338.0,3162.53,3028.08
5394.87,3162.53,3028.08
5448.25,3162.53,3028.08
5512.16,3162.53,3028.08
5568.79,3162.53,3028.08
5596.06,3162.53,3028.08
5576.31,3162.53,3028.08
5529.17,3162.53,3028.08
5425.52,3162.53,3028.08
5261.12,3162.53,3028.08
5102.13,3162.53,3028.08
4969.55,3162.53,3028.08
4865.25,3162.53,3028.08
4766.51,3162.53,3028.08
4670.23,3162.53,3028.08
4583.73,3162.53,3028.08
4501.73,3162.53,3028.08
4449.01,3162.53,3028.08
4436.07,3162.53,3028.08
4444.71,3162.53,3028.08
4465.49,3162.53,3028.08
4535.21,3162.53,3028.08
4612.17,3162.53,3028.08
4678.85,3162.53,3028.08
4727.68,3162.53,3028.08
4782.92,3162.53,3028.08
4867.21,3162.53,3028.08
4953.93,3162.53,3028.08
5029.85,3162.53,3028.08
5054.41,3162.53,3028.08
5046.46,3162.53,3028.08
5014.61,3162.53,3028.08
4961.02,3162.53,3028.08
4868.97,3162.53,3028.08
4779.74,3162.53,3028.08
4699.76,3162.53,3028.08
4642.39,3162.53,3028.08
4557.34,3162.53,3028.08
4466.23,3162.53,3008.5
4361.35,3162.53,3001.97
4257.25,3162.53,2996.16
4201.38,3162.53,2995.82
4164.37,3162.53,2995.82
4135.26,3162.53,2995.82
4152.48,3162.53,2995.82
4234.99,3162.53,2995.82
4332.59,3162.53,2995.82
4402.22,3162.53,2995.82
4433.5599999999995,3162.53,2995.82
4503.96,3162.53,2995.82
4577.13,3162.53,2995.82
4663.05,3162.53,2995.82
4754.99,3162.53,2995.82
4825.26,3162.53,2995.82
4876.3,3162.53,2950.63
4912.71,3162.53,2890.55
4923.33,3162.53,2816.07
4903.49,3162.53,2739.78
4911.33,3162.53,2692.91
4927.5599999999995,3162.53,2675.81
4913.61,3121.3,2666.57
4813.37,2975.0,2607.94
4678.94,2784.45,2526.34
4540.93,2588.61,2441.62
4394.92,2397.96,2346.29
4302.24,2278.53,2253.05
4293.22,2209.52,2168.33
4356.59,2153.2,2084.34
4429.01,2152.17,2052.07
4526.69,2152.17,2052.07
4565.45,2152.17,2052.07
4581.74,2152.17,2052.07
4637.92,2152.17,2052.07
4764.05,2152.17,2052.07
4891.48,2152.17,2052.07
4991.94,2152.17,2052.07
5050.23,2152.17,2052.07
5051.21,2152.17,2052.07
4982.43,2152.17,2052.07
4869.32,2152.17,2052.07
4748.8,2152.17,2052.07
4586.8099999999995,2152.17,2052.07
4450.96,2152.17,2052.07
4380.58,2152.17,2052.07
4321.22,2152.17,2052.07
4247.32,2152.17,2052.07
4196.54,2152.17,2052.07
4177.0,2152.17,2052.07
4197.69,2152.17,2052.07
4264.44,2152.17,2052.07
4332.24,2152.17,2052.07
4379.08,2152.17,2052.07
4401.9,2152.17,2052.07
4427.7,2152.17,2052.07
4428.11,2152.17,2052.07
4395.87,2152.17,2052.07
4379.54,2152.17,2052.07
4370.04,2152.17,2052.07
4365.25,2152.17,2052.07
4359.01,2152.17,2052.07
4330.11,2152.17,2052.07
4268.03,2152.17,2052.07
4186.73,2152.17,2052.07
4106.38,2152.17,2052.07
4025.2,2152.17,2052.07
3934.76,2152.17,2052.07
3878.2,2152.17,2052.07
3831.63,2152.17,2052.07
3754.45,2152.17,2052.07
3706.78,2152.17,2052.07
3649.28,2152.17,2052.07
3590.36,2152.17,2052.07
3546.34,2152.17,2052.07
3522.43,2152.17,2052.07
