slack_0,non_interrupt,interrupt
3765.8,2439.17,2323.33
3969.87,2439.17,2323.33
4183.74,2439.17,2323.33
4402.37,2439.17,2323.33
4579.78,2439.17,2323.33
4660.66,2439.17,2323.33
4703.0,2439.17,2323.33
4726.27,2439.17,2323.33
4710.16,2439.17,2323.33
4656.86,2439.17,2323.33
4532.2,2439.17,2323.33
4505.29,2439.17,2323.33
4435.22,2439.17,2323.33
4327.89,2439.17,2323.33
4195.21,2439.17,2323.33
4071.88,2439.17,2323.33
3982.65,2439.17,2323.33
3986.48,2439.17,2323.33
4007.05,2439.17,2323.33
3979.32,2439.17,2323.33
3924.77,2439.17,2323.33
3934.8,2439.17,2323.33
3912.08,2439.17,2323.33
3823.79,2439.17,2323.33
3728.5,2439.17,2323.33
3667.67,2439.17,2323.33
3569.98,2439.17,2323.33
3508.06,2439.17,2323.33
3457.53,2439.17,2323.33
3412.9700000000003,2439.17,2323.33
3431.58,2439.17,2323.33
3450.76,2439.17,2323.33
3512.24,2439.17,2323.33
3604.8,2439.17,2323.33
3635.11,2439.17,2323.33
3682.21,2439.17,2323.33
3759.86,2439.17,2323.33
3832.99,2439.17,2323.33
3957.83,2439.17,2323.33
4054.09,2439.17,2323.33
4149.8,2439.17,2323.33
4234.63,2439.17,2323.33
4225.66,2439.17,2323.33
4289.52,2439.17,2323.33
4269.73,2439.17,2323.33
4181.02,2439.17,2323.33
4213.76,2439.17,2323.33
4206.2,2439.17,2323.33
4165.97,2439.17,2323.33
4105.68,2439.17,2323.33
4057.21,2439.17,2323.33
3999.26,2439.17,2323.33
3881.46,2439.17,2323.33
3723.81,2439.17,2323.33
3612.55,2439.17,2323.33
3498.09,2439.17,2323.33
3459.93,2439.17,2323.33
3420.0,2439.17,2323.33
3330.02,2439.17,2323.33
3251.36,2439.17,2323.33
3169.64,2439.17,2323.33
3093.79,2439.17,2323.33
2989.86,2439.17,2323.33
2893.92,2439.17,2323.33
2857.5099999999998,2439.17,2323.33
2876.14,2439.17,2323.33
2925.51,2439.17,2323.33
2942.34,2439.17,2323.33
2983.92,2439.17,2323.33
3017.24,2439.17,2323.33
3061.97,2439.17,2323.33
3098.24,2439.17,2323.33
3098.13,2439.17,2323.33
3094.41,2439.17,2323.33
3105.27,2439.17,2323.33
3112.09,2439.17,2323.33
3131.54,2439.17,2323.33
3159.65,2439.17,2323.33
3168.08,2439.17,2323.33
3166.52,2439.17,2323.33
3163.48,2439.17,2323.33
3142.2400000000002,2439.17,2323.33
3150.2400000000002,2439.17,2323.33
3148.9300000000003,2439.17,2323.33
3172.14,2439.17,2323.33
3207.11,2439.17,2323.33
3222.82,2439.17,2323.33
3266.34,2439.17,2323.33
3308.7200000000003,2439.17,2323.33
3350.9,2439.17,2323.33
3401.04,2439.17,2323.33
3478.4,2439.17,2323.33
3448.7599999999998,2439.17,2323.33
3456.3,2439.17,2323.33
3481.59,2439.17,2323.33
3544.56,2439.17,2323.33
3609.85,2439.17,2323.33
3665.89,2439.17,2323.33
3750.86,2439.17,2323.33
3809.31,2439.17,2323.33
3795.63,2439.17,2323.33
3733.76,2439.17,2323.33
3790.87,2439.17,2323.33
3841.46,2439.17,2323.33
3836.01,2439.17,2323.33
3815.07,2439.17,2323.33
3723.63,2439.17,2323.33
3620.71,2439.17,2323.33
3537.12,2439.17,2323.33
3461.41,2439.17,2323.33
3378.76,2439.17,2323.33
3322.65,2439.17,2323.33
3345.91,2439.17,2323.33
3414.38,2439.17,2323.33
3420.49,2439.17,2323.33
3422.47,2439.17,2323.33
3630.16,2439.17,2323.33
3825.34,2439.17,2323.33
4012.6099999999997,2439.17,2323.33
4129.19,2439.17,2323.33
4226.639999999999,2439.17,2323.33
4353.69,2439.17,2323.33
4452.389999999999,2439.17,2323.33
4470.07,2439.17,2323.33
4467.55,2439.17,2323.33
4463.55,2439.17,2323.33
4375.9,2439.17,2323.33
4307.17,2439.17,2323.33
4182.05,2439.17,2323.33
4028.92,2439.17,2323.33
3954.27,2439.17,2323.33
3909.32,2439.17,2323.33
3888.21,2439.17,2323.33
3836.6800000000003,2439.17,2323.33
3786.02,2439.17,2323.33
3762.05,2439.17,2323.33
3760.1800000000003,2439.17,2323.33
3716.23,2439.17,2323.33
3664.11,2439.17,2323.33
3647.89,2439.17,2323.33
3605.24,2439.17,2323.33
3590.28,2439.17,2323.33
3638.53,2439.17,2323.33
3621.2400000000002,2439.17,2323.33
3559.13,2439.17,2323.33
3486.28,2439.17,2323.33
3433.77,2439.17,2323.33
3405.82,2439.17,2323.33
3335.4900000000002,2439.17,2323.33
3306.51,2439.17,2323.33
3286.45,2439.17,2323.33
3229.84,2439.17,2323.33
3176.38,2439.17,2323.33
3136.52,2439.17,2323.33
2988.34,2439.17,2323.33
2942.2,2439.17,2323.33
2907.35,2439.17,2323.33
2894.91,2439.17,2323.33
2879.6,2439.17,2323.33
2868.26,2439.17,2323.33
2852.15,2439.17,2323.33
2865.88,2439.17,2323.33
2868.51,2439.17,2323.33
2836.43,2439.17,2323.33
2835.2200000000003,2439.17,2323.33
2829.17,2439.17,2323.33
2839.32,2439.17,2323.33
2845.23,2439.17,2323.33
2866.6,2439.17,2323.33
2865.56,2439.17,2323.33
2871.22,2439.17,2323.33
2871.68,2439.17,2323.33
2897.8,2439.17,2323.33
2884.22,2439.17,2323.33
2880.22,2439.17,2323.33
2928.44,2439.17,2323.33
2957.78,2439.17,2323.33
2981.52,2439.17,2323.33
3031.15,2439.17,2323.33
3061.48,2439.17,2323.33
3171.41,2439.17,2323.33
3294.34,2439.17,2323.33
3401.06,2439.17,2323.33
3529.11,2439.17,2323.33
3652.57,2439.17,2323.33
3778.5,2439.17,2323.33
3904.55,2439.17,2323.33
4002.87,2439.17,2323.33
4116.08,2439.17,2323.33
4211.9,2439.17,2323.33
4275.06,2439.17,2323.33
