slack_0,non_interrupt,interrupt
1527.16,892.82,660.0
1411.31,892.82,660.0
1351.16,892.82,660.0
1341.06,892.82,660.0
1388.24,892.82,660.0
1505.53,892.82,692.92
1590.73,892.82,695.33
1560.69,892.82,695.33
1481.44,892.82,695.33
1412.16,892.82,695.33
1349.61,892.82,695.33
1349.89,892.82,695.33
1381.53,892.82,695.33
1452.72,892.82,693.5
1504.37,892.82,693.5
1460.03,892.82,693.5
1423.05,892.82,693.5
1425.04,892.82,693.5
1472.84,892.82,693.5
1573.54,892.82,693.5
1727.85,892.82,693.5
1849.82,892.82,693.5
1934.2,892.82,697.42
1940.98,892.82,697.42
1919.2,892.82,697.42
1885.32,892.82,697.42
1853.28,892.82,697.42
1912.55,892.82,697.42
1962.52,892.82,697.42
1995.83,892.82,697.42
1980.42,892.82,697.42
1932.46,892.82,697.42
1837.72,892.82,697.42
1747.33,892.82,697.42
1744.79,892.82,697.42
1812.44,892.82,697.42
1861.92,892.82,697.42
1855.53,892.82,696.66
1876.32,892.82,696.66
1926.02,892.82,696.66
1959.7,892.82,696.66
1980.58,892.82,696.66
2086.89,892.82,696.66
2157.83,892.82,696.66
2210.61,892.82,696.66
2259.55,892.82,696.66
2311.99,892.82,696.66
2402.41,892.82,696.66
2541.24,892.82,696.66
2717.94,892.82,696.66
2851.66,892.82,696.66
2945.0,892.82,696.66
3004.33,892.82,696.66
3050.14,892.82,696.66
3037.31,892.82,696.66
3071.77,892.82,696.66
3191.52,892.82,696.66
3326.79,892.82,696.66
3422.25,892.82,696.66
3472.65,892.82,696.66
3476.25,892.82,696.66
3571.03,892.82,696.66
3656.75,892.82,696.66
3619.93,892.82,696.66
3572.0099999999998,892.82,696.66
3606.12,892.82,696.66
3546.0,892.82,696.66
3487.34,892.82,696.66
3440.16,892.82,696.66
3405.17,892.82,696.66
3369.7799999999997,892.82,696.66
3303.68,892.82,696.66
3245.85,892.82,696.66
3134.0,892.82,696.66
3049.82,892.82,696.66
3070.5099999999998,892.82,696.66
3101.71,892.82,696.66
3068.57,892.82,696.66
3143.26,892.82,696.66
3198.64,892.82,696.66
3184.28,892.82,696.66
3166.29,892.82,696.66
3182.08,892.82,696.66
3210.13,892.82,696.66
3332.29,892.82,696.66
3442.63,892.82,696.66
3541.11,892.82,696.66
3642.29,892.82,696.66
3776.04,892.82,696.66
3911.94,892.82,696.66
3922.79,892.82,696.66
3980.24,892.82,696.66
4132.61,892.82,696.66
4304.0599999999995,892.82,696.66
4475.41,892.82,696.66
4682.15,892.82,696.66
4805.73,892.82,696.66
4950.43,892.82,696.66
5097.5,892.82,696.66
5262.15,892.82,696.66
5414.21,892.82,696.66
5549.08,892.82,696.66
5764.55,892.82,696.66
5958.03,892.82,696.66
6066.74,892.82,696.66
6118.78,892.82,696.66
6110.89,892.82,696.66
5987.47,892.82,696.66
5710.29,892.82,696.66
5301.33,892.82,696.66
4959.08,892.82,696.66
4614.21,892.82,696.66
4262.24,892.82,696.66
3900.53,892.82,696.66
3497.75,892.82,693.15
3112.85,892.82,693.15
2741.41,892.82,693.15
2395.03,892.82,693.15
2150.45,892.82,693.15
1993.0,892.82,693.15
1984.47,892.82,693.15
2098.66,892.82,693.15
2124.35,892.82,693.15
2138.81,892.82,693.15
2242.51,892.82,693.15
2387.64,892.82,693.15
2599.8,892.82,693.15
2801.86,892.82,693.15
2959.08,892.82,693.15
3082.19,892.82,693.15
3133.94,892.82,693.15
3226.22,892.82,693.15
3309.35,892.82,693.15
3367.86,892.82,693.15
3353.11,892.82,693.15
3382.83,892.82,693.15
3374.01,892.82,693.15
3330.83,892.82,693.15
3280.15,892.82,693.15
3285.5,892.82,693.15
3361.94,892.82,693.15
3476.24,892.82,693.15
3588.87,892.82,693.15
3666.92,892.82,693.15
3746.35,892.82,693.15
3846.14,892.82,693.15
4019.34,892.82,693.15
4191.0,892.82,693.15
4318.69,892.82,693.15
4447.83,892.82,693.15
4601.03,892.82,693.15
4693.51,892.82,693.15
4742.85,892.82,693.15
4781.87,892.82,693.15
4825.89,892.82,693.15
4826.41,892.82,693.15
4766.05,892.82,693.15
4649.64,892.82,693.15
4490.56,892.82,693.15
