slack_0,non_interrupt,interrupt
9361.36,7822.22,7677.47
9269.87,7822.22,7677.47
9175.1,7822.22,7677.47
9063.07,7822.22,7677.47
8957.66,7822.22,7677.47
8844.18,7822.22,7677.47
8711.86,7822.22,7677.47
8575.73,7822.22,7677.47
8448.25,7822.22,7677.47
8323.43,7822.22,7677.47
8206.699999999999,7822.22,7677.47
8115.12,7822.22,7677.47
8074.36,7822.22,7677.47
8067.5,7822.22,7677.47
8068.639999999999,7822.22,7677.47
8081.12,7822.22,7677.47
8112.599999999999,7822.22,7677.47
8161.719999999999,7822.22,7677.47
8224.85,7822.22,7677.47
8266.15,7822.22,7677.47
8284.35,7822.22,7677.47
8305.21,7822.22,7677.47
8330.19,7822.22,7677.47
8366.67,7822.22,7677.47
8388.51,7822.22,7677.47
8405.25,7822.22,7677.47
8426.71,7822.22,7677.47
8431.61,7822.22,7677.47
8434.54,7822.22,7677.47
8414.63,7822.22,7677.47
8368.34,7822.22,7677.47
8360.03,7822.22,7677.47
8373.39,7822.22,7677.47
8377.15,7822.22,7677.47
8399.63,7822.22,7677.47
8434.79,7822.22,7677.47
8496.56,7822.22,7677.47
8589.76,7822.22,7677.47
8646.75,7822.22,7677.47
8693.84,7822.22,7677.47
8724.12,7822.22,7677.47
8756.35,7822.22,7677.47
8810.33,7822.22,7677.47
8861.79,7822.22,7677.47
8910.95,7822.22,7677.47
8958.37,7822.22,7677.47
8987.63,7822.22,7677.47
8992.46,7822.22,7677.47
8981.14,7822.22,7677.47
8946.55,7822.22,7677.47
8941.99,7822.22,7677.47
8966.38,7822.22,7677.47
8989.82,7822.22,7677.47
9016.83,7822.22,7677.47
9041.25,7822.22,7677.47
9051.06,7822.22,7677.47
9053.59,7822.22,7677.47
9046.49,7822.22,7677.47
9023.01,7822.22,7677.47
8990.4,7822.22,7677.47
8944.58,7822.22,7677.47
8881.33,7822.22,7677.47
8800.3,7822.22,7677.47
8730.81,7822.22,7677.47
8664.76,7822.22,7677.47
8601.99,7822.22,7677.47
