slack_0,non_interrupt,interrupt
8518.48,6769.17,6258.57
8465.68,6769.17,6258.57
8413.51,6769.17,6258.57
8358.64,6769.17,6258.57
8332.4,6769.17,6221.38
8221.88,6769.17,6167.32
8043.73,6769.17,6127.37
7875.5,6625.95,6054.69
7706.73,6456.17,5978.74
7565.79,6325.87,5918.66
7431.35,6264.2,5908.42
7317.03,6235.4,5908.42
7249.87,6212.8,5908.42
7292.4,6212.8,5908.42
7356.93,6210.56,5908.42
7426.45,6192.38,5908.42
7491.03,6192.38,5908.42
7680.09,6192.38,5908.42
7968.88,6192.38,5908.42
8246.55,6192.38,5908.42
8473.65,6192.38,5908.42
8674.44,6192.38,5908.42
8901.06,6192.38,5908.42
9125.45,6192.38,5908.42
9301.31,6192.38,5908.42
9372.369999999999,6192.38,5908.42
9392.85,6192.38,5908.42
9397.75,6192.38,5908.42
9356.55,6192.38,5908.42
9231.58,6192.38,5908.42
9072.32,6192.38,5908.42
8905.97,6192.38,5908.42
8790.35,6192.38,5908.42
8724.58,6192.38,5908.42
8649.15,6192.38,5908.42
8586.01,6192.38,5908.42
8606.66,6192.38,5908.42
8674.37,6192.38,5908.42
8762.64,6192.38,5908.42
8847.43,6192.38,5908.42
8971.76,6192.38,5908.42
9143.07,6192.38,5908.42
9312.14,6192.38,5908.42
9490.2,6192.38,5908.42
9649.619999999999,6192.38,5908.42
9785.619999999999,6192.38,5908.42
9896.95,6192.38,5908.42
9977.86,6192.38,5908.42
9971.35,6192.38,5908.42
9903.34,6192.38,5908.42
9836.11,6192.38,5908.42
9771.77,6192.38,5908.42
9656.72,6192.38,5908.42
9511.35,6192.38,5908.42
9375.23,6192.38,5908.42
9237.47,6192.38,5908.42
9116.51,6192.38,5908.42
9006.7,6192.38,5908.42
8883.76,6192.38,5908.42
8769.61,6192.38,5908.42
8722.01,6192.38,5908.42
8714.07,6192.38,5908.42
8696.4,6192.38,5908.42
8680.58,6192.38,5908.42
8689.53,6192.38,5908.42
8731.79,6192.38,5908.42
8772.34,6192.38,5908.42
8815.130000000001,6192.38,5908.42
8859.14,6192.38,5908.42
8899.76,6192.38,5908.42
8948.05,6192.38,5908.42
8982.77,6192.38,5908.42
8950.16,6192.38,5908.42
8895.49,6192.38,5908.42
8875.71,6192.38,5908.42
8868.11,6192.38,5908.42
8849.1,6192.38,5908.42
8799.59,6192.38,5908.42
8749.33,6192.38,5908.42
8712.57,6192.38,5908.42
8671.76,6192.38,5908.42
8623.02,6192.38,5908.42
8568.07,6192.38,5908.42
8533.84,6192.38,5908.42
8568.03,6192.38,5908.42
8625.35,6192.38,5908.42
8652.37,6192.38,5908.42
8690.67,6192.38,5908.42
8764.75,6192.38,5908.42
8875.6,6192.38,5908.42
8989.85,6192.38,5908.42
9084.73,6192.38,5908.42
9167.26,6192.38,5908.42
9237.43,6192.38,5908.42
9313.5,6192.38,5908.42
9399.119999999999,6192.38,5908.42
9435.75,6192.38,5908.42
9419.06,6192.38,5908.42
9402.25,6192.38,5908.42
9373.25,6192.38,5908.42
9337.02,6192.38,5908.42
9268.83,6192.38,5908.42
9187.08,6192.38,5908.42
9082.03,6192.38,5908.42
8978.22,6192.38,5908.42
8887.85,6192.38,5908.42
8782.86,6192.38,5908.42
8648.1,6192.38,5908.42
8582.289999999999,6192.38,5908.42
8583.09,6192.38,5908.42
8586.14,6192.38,5908.42
8587.44,6192.38,5908.42
8592.78,6192.38,5908.42
8632.42,6192.38,5908.42
8682.21,6192.38,5908.42
8771.16,6192.38,5908.42
8886.66,6192.38,5908.42
8981.4,6192.38,5908.42
9096.98,6192.38,5908.42
9256.03,6192.38,5908.42
9320.14,6192.38,5908.42
9337.25,6192.38,5908.42
9346.18,6192.38,5908.42
9353.37,6192.38,5908.42
9323.01,6192.38,5908.42
9247.36,6192.38,5908.42
9168.1,6192.38,5908.42
9092.48,6192.38,5908.42
9031.86,6192.38,5908.42
9005.14,6192.38,5908.42
8975.68,6192.38,5908.42
8893.369999999999,6192.38,5908.42
8885.63,6192.38,5908.42
8931.72,6192.38,5908.42
8997.35,6192.38,5908.42
9064.51,6192.38,5908.42
9164.7,6192.38,5908.42
9277.08,6192.38,5908.42
9372.33,6192.38,5908.42
9446.57,6192.38,5908.42
9498.18,6192.38,5908.42
9526.21,6192.38,5908.42
9544.24,6192.38,5908.42
9580.3,6192.38,5908.42
9554.12,6192.38,5908.42
9464.05,6192.38,5908.42
9366.6,6192.38,5908.42
9278.19,6192.38,5908.42
9156.460000000001,6192.38,5908.42
9022.0,6192.38,5908.42
8875.52,6192.38,5893.41
8708.56,6192.38,5885.12
8514.78,6192.38,5869.63
8310.57,6192.38,5847.45
8110.46,6192.38,5809.06
7939.110000000001,6192.38,5784.51
7803.25,6192.38,5784.51
7740.66,6192.38,5784.51
7678.71,6192.38,5784.51
7619.07,6192.38,5784.51
7602.9400000000005,6192.38,5784.51
7623.45,6192.38,5784.51
7665.68,6192.38,5784.51
7709.08,6192.38,5784.51
7766.7,6192.38,5784.51
7860.38,6192.38,5784.51
7956.84,6192.38,5784.51
8030.54,6192.38,5784.51
8080.38,6192.38,5784.51
8069.0599999999995,6192.38,5784.51
8066.17,6192.38,5784.51
8063.28,6192.38,5784.51
8008.05,6192.38,5784.51
7918.33,6192.38,5784.51
7855.18,6192.38,5784.51
7835.62,6192.38,5784.51
7816.97,6192.38,5784.51
7820.08,6192.38,5784.51
7840.91,6192.38,5784.51
7859.21,6192.38,5784.51
7886.78,6192.38,5784.51
7928.97,6192.38,5784.51
7972.1900000000005,6192.38,5784.51
8042.67,6192.38,5784.51
8173.42,6192.38,5784.51
8345.83,6192.38,5784.51
8517.76,6192.38,5784.51
8675.53,6192.38,5784.51
8834.64,6192.38,5784.51
8932.17,6192.38,5784.51
8982.7,6192.38,5784.51
9041.36,6192.38,5784.51
9091.85,6192.38,5784.51
9121.36,6192.38,5784.51
9131.72,6192.38,5784.51
9103.82,6192.38,5784.51
9066.81,6192.38,5784.51
8956.7,6192.38,5784.51
8800.84,6192.38,5784.51
8611.84,6192.38,5784.51
8384.6,6192.38,5784.51
8194.25,6192.38,5784.51
8031.68,6192.38,5784.51
7836.14,6192.38,5784.51
7717.110000000001,6192.38,5784.51
7709.22,6192.38,5784.51
7737.950000000001,6192.38,5784.51
7766.96,6192.38,5784.51
7787.52,6192.38,5784.51
7903.56,6192.38,5784.51
8060.01,6192.38,5784.51
8254.54,6192.38,5784.51
8493.75,6192.38,5784.51
8732.87,6192.38,5784.51
8986.17,6192.38,5784.51
9262.27,6192.38,5784.51
9436.27,6192.38,5784.51
9491.39,6192.38,5784.51
9497.59,6192.38,5784.51
9455.62,6192.38,5784.51
9355.09,6192.38,5784.51
9157.210000000001,6192.38,5784.51
8987.78,6192.38,5784.51
8810.880000000001,6192.38,5784.51
8619.74,6192.38,5784.51
8421.130000000001,6192.38,5784.51
8203.78,6192.38,5784.51
8063.81,6192.38,5784.51
7983.88,6192.38,5784.51
