slack_0,non_interrupt,interrupt
2447.58,1703.12,1469.02
2498.41,1703.12,1469.02
2546.13,1703.12,1469.02
2581.76,1703.12,1469.02
2599.89,1703.12,1469.02
2581.19,1703.12,1469.02
2593.31,1703.12,1469.02
2641.93,1703.12,1469.02
2665.33,1703.12,1469.02
2679.84,1703.12,1469.02
2677.5299999999997,1703.12,1469.02
2678.37,1703.12,1469.02
2679.09,1703.12,1469.02
2676.86,1703.12,1469.02
2677.72,1703.12,1469.02
2690.2,1703.12,1469.02
2695.62,1703.12,1469.02
2687.84,1703.12,1469.02
2634.47,1703.12,1469.02
2568.89,1703.12,1469.02
2524.49,1703.12,1469.02
2487.35,1703.12,1469.02
2462.18,1703.12,1469.02
2433.55,1703.12,1469.02
2400.78,1703.12,1469.02
2373.1,1703.12,1469.02
2358.77,1703.12,1469.02
2346.0,1703.12,1469.02
2322.52,1703.12,1469.02
2296.24,1703.12,1469.02
2266.25,1703.12,1469.02
2226.9,1703.12,1469.02
2181.1,1703.12,1469.02
2143.04,1703.12,1469.02
2110.7,1703.12,1469.02
2085.67,1703.12,1469.02
2083.03,1703.12,1469.02
2123.23,1703.12,1469.02
2152.15,1703.12,1469.02
2210.54,1703.12,1469.02
2283.07,1703.12,1469.02
2373.1,1703.12,1469.02
2450.34,1703.12,1469.02
2520.31,1703.12,1469.02
2546.44,1703.12,1469.02
2546.71,1703.12,1469.02
2548.12,1703.12,1469.02
2531.16,1703.12,1469.02
2500.95,1703.12,1469.02
2443.0,1703.12,1469.02
2387.43,1703.12,1469.02
2323.63,1703.12,1469.02
2282.28,1703.12,1469.02
2255.22,1703.12,1469.02
2246.8,1703.12,1469.02
2250.69,1703.12,1469.02
2283.13,1703.12,1469.02
2318.87,1703.12,1469.02
2335.84,1703.12,1469.02
2355.45,1703.12,1469.02
2377.43,1703.12,1469.02
2432.72,1703.12,1469.02
2494.93,1703.12,1469.02
2510.3,1703.12,1469.02
2516.35,1703.12,1469.02
2495.19,1703.12,1469.02
2505.06,1703.12,1469.02
2515.45,1703.12,1469.02
2574.85,1703.12,1469.02
2695.48,1703.12,1469.02
2865.71,1703.12,1469.02
3064.58,1703.12,1469.02
3286.4,1703.12,1469.02
3474.18,1703.12,1469.02
3676.02,1703.12,1469.02
3884.45,1703.12,1469.02
4091.08,1703.12,1469.02
4316.19,1703.12,1469.02
4521.74,1703.12,1469.02
4727.96,1703.12,1469.02
4883.99,1703.12,1469.02
4974.26,1703.12,1469.02
5048.36,1703.12,1469.02
5082.95,1703.12,1469.02
5082.53,1703.12,1469.02
5074.52,1703.12,1469.02
5070.07,1703.12,1469.02
5067.04,1703.12,1469.02
5062.77,1703.12,1469.02
5071.51,1703.12,1469.02
5111.53,1703.12,1469.02
5170.9,1703.12,1469.02
5268.87,1703.12,1469.02
5374.22,1703.12,1469.02
5489.27,1703.12,1469.02
5632.54,1703.12,1469.02
5782.9400000000005,1703.12,1469.02
5930.51,1703.12,1469.02
6072.28,1703.12,1469.02
6240.28,1703.12,1469.02
6384.97,1703.12,1469.02
6511.52,1703.12,1469.02
6574.87,1703.12,1469.02
6583.18,1703.12,1469.02
6529.58,1703.12,1469.02
6425.01,1703.12,1469.02
6243.51,1703.12,1469.02
5978.04,1703.12,1469.02
5641.67,1703.12,1469.02
5246.89,1703.12,1469.02
4812.78,1703.12,1469.02
4370.95,1703.12,1469.02
3951.06,1703.12,1469.02
3532.57,1703.12,1469.02
3144.38,1703.12,1469.02
2772.42,1703.12,1469.02
2446.17,1703.12,1469.02
2191.27,1703.12,1469.02
2015.17,1703.12,1469.02
1911.47,1703.12,1469.02
1881.55,1703.12,1469.02
1905.06,1703.12,1469.02
1947.07,1703.12,1469.67
2003.07,1703.12,1469.67
2076.89,1703.12,1469.67
2195.19,1703.12,1469.67
2328.61,1703.12,1469.67
2449.95,1703.12,1469.67
2525.68,1703.12,1469.67
2582.84,1703.12,1469.67
2612.85,1703.12,1469.67
2660.25,1703.12,1469.67
2688.85,1703.12,1469.67
2708.4,1703.12,1469.67
2719.19,1703.12,1469.67
2711.83,1703.12,1469.67
2692.29,1703.12,1469.67
2612.58,1703.12,1469.67
2544.09,1703.12,1469.67
2524.59,1703.12,1469.67
2578.33,1703.12,1469.67
2684.89,1703.12,1469.67
2817.43,1703.12,1469.67
2932.64,1703.12,1469.67
3064.65,1703.12,1469.67
3197.27,1703.12,1469.67
3370.59,1703.12,1469.67
3553.44,1703.12,1469.67
3738.48,1703.12,1469.67
3964.39,1703.12,1469.67
4169.99,1703.12,1469.67
4334.06,1703.12,1469.67
4425.59,1703.12,1469.67
4441.57,1703.12,1469.67
4389.54,1703.12,1469.67
4311.42,1703.12,1469.67
4191.78,1703.12,1469.67
4027.43,1703.12,1469.67
3831.82,1703.12,1469.67
3616.69,1703.12,1469.67
3385.36,1703.12,1469.67
3134.45,1703.12,1469.67
2869.47,1703.12,1469.67
2609.47,1703.12,1469.67
2389.25,1703.12,1469.67
2191.6800000000003,1703.12,1469.67
2071.13,1703.12,1469.67
1992.98,1703.12,1469.67
1972.58,1703.12,1469.67
2002.97,1703.12,1469.67
2037.03,1703.12,1469.67
2080.3,1703.12,1469.67
2121.89,1703.12,1469.67
2172.9,1703.12,1469.67
2252.75,1703.12,1469.67
2366.19,1703.12,1469.67
2455.52,1703.12,1469.67
2531.8,1703.12,1469.67
2569.57,1703.12,1469.67
2599.91,1703.12,1469.67
2597.24,1703.12,1469.67
2609.22,1703.12,1469.67
2627.29,1703.12,1469.67
2625.99,1703.12,1469.67
2629.15,1703.12,1469.67
2609.23,1703.12,1469.67
2566.12,1703.12,1469.67
2480.09,1703.12,1469.67
2423.94,1703.12,1469.67
2410.12,1703.12,1469.67
2443.02,1703.12,1469.67
2502.52,1703.12,1469.67
2619.7200000000003,1703.12,1469.67
2784.93,1703.12,1469.67
3002.79,1703.12,1469.67
