slack_0,non_interrupt,interrupt
6269.1,5339.84,4842.15
6362.79,5339.84,4842.15
6477.13,5339.84,4842.15
6606.31,5339.84,4842.15
6745.36,5339.84,4842.15
6870.03,5339.84,4842.15
6986.54,5339.84,4842.15
7076.58,5339.84,4842.15
7115.68,5339.84,4842.15
7116.84,5339.84,4842.15
7113.03,5339.84,4842.15
7103.61,5339.84,4842.15
7051.36,5339.84,4842.15
6962.79,5339.84,4842.15
6846.26,5339.84,4842.15
6707.61,5339.84,4842.15
6565.5599999999995,5339.84,4842.15
6429.82,5339.84,4842.15
6298.94,5339.84,4842.15
6193.24,5339.84,4842.15
6143.98,5339.84,4842.15
6144.3,5339.84,4842.15
6148.87,5339.84,4842.15
6159.88,5339.84,4842.15
6211.9800000000005,5339.84,4842.15
6299.03,5339.84,4842.15
6412.35,5339.84,4842.15
6547.31,5339.84,4842.15
6687.200000000001,5339.84,4842.15
6818.29,5339.84,4842.15
6942.89,5339.84,4842.15
7042.4400000000005,5339.84,4842.15
7085.59,5339.84,4842.15
7080.57,5339.84,4842.15
7075.63,5339.84,4842.15
7072.29,5339.84,4842.15
7021.97,5339.84,4842.15
6940.46,5339.84,4842.15
6837.95,5339.84,4842.15
6717.45,5339.84,4842.15
6584.76,5339.84,4842.15
6469.79,5339.84,4842.15
6355.45,5339.84,4842.15
6269.48,5339.84,4842.15
6236.33,5339.84,4842.15
6241.48,5339.84,4842.15
6249.12,5339.84,4842.15
6255.51,5339.84,4842.15
6310.05,5339.84,4842.15
6395.6,5339.84,4842.15
6502.16,5339.84,4842.15
6625.99,5339.84,4842.15
6760.52,5339.84,4842.15
6878.4,5339.84,4842.15
6993.85,5339.84,4842.15
7079.4800000000005,5339.84,4842.15
7111.52,5339.84,4842.15
7105.37,5339.84,4842.15
7084.78,5339.84,4842.15
7065.39,5339.84,4842.15
7014.56,5339.84,4842.15
6937.43,5339.84,4842.15
6848.17,5339.84,4842.15
6752.31,5339.84,4842.15
6659.21,5339.84,4842.15
6573.36,5339.84,4842.15
6509.02,5339.84,4842.15
6470.67,5339.84,4842.15
6473.09,5339.84,4842.15
6477.77,5339.84,4842.15
6495.4,5339.84,4842.15
6511.8,5339.84,4842.15
6559.86,5339.84,4842.15
6633.99,5339.84,4842.15
6719.92,5339.84,4842.15
6813.9,5339.84,4842.15
6906.8099999999995,5339.84,4842.15
6991.88,5339.84,4842.15
7055.84,5339.84,4842.15
7094.43,5339.84,4842.15
7092.8,5339.84,4842.15
7090.3099999999995,5339.84,4842.15
7078.01,5339.84,4842.15
7067.41,5339.84,4842.15
7028.05,5339.84,4842.15
6973.71,5339.84,4842.15
6907.87,5339.84,4842.15
6831.46,5339.84,4842.15
6752.55,5339.84,4842.15
6675.26,5339.84,4842.15
6612.79,5339.84,4842.15
6568.1,5339.84,4842.15
6549.39,5339.84,4842.15
6552.22,5339.84,4842.15
6564.65,5339.84,4842.15
6574.59,5339.84,4842.15
6614.76,5339.84,4842.15
6670.48,5339.84,4842.15
6737.21,5339.84,4842.15
6813.610000000001,5339.84,4842.15
6895.47,5339.84,4842.15
6973.12,5339.84,4842.15
7038.4800000000005,5339.84,4842.15
7084.78,5339.84,4842.15
7103.88,5339.84,4842.15
7099.62,5339.84,4842.15
7080.9,5339.84,4842.15
7071.05,5339.84,4842.15
7028.21,5339.84,4842.15
6969.55,5339.84,4842.15
6903.63,5339.84,4842.15
6832.27,5339.84,4842.15
6761.1,5339.84,4842.15
6702.52,5339.84,4842.15
6659.03,5339.84,4842.15
6626.28,5339.84,4842.15
6610.07,5339.84,4842.15
6609.87,5339.84,4842.15
6623.59,5339.84,4842.15
6629.59,5339.84,4842.15
6666.17,5339.84,4842.15
6717.72,5339.84,4842.15
6777.8,5339.84,4842.15
6842.85,5339.84,4842.15
6904.26,5339.84,4842.15
6954.48,5339.84,4842.15
6990.4,5339.84,4842.15
7016.06,5339.84,4842.15
7026.34,5339.84,4842.15
7023.21,5339.84,4842.15
7011.17,5339.84,4842.15
6998.66,5339.84,4842.15
6961.1,5339.84,4842.15
6908.14,5339.84,4842.15
6845.82,5339.84,4842.15
6775.67,5339.84,4842.15
6695.29,5339.84,4842.15
6629.39,5339.84,4842.15
6566.1,5339.84,4842.15
6519.900000000001,5339.84,4842.15
6502.06,5339.84,4842.15
6506.8,5339.84,4842.15
6521.05,5339.84,4842.15
6534.27,5339.84,4842.15
6571.83,5339.84,4842.15
6629.41,5339.84,4842.15
6698.66,5339.84,4842.15
6776.68,5339.84,4842.15
6868.67,5339.84,4842.15
6948.95,5339.84,4842.15
7024.530000000001,5339.84,4842.15
7085.7,5339.84,4842.15
7118.18,5339.84,4842.15
7123.81,5339.84,4842.15
7114.92,5339.84,4842.15
7112.51,5339.84,4842.15
7075.47,5339.84,4842.15
7012.5,5339.84,4842.15
6925.67,5339.84,4842.15
6825.16,5339.84,4842.15
6709.15,5339.84,4842.15
6602.81,5339.84,4842.15
6502.53,5339.84,4842.15
6422.98,5339.84,4842.15
6386.52,5339.84,4842.15
6384.17,5339.84,4842.15
6397.76,5339.84,4842.15
6403.31,5339.84,4842.15
6446.8,5339.84,4842.15
6512.66,5339.84,4842.15
6600.51,5339.84,4842.15
6700.22,5339.84,4842.15
6811.18,5339.84,4842.15
6912.650000000001,5339.84,4842.15
7008.14,5339.84,4842.15
7081.28,5339.84,4842.15
7109.89,5339.84,4842.15
7105.72,5339.84,4842.15
7083.28,5339.84,4842.15
7072.25,5339.84,4842.15
7012.64,5339.84,4842.15
6915.01,5339.84,4842.15
6792.82,5339.84,4842.15
6652.99,5339.84,4842.15
6513.62,5339.84,4842.15
6386.28,5339.84,4842.15
6283.9,5339.84,4842.15
6207.66,5339.84,4842.15
6183.61,5339.84,4842.15
6185.19,5339.84,4842.15
6208.15,5339.84,4842.15
6220.29,5339.84,4842.15
6279.0,5339.84,4842.15
6374.7699999999995,5339.84,4842.15
6491.03,5339.84,4842.15
6628.2699999999995,5339.84,4842.15
6765.96,5339.84,4842.15
6890.26,5339.84,4842.15
6991.65,5339.84,4842.15
7070.59,5339.84,4842.15
7098.68,5339.84,4842.15
7101.35,5339.84,4842.15
7091.16,5339.84,4842.15
7083.38,5339.84,4842.15
7036.75,5339.84,4842.15
6971.8,5339.84,4842.15
6895.62,5339.84,4842.15
6806.99,5339.84,4842.15
6714.83,5339.84,4842.15
6627.59,5339.84,4842.15
6551.32,5339.84,4842.15
6491.38,5339.84,4842.15
6465.64,5339.84,4842.15
6463.73,5339.84,4842.15
6471.0199999999995,5339.84,4842.15
6480.69,5339.84,4842.15
6531.48,5339.84,4842.15
6601.63,5339.84,4842.15
6685.94,5339.84,4842.15
6780.8,5339.84,4842.15
6877.37,5339.84,4842.15
6969.2699999999995,5339.84,4842.15
7047.6,5339.84,4842.15
7106.19,5339.84,4842.15
7131.0,5339.84,4842.15
7133.39,5339.84,4842.15
7107.15,5339.84,4842.15
7085.1,5339.84,4842.15
7036.01,5339.84,4842.15
6984.21,5339.84,4842.15
6929.25,5339.84,4842.15
6867.62,5339.84,4842.15
6800.43,5339.84,4842.15
6736.72,5339.84,4842.15
6676.1900000000005,5339.84,4842.15
6621.8,5339.84,4842.15
6591.29,5339.84,4842.15
6586.64,5339.84,4842.15
6610.6900000000005,5339.84,4842.15
6627.31,5339.84,4842.15
6669.45,5339.84,4842.15
6712.84,5339.84,4842.15
6760.46,5339.84,4842.15
6815.72,5339.84,4842.15
6876.05,5339.84,4842.15
6929.03,5339.84,4842.15
6977.86,5339.84,4842.15
7020.28,5339.84,4842.15
7040.89,5339.84,4842.15
7038.41,5339.84,4842.15
7037.7,5339.84,4842.15
7039.89,5339.84,4842.15
7020.02,5339.84,4842.15
6987.0,5339.84,4842.15
6939.93,5339.84,4842.15
6879.34,5339.84,4842.15
6807.61,5339.84,4842.15
6749.61,5339.84,4842.15
6693.83,5339.84,4842.15
6652.35,5339.84,4842.15
6633.34,5339.84,4842.15
6642.12,5339.84,4842.15
6646.42,5339.84,4842.15
6644.97,5339.84,4842.15
6666.73,5339.84,4842.15
6704.5,5339.84,4842.15
6756.28,5339.84,4842.15
6819.71,5339.84,4842.15
6893.469999999999,5339.84,4842.15
6956.25,5339.84,4842.15
7019.6,5339.84,4842.15
7068.94,5339.84,4842.15
7093.14,5339.84,4842.15
7089.24,5339.84,4842.15
7082.4400000000005,5339.84,4842.15
7076.95,5339.84,4842.15
7044.62,5339.84,4842.15
6994.57,5339.84,4842.15
6925.53,5339.84,4842.15
6842.45,5339.84,4842.15
6751.92,5339.84,4842.15
6669.21,5339.84,4842.15
6596.2300000000005,5339.84,4842.15
6542.09,5339.84,4842.15
6520.610000000001,5339.84,4842.15
6519.73,5339.84,4842.15
6522.17,5339.84,4842.15
6524.88,5339.84,4842.15
6553.3,5339.84,4842.15
6597.46,5339.84,4842.15
6661.11,5339.84,4842.15
6740.12,5339.84,4842.15
6830.71,5339.84,4842.15
6914.42,5339.84,4842.15
6987.09,5339.84,4842.15
7039.77,5339.84,4842.15
7060.73,5339.84,4842.15
7060.73,5339.84,4842.15
7053.2,5339.84,4842.15
7047.15,5339.84,4842.15
7011.59,5339.84,4842.15
6960.91,5339.84,4842.15
6898.27,5339.84,4842.15
6826.71,5339.84,4842.15
6745.08,5339.84,4842.15
6669.32,5339.84,4842.15
6601.01,5339.84,4842.15
6546.39,5339.84,4842.15
6518.61,5339.84,4842.15
6519.62,5339.84,4842.15
6528.41,5339.84,4842.15
6535.55,5339.84,4842.15
6570.47,5339.84,4842.15
6621.53,5339.84,4842.15
6684.66,5339.84,4842.15
6758.39,5339.84,4842.15
6841.62,5339.84,4842.15
6916.89,5339.84,4842.15
6986.08,5339.84,4842.15
7042.19,5339.84,4842.15
7071.43,5339.84,4842.15
7068.53,5339.84,4842.15
7051.84,5339.84,4842.15
7035.98,5339.84,4842.15
6985.44,5339.84,4842.15
6913.9,5339.84,4842.15
6831.92,5339.84,4842.15
6738.58,5339.84,4842.15
6636.9,5339.84,4842.15
6546.93,5339.84,4842.15
6462.47,5339.84,4842.15
6395.94,5339.84,4842.15
6364.5,5339.84,4842.15
6367.4,5339.84,4842.15
6384.9,5339.84,4842.15
6401.99,5339.84,4842.15
6455.4,5339.84,4842.15
6528.84,5339.84,4842.15
6612.79,5339.84,4842.15
6707.1900000000005,5339.84,4842.15
6809.01,5339.84,4842.15
6899.360000000001,5339.84,4842.15
6984.360000000001,5339.84,4842.15
7052.360000000001,5339.84,4842.15
7084.43,5339.84,4842.15
7081.78,5339.84,4842.15
7074.9400000000005,5339.84,4842.15
7067.37,5339.84,4842.15
7012.41,5339.84,4842.15
6924.66,5339.84,4842.15
6816.64,5339.84,4842.15
6693.39,5339.84,4842.15
6562.64,5339.84,4842.15
6447.07,5339.84,4842.15
6344.67,5339.84,4842.15
6261.7,5339.84,4842.15
6216.98,5339.84,4842.15
6218.55,5339.84,4842.15
6224.74,5339.84,4842.15
6232.27,5339.84,4842.15
6286.72,5339.84,4842.15
6374.26,5339.84,4842.15
6480.08,5339.84,4842.15
6601.7,5339.84,4842.15
6730.86,5339.84,4842.15
6845.29,5339.84,4842.15
6944.87,5339.84,4842.15
7023.85,5339.84,4842.15
7063.91,5339.84,4842.15
7059.38,5339.84,4842.15
7052.02,5339.84,4842.15
7048.66,5339.84,4842.15
7014.35,5339.84,4842.15
6962.26,5339.84,4842.15
6897.2300000000005,5339.84,4842.15
6822.63,5339.84,4842.15
6740.57,5339.84,4842.15
6669.92,5339.84,4842.15
6607.2300000000005,5339.84,4842.15
6562.150000000001,5339.84,4842.15
6546.2300000000005,5339.84,4842.15
6551.41,5339.84,4842.15
6559.28,5339.84,4842.15
6562.4,5339.84,4842.15
6596.39,5339.84,4842.15
6648.88,5339.84,4842.15
6714.38,5339.84,4842.15
6789.56,5339.84,4842.15
6872.110000000001,5339.84,4842.15
6942.88,5339.84,4842.15
7006.13,5339.84,4842.15
7052.3,5339.84,4842.15
7070.87,5339.84,4842.15
7068.77,5339.84,4842.15
7066.51,5339.84,4842.15
7066.29,5339.84,4842.15
7041.26,5339.84,4842.15
7001.9800000000005,5339.84,4842.15
6953.57,5339.84,4842.15
6894.02,5339.84,4842.15
6821.55,5339.84,4842.15
6758.04,5339.84,4842.15
6697.37,5339.84,4842.15
6647.85,5339.84,4842.15
6625.34,5339.84,4842.15
6626.66,5339.84,4842.15
6627.88,5339.84,4842.15
6627.87,5339.84,4842.15
6652.47,5339.84,4842.15
6689.1900000000005,5339.84,4842.15
6735.78,5339.84,4842.15
6792.96,5339.84,4842.15
6864.04,5339.84,4842.15
6927.62,5339.84,4842.15
6987.69,5339.84,4842.15
7036.2699999999995,5339.84,4842.15
7060.8099999999995,5339.84,4842.15
7061.9,5339.84,4842.15
7053.21,5339.84,4842.15
7048.68,5339.84,4842.15
7015.0,5339.84,4842.15
