slack_0,non_interrupt,interrupt
2524.93,1030.9,834.8
2515.07,1030.9,834.8
2514.66,1030.9,834.8
2520.95,1030.9,834.8
2568.58,1030.9,834.8
2648.55,1030.9,834.8
2742.7799999999997,1030.9,834.8
2811.38,1030.9,834.8
2886.57,1030.9,834.8
2946.58,1030.9,834.8
3017.56,1030.9,834.8
3071.39,1030.9,834.8
3077.4700000000003,1030.9,834.8
3095.52,1030.9,834.8
3095.91,1030.9,834.8
3086.21,1030.9,834.8
3009.25,1030.9,834.8
2889.63,1030.9,834.8
2752.06,1030.9,834.8
2634.2400000000002,1030.9,834.8
2524.45,1030.9,834.8
2446.78,1030.9,834.8
2350.15,1030.9,834.8
2266.9700000000003,1030.9,834.8
2216.14,1030.9,834.8
2148.31,1030.9,834.8
2081.98,1030.9,834.8
2011.74,1030.9,834.8
1973.81,1030.9,834.8
1955.41,1030.9,834.8
1937.16,1030.9,834.8
1917.49,1030.9,834.8
1914.71,1030.9,834.8
1910.85,1030.9,834.8
1927.19,1030.9,834.8
1958.2,1030.9,834.8
1987.59,1030.9,834.8
2033.34,1030.9,834.8
2080.94,1030.9,834.8
2135.05,1030.9,834.8
2176.05,1030.9,834.8
2204.53,1030.9,834.8
2231.94,1030.9,834.8
2274.84,1030.9,834.8
2331.02,1030.9,834.8
2402.84,1030.9,834.8
2461.96,1030.9,834.8
2496.47,1030.9,834.8
2516.91,1030.9,834.8
2531.57,1030.9,834.8
2553.87,1030.9,834.8
2619.58,1030.9,834.8
2701.93,1030.9,834.8
2820.01,1030.9,834.8
2932.19,1030.9,834.8
3032.58,1030.9,834.8
3128.19,1030.9,834.8
3211.32,1030.9,834.8
3284.51,1030.9,834.8
3407.42,1030.9,834.8
3564.28,1030.9,834.8
3713.59,1030.9,834.8
3789.37,1030.9,834.8
3828.17,1030.9,834.8
3860.64,1030.9,834.8
3855.83,1030.9,834.8
3891.83,1030.9,834.8
3970.7799999999997,1030.9,834.8
4060.2,1030.9,834.8
4167.18,1030.9,834.8
4305.51,1030.9,834.8
4412.62,1030.9,834.8
4487.8,1030.9,834.8
4553.83,1030.9,834.8
4692.41,1030.9,834.8
4820.59,1030.9,834.8
4941.9800000000005,1030.9,834.8
5094.16,1030.9,834.8
5202.06,1030.9,834.8
5262.96,1030.9,834.8
5306.8,1030.9,834.8
5333.8,1030.9,834.8
5350.24,1030.9,834.8
5357.14,1030.9,834.8
5331.45,1030.9,834.8
5293.69,1030.9,834.8
5226.69,1030.9,834.8
5122.14,1030.9,834.8
5027.24,1030.9,834.8
4914.53,1030.9,834.8
4813.68,1030.9,834.8
4702.4,1030.9,834.8
4566.69,1030.9,834.8
4414.43,1030.9,834.8
4232.72,1030.9,834.8
4056.46,1030.9,834.8
3899.29,1030.9,834.8
3764.96,1030.9,834.8
3668.73,1030.9,834.8
3614.7,1030.9,834.8
3585.44,1030.9,834.8
3581.8199999999997,1030.9,834.8
3578.2,1030.9,834.8
3583.82,1030.9,834.8
3606.19,1030.9,834.8
3643.16,1030.9,834.8
3717.01,1030.9,834.8
3793.95,1030.9,834.8
3886.61,1030.9,834.8
4003.46,1030.9,834.8
4131.63,1030.9,834.8
4277.08,1030.9,834.8
4415.2300000000005,1030.9,834.8
4539.6,1030.9,834.8
4673.43,1030.9,834.8
4841.52,1030.9,834.8
5007.99,1030.9,834.8
5162.83,1030.9,834.8
5281.73,1030.9,834.8
5391.18,1030.9,834.8
5486.29,1030.9,834.8
5529.71,1030.9,834.8
5542.33,1030.9,834.8
5544.110000000001,1030.9,834.8
5533.71,1030.9,834.8
5489.3,1030.9,834.8
5425.64,1030.9,834.8
5339.69,1030.9,834.8
5230.47,1030.9,834.8
5112.57,1030.9,834.8
5028.47,1030.9,834.8
4916.17,1030.9,834.8
4846.51,1030.9,834.8
4792.14,1030.9,834.8
