slack_0,non_interrupt,interrupt
2578.43,737.61,716.78
2557.15,737.61,716.78
2531.54,737.61,716.78
2513.43,737.61,716.78
2472.22,737.61,716.78
2421.8,737.61,716.78
2367.85,737.61,716.78
2308.12,737.61,716.78
2283.65,737.61,716.78
2260.85,737.61,716.78
2257.62,737.61,716.78
2283.76,737.61,716.78
2315.7400000000002,737.61,716.78
2347.21,737.61,716.78
2379.21,737.61,716.78
2402.36,737.61,716.78
2454.79,737.61,716.78
2524.08,737.61,716.78
2596.0,737.61,716.78
2653.21,737.61,716.78
2664.35,737.61,716.78
2669.21,737.61,716.78
2641.72,737.61,716.78
2593.22,737.61,716.78
2540.87,737.61,716.78
2485.0299999999997,737.61,716.78
2432.0,737.61,716.78
2372.79,737.61,716.78
2302.95,737.61,716.78
2220.3,737.61,716.78
2140.36,737.61,716.78
2072.68,737.61,716.78
2039.43,737.61,716.78
2016.83,737.61,716.78
2049.45,737.61,716.78
2104.54,737.61,716.78
2168.26,737.61,716.78
2242.46,737.61,716.78
2311.02,737.61,716.78
2379.73,737.61,716.78
2450.68,737.61,716.78
2561.9700000000003,737.61,716.78
2692.37,737.61,716.78
2810.92,737.61,716.78
2907.19,737.61,716.78
3011.61,737.61,716.78
3069.51,737.61,716.78
3110.99,737.61,716.78
3138.37,737.61,716.78
3155.41,737.61,716.78
3202.88,737.61,716.78
3248.25,737.61,716.78
3296.63,737.61,716.78
3304.18,737.61,716.78
3296.5699999999997,737.61,716.78
3311.8999999999996,737.61,716.78
3359.6499999999996,737.61,716.78
3407.46,737.61,716.78
3444.0699999999997,737.61,716.78
3456.98,737.61,716.78
3488.67,737.61,716.78
3521.22,737.61,716.78
3528.31,737.61,716.78
3541.61,737.61,716.78
3556.91,737.61,716.78
3607.5,737.61,716.78
3682.21,737.61,716.78
3719.26,737.61,716.78
3722.2200000000003,737.61,716.78
3718.3,737.61,716.78
3729.2200000000003,737.61,716.78
3768.78,737.61,716.78
3802.13,737.61,716.78
3835.29,737.61,716.78
3870.35,737.61,716.78
3908.33,737.61,716.78
3934.79,737.61,716.78
3903.53,737.61,716.78
3841.04,737.61,716.78
3815.58,737.61,716.78
3820.7,737.61,716.78
3837.2400000000002,737.61,716.78
3865.7400000000002,737.61,716.78
3851.3,737.61,716.78
3797.2200000000003,737.61,716.78
3723.03,737.61,716.78
3636.48,737.61,716.78
3548.82,737.61,716.78
3495.6400000000003,737.61,716.78
3500.55,737.61,716.78
3513.9500000000003,737.61,716.78
3519.51,737.61,716.78
3503.98,737.61,716.78
