slack_0,non_interrupt,interrupt
8278.56,6356.21,6250.73
8337.75,6356.21,6250.73
8383.34,6356.21,6250.73
8425.3,6356.21,6250.73
8448.65,6356.21,6250.73
8460.78,6356.21,6250.73
8460.8,6356.21,6250.73
8441.5,6356.21,6250.73
8400.99,6356.21,6250.73
8371.17,6356.21,6250.73
8349.1,6356.21,6250.73
8311.3,6356.21,6250.73
8262.94,6356.21,6250.73
8208.29,6356.21,6250.73
8168.59,6356.21,6250.73
8125.110000000001,6356.21,6250.73
8099.77,6356.21,6250.73
8089.68,6356.21,6250.73
8087.5,6356.21,6250.73
8104.63,6356.21,6250.73
8147.91,6356.21,6250.73
8181.35,6356.21,6250.73
8207.7,6356.21,6250.73
8252.93,6356.21,6250.73
8309.42,6356.21,6250.73
8373.44,6356.21,6250.73
8436.81,6356.21,6250.73
8491.02,6356.21,6250.73
8524.52,6356.21,6250.73
8540.14,6356.21,6250.73
8556.85,6356.21,6250.73
8561.81,6356.21,6250.73
8562.66,6356.21,6250.73
8537.53,6356.21,6250.73
8512.64,6356.21,6250.73
8480.93,6356.21,6250.73
8438.31,6356.21,6250.73
8383.9,6356.21,6250.73
8315.76,6356.21,6250.73
8266.63,6356.21,6250.73
8232.09,6356.21,6250.73
8214.98,6356.21,6250.73
8221.22,6356.21,6250.73
8242.54,6356.21,6250.73
8250.48,6356.21,6250.73
8279.57,6356.21,6250.73
8309.48,6356.21,6250.73
8358.34,6356.21,6250.73
8408.62,6356.21,6250.73
8435.99,6356.21,6250.73
8466.52,6356.21,6250.73
8476.09,6356.21,6250.73
8477.16,6356.21,6250.73
8481.72,6356.21,6250.73
8475.33,6356.21,6250.73
8456.04,6356.21,6250.73
8458.59,6356.21,6250.73
8463.29,6356.21,6250.73
8441.27,6356.21,6250.73
8410.880000000001,6356.21,6250.73
8387.45,6356.21,6250.73
8390.83,6356.21,6250.73
8387.48,6356.21,6250.73
8382.23,6356.21,6250.73
8400.95,6356.21,6250.73
8408.97,6356.21,6250.73
8431.07,6356.21,6250.73
8449.99,6356.21,6250.73
8419.05,6356.21,6250.73
8392.73,6356.21,6250.73
8397.67,6356.21,6250.73
8383.77,6356.21,6250.73
8364.91,6356.21,6250.73
8327.3,6356.21,6250.73
8307.2,6356.21,6250.73
8337.58,6356.21,6250.73
8318.31,6356.21,6250.73
8347.81,6356.21,6250.73
8342.87,6356.21,6250.73
8344.8,6356.21,6250.73
8389.17,6356.21,6250.73
8432.5,6356.21,6250.73
8469.01,6356.21,6250.73
8508.39,6356.21,6250.73
8542.95,6356.21,6250.73
8584.05,6356.21,6250.73
8627.89,6356.21,6250.73
8638.77,6356.21,6250.73
8684.65,6356.21,6250.73
8693.92,6356.21,6250.73
8715.67,6356.21,6250.73
8725.18,6356.21,6250.73
8732.09,6356.21,6250.73
8730.76,6356.21,6250.73
8724.67,6356.21,6250.73
8733.96,6356.21,6250.73
8730.61,6356.21,6250.73
8734.09,6356.21,6250.73
8735.91,6356.21,6250.73
8719.18,6356.21,6250.73
8692.61,6356.21,6250.73
8654.59,6356.21,6250.73
8599.24,6356.21,6250.73
8557.88,6356.21,6250.73
8514.85,6356.21,6250.73
8473.56,6356.21,6250.73
8435.47,6356.21,6250.73
8390.7,6356.21,6250.73
8369.5,6356.21,6250.73
8364.27,6356.21,6250.73
8353.23,6356.21,6250.73
8368.66,6356.21,6250.73
8388.62,6356.21,6250.73
8424.59,6356.21,6250.73
8472.06,6356.21,6250.73
8503.25,6356.21,6250.73
8534.27,6356.21,6250.73
8569.58,6356.21,6250.73
8606.35,6356.21,6250.73
8629.960000000001,6356.21,6250.73
8644.93,6356.21,6250.73
8653.53,6356.21,6250.73
8664.880000000001,6356.21,6250.73
8653.45,6356.21,6250.73
8640.92,6356.21,6250.73
8607.130000000001,6356.21,6250.73
8579.62,6356.21,6250.73
8524.6,6356.21,6250.73
8471.76,6356.21,6250.73
8464.42,6356.21,6250.73
8459.14,6356.21,6250.73
8456.58,6356.21,6250.73
8453.5,6356.21,6250.73
8452.08,6356.21,6250.73
8462.89,6356.21,6250.73
8484.81,6356.21,6250.73
8493.29,6356.21,6250.73
8517.62,6356.21,6250.73
8501.69,6356.21,6250.73
8520.57,6356.21,6250.73
8549.06,6356.21,6250.73
8532.28,6356.21,6250.73
8513.48,6356.21,6250.73
8501.88,6356.21,6250.73
8506.0,6356.21,6250.73
8493.8,6356.21,6250.73
8458.94,6356.21,6250.73
8412.98,6356.21,6250.73
8400.41,6356.21,6250.73
8379.539999999999,6356.21,6250.73
8388.45,6356.21,6250.73
8393.66,6356.21,6250.73
8395.94,6356.21,6250.73
8401.35,6356.21,6250.73
8390.34,6356.21,6250.73
8385.19,6356.21,6250.73
8360.13,6356.21,6250.73
8355.95,6356.21,6250.73
8379.45,6356.21,6250.73
8416.64,6356.21,6250.73
8420.52,6356.21,6250.73
8403.89,6356.21,6250.73
8391.41,6356.21,6250.73
8381.59,6356.21,6250.73
8366.1,6356.21,6250.73
8347.5,6356.21,6250.73
8346.11,6356.21,6250.73
8343.94,6356.21,6250.73
8354.5,6356.21,6250.73
8373.34,6356.21,6250.73
8383.7,6356.21,6250.73
8378.03,6356.21,6250.73
8378.83,6356.21,6250.73
8395.15,6356.21,6250.73
8410.79,6356.21,6250.73
8428.15,6356.21,6250.73
8447.470000000001,6356.21,6250.73
8469.93,6356.21,6250.73
8498.32,6356.21,6250.73
8537.460000000001,6356.21,6250.73
8586.76,6356.21,6250.73
8623.67,6356.21,6250.73
