slack_0,non_interrupt,interrupt
11791.66,8709.93,7946.33
11835.41,8709.93,7946.33
11834.34,8709.93,7946.33
11826.36,8709.93,7946.33
11816.43,8709.93,7946.33
11815.72,8709.93,7946.33
11801.96,8709.93,7946.33
11782.06,8709.93,7946.33
11746.9,8709.93,7946.33
11711.03,8709.93,7946.33
11702.46,8709.93,7946.33
11654.47,8709.93,7946.33
11605.34,8709.93,7946.33
11594.369999999999,8709.93,7946.33
11622.33,8709.93,7946.33
11656.52,8709.93,7946.33
11682.289999999999,8709.93,7946.33
11688.0,8709.93,7946.33
11674.6,8709.93,7946.33
11675.58,8709.93,7946.33
11701.15,8709.93,7946.33
11724.23,8709.93,7946.33
11725.28,8709.93,7946.33
11733.56,8709.93,7946.33
11741.41,8709.93,7946.33
11730.14,8709.93,7946.33
11722.11,8709.93,7946.33
11677.11,8709.93,7946.33
11671.6,8709.93,7946.33
11659.14,8709.93,7946.33
11694.01,8709.93,7946.33
11706.52,8709.93,7946.33
11695.98,8709.93,7946.33
11709.77,8709.93,7946.33
11738.41,8709.93,7946.33
11761.84,8709.93,7946.33
11751.14,8709.93,7946.33
11729.23,8709.93,7946.33
11663.08,8709.93,7946.33
11664.77,8709.93,7946.33
11651.89,8709.93,7946.33
11666.53,8709.93,7946.33
11662.34,8709.93,7946.33
11665.58,8709.93,7946.33
11686.74,8709.93,7946.33
11674.630000000001,8709.93,7946.33
11676.380000000001,8709.93,7946.33
11686.18,8709.93,7946.33
11731.51,8709.93,7946.33
11796.39,8709.93,7946.33
11889.54,8709.93,7946.33
11937.22,8709.93,7946.33
11955.16,8709.93,7946.33
11963.66,8709.93,7946.33
11968.3,8709.93,7946.33
11970.08,8709.93,7946.33
11971.27,8709.93,7946.33
11984.61,8709.93,7946.33
11946.87,8709.93,7946.33
11809.65,8709.93,7946.33
11700.08,8709.93,7946.33
11610.17,8709.93,7946.33
11503.57,8709.93,7946.33
11414.25,8709.93,7946.33
11385.44,8709.93,7946.33
11372.16,8709.93,7946.33
11361.91,8709.93,7946.33
11357.8,8709.93,7946.33
11354.38,8709.93,7946.33
11348.94,8709.93,7946.33
11389.94,8709.93,7946.33
11533.41,8709.93,7946.33
11642.77,8709.93,7946.33
11727.03,8709.93,7946.33
11827.17,8709.93,7946.33
11913.5,8709.93,7946.33
11932.22,8709.93,7946.33
11941.75,8709.93,7946.33
11946.24,8709.93,7946.33
11916.04,8709.93,7946.33
11863.24,8709.93,7946.33
11851.93,8709.93,7946.33
11791.07,8709.93,7946.33
11729.7,8709.93,7946.33
11636.94,8709.93,7946.33
11523.27,8709.93,7946.33
11444.2,8709.93,7946.33
11396.76,8709.93,7946.33
11393.51,8709.93,7946.33
11393.369999999999,8709.93,7946.33
11391.96,8709.93,7946.33
11417.41,8709.93,7946.33
11471.55,8709.93,7946.33
11488.78,8709.93,7946.33
11544.71,8709.93,7946.33
11614.92,8709.93,7946.33
11718.82,8709.93,7946.33
11839.86,8709.93,7946.33
11913.81,8709.93,7946.33
11956.94,8709.93,7946.33
11975.93,8709.93,7946.33
11981.57,8709.93,7946.33
11990.98,8709.93,7946.33
11958.05,8709.93,7946.33
11835.1,8709.93,7946.33
11679.39,8709.93,7946.33
11531.41,8709.93,7946.33
11374.94,8709.93,7946.33
11192.44,8709.93,7946.33
11016.02,8709.93,7946.33
10923.5,8709.93,7946.33
10848.58,8709.93,7946.33
10806.54,8709.93,7946.33
10788.21,8709.93,7946.33
10771.1,8709.93,7946.33
10801.07,8709.93,7946.33
10915.22,8709.93,7946.33
11060.119999999999,8709.93,7946.33
11207.69,8709.93,7946.33
11345.77,8709.93,7946.33
11506.55,8709.93,7946.33
11660.78,8709.93,7946.33
11742.82,8709.93,7946.33
11807.39,8709.93,7946.33
11831.4,8709.93,7946.33
11831.94,8709.93,7946.33
11831.529999999999,8709.93,7946.33
11778.539999999999,8709.93,7946.33
11646.64,8709.93,7946.33
11489.57,8709.93,7946.33
11335.52,8709.93,7946.33
11177.41,8709.93,7946.33
11030.11,8709.93,7946.33
10887.44,8709.93,7946.33
10791.73,8709.93,7946.33
10732.59,8709.93,7946.33
10710.96,8709.93,7946.33
10707.68,8709.93,7946.33
10708.06,8709.93,7946.33
10761.13,8709.93,7946.33
10892.98,8709.93,7946.33
11050.16,8709.93,7946.33
11204.29,8709.93,7946.33
11362.56,8709.93,7946.33
11509.92,8709.93,7946.33
11652.61,8709.93,7946.33
11748.35,8709.93,7946.33
11807.5,8709.93,7946.33
11829.13,8709.93,7946.33
11832.3,8709.93,7946.33
11832.14,8709.93,7946.33
11783.13,8709.93,7946.33
11644.47,8709.93,7946.33
11492.65,8709.93,7946.33
11319.29,8709.93,7946.33
11145.26,8709.93,7946.33
10982.869999999999,8709.93,7946.33
10829.73,8709.93,7946.33
10707.03,8709.93,7946.33
10583.96,8709.93,7946.33
10543.27,8709.93,7946.33
10542.95,8709.93,7946.33
10542.41,8709.93,7946.33
10590.93,8709.93,7946.33
10729.37,8709.93,7946.33
10881.09,8709.93,7946.33
11054.26,8709.93,7946.33
11228.24,8709.93,7946.33
11390.619999999999,8709.93,7946.33
11543.77,8709.93,7946.33
11666.47,8709.93,7946.33
11788.86,8709.93,7946.33
11829.539999999999,8709.93,7946.33
11832.74,8709.93,7946.33
11836.44,8709.93,7946.33
11802.619999999999,8709.93,7946.33
11730.64,8709.93,7946.33
11606.859999999999,8709.93,7946.33
11444.35,8709.93,7946.33
11267.789999999999,8709.93,7946.33
11070.59,8709.93,7946.33
10904.91,8709.93,7946.33
10766.61,8709.93,7946.33
10695.2,8709.93,7946.33
10670.5,8709.93,7946.33
10666.99,8709.93,7946.33
10663.94,8709.93,7946.33
10698.37,8709.93,7946.33
10770.52,8709.93,7946.33
10894.16,8709.93,7946.33
11056.66,8709.93,7946.33
11233.06,8709.93,7946.33
11430.07,8709.93,7946.33
11595.56,8709.93,7946.33
11733.69,8709.93,7946.33
11805.61,8709.93,7946.33
11830.14,8709.93,7946.33
11830.59,8709.93,7946.33
11830.2,8709.93,7946.33
11767.51,8709.93,7946.33
11606.47,8709.93,7946.33
11422.58,8709.93,7946.33
11233.82,8709.93,7946.33
11042.65,8709.93,7946.33
10914.1,8709.93,7946.33
10781.1,8709.93,7946.33
10647.57,8709.93,7946.33
10548.83,8709.93,7946.33
10517.99,8709.93,7946.33
10531.32,8709.93,7946.33
10544.72,8709.93,7946.33
10620.16,8709.93,7946.33
10795.77,8709.93,7946.33
10995.880000000001,8709.93,7946.33
11202.8,8709.93,7946.33
11413.14,8709.93,7946.33
11558.85,8709.93,7946.33
11702.22,8709.93,7946.33
11851.99,8709.93,7946.33
11967.84,8709.93,7946.33
12014.49,8709.93,7946.33
12012.16,8709.93,7946.33
12007.76,8709.93,7946.33
11964.39,8709.93,7946.33
11854.11,8709.93,7946.33
11680.21,8709.93,7946.33
11487.1,8709.93,7946.33
11280.98,8709.93,7946.33
11091.380000000001,8709.93,7946.33
10936.11,8709.93,7946.33
10843.61,8709.93,7946.33
10741.89,8709.93,7946.33
10707.84,8709.93,7946.33
10699.78,8709.93,7946.33
10703.37,8709.93,7946.33
10727.21,8709.93,7946.33
10814.25,8709.93,7946.33
10964.96,8709.93,7946.33
11134.34,8709.93,7946.33
11318.32,8709.93,7946.33
11489.12,8709.93,7946.33
11633.54,8709.93,7946.33
11706.29,8709.93,7946.33
11784.81,8709.93,7946.33
11794.2,8709.93,7946.33
11789.09,8709.93,7946.33
11770.43,8709.93,7946.33
11727.21,8709.93,7946.33
11631.1,8709.93,7946.33
11480.05,8709.93,7946.33
11286.8,8709.93,7946.33
11085.18,8709.93,7946.33
10882.11,8709.93,7946.33
10673.34,8709.93,7946.33
10483.06,8709.93,7946.33
10347.42,8709.93,7946.33
10291.23,8709.93,7946.33
10270.23,8709.93,7946.33
10246.78,8709.93,7946.33
10263.61,8709.93,7946.33
10332.04,8709.93,7946.33
10457.33,8709.93,7946.33
10628.29,8709.93,7946.33
10795.38,8709.93,7946.33
10964.18,8709.93,7946.33
11146.44,8709.93,7946.33
11316.76,8709.93,7946.33
11448.29,8709.93,7946.33
11511.01,8709.93,7946.33
11532.869999999999,8709.93,7946.33
11563.71,8709.93,7946.33
11575.96,8709.93,7946.33
11498.68,8709.93,7946.33
11361.85,8709.93,7946.33
11205.96,8709.93,7946.33
11089.05,8709.93,7946.33
11027.4,8709.93,7946.33
10994.51,8709.93,7946.33
10994.34,8709.93,7946.33
10963.619999999999,8709.93,7946.33
10967.99,8709.93,7946.33
10981.3,8709.93,7946.33
10988.91,8709.93,7946.33
11018.85,8709.93,7946.33
11112.62,8709.93,7946.33
11277.58,8709.93,7946.33
11466.24,8709.93,7946.33
11639.73,8709.93,7946.33
11758.15,8709.93,7946.33
11840.35,8709.93,7946.33
11889.04,8709.93,7946.33
11954.44,8709.93,7946.33
11974.97,8709.93,7946.33
11983.03,8709.93,7946.33
11994.41,8709.93,7946.33
11952.47,8709.93,7946.33
11840.63,8709.93,7946.33
11672.82,8709.93,7946.33
11490.72,8709.93,7946.33
11298.369999999999,8709.93,7946.33
11149.28,8709.93,7946.33
11024.43,8709.93,7946.33
10865.73,8709.93,7946.33
10782.43,8709.93,7946.33
10750.92,8709.93,7946.33
10754.15,8709.93,7946.33
10758.35,8709.93,7946.33
10816.45,8709.93,7946.33
10975.64,8709.93,7946.33
11178.89,8709.93,7946.33
11389.52,8709.93,7946.33
11597.03,8709.93,7946.33
11758.01,8709.93,7946.33
11889.91,8709.93,7946.33
12052.77,8709.93,7946.33
12144.01,8709.93,7946.33
12183.68,8709.93,7946.33
12189.15,8709.93,7946.33
12193.27,8709.93,7946.33
12167.41,8709.93,7946.33
12093.99,8709.93,7946.33
11961.38,8709.93,7946.33
11809.23,8709.93,7946.33
11649.85,8709.93,7946.33
11446.28,8709.93,7946.33
11256.17,8709.93,7946.33
11192.67,8709.93,7946.33
11164.33,8709.93,7946.33
11151.76,8709.93,7946.33
11152.48,8709.93,7946.33
11155.36,8709.93,7946.33
11187.7,8709.93,7946.33
11267.26,8709.93,7946.33
11405.26,8709.93,7946.33
11563.36,8709.93,7946.33
11731.56,8709.93,7946.33
11947.21,8709.93,7946.33
12156.18,8709.93,7946.33
12239.34,8709.93,7946.33
12277.97,8709.93,7946.33
12295.69,8709.93,7946.33
12295.61,8709.93,7946.33
12295.91,8709.93,7946.33
12234.98,8709.93,7946.33
12064.029999999999,8709.93,7946.33
11837.88,8709.93,7946.33
11645.66,8709.93,7946.33
11461.61,8709.93,7946.33
11283.88,8709.93,7946.33
11081.58,8709.93,7946.33
10911.21,8709.93,7946.33
10774.24,8709.93,7946.33
10696.89,8709.93,7946.33
10695.68,8709.93,7946.33
10692.82,8709.93,7946.33
10751.7,8709.93,7946.33
10921.82,8709.93,7946.33
11146.98,8709.93,7946.33
11338.33,8709.93,7946.33
11500.57,8709.93,7946.33
11654.09,8709.93,7946.33
11829.52,8709.93,7946.33
11972.85,8709.93,7946.33
12089.63,8709.93,7946.33
12153.17,8709.93,7946.33
12145.58,8709.93,7946.33
12133.89,8709.93,7946.33
12058.45,8709.93,7946.33
11900.76,8709.93,7946.33
11735.92,8709.93,7946.33
11591.26,8709.93,7946.33
11483.5,8709.93,7946.33
11346.27,8709.93,7946.33
11181.47,8709.93,7946.33
11013.16,8709.93,7946.33
10914.7,8709.93,7946.33
10880.13,8709.93,7946.33
10873.28,8709.93,7946.33
10870.61,8709.93,7946.33
10930.89,8709.93,7946.33
11071.21,8709.93,7946.33
11217.56,8709.93,7946.33
11341.99,8709.93,7946.33
11448.58,8709.93,7946.33
11586.27,8709.93,7946.33
11751.7,8709.93,7946.33
11920.93,8709.93,7946.33
12018.99,8709.93,7946.33
12052.63,8709.93,7946.33
12057.85,8709.93,7946.33
12060.32,8709.93,7946.33
12007.75,8709.93,7946.33
11854.34,8709.93,7946.33
11653.69,8709.93,7946.33
11492.31,8709.93,7946.33
11326.630000000001,8709.93,7946.33
11120.11,8709.93,7946.33
10917.2,8709.93,7946.33
10729.77,8709.93,7946.33
10600.17,8709.93,7946.33
10553.83,8709.93,7946.33
10547.61,8709.93,7946.33
10544.22,8709.93,7946.33
10596.42,8709.93,7946.33
10748.19,8709.93,7946.33
10939.02,8709.93,7946.33
11081.94,8709.93,7946.33
11227.36,8709.93,7946.33
11411.72,8709.93,7946.33
11591.81,8709.93,7946.33
11755.29,8709.93,7946.33
11856.97,8709.93,7946.33
11874.14,8709.93,7946.33
11858.68,8709.93,7946.33
11842.58,8709.93,7946.33
11769.039999999999,8709.93,7946.33
11605.05,8709.93,7946.33
11407.26,8709.93,7946.33
11192.7,8709.93,7946.33
10969.2,8709.93,7946.33
10745.01,8709.93,7946.33
10545.19,8709.93,7946.33
10370.78,8709.93,7946.33
10250.4,8709.93,7946.33
10224.94,8709.93,7946.33
10227.05,8709.93,7946.33
10229.72,8709.93,7946.33
10288.75,8709.93,7946.33
10438.52,8709.93,7946.33
10628.119999999999,8709.93,7946.33
10840.27,8709.93,7946.33
11062.77,8709.93,7946.33
11287.86,8709.93,7946.33
11488.33,8709.93,7946.33
11663.76,8709.93,7946.33
11789.77,8709.93,7946.33
11823.08,8709.93,7946.33
11823.58,8709.93,7946.33
11823.33,8709.93,7946.33
11769.52,8709.93,7946.33
11620.92,8709.93,7946.33
11431.130000000001,8709.93,7946.33
11240.62,8709.93,7946.33
11030.59,8709.93,7946.33
10803.06,8709.93,7946.33
10637.79,8709.93,7946.33
10484.4,8709.93,7946.33
10372.26,8709.93,7946.33
10336.789999999999,8709.93,7946.33
10338.039999999999,8709.93,7946.33
10342.89,8709.93,7946.33
10402.38,8709.93,7946.33
10556.57,8709.93,7946.33
10757.58,8709.93,7946.33
10959.25,8709.93,7946.33
11185.97,8709.93,7946.33
11431.06,8709.93,7946.33
11615.47,8709.93,7946.33
11788.49,8709.93,7946.33
11918.96,8709.93,7946.33
11971.57,8709.93,7946.33
11985.81,8709.93,7946.33
11995.02,8709.93,7946.33
11947.81,8709.93,7946.33
11812.34,8709.93,7946.33
11648.38,8709.93,7946.33
11481.55,8709.93,7946.33
11313.09,8709.93,7946.33
11120.37,8709.93,7946.33
10945.57,8709.93,7946.33
10811.21,8709.93,7946.33
10716.97,8709.93,7946.33
10687.32,8709.93,7946.33
10692.32,8709.93,7946.33
10700.99,8709.93,7946.33
10766.73,8709.93,7946.33
10922.33,8709.93,7946.33
11106.31,8709.93,7946.33
11297.8,8709.93,7946.33
11486.039999999999,8709.93,7946.33
11697.92,8709.93,7946.33
11885.74,8709.93,7946.33
12033.44,8709.93,7946.33
12141.81,8709.93,7946.33
12189.01,8709.93,7946.33
12200.49,8709.93,7946.33
12208.52,8709.93,7946.33
12161.06,8709.93,7946.33
12048.58,8709.93,7946.33
11867.77,8709.93,7946.33
11704.98,8709.93,7946.33
11549.93,8709.93,7946.33
11385.24,8709.93,7946.33
11229.72,8709.93,7946.33
11088.59,8709.93,7946.33
10959.53,8709.93,7946.33
10894.09,8709.93,7946.33
10884.23,8709.93,7946.33
10877.84,8709.93,7946.33
10924.72,8709.93,7946.33
11038.5,8709.93,7946.33
11216.61,8709.93,7946.33
11378.13,8709.93,7946.33
11533.41,8709.93,7946.33
11696.42,8709.93,7946.33
11858.65,8709.93,7946.33
12003.43,8709.93,7946.33
12137.08,8709.93,7946.33
12204.96,8709.93,7946.33
12220.39,8709.93,7946.33
12230.32,8709.93,7946.33
12206.61,8709.93,7946.33
12098.78,8709.93,7946.33
11935.6,8709.93,7946.33
11767.69,8709.93,7946.33
11562.84,8709.93,7946.33
11335.84,8709.93,7946.33
11089.83,8709.93,7946.33
10869.77,8709.93,7946.33
10712.22,8709.93,7946.33
10627.21,8709.93,7946.33
10604.45,8709.93,7946.33
10592.34,8709.93,7946.33
10606.8,8709.93,7946.33
10698.33,8709.93,7946.33
10840.7,8709.93,7946.33
10987.46,8709.93,7946.33
11174.85,8709.93,7946.33
11397.66,8709.93,7946.33
11628.59,8709.93,7946.33
