slack_0,non_interrupt,interrupt
12726.85,12018.27,9701.42
12786.38,12018.27,9747.18
12853.77,12018.27,9797.76
12927.18,12018.27,9851.62
12977.98,12018.27,9882.9
13033.45,12018.27,9917.92
13065.39,12018.27,9935.44
13106.91,12018.27,9963.64
13141.57,12018.27,9989.0
13136.53,12018.27,9989.0
13100.4,12018.27,9989.0
12996.84,12018.27,9989.0
12847.04,12018.27,9989.0
12683.95,12018.27,9989.0
12564.7,12018.27,9989.0
12432.41,12018.27,9989.0
12284.73,12018.27,9989.0
12201.3,12018.27,9988.53
12151.65,12018.27,9988.14
12108.96,12018.27,9988.14
12088.98,12018.27,9988.14
12083.58,12018.27,9988.14
12077.35,12018.27,9988.14
12084.88,12018.27,9988.14
12089.96,12018.27,9988.14
12089.59,12018.27,9931.91
12087.77,12018.27,9882.47
12090.96,12018.27,9829.18
12085.31,12018.27,9775.18
12076.97,12018.27,9717.67
12062.48,12018.27,9659.66
12048.11,12018.27,9600.29
12037.88,12018.27,9539.61
12031.83,12018.27,9479.4
12024.66,12018.27,9418.97
12019.59,12018.27,9364.59
12018.27,12018.27,9359.88
12022.46,12022.17,9359.94
12026.04,12022.17,9359.94
12022.17,12022.17,9359.0
12054.25,12049.34,9357.74
12061.64,12049.34,9346.87
12049.34,12049.34,9339.89
12066.84,12066.84,9340.68
12118.26,12118.26,9375.83
12193.42,12193.42,9431.84
12269.1,12269.1,9489.03
12349.08,12291.03,9545.18
12430.09,12291.03,9600.63
12480.64,12291.03,9618.2
12456.11,12291.03,9573.88
12431.43,12291.03,9528.9
12365.96,12291.03,9466.52
12314.28,12291.03,9404.24
12300.73,12291.03,9369.41
12291.03,12291.03,9341.23
12297.84,12297.84,9357.96
12327.36,12327.36,9368.01
12337.37,12337.37,9353.93
12353.26,12353.26,9349.61
12391.11,12391.11,9348.2
12423.31,12402.4,9345.83
12460.54,12364.25,9344.91
12534.09,12294.38,9348.59
12594.03,12244.67,9358.82
12732.97,12111.28,9364.37
12793.47,12063.52,9377.11
12868.53,12003.53,9388.27
12913.21,11979.86,9399.27
12946.69,11969.45,9411.19
12983.58,11959.84,9423.08
13012.46,11943.88,9428.5
13036.26,11935.15,9433.67
13065.78,11926.42,9446.83
13096.04,11918.87,9460.81
13125.15,11912.66,9474.86
13151.2,11904.62,9487.46
13172.01,11900.39,9499.07
13188.79,11891.51,9506.97
13202.06,11889.27,9512.11
13206.83,11884.91,9512.11
13239.08,11884.91,9515.28
13322.91,11884.91,9525.05
13395.0,11884.91,9534.36
13457.55,11877.7,9540.25
13468.66,11877.03,9550.69
13472.93,11877.03,9558.35
13479.6,11877.03,9564.16
13487.97,11877.03,9568.69
13498.9,11864.36,9562.95
13507.11,11850.96,9557.76
13510.93,11834.79,9547.42
13511.4,11818.01,9537.63
13519.43,11804.59,9533.18
13539.41,11790.69,9539.26
13566.94,11773.36,9549.46
13594.83,11754.68,9558.67
13627.67,11741.55,9575.05
13665.67,11732.55,9593.11
13703.72,11729.65,9612.83
13740.16,11719.18,9633.65
13771.62,11704.5,9650.43
13795.5,11699.45,9669.26
13815.24,11693.92,9683.47
13839.52,11679.43,9693.26
13872.8,11667.4,9714.51
13949.44,11658.59,9738.23
14028.11,11658.59,9762.74
14102.55,11629.37,9787.15
14125.94,11619.31,9800.48
14147.62,11611.21,9814.06
14161.9,11605.12,9822.25
14164.39,11594.17,9813.79
14164.35,11577.17,9796.75
14160.84,11573.94,9790.01
14151.5,11573.94,9783.66
