slack_0,non_interrupt,interrupt
77921.63,77910.51,75627.68
77923.11,77910.51,75635.39
77919.41,77910.51,75642.87
77914.11,77910.51,75648.07
77913.34,77910.51,75653.96
77910.51,77910.51,75658.02
77912.18,77910.59,75659.41
77912.63,77910.59,75661.12
77910.59,77910.59,75659.66
77911.51,77911.51,75659.66
77912.19,77912.19,75659.66
77912.44,77912.38,75659.66
77912.44,77912.38,75659.66
77912.38,77912.38,75659.66
77913.24,77913.24,75659.95
77913.94,77913.94,75659.95
77914.59,77914.59,75659.97
77915.26,77915.26,75660.25
77915.84,77915.84,75660.25
77916.85,77916.85,75660.41
77917.48,77917.48,75660.41
77917.89,77917.89,75660.51
77918.44,77918.44,75660.95
77920.69,77920.69,75663.25
77924.93,77924.93,75667.5
77934.3,77934.3,75675.51
77948.46,77948.46,75685.99
77961.56,77961.56,75701.54
77979.88,77979.88,75726.69
77996.1,77996.1,75749.73
78013.08,78013.08,75767.68
78033.04,78033.04,75785.13
78048.39,78047.37,75791.62
78048.65,78047.37,75791.62
78047.84,78047.37,75791.62
78047.37,78047.37,75791.85
78047.84,78047.84,75792.12
78048.04,78048.04,75792.64
78048.49,78048.49,75793.47
78048.59,78048.59,75794.07
78049.04,78049.04,75794.79
78049.59,78049.59,75794.95
78050.58,78050.58,75794.95
78051.82,78051.82,75794.95
78052.58,78052.58,75794.95
78053.46,78053.46,75795.41
78054.32,78054.32,75795.83
78055.24,78055.24,75796.0
78066.95,78066.95,75815.47
78077.9,78077.9,75840.52
78090.72,78090.72,75872.94
78103.24,78103.24,75908.13
78116.21,78116.21,75939.72
78125.05,78125.05,75969.3
78138.05,78138.05,76001.22
78149.41,78149.41,76026.66
78158.52,78158.52,76043.72
78159.24,78159.24,76043.76
78159.81,78159.81,76043.76
78160.35,78160.35,76043.9
78160.68,78160.4,76044.04
78160.4,78160.4,76044.04
78160.85,78160.85,76044.3
78161.2,78161.2,76044.71
78162.2,78161.61,76045.46
78164.12,78161.61,76046.37
78165.11,78161.61,76046.45
78166.73,78161.61,76046.77
78168.22,78161.61,76047.32
78169.75,78161.61,76048.13
78171.18,78161.61,76049.0
78162.73,78161.61,76049.65
78161.61,78161.61,76053.6
78172.18,78172.18,76063.28
78192.25,78192.25,76079.96
78213.45,78213.45,76096.64
78238.39,78238.39,76111.89
78260.14,78260.14,76127.94
78275.57,78275.57,76134.3
78282.93,78282.93,76135.87
78283.61,78283.61,76133.03
78284.98,78284.98,76133.33
78286.5,78286.5,76133.81
78287.43,78287.43,76134.26
78288.92,78288.92,76135.06
78290.29,78290.29,76135.95
78291.48,78291.48,76136.72
78293.32,78293.32,76137.38
78294.42,78294.42,76137.61
78296.36,78296.36,76138.15
78297.89,78297.89,76138.15
78299.88,78299.88,76138.28
78301.62,78301.62,76138.5
78302.45,78302.45,76138.95
78303.02,78303.02,76139.23
78304.06,78304.06,76136.8
78309.42,78309.42,76136.26
78318.22,78317.23,76136.97
78328.72,78317.23,76138.19
78338.01,78317.23,76138.9
78342.25,78317.23,76135.71
78346.24,78317.23,76134.04
78345.08,78317.23,76129.56
78342.14,78317.23,76127.33
78338.89,78317.23,76125.01
78339.63,78317.23,76125.01
78340.41,78317.23,76125.01
78341.23,78317.23,76125.01
78341.31,78317.23,76125.01
78341.4,78317.23,76125.01
78341.88,78317.23,76125.01
78343.56,78317.23,76125.26
78345.17,78317.23,76125.68
78347.25,78317.23,76125.8
78349.91,78317.23,76125.8
78352.83,78317.23,76125.96
78355.88,78317.23,76126.34
78357.63,78317.23,76126.83
78358.45,78317.23,76126.89
78355.21,78317.23,76130.83
78351.97,78317.23,76132.12
78345.2,78317.23,76131.74
78336.02,78317.23,76130.72
78325.51,78317.23,76130.17
78318.63,78317.23,76130.62
78317.23,78317.23,76132.55
78327.47,78327.47,76140.43
78342.67,78342.67,76149.48
78358.36,78358.36,76157.53
78363.22,78363.22,76160.55
78364.67,78364.67,76160.55
78365.58,78365.58,76160.55
78366.43,78366.43,76160.55
78367.29,78367.29,76160.71
78368.78,78368.12,76161.47
78370.05,78368.12,76161.69
78371.09,78368.12,76161.69
78372.81,78368.12,76161.84
78374.87,78368.12,76162.0
78376.97,78368.12,76162.2
78378.63,78368.12,76162.46
78379.93,78368.12,76162.46
78380.64,78368.12,76162.46
78376.28,78368.12,76161.76
78370.31,78368.12,76154.9
78368.12,78368.12,76149.76
