slack_0,non_interrupt,interrupt
63034.55,63034.55,59063.42
63117.41,63117.41,59127.85
63184.41,63184.41,59179.31
63239.0,63239.0,59230.42
63318.96,63318.96,59295.98
63392.72,63392.72,59357.15
63485.4,63485.4,59437.08
63576.05,63576.05,59522.44
63665.12,63665.12,59609.48
63748.77,63748.77,59704.69
63816.28,63816.28,59847.8
63858.8,63824.24,60001.48
63881.19,63824.24,60151.55
63896.7,63824.24,60304.29
63911.57,63824.24,60455.67
63918.7,63824.24,60593.42
63907.42,63824.24,60693.1
63884.06,63824.24,60762.39
63866.0,63824.24,60839.85
63837.4,63824.24,60913.44
63830.95,63824.24,61002.78
63824.24,63824.24,61096.71
63872.2,63872.2,61187.25
63926.45,63926.45,61277.07
64046.86,64046.86,61379.64
64140.35,64140.35,61490.34
64157.25,64157.25,61594.51
64170.19,64163.94,61719.4
64173.51,64163.94,61851.83
64163.94,64163.94,61975.36
64165.26,64165.26,62096.35
64177.54,64177.54,62211.9
64201.93,64201.93,62324.47
64249.02,64249.02,62451.51
64298.68,64298.68,62556.06
64351.06,64351.06,62666.35
64404.45,64404.45,62752.85
64470.54,64470.54,62832.3
64542.93,64542.93,62904.35
64632.54,64632.54,62980.02
64745.21,64745.21,63067.13
64897.14,64897.14,63177.72
65057.840000000004,65057.84,63284.24
65238.19,65238.19,63409.72
65428.85,65428.85,63536.62
65629.86,65629.86,63654.38
65832.6,65832.6,63775.13
66072.24,66072.24,63923.07
66315.52,66315.52,64068.73
66567.92,66567.92,64195.99
66814.88,66814.88,64305.49
67062.11,67062.11,64405.54
67298.15,67298.15,64501.6
67526.08,67526.08,64604.34
67750.28,67750.28,64707.46
67975.57,67975.57,64825.86
68200.77,68200.77,64940.53
68413.05,68413.05,65042.7
68604.84,68604.84,65128.4
68784.77,68784.77,65200.99
68955.43,68955.43,65260.05
69126.28,69126.28,65318.32
69296.98,69296.98,65376.36
69466.19,69466.19,65439.1
69624.0,69624.0,65503.29
69783.29,69783.29,65578.65
69939.55,69939.55,65649.21
70089.8,70089.8,65718.86
70246.45,70246.45,65797.17
70387.01,70387.01,65877.8
70512.64,70512.64,65964.61
70628.44,70628.44,66053.07
70741.5,70741.5,66140.6
70834.2,70834.2,66214.52
70908.41,70908.41,66270.48
70967.38,70967.38,66313.51
71008.6,70977.5,66343.88
71051.56,70977.5,66364.93
71088.49,70977.5,66376.2
71099.26,70977.5,66376.2
71072.88,70977.5,66376.2
71042.1,70977.5,66376.2
71016.94,70977.5,66376.2
71000.29,70977.5,66392.02
70980.91,70977.5,66419.64
70977.5,70977.5,66461.87
70989.05,70989.05,66508.52
71006.88,71006.88,66539.09
71028.28,71028.28,66546.61
71052.39,71052.39,66546.61
71077.06,71077.06,66546.61
71121.9,71121.9,66546.61
71191.7,71191.7,66552.32
71284.42,71284.42,66586.68
71399.84,71399.84,66641.88
71528.1,71528.1,66711.31
71678.43,71678.43,66804.75
71845.63,71845.63,66914.95
72030.42,72030.42,67042.41
72225.3,72225.3,67179.55
72427.26,72427.26,67321.04
72620.89,72620.89,67457.56
72817.75,72817.75,67591.76
73004.49,73004.49,67713.06
73186.48,73186.48,67826.54
73364.43,73364.43,67933.87
73529.64,73529.64,68033.02
73688.76,73688.76,68115.34
73840.8,73840.8,68179.44
73988.31,73988.31,68231.25
74132.68,74132.68,68282.26
74274.77,74274.77,68325.45
74422.04,74422.04,68367.18
74583.7,74583.7,68420.33
74748.2,74748.2,68462.4
74910.4,74910.4,68491.32
75075.2,75075.2,68509.94
75225.75,75225.75,68511.04
75371.48,75371.48,68510.1
75516.85,75516.85,68519.56
75644.93,75644.93,68506.19
75753.47,75753.47,68470.02
75839.32,75839.32,68411.07
75899.16,75864.28,68323.51
75933.5,75864.28,68213.73
75943.95,75864.28,68085.21
75937.18,75864.28,67971.18
75920.64,75864.28,67870.52
75899.48,75864.28,67784.79
75882.36,75864.28,67698.29
75868.19,75864.28,67588.45
75864.28,75864.28,67464.73
75865.43,75865.43,67339.23
75868.34,75868.34,67222.75
75871.92,75871.92,67110.59
75881.97,75881.97,67011.37
75896.98,75896.98,66914.86
75931.29,75931.29,66840.3
75976.93,75976.93,66772.08
76042.71,76042.71,66721.75
76145.41,76145.41,66715.71
76271.61,76271.61,66740.55
76405.24,76405.24,66785.85
76544.02,76544.02,66848.29
76686.87,76686.87,66917.76
76835.19,76828.48,66993.31
76988.92,76765.21,67083.77
77144.37,76706.85,67180.86
77299.97,76653.46,67283.07
77449.15,76602.4,67381.19
77602.57,76558.79,67491.0
77750.2,76518.44,67592.03
77888.0,76475.18,67675.12
78019.14,76427.26,67752.61
78144.35,76372.53,67823.09
78267.88,76298.63,67872.72
78389.24,76226.92,67922.37
78507.51,76145.2,67958.92
78625.8,76056.38,67988.39
78738.35,75955.67,68000.23
78859.52,75839.21,68004.94
78978.24,75723.24,68007.69
79100.52,75599.46,68006.19
79215.33,75466.92,67988.46
79323.16,75326.33,67955.7
79413.64,75186.38,67906.23
79507.75,75044.71,67858.67
79591.6,74888.16,67785.97
79688.15,74740.17,67734.53
79778.51,74599.79,67684.51
79868.26,74466.08,67640.55
79964.38,74345.05,67615.64
80044.13,74244.68,67595.02
80125.03,74148.34,67579.58
80200.15,74078.71,67585.07
80282.99,74020.49,67609.69
80368.79,73985.73,67640.84
80463.68,73959.76,67685.86
80569.93,73944.58,67776.93
80691.46,73930.04,67883.92
80819.14,73917.6,67999.16
80956.37,73899.79,68118.58
81101.55,73875.12,68239.09
81255.83,73840.64,68358.89
81417.5,73785.92,68465.84
81592.62,73761.32,68583.88
81764.08,73739.73,68703.34
81937.83,73731.05,68829.61
82100.53,73731.05,68949.2
82261.23,73731.05,69074.98
82355.95,73731.05,69142.72
82436.41,73731.05,69204.13
82458.63,73731.05,69211.79
82508.98,73731.05,69254.44
82621.68000000001,73731.05,69367.57
82746.65,73731.05,69505.52
82875.76,73731.05,69661.87
83008.86,73731.05,69827.2
83128.53,73731.05,69988.81
83231.8,73731.05,70138.83
83319.98,73731.05,70278.45
83399.93000000001,73731.05,70407.55
83454.82,73731.05,70555.74
83512.73,73731.05,70692.06
83545.84,73731.05,70818.01
83559.2,73731.05,70932.32
83558.86,73731.05,71032.08
83544.92,73731.05,71121.52
83519.36,73731.05,71179.26
83478.02,73731.05,71184.28
83423.84,73731.05,71184.28
83368.97,73731.05,71184.28
83305.21,73731.05,71184.28
83221.96,73731.05,71184.28
83139.97,73731.05,71184.28
83048.27,73731.05,71184.28
82950.65,73731.05,71184.28
82825.51,73731.05,71184.28
82688.05,73731.05,71184.28
82540.87,73731.05,71184.28
82400.89,73731.05,71184.28
82275.7,73731.05,71184.28
82154.62,73731.05,71184.28
82047.73,73731.05,71184.28
81937.2,73731.05,71184.28
81827.09,73731.05,71184.28
81721.0,73731.05,71184.28
81613.66,73731.05,71188.34
81502.06,73731.05,71197.39
81389.48,73731.05,71205.51
81276.82,73731.05,71213.02
81170.35,73731.05,71213.02
81076.73,73731.05,71213.02
81012.62,73731.05,71213.02
80958.96,73731.05,71213.02
80923.49,73731.05,71213.02
80896.58,73731.05,71213.02
80884.82,73731.05,71213.02
80897.23,73731.05,71213.02
80923.29,73731.05,71213.02
80953.69,73731.05,71213.02
80992.31,73731.05,71215.54
81035.13,73731.05,71217.56
81083.46,73731.05,71222.11
81135.49,73731.05,71231.94
81184.96,73731.05,71231.94
81243.44,73731.05,71231.94
81299.11,73731.05,71231.94
81367.02,73731.05,71231.94
81427.77,73731.05,71231.94
81480.78,73731.05,71265.37
81529.81,73731.05,71318.57
81582.14,73731.05,71382.95
81628.83,73731.05,71443.7
81669.04,73731.05,71495.09
81698.33,73731.05,71524.49
81730.65,73731.05,71526.7
81767.15,73731.05,71526.7
81805.6,73731.05,71526.7
81835.94,73731.05,71526.7
81853.99,73731.05,71526.7
81867.76,73731.05,71526.7
81875.93,73731.05,71526.7
81878.24,73731.05,71526.7
81872.98,73731.05,71526.7
81857.1,73731.05,71526.7
81827.28,73731.05,71526.7
81785.22,73731.05,71526.7
81735.15,73731.05,71526.7
81678.42,73731.05,71526.7
81630.66,73731.05,71526.7
81586.77,73731.05,71526.7
81541.81,73731.05,71526.7
81481.72,73731.05,71526.7
81415.66,73731.05,71493.83
81338.86,73731.05,71448.84
81250.92,73731.05,71395.17
81155.22,73731.05,71334.01
81061.86,73731.05,71274.41
80962.96,73731.05,71203.24
80857.42,73731.05,71143.04
80748.91,73731.05,71126.42
80626.48,73731.05,71093.47
80493.2,73731.05,71038.72
80347.02,73731.05,70967.18
80197.57,73731.05,70871.36
80050.9,73731.05,70753.93
79914.99,73731.05,70619.99
79773.54,73731.05,70471.77
79628.83,73731.05,70315.89
79484.03,73731.05,70160.57
79336.63,73731.05,70006.22
79192.51,73731.05,69854.41
79044.27,73731.05,69711.41
78903.79,73731.05,69569.25
78768.5,73731.05,69450.59
78641.07,73731.05,69347.16
78510.52,73731.05,69242.85
78402.27,73731.05,69118.99
78282.46,73731.05,69006.47
78155.81,73731.05,68903.66
78036.42,73731.05,68807.37
77920.68,73731.05,68710.63
77811.41,73731.05,68603.58
77699.89,73731.05,68486.34
77579.37,73731.05,68403.44
77465.51,73731.05,68321.39
77349.4,73731.05,68237.46
77240.66,73731.05,68141.27
77139.3,73731.05,68029.15
77050.97,73731.05,67920.6
76974.63,73731.05,67807.35
76901.25,73731.05,67688.77
76828.48,73731.05,67559.38
76765.21,73731.05,67432.05
76706.85,73731.05,67316.46
76653.46,73731.05,67213.64
76602.4,73731.05,67134.29
76558.79,73731.05,67101.19
76518.44,73731.05,67101.19
76475.18,73731.05,67101.19
76427.26,73731.05,67101.19
76372.53,73731.05,67081.85
76298.63,73731.05,67045.39
76226.92,73731.05,67006.0
76145.2,73731.05,66955.54
76056.38,73731.05,66904.4
75955.67,73731.05,66864.76
75839.21,73731.05,66856.71
75723.24,73731.05,66856.71
75599.46,73731.05,66856.71
75466.92,73731.05,66852.04
75326.33,73731.05,66814.39
75186.38,73731.05,66741.48
75044.71,73731.05,66650.64
74888.16,73731.05,66546.01
74740.17,73731.05,66419.35
74599.79,73731.05,66291.37
74466.08,73731.05,66165.47
74345.05,73731.05,66044.86
74244.68,73731.05,65924.76
74148.34,73731.05,65808.76
74078.71,73731.05,65694.49
74020.49,73731.05,65579.83
73985.73,73731.05,65480.78
73959.76,73731.05,65375.3
73944.58,73731.05,65241.49
73930.04,73731.05,65091.94
73917.6,73731.05,64918.29
73899.79,73731.05,64740.83
73875.12,73731.05,64581.1
73840.64,73731.05,64434.82
73785.92,73731.05,64303.4
73761.32,73731.05,64210.05
73739.73,73731.05,64120.64
73731.05,73731.05,64028.85
73732.77,73732.77,63940.91
73738.59,73738.59,63850.61
73755.07,73755.07,63731.52
73782.32,73782.32,63618.1
73819.55,73819.55,63500.17
73862.6,73862.6,63379.02
73911.48,73911.48,63258.04
73972.13,73972.13,63141.21
74044.28,74044.2,63029.88
74125.24,73839.77,62921.95
74221.26,73630.74,62815.17
74323.84,73421.55,62710.65
74429.58,73233.98,62628.82
74522.25,73055.38,62543.64
74615.55,72904.31,62485.87
74693.96,72760.25,62420.22
74786.8,72621.28,62374.09
74887.75,72490.88,62344.64
74987.85,72373.6,62327.46
75091.23,72261.7,62318.94
75182.84,72182.67,62331.52
75290.51,72114.94,62331.52
75396.06,72063.66,62331.52
75491.95,72001.71,62331.52
75588.46,71915.89,62331.52
75695.96,71814.53,62335.94
75798.71,71681.51,62305.67
75897.18,71520.38,62243.01
75989.38,71339.8,62155.23
76099.58,71142.57,62068.2
76220.86,70948.87,61995.78
76355.49,70748.09,61929.63
76504.01,70538.71,61868.77
76651.14,70330.81,61808.0
76792.18,70131.62,61749.85
76920.39,69966.35,61712.79
77044.84,69810.97,61681.86
77163.71,69653.85,61643.61
77276.46,69515.74,61618.25
77391.39,69378.78,61596.22
77512.04,69243.86,61581.95
77632.74,69106.54,61565.33
77752.91,68974.19,61553.15
77863.25,68828.58,61517.88
77959.42,68673.43,61458.9
78046.08,68511.01,61425.44
78120.49,68353.0,61397.06
78180.93,68193.76,61367.15
78232.94,68024.01,61327.5
78276.09,67843.23,61265.01
78312.05,67659.27,61197.38
78340.45,67486.58,61137.81
78364.87,67319.14,61084.09
78383.33,67165.87,61043.41
78397.49,67018.56,61009.34
78408.63,66866.2,60972.51
78422.18,66701.92,60928.6
78426.18,66536.34,60883.2
78429.97,66350.73,60830.95
78439.56,66183.29,60804.85
78433.81,66018.49,60782.75
78422.24,65843.75,60739.44
78421.01,65682.69,60669.08
78429.81,65528.94,60593.28
78441.86,65375.43,60511.21
78455.92,65218.63,60425.18
78467.1,65057.06,60336.92
78473.93,64888.95,60251.15
78472.61,64714.9,60181.73
78478.49,64520.94,60139.63
78482.35,64334.18,60102.96
78486.1,64144.43,60062.18
78490.6,63948.56,60015.36
78491.88,63749.8,59954.66
78490.64,63552.38,59889.5
78492.12,63357.61,59823.97
78495.83,63157.59,59746.91
78501.4,62963.13,59667.5
78512.34,62769.68,59581.89
78530.06,62584.75,59500.35
78543.0,62416.87,59426.31
78567.4,62264.14,59369.51
78578.77,62127.58,59331.51
78583.15,62031.51,59331.51
78585.21,61969.21,59331.51
78593.83,61904.18,59331.51
78612.0,61842.52,59322.0
78643.81,61795.28,59308.89
78678.08,61758.07,59305.95
78712.62,61735.52,59317.94
78746.38,61725.91,59342.09
78774.11,61725.91,59360.35
78790.36,61725.91,59360.35
78821.61,61725.91,59360.35
78848.7,61725.91,59360.35
78869.36,61725.91,59360.35
78890.15,61725.91,59368.92
78903.2,61725.91,59395.43
78896.55,61725.91,59424.78
78868.31999999999,61725.91,59450.27
78838.69,61725.91,59490.05
78809.34,61725.91,59537.9
78783.99,61725.91,59590.05
78763.93,61725.91,59646.86
78748.79,61725.91,59701.28
78739.74,61725.91,59759.33
78716.52,61725.91,59804.03
78703.63,61725.91,59836.1
78691.28,61725.91,59855.59
78678.77,61725.91,59878.62
78663.16,61725.91,59904.3
78670.45,61725.91,59956.09
78694.29,61725.91,60027.27
78717.39,61725.91,60100.75
78736.39,61725.91,60176.07
78738.61,61725.91,60226.29
78731.35,61725.91,60267.94
78728.14,61725.91,60279.49
78721.83,61725.91,60289.06
78716.64,61725.91,60303.35
78695.88,61725.91,60315.72
78659.55,61725.91,60328.95
78621.46,61725.91,60337.57
78576.32,61725.91,60335.64
78527.81,61725.91,60313.24
78470.21,61725.91,60280.94
78404.09,61725.91,60226.39
78341.16,61725.91,60161.4
78282.45,61725.91,60087.82
78236.56,61725.91,60015.06
78207.01,61725.91,59955.02
78201.47,61725.91,59914.6
78211.59,61725.91,59883.18
78220.37,61725.91,59831.47
78238.89,61725.91,59758.06
78270.65,61725.91,59684.22
78302.97,61725.91,59611.56
78334.23,61725.91,59559.28
78363.83,61725.91,59507.58
78397.36,61725.91,59457.94
78443.76,61725.91,59394.68
78502.17,61725.91,59360.42
78550.11,61725.91,59330.29
78574.98,61725.91,59302.15
78573.9,61725.91,59269.0
78547.47,61725.91,59221.63
78501.33,61725.91,59165.12
78453.63,61725.91,59100.2
78376.37,61725.91,59022.6
78298.57,61725.91,58948.85
78218.25,61725.91,58882.85
78135.61,61725.91,58822.56
78035.6,61725.91,58761.51
77933.61,61725.91,58709.24
77810.51,61725.91,58659.58
77674.2,61725.91,58619.71
77528.03,61725.91,58594.11
77369.21,61725.91,58539.71
77221.89,61725.91,58464.08
77076.3,61725.91,58357.91
76915.09,61725.91,58241.38
76753.73,61725.91,58130.57
76607.02,61725.91,58021.38
76466.39,61725.91,57921.07
76331.68,61725.91,57827.53
76169.51,61725.91,57761.13
76012.97,61725.91,57697.3
75844.42,61725.91,57623.91
75673.01,61725.91,57564.89
75501.75,61725.91,57502.05
75298.8,61725.91,57435.5
75096.9,61725.91,57368.88
74884.28,61725.91,57280.78
74669.08,61725.91,57187.82
