slack_0,non_interrupt,interrupt
112141.82,110419.23,105634.34
112078.54,110419.23,105634.34
112067.22,110419.23,105642.28
112046.84,110419.23,105642.28
112058.3,110419.23,105642.28
112102.28,110419.23,105655.4
112160.81,110419.23,105679.01
112312.99,110419.23,105804.14
112498.17,110419.23,105900.27
112666.15,110419.23,105959.06
112834.13,110419.23,106023.22
112991.17,110419.23,106085.33
113147.32,110419.23,106159.43
113263.12,110419.23,106241.91
113387.99,110419.23,106342.57
113475.72,110419.23,106410.21
113547.7,110419.23,106443.3
113628.43,110419.23,106482.52
113712.22,110419.23,106510.95
113810.82,110419.23,106545.41
113922.39,110419.23,106589.42
114053.29,110419.23,106628.79
114114.57,110419.23,106655.52
114176.69,110419.23,106681.94
114266.86,110419.23,106716.01
114393.05,110419.23,106754.2
114480.46,110419.23,106776.91
114538.85,110419.23,106777.67
114603.76,110419.23,106778.51
114641.56,110419.23,106790.76
114635.91,110419.23,106804.29
114501.28,110419.23,106838.41
114334.32,110419.23,106860.83
114153.06,110419.23,106882.49
113948.81,110419.23,106882.49
113734.6,110419.23,106882.49
113537.16,110419.23,106882.49
113372.09,110419.23,106882.49
113234.23,110419.23,106882.49
113127.75,110419.23,106882.49
113031.48,110419.23,106882.49
112952.32,110419.23,106882.49
112890.86,110419.23,106882.49
112842.51,110419.23,106882.49
112803.8,110419.23,106882.49
112756.23,110419.23,106882.49
112692.88,110419.23,106882.49
112611.81,110419.23,106882.49
112530.69,110419.23,106882.49
112433.03,110419.23,106882.49
112308.09,110419.23,106882.49
112178.96,110419.23,106882.49
112047.94,110419.23,106882.49
111916.35,110419.23,106882.49
111800.69,110419.23,106882.49
111695.21,110419.23,106882.49
111596.96,110419.23,106882.49
111504.44,110419.23,106882.49
111400.78,110419.23,106882.49
111292.16,110419.23,106882.49
111181.73,110419.23,106882.49
111049.7,110419.23,106873.83
110913.5,110419.23,106868.19
110800.11,110419.23,106869.49
110726.09,110419.23,106869.49
110684.69,110419.23,106869.49
110635.93,110419.23,106869.49
110587.53,110419.23,106869.49
110550.13,110419.23,106869.49
110512.97,110419.23,106869.49
110484.02,110419.23,106869.49
110456.69,110419.23,106869.49
110419.23,110419.23,106883.19
110421.86,110421.86,106927.55
110428.01,110428.01,106962.92
110430.71,110430.71,107003.27
110459.08,110459.08,107053.34
