slack_0,non_interrupt,interrupt
4591.17,4560.97,4550.14
4590.37,4559.69,4549.18
4589.28,4557.98,4547.71
4588.13,4556.2,4546.25
4586.93,4554.52,4544.84
4585.83,4552.86,4543.44
4584.62,4551.3,4542.03
4583.2,4549.67,4540.5
4581.49,4547.91,4538.84
4579.63,4546.12,4537.16
4577.85,4544.24,4535.45
4576.05,4542.51,4533.79
4574.37,4540.75,4532.16
4572.92,4538.97,4530.52
4571.43,4537.18,4528.9
4570.19,4535.69,4527.4
4569.25,4534.45,4526.1
4568.42,4533.16,4524.71
4567.57,4531.91,4523.32
4566.69,4530.8,4522.07
4565.79,4529.76,4520.87
4564.71,4528.77,4519.53
4563.4,4527.96,4518.19
4562.2,4527.3,4516.96
4560.97,4526.71,4515.7
4559.69,4526.21,4514.43
4557.98,4525.76,4513.31
4556.2,4525.39,4512.28
4554.52,4525.19,4511.42
4552.86,4524.92,4510.5
4551.3,4524.47,4509.43
4549.67,4523.93,4508.27
4547.91,4523.45,4507.18
4546.12,4522.82,4506.08
4544.24,4522.27,4505.01
4542.51,4522.01,4504.15
4540.75,4521.64,4503.07
4538.97,4521.2,4501.83
4537.18,4520.65,4500.48
4535.69,4520.01,4499.11
4534.45,4519.32,4497.87
4533.16,4518.81,4496.96
4531.91,4518.23,4496.04
4530.8,4517.6,4495.13
4529.76,4517.34,4494.65
4528.77,4517.26,4494.37
4527.96,4516.07,4493.63
4527.3,4514.94,4493.3
4526.71,4514.12,4493.09
4526.21,4513.15,4492.89
4525.76,4511.95,4492.57
4525.39,4511.12,4491.97
4525.19,4510.41,4491.29
4524.92,4509.7,4490.68
4524.47,4508.94,4490.07
4523.93,4508.07,4489.41
4523.45,4507.17,4488.73
4522.82,4507.01,4488.74
4522.27,4506.55,4488.73
4522.01,4506.04,4489.27
4521.64,4505.72,4489.98
4521.2,4505.26,4490.78
4520.65,4504.17,4491.58
4520.01,4504.17,4492.31
4519.32,4504.17,4492.94
4518.81,4504.17,4493.49
4518.23,4504.17,4493.99
4517.6,4504.17,4494.25
4517.34,4504.17,4494.67
4517.26,4504.17,4495.14
4516.07,4504.17,4495.14
4514.94,4504.17,4495.14
4514.12,4504.17,4495.14
4513.15,4504.17,4495.14
4511.95,4504.17,4495.14
4511.12,4504.17,4495.55
4510.41,4504.17,4496.2
4509.7,4504.17,4496.79
4508.94,4504.17,4496.96
4508.07,4504.17,4496.54
4507.17,4504.17,4495.97
4507.01,4504.17,4495.35
4506.55,4504.17,4494.22
4506.04,4504.17,4492.75
4505.72,4504.17,4491.32
4505.26,4504.17,4489.91
4504.17,4504.17,4488.43
4504.25,4504.25,4486.94
4505.73,4505.73,4485.71
4506.67,4506.67,4484.95
4506.86,4506.77,4483.72
4506.77,4506.77,4482.5
4507.74,4507.74,4481.9
4509.5,4509.5,4482.05
4511.71,4511.71,4482.48
4513.68,4513.68,4482.9
4516.34,4516.34,4483.69
4518.01,4518.01,4483.84
4524.72,4523.27,4483.86
4533.74,4523.27,4484.57
4536.06,4523.27,4484.48
4536.83,4523.27,4484.42
4536.73,4523.27,4484.78
4536.24,4523.27,4485.31
4535.56,4523.27,4485.75
4534.8,4523.27,4486.03
4533.71,4523.27,4486.23
4532.58,4523.27,4486.38
4531.42,4523.27,4486.6
4530.41,4523.27,4487.07
4529.36,4523.27,4486.92
4528.27,4523.27,4486.73
4527.36,4523.27,4487.21
4526.63,4523.27,4487.83
4525.36,4523.27,4488.1
4524.08,4523.27,4487.69
4523.32,4523.27,4488.3
4523.27,4523.27,4489.0
4524.05,4524.05,4489.88
4525.89,4525.89,4490.67
4528.14,4528.14,4490.7
4531.07,4531.07,4490.2
4533.74,4533.74,4489.61
4535.45,4534.41,4488.95
4534.88,4534.41,4488.21
4534.41,4534.41,4487.47
4534.66,4534.66,4486.89
4534.89,4534.89,4486.55
4535.14,4535.14,4486.41
4535.29,4535.27,4486.32
4535.38,4535.27,4486.21
4535.27,4535.27,4486.0
4535.47,4535.47,4486.03
4535.98,4535.66,4486.33
4535.85,4535.66,4486.89
4535.66,4535.66,4486.74
4536.14,4536.14,4486.54
4537.73,4537.73,4486.32
4538.13,4538.05,4486.04
4538.05,4538.05,4485.84
4539.26,4539.26,4485.72
4541.19,4541.19,4485.44
4542.85,4542.29,4485.07
4543.88,4542.29,4485.11
4544.14,4542.29,4484.94
4543.92,4542.29,4484.36
4543.7,4542.17,4483.81
4543.44,4542.17,4483.52
4543.16,4541.95,4482.68
4542.93,4541.49,4481.77
4542.73,4541.06,4480.81
4542.55,4540.96,4479.96
4542.41,4540.96,4479.69
4542.32,4540.96,4480.03
4542.29,4540.96,4480.24
4542.35,4540.96,4481.15
4542.59,4540.96,4482.19
4543.04,4540.96,4483.41
4543.81,4540.96,4484.77
4543.9,4540.96,4486.48
4543.91,4540.96,4488.13
4543.89,4540.96,4489.56
4543.77,4540.96,4488.86
4543.55,4540.96,4487.86
4543.3,4540.96,4486.86
4542.93,4540.96,4487.17
4542.55,4540.96,4488.87
4542.7,4540.96,4490.67
4542.71,4540.96,4492.64
4542.38,4540.96,4494.7
4542.17,4540.96,4496.82
4542.3,4540.96,4498.95
4541.95,4540.96,4501.15
4541.49,4540.96,4503.26
4541.06,4540.96,4505.37
4540.96,4540.96,4507.63
4541.55,4541.55,4510.0
4542.77,4542.77,4512.47
4543.78,4543.78,4514.95
4545.96,4545.96,4517.57
4548.32,4548.32,4520.24
4550.71,4550.71,4523.02
4553.54,4553.54,4525.95
4556.35,4556.35,4528.83
4558.9,4558.9,4531.57
4560.74,4559.62,4534.24
4560.51,4559.62,4536.75
4560.07,4559.62,4539.43
4559.62,4559.62,4539.64
4560.48,4560.48,4539.9
4562.81,4562.81,4542.24
4565.02,4565.02,4545.15
4568.63,4568.63,4548.0
4572.21,4572.21,4549.7
4575.91,4575.91,4550.63
4578.46,4578.46,4552.04
4581.58,4581.58,4553.24
4585.26,4585.26,4555.29
4588.79,4588.79,4557.83
4592.08,4592.08,4560.49
4595.29,4595.29,4562.72
4598.38,4598.38,4564.57
4601.93,4601.93,4565.55
4606.67,4606.67,4566.01
4611.26,4611.26,4567.32
4615.49,4615.49,4568.58
4619.35,4619.35,4569.76
4623.35,4623.35,4570.2
4626.69,4626.69,4570.27
4630.36,4630.36,4570.69
4633.41,4633.41,4570.66
4636.75,4636.75,4570.47
4637.26,4637.26,4570.3
4637.78,4637.78,4570.13
4640.15,4640.15,4569.88
4643.09,4643.09,4569.66
4645.97,4645.97,4569.53
4647.76,4647.76,4569.39
4648.48,4648.48,4569.26
4649.67,4649.67,4569.16
4650.61,4650.61,4568.91
4652.48,4652.48,4568.75
4654.96,4654.96,4568.86
4657.52,4657.52,4569.08
4659.46,4659.46,4569.42
4661.07,4661.07,4569.74
4661.73,4661.24,4569.99
4661.72,4661.24,4569.75
4662.78,4659.28,4569.62
4663.94,4656.16,4569.51
4665.13,4653.61,4569.45
4665.57,4650.68,4569.39
4665.64,4647.49,4569.33
4665.68,4645.43,4569.04
4665.32,4644.03,4568.76
4664.93,4642.85,4568.47
4664.2,4640.77,4567.73
4663.32,4637.92,4566.76
4663.0,4634.63,4566.34
4662.45,4631.52,4565.64
4661.94,4628.05,4564.84
4661.5,4625.13,4564.27
4661.24,4617.27,4564.07
4661.37,4607.55,4563.94
4661.6,4604.26,4563.87
4661.78,4602.56,4563.96
4662.05,4601.99,4564.32
4662.39,4601.58,4564.36
4662.93,4601.26,4564.37
4662.61,4600.91,4563.56
4662.32,4600.91,4562.92
4661.28,4600.91,4562.19
4659.28,4600.91,4561.02
4656.16,4600.91,4559.68
4653.61,4600.91,4558.63
4650.68,4600.91,4557.97
4647.49,4600.91,4558.08
4645.43,4600.91,4558.77
4644.03,4600.91,4559.67
4642.85,4600.91,4561.13
4640.77,4600.91,4562.32
4637.92,4600.91,4562.86
4634.63,4600.91,4563.06
4631.52,4600.91,4563.46
4628.05,4600.91,4563.24
4625.13,4600.91,4563.24
4617.27,4600.91,4563.03
4607.55,4600.91,4561.67
4604.26,4600.91,4559.69
4602.56,4600.91,4559.15
4601.99,4600.91,4559.87
4601.58,4600.91,4561.14
4601.26,4600.91,4562.7
4600.91,4600.91,4564.55
4600.94,4600.94,4566.61
4601.45,4601.45,4567.54
4602.35,4602.35,4569.04
4604.06,4604.06,4571.91
4605.54,4605.54,4574.99
4607.8,4607.8,4576.0
4611.5,4611.5,4576.88
4613.89,4613.89,4576.72
4616.21,4616.21,4576.93
4618.8,4618.8,4577.12
4622.04,4622.04,4576.91
4626.73,4625.9,4576.2
4630.47,4625.9,4576.92
4631.92,4625.9,4577.33
4631.74,4625.9,4577.43
4630.68,4625.9,4577.43
4629.89,4625.9,4577.43
4628.8,4625.9,4577.79
4629.14,4625.9,4580.32
4629.43,4625.9,4582.63
4629.44,4625.9,4584.28
4629.61,4625.9,4586.15
4630.05,4625.9,4588.22
4630.86,4625.9,4590.47
4631.63,4625.9,4592.86
4631.28,4625.9,4595.4
4631.4,4625.9,4597.82
4632.79,4625.9,4600.16
4634.97,4625.9,4603.2
4635.08,4625.9,4606.35
4634.57,4625.9,4608.83
4632.1,4625.9,4610.2
4630.77,4625.9,4612.9
4630.09,4625.9,4616.27
4628.28,4625.9,4617.69
4625.9,4625.9,4619.29
4626.03,4626.03,4621.4
4627.89,4627.89,4624.34
4631.87,4631.87,4628.05
4636.31,4636.31,4632.32
4641.08,4641.08,4636.66
4644.79,4644.79,4641.01
4648.76,4648.76,4645.66
4653.28,4653.28,4650.1
4663.99,4663.99,4654.51
4674.32,4674.32,4657.47
4684.21,4684.21,4660.8
4693.57,4693.57,4664.15
4702.56,4702.56,4668.09
4710.26,4710.26,4672.38
4717.9,4717.9,4676.72
4727.04,4727.04,4681.03
4731.32,4731.32,4685.19
4738.93,4738.93,4690.15
4749.06,4749.06,4693.85
