slack_0,non_interrupt,interrupt
32279.0,32261.83,30981.53
32267.85,32261.83,30997.73
32261.83,32261.83,31013.11
32278.46,32278.46,31042.3
32290.16,32280.6,31061.58
32297.58,32280.6,31070.16
32304.06,32280.6,31070.16
32304.34,32280.6,31070.16
32297.23,32280.6,31070.16
32293.07,32280.6,31070.16
32281.43,32280.6,31070.16
32280.6,32280.6,31071.1
32295.56,32295.56,31096.56
32317.92,32317.92,31120.85
32345.84,32345.84,31138.11
32390.42,32390.42,31162.07
32425.49,32425.49,31172.46
32453.64,32453.64,31181.63
32479.15,32479.15,31195.79
32499.41,32499.41,31210.83
32513.06,32513.06,31226.18
32532.06,32532.06,31251.98
32565.14,32565.14,31299.07
32638.73,32638.73,31389.74
32700.23,32700.23,31464.3
32756.71,32756.71,31521.04
32811.74,32811.74,31561.64
32872.75,32872.75,31605.32
32943.6,32943.6,31652.18
33011.31,33011.31,31691.47
33077.32,33077.32,31724.45
33138.39,33138.39,31753.39
33197.28,33197.28,31779.59
33250.39,33250.39,31802.25
33297.11,33297.11,31820.66
33351.08,33351.08,31860.32
33389.5,33389.5,31923.19
33421.13,33421.13,31991.39
33440.2,33440.2,32057.91
33453.04,33453.04,32120.06
33457.84,33457.84,32180.41
33467.01,33467.01,32246.73
33479.39,33479.39,32314.63
33491.89,33491.89,32378.99
33503.76,33503.76,32446.26
33525.54,33525.54,32524.07
33563.33,33563.33,32609.33
33628.3,33628.3,32698.65
33676.64,33676.64,32754.64
33727.18,33727.18,32798.2
33780.83,33780.83,32838.41
33836.3,33836.3,32888.11
33878.89,33878.89,32924.33
33915.31,33915.31,32948.71
33943.59,33943.59,32962.85
33965.63,33965.63,32971.29
33985.19,33985.19,32976.52
34001.66,34001.66,32981.56
34031.9,34031.9,32997.39
34059.62,34059.62,33018.41
34096.83,34096.83,33046.62
34138.0,34138.0,33071.07
34175.71,34175.71,33083.18
34209.26,34209.26,33094.66
34242.52,34242.52,33102.29
34268.26,34268.26,33103.23
34305.91,34305.91,33115.3
34346.62,34346.62,33130.37
34407.05,34407.05,33153.56
34474.97,34474.97,33180.9
34552.94,34552.94,33222.26
34620.24,34620.24,33275.71
34650.6,34650.6,33302.01
34673.33,34673.33,33323.41
34694.58,34694.58,33341.84
34721.24,34721.24,33364.05
34748.81,34748.81,33399.22
34784.94,34784.94,33432.44
34822.63,34822.63,33464.31
34857.55,34857.55,33490.83
34883.97,34883.97,33509.66
34904.98,34904.98,33522.02
34933.84,34933.84,33543.5
34963.24,34963.24,33576.05
35001.73,35001.73,33627.49
35030.65,35030.65,33669.22
35050.23,35050.23,33699.43
35070.44,35070.44,33720.74
35086.08,35086.08,33737.69
35104.52,35104.52,33751.62
35121.26,35121.26,33761.39
35139.3,35139.3,33771.35
35151.18,35151.18,33781.19
35170.14,35170.14,33793.83
35206.68,35206.68,33815.71
35270.2,35270.2,33861.35
35306.68,35306.68,33892.85
35330.23,35330.23,33912.87
35353.85,35353.85,33936.86
35390.66,35390.66,33972.82
35427.45,35427.45,34014.39
35466.51,35466.51,34050.44
35508.3,35508.3,34080.96
35546.22,35546.22,34107.45
35583.93,35583.93,34131.56
35614.04,35614.04,34150.45
35643.26,35643.26,34168.33
35676.58,35676.58,34198.95
35718.74,35718.74,34235.4
35760.02,35760.02,34283.84
35791.37,35791.37,34323.21
35809.81,35809.81,34349.77
35820.45,35820.45,34358.28
35827.0,35820.63,34364.08
35828.17,35820.63,34370.77
35825.44,35820.63,34377.7
35821.55,35820.63,34383.16
35820.63,35820.63,34384.26
35837.74,35837.74,34399.44
35870.27,35870.27,34423.96
35894.22,35894.22,34448.28
35915.05,35915.05,34481.21
35934.5,35934.5,34500.35
35961.03,35961.03,34519.61
35996.96,35996.96,34539.41
36043.44,36043.44,34558.17
36096.59,36096.59,34576.72
36151.28,36151.28,34598.71
36199.67,36199.67,34625.04
36246.1,36246.1,34654.51
36296.66,36296.66,34685.44
36348.07,36348.07,34720.47
36394.34,36394.34,34755.74
36439.97,36439.97,34780.79
36472.62,36472.62,34793.1
36489.9,36489.9,34787.85
36490.13,36490.13,34779.32
36498.79,36498.79,34784.41
36521.42,36521.42,34810.4
36542.09,36542.09,34838.36
36559.59,36559.59,34873.91
