slack_0,non_interrupt,interrupt
50293.32,50293.32,49839.25
50428.43,50428.43,49903.45
50565.79,50565.79,49970.14
50702.38,50702.38,50040.72
50854.33,50854.33,50125.85
51016.34,51016.34,50218.49
51175.73,51175.73,50329.93
51364.3,51364.3,50458.81
51530.07,51530.07,50583.16
51697.87,51697.87,50735.63
51902.43,51902.43,50940.74
52108.5,52108.5,51153.81
52310.67,52310.67,51368.61
52481.1,52481.1,51582.95
52655.71,52655.71,51792.61
52830.04,52830.04,51990.48
52991.49,52991.49,52170.33
53123.59,53123.59,52322.38
53252.31,53252.31,52468.32
53356.48,53356.48,52593.29
53450.93,53450.93,52712.57
53530.53,53530.53,52822.71
53612.05,53612.05,52946.28
53756.83,53756.83,53083.7
53805.4,53805.4,53183.54
53858.71,53858.71,53273.33
53927.12,53927.12,53384.29
54005.59,54005.59,53503.97
54100.85,54100.85,53642.01
54196.33,54196.33,53786.48
54291.69,54291.69,53902.83
54372.03,54372.03,54026.77
54436.98,54436.98,54103.11
54524.89,54524.89,54170.05
54640.52,54640.52,54223.48
54757.69,54757.69,54269.01
54874.55,54874.55,54309.32
54997.12,54997.12,54319.22
55108.48,55108.48,54316.0
55231.22,55231.22,54298.97
55343.34,55343.34,54297.86
55439.98,55439.98,54262.72
55543.8,55543.8,54263.11
55646.26,55646.26,54264.58
55773.06,55773.06,54331.38
55906.27,55906.27,54412.98
56014.1,56014.1,54497.65
56106.0,56106.0,54609.59
56231.77,56231.77,54731.71
56366.45,56366.45,54868.84
56502.45,56502.45,55006.61
56640.43,56510.21,55147.99
56780.47,56510.21,55292.32
56882.96,56510.21,55387.11
56924.37,56510.21,55405.43
56963.15,56433.39,55379.06
56963.35,56305.49,55292.05
56958.14,56188.46,55200.63
56958.74,56070.04,55135.08
56954.53,55936.69,55068.68
56943.49,55790.63,54987.41
56904.64,55648.02,54908.19
56856.79,55519.17,54828.78
56789.34,55415.81,54763.44
56735.51,55331.81,54697.21
56656.36,55271.65,54639.51
56593.46,55191.36,54571.54
56525.51,55117.82,54500.12
56510.21,55070.04,54449.07
56512.11,55058.98,54447.23
56533.32,55054.91,54460.77
56570.74,55049.19,54475.06
56561.69,55049.19,54471.56
56558.22,55049.19,54459.19
56563.74,55049.19,54458.59
56577.03,55049.19,54472.25
56602.36,55049.19,54492.93
56592.49,55049.19,54492.93
56526.6,55049.19,54460.41
56433.39,55049.19,54412.34
56305.49,55049.19,54335.37
56188.46,55049.19,54247.78
56070.04,55049.19,54153.42
55936.69,55049.19,54063.02
55790.63,55049.19,53962.98
55648.02,55049.19,53868.9
55519.17,55049.19,53814.71
55415.81,55049.19,53806.19
55331.81,55049.19,53810.38
55271.65,55049.19,53837.56
55191.36,55049.19,53851.31
55117.82,55049.19,53866.35
55070.04,55049.19,53883.3
55058.98,55049.19,53900.97
55054.91,55049.19,53927.07
55049.19,55049.19,53954.56
55083.45,55083.45,54001.07
55119.77,55094.59,54063.29
55175.67,55094.59,54141.15
55246.05,55094.59,54227.59
55322.94,55094.59,54310.76
55385.88,55094.59,54376.96
55399.63,55094.59,54431.55
55387.13,55094.59,54478.52
55332.94,55094.59,54515.76
55268.16,55094.59,54568.01
55210.87,55094.59,54628.45
55182.57,55094.59,54708.61
55143.43,55094.59,54789.13
55109.340000000004,55094.59,54869.94
55094.590000000004,55094.59,54931.15
