slack_0,non_interrupt,interrupt
30166.37,29547.03,28696.75
30133.22,29547.03,28697.75
30084.61,29547.03,28697.75
30019.22,29547.03,28696.26
29953.91,29547.03,28695.59
29903.51,29547.03,28695.59
29873.91,29547.03,28702.58
29876.14,29547.03,28709.18
29844.25,29547.03,28713.2
29824.13,29547.03,28706.71
29788.03,29547.03,28691.25
29754.62,29547.03,28677.03
29723.25,29547.03,28662.61
29708.4,29547.03,28646.7
29699.02,29532.42,28627.76
29685.88,29510.88,28606.91
29681.39,29488.75,28588.49
29670.1,29472.43,28580.21
29653.35,29452.25,28586.16
29632.31,29452.25,28598.45
29614.95,29452.25,28611.64
29587.37,29451.81,28596.22
29558.0,29441.14,28576.04
29547.03,29440.82,28568.89
29547.05,29418.09,28576.2
29586.43,29418.09,28599.02
29587.14,29398.13,28589.93
29564.66,29371.49,28581.29
29547.26,29371.49,28572.92
29573.54,29371.49,28572.92
29575.82,29371.49,28572.92
29605.95,29371.49,28577.35
29612.57,29371.49,28570.87
29609.84,29371.49,28552.42
29602.55,29371.49,28526.36
29585.88,29371.49,28501.5
29570.15,29371.49,28470.86
29553.64,29371.49,28450.54
29532.42,29371.49,28428.13
29510.88,29371.49,28412.97
29488.75,29371.49,28406.98
29472.43,29371.49,28402.96
29452.25,29371.49,28393.59
29454.21,29357.73,28406.15
29463.3,29344.82,28427.46
29451.81,29321.46,28440.84
29441.14,29291.85,28452.34
29440.82,29255.02,28461.58
29418.09,29218.93,28428.06
29420.1,29204.38,28412.52
29398.13,29204.38,28412.52
29371.49,29172.83,28407.69
29381.15,29131.3,28422.21
29407.66,29119.61,28431.57
29445.48,29098.62,28431.72
29482.7,29098.62,28444.49
29506.0,29098.62,28453.93
29504.43,29098.62,28468.73
29493.56,29098.62,28488.31
29487.45,29098.62,28511.36
29477.18,29098.62,28530.91
29480.55,29098.62,28551.56
29478.7,29098.62,28560.29
29457.8,29098.62,28533.07
29440.79,29098.62,28498.02
29418.63,29086.52,28462.74
29380.62,29039.74,28404.45
29357.73,28997.96,28345.29
29344.82,28961.11,28298.14
29321.46,28930.25,28246.91
29291.85,28891.32,28189.68
29255.02,28839.38,28130.27
29218.93,28766.33,28078.16
29204.38,28714.56,28044.82
29207.0,28652.13,28008.16
29172.83,28587.59,27968.96
29131.3,28517.41,27925.69
29119.61,28461.96,27867.13
29098.62,28401.62,27804.23
29111.34,28356.66,27789.51
29121.78,28308.52,27762.98
29137.38,28282.3,27738.74
29155.26,28260.9,27715.09
29182.74,28260.9,27700.35
29223.28,28260.9,27702.65
29244.23,28260.9,27687.96
29221.99,28260.9,27656.42
29175.12,28260.9,27608.89
29123.06,28260.9,27561.95
29086.52,28260.9,27527.56
29039.74,28260.9,27499.11
28997.96,28260.9,27487.93
28961.11,28260.9,27479.88
28930.25,28260.9,27480.61
28891.32,28260.9,27473.37
28839.38,28260.9,27449.54
28766.33,28260.9,27405.77
28714.56,28249.61,27358.04
28652.13,28171.42,27302.21
28587.59,28097.03,27240.32
28517.41,28026.21,27190.32
28461.96,27976.0,27144.22
28401.62,27944.18,27105.12
28356.66,27929.16,27083.28
28308.52,27929.16,27072.5
28282.3,27929.16,27080.29
28260.9,27929.16,27088.24
28261.87,27929.16,27115.12
28281.57,27929.16,27156.14
28293.29,27929.16,27184.11
28306.55,27929.16,27198.81
28311.24,27929.16,27198.03
28314.89,27910.92,27200.39
28323.37,27881.61,27204.27
28334.31,27846.67,27200.86
28346.01,27836.41,27203.69
28357.87,27827.81,27202.01
28360.08,27827.81,27183.4
28353.22,27827.53,27151.12
28332.73,27826.06,27110.79
28299.62,27802.5,27062.69
28249.61,27763.63,27006.25
28171.42,27705.57,26951.05
28097.03,27652.89,26896.06
28026.21,27599.91,26847.07
27976.0,27579.25,26803.94
27944.18,27579.25,26768.13
27929.16,27576.18,26725.86
27930.28,27576.18,26700.65
27953.37,27576.18,26711.98
27968.09,27576.18,26723.75
27979.89,27576.18,26731.73
27993.99,27576.18,26744.19
27999.31,27576.18,26734.5
27987.66,27576.18,26695.01
27944.05,27576.18,26638.51
27910.920000000002,27576.18,26595.53
27881.61,27576.18,26555.38
27846.670000000002,27576.18,26512.16
27836.41,27576.18,26492.94
27827.81,27576.18,26458.62
27830.01,27576.18,26436.79
27827.53,27559.73,26419.83
27826.06,27534.49,26406.84
27802.5,27527.91,26382.87
27763.63,27501.58,26345.48
27705.57,27481.61,26293.58
27652.89,27476.33,26245.36
27599.91,27470.15,26198.12
27579.25,27456.1,26174.73
27583.58,27446.79,26181.11
27576.18,27412.21,26193.7
27592.34,27412.21,26229.53
27601.09,27412.21,26240.39
27620.35,27412.21,26258.45
27628.31,27412.21,26269.46
27637.33,27412.21,26284.18
27626.86,27412.21,26295.28
27613.26,27412.21,26309.75
27593.69,27412.21,26314.66
27588.06,27412.21,26317.54
27592.68,27412.21,26330.97
27607.98,27412.21,26352.38
27624.11,27412.21,26373.15
27616.45,27412.21,26392.37
27588.420000000002,27412.21,26396.97
27559.73,27412.21,26400.7
27534.49,27412.21,26406.31
27527.91,27412.21,26412.11
27501.58,27412.21,26388.48
27481.61,27412.21,26388.21
27476.33,27412.21,26401.28
27470.15,27364.15,26394.15
27456.1,27280.6,26377.33
27446.79,27222.0,26364.4
27412.21,27155.34,26333.17
27417.13,27115.48,26331.46
27415.93,27100.5,26330.11
27431.92,27095.73,26345.98
27455.0,27095.73,26368.37
27474.0,27095.73,26387.14
27473.58,27095.73,26386.98
27465.78,27095.73,26379.61
27458.19,27095.73,26371.31
27442.44,27095.73,26355.25
27440.15,27095.37,26352.51
27455.19,27089.35,26369.19
27480.26,27080.07,26393.24
27505.21,27061.15,26404.87
27533.74,27048.85,26404.73
27561.69,27041.1,26406.17
27580.09,27041.1,26414.45
27577.47,27038.67,26414.85
27505.38,27003.13,26390.36
27459.79,26979.68,26375.06
27421.02,26956.25,26361.37
27364.15,26930.75,26345.43
27280.6,26865.58,26314.07
27222.0,26792.43,26280.01
27155.34,26749.13,26254.05
27115.48,26719.78,26238.04
27100.5,26715.66,26226.75
27095.73,26715.66,26219.18
27098.93,26715.66,26217.26
27100.75,26715.66,26211.78
27101.65,26715.66,26200.01
27103.84,26715.66,26191.01
27103.25,26707.1,26180.18
27101.12,26680.15,26169.37
27095.37,26655.93,26157.45
27089.35,26631.53,26143.86
27080.07,26604.98,26127.91
27061.15,26579.82,26114.97
27048.85,26559.19,26119.21
27041.1,26540.37,26122.56
27045.56,26528.68,26120.43
27038.67,26515.0,26095.96
27003.13,26478.25,26061.9
26979.68,26430.85,26039.33
26956.25,26375.65,26001.6
26930.75,26315.39,25960.46
26865.58,26258.62,25923.8
26792.43,26210.74,25881.95
26749.13,26176.59,25844.96
26719.78,26140.34,25812.01
26715.66,26106.8,25794.84
26724.38,26063.08,25781.57
26730.65,26009.12,25756.77
26740.08,25955.57,25733.04
26732.12,25905.58,25700.33
26724.31,25847.37,25652.7
26707.1,25801.05,25600.06
26680.15,25776.75,25557.72
26655.93,25745.85,25513.7
26631.53,25709.27,25456.84
26604.98,25689.17,25400.47
26579.82,25658.77,25335.83
26559.19,25624.0,25273.19
26540.37,25592.69,25214.26
26528.68,25566.14,25165.13
26515.0,25538.14,25121.11
26478.25,25496.62,25067.82
26430.85,25479.18,25039.82
26375.65,25458.88,25006.43
26315.39,25430.16,24960.32
26258.62,25416.55,24913.96
26210.74,25415.94,24876.33
26176.59,25415.94,24852.53
26140.34,25415.94,24834.68
26106.8,25415.94,24827.7
26063.08,25415.94,24827.0
26009.12,25415.94,24827.0
25955.57,25415.94,24827.0
25905.58,25415.94,24817.13
25847.37,25415.94,24797.5
25801.05,25415.94,24784.96
25776.75,25415.94,24778.8
25745.85,25415.94,24769.77
25709.27,25415.94,24771.32
25689.17,25415.94,24779.44
25658.77,25415.94,24785.4
25624.0,25394.75,24791.06
25592.69,25361.64,24789.64
25566.14,25331.66,24787.77
25538.14,25305.13,24781.16
25496.62,25291.57,24754.4
25479.18,25288.91,24728.98
25458.88,25288.91,24708.51
25430.16,25288.91,24694.0
25416.55,25281.98,24695.49
25415.94,25268.08,24702.23
25418.67,25257.7,24714.97
25431.73,25242.33,24736.96
25448.78,25224.78,24753.42
25469.18,25212.12,24770.11
25491.13,25205.18,24787.93
25511.25,25205.18,24806.86
25522.57,25204.52,24822.38
25509.31,25194.14,24813.44
25502.83,25190.29,24804.12
25493.96,25175.05,24787.59
25482.78,25157.0,24764.94
25466.0,25140.54,24734.13
25443.52,25119.98,24704.7
25420.68,25089.83,24661.01
25394.75,25056.87,24607.23
25361.64,25034.14,24559.08
25331.66,25004.91,24510.01
25305.13,24970.82,24460.93
25291.57,24931.53,24411.47
25288.91,24895.37,24373.7
25294.3,24858.13,24339.67
25289.84,24813.27,24292.25
25281.98,24769.0,24247.2
25268.08,24728.1,24202.31
25257.7,24705.24,24152.2
25242.33,24670.25,24098.24
25224.78,24654.25,24081.81
25212.12,24619.54,24053.95
25205.18,24587.93,24027.04
25205.25,24557.74,23998.68
25204.52,24551.02,23976.95
25194.14,24551.02,23956.99
25190.29,24551.02,23938.83
25175.05,24551.02,23938.23
25157.0,24551.02,23920.66
25140.54,24551.02,23907.75
25119.98,24545.36,23892.63
25089.83,24545.36,23885.92
25056.87,24545.36,23883.12
25034.14,24545.36,23879.7
25004.91,24545.36,23871.22
24970.82,24545.36,23869.12
24931.53,24545.36,23862.24
24895.37,24545.36,23864.01
24858.13,24545.36,23875.49
24813.27,24545.36,23892.29
24769.0,24545.36,23913.77
24728.1,24545.36,23932.03
24705.24,24545.36,23960.91
24670.25,24545.36,23979.28
24654.25,24545.36,23980.31
24619.54,24545.36,23980.31
24587.93,24545.36,23980.31
24557.74,24545.36,23980.31
24551.02,24545.36,24000.81
24558.9,24545.36,24034.88
24553.63,24545.36,24074.57
24562.88,24545.36,24107.45
24556.15,24545.36,24126.11
24551.52,24545.36,24138.43
24545.36,24545.36,24140.16
24564.37,24564.37,24135.73
24585.6,24585.6,24132.67
24596.66,24589.65,24132.92
24599.7,24589.65,24131.13
24598.01,24589.65,24133.39
24589.65,24589.65,24144.24
24590.43,24590.43,24176.78
24597.45,24597.45,24207.26
24614.02,24614.02,24236.38
24643.43,24643.43,24263.29
24676.89,24676.89,24273.47
24714.29,24714.29,24285.09
24754.61,24754.61,24286.85
24774.95,24774.95,24288.24
24819.95,24819.95,24288.24
24871.2,24871.2,24288.24
24926.73,24926.73,24288.24
24977.73,24926.87,24285.65
25010.36,24926.87,24287.89
25025.57,24926.87,24305.92
25055.65,24926.87,24332.85
25065.5,24926.87,24354.31
25071.71,24926.87,24362.57
25068.8,24926.87,24362.46
25037.49,24926.87,24343.19
25001.8,24926.87,24316.92
24969.63,24926.87,24289.18
24936.99,24926.87,24265.98
24926.87,24926.87,24264.7
24935.02,24935.02,24296.8
24950.84,24950.84,24312.4
24964.8,24964.8,24325.48
25000.33,25000.33,24358.27
25030.86,25030.86,24390.45
25044.66,25044.66,24415.99
25090.2,25090.2,24435.8
25130.12,25130.12,24446.95
25134.33,25133.53,24446.55
25136.98,25133.53,24444.43
25137.38,25133.53,24441.13
25136.38,25133.53,24432.42
25133.53,25133.53,24431.28
25135.34,25135.34,24438.24
25164.15,25164.15,24459.21
25191.39,25191.39,24488.2
25213.3,25198.67,24522.53
25219.920000000002,25198.67,24557.07
25220.83,25198.67,24570.31
25214.88,25198.67,24581.9
25217.28,25198.67,24604.41
25216.05,25198.67,24629.6
25202.97,25198.67,24645.52
25198.67,25198.67,24670.45
25217.25,25217.25,24685.68
25221.79,25221.79,24693.57
25226.68,25226.68,24703.76
25240.6,25240.6,24717.68
25268.6,25268.6,24749.59
25307.08,25307.08,24770.9
25348.75,25348.75,24766.61
25394.02,25394.02,24755.9
25398.48,25398.48,24748.54
25401.64,25400.16,24740.66
25402.65,25400.16,24731.84
25400.16,25400.16,24723.18
25411.69,25411.69,24722.2
25429.84,25429.84,24744.86
25467.05,25467.05,24777.79
25519.420000000002,25519.42,24821.38
25565.66,25565.66,24867.62
25616.05,25616.05,24897.93
25635.96,25635.96,24912.49
25641.57,25641.57,24922.78
25647.54,25647.54,24936.55
25661.63,25661.63,24951.54
25684.14,25684.14,24965.68
25727.07,25727.07,24984.39
25773.6,25773.6,25005.98
25822.86,25822.86,25035.08
25886.62,25886.62,25080.42
25959.6,25959.6,25130.06
26019.920000000002,26019.92,25175.43
26053.63,26053.63,25227.12
26064.64,26064.64,25265.52
26074.69,26074.69,25298.78
26080.38,26080.38,25326.51
26094.49,26094.49,25358.28
26116.74,26116.74,25395.91
26141.24,26141.24,25436.0
26165.01,26165.01,25478.36
26227.49,26227.49,25549.07
26295.85,26295.85,25626.79
26358.22,26358.22,25693.82
26427.26,26427.26,25760.15
26490.03,26490.03,25847.88
26534.41,26534.41,25906.27
26584.18,26584.18,25962.57
26639.96,26639.96,26024.02
26695.06,26695.06,26082.95
26746.64,26746.64,26139.12
26795.69,26795.69,26198.59
26840.84,26840.84,26253.94
26886.1,26886.1,26299.36
26962.33,26962.33,26350.79
27048.05,27048.05,26416.48
27124.86,27124.86,26484.08
27176.05,27176.05,26545.29
27205.01,27205.01,26588.48
27225.93,27225.93,26618.65
27242.91,27242.91,26636.56
27252.09,27252.09,26643.11
27256.03,27256.03,26649.07
27260.69,27260.69,26653.89
27277.38,27277.38,26666.55
27328.14,27328.14,26702.88
27394.35,27394.35,26757.62
27446.91,27446.91,26814.65
27491.37,27491.37,26869.24
27541.13,27541.13,26905.85
27571.3,27571.3,26931.2
27591.24,27591.24,26964.13
27612.26,27612.26,26986.26
27641.3,27641.3,27019.37
27672.79,27672.79,27053.37
27710.87,27710.87,27091.94
27751.46,27751.46,27148.64
27819.73,27819.73,27209.95
27892.61,27892.61,27270.99
27959.56,27959.56,27330.71
28026.81,28026.81,27375.23
28085.37,28085.37,27420.0
28118.55,28118.55,27441.86
28139.79,28139.79,27445.42
28158.29,28158.29,27453.43
28168.55,28168.55,27462.5
28177.49,28177.49,27466.13
28181.04,28181.04,27462.76
28189.5,28189.5,27489.57
28221.51,28221.51,27534.78
28279.09,28279.09,27595.87
28348.4,28348.4,27664.1
28414.46,28414.46,27713.6
28465.1,28465.1,27761.96
28497.4,28497.4,27803.84
28551.18,28551.18,27841.91
28601.16,28601.16,27887.4
28649.31,28649.31,27931.89
28702.4,28702.4,27981.12
28763.52,28763.52,28038.46
28856.12,28856.12,28117.31
28959.61,28959.61,28218.02
29066.19,29066.19,28321.19
29173.65,29173.65,28426.46
29255.36,29255.36,28526.05
29331.12,29331.12,28612.31
29392.71,29392.71,28670.67
29442.22,29442.22,28719.82
29460.44,29460.44,28734.53
29494.51,29494.51,28763.69
29526.63,29526.63,28792.11
29555.16,29555.16,28818.43
29602.97,29602.97,28850.92
29657.76,29657.76,28889.95
29755.75,29755.75,28943.61
29817.47,29817.47,28967.3
29866.49,29866.49,28994.94
29911.3,29911.3,29018.81
29947.74,29947.74,29037.25
29962.37,29962.37,29051.13
29977.7,29977.7,29070.97
30002.88,30000.79,29102.26
30031.36,30000.79,29139.62
30056.71,30000.79,29166.16
30103.15,30000.79,29195.76
30172.03,30000.79,29212.15
30234.96,30000.79,29228.21
30286.29,30000.79,29231.74
30314.93,30000.79,29223.22
30324.78,30000.79,29194.23
30302.89,30000.79,29157.3
30257.06,30000.79,29121.03
30233.32,30000.79,29096.19
30183.97,30000.79,29066.89
30126.48,30000.79,29036.58
30061.38,30000.79,29006.6
30014.58,30000.79,28975.62
30000.79,30000.79,28940.23
30009.49,30003.84,28925.78
30003.84,30003.84,28898.49
30006.09,30000.18,28896.76
30013.01,29999.16,28897.79
30023.56,29999.16,28907.7
30060.88,29999.16,28943.4
30105.01,29999.16,28979.8
30147.11,29999.16,29003.17
30189.3,29999.16,29032.84
30211.89,29999.16,29045.42
30222.28,29999.16,29063.57
30203.93,29999.16,29053.09
30194.7,29999.16,29036.29
30180.22,29999.16,29017.84
30173.35,29999.16,29010.29
30167.64,29987.93,28989.42
30127.5,29916.2,28911.82
30090.0,29834.22,28836.93
30081.44,29806.16,28804.26
30077.06,29758.21,28751.54
30072.39,29708.44,28697.26
30069.14,29666.16,28646.19
30070.0,29625.56,28607.3
30065.0,29596.91,28583.8
30037.66,29545.43,28530.48
30013.52,29484.28,28485.78
30000.18,29433.27,28452.93
29999.16,29384.37,28440.23
30006.27,29369.91,28438.1
30029.93,29366.58,28452.31
30056.91,29361.96,28467.8
30075.85,29350.13,28482.39
30096.08,29323.88,28485.14
30099.82,29274.42,28465.33
30087.55,29223.39,28423.49
30077.29,29174.71,28404.26
30061.37,29131.53,28391.3
30040.86,29079.08,28368.01
30029.69,29035.9,28348.4
29987.93,29030.67,28326.0
29916.2,29030.67,28288.56
29834.22,29030.67,28249.73
29806.16,29030.67,28238.32
29758.21,29030.67,28223.25
29708.44,29030.67,28213.15
29666.16,29030.67,28205.19
29625.56,29030.67,28180.52
29596.91,28997.24,28151.16
29545.43,28954.49,28104.13
29484.28,28911.92,28056.17
29433.27,28863.81,28011.06
29384.37,28833.66,27960.83
29369.91,28826.44,27948.26
29366.58,28824.01,27950.51
29361.96,28819.07,27953.37
29350.13,28815.44,27950.64
29323.88,28815.44,27948.01
29274.420000000002,28815.44,27930.69
29223.39,28815.44,27924.74
29174.71,28815.44,27923.02
29131.53,28815.44,27923.02
29079.08,28815.44,27923.02
29035.9,28815.44,27914.34
