slack_0,non_interrupt,interrupt
134509.4,132742.51,130924.45
134437.81,132572.61,130818.04
134367.85,132418.36,130727.81
134307.82,132271.78,130644.13
134280.71,132163.15,130600.93
134245.05,132071.53,130567.98
134204.07,131980.03,130542.66
134183.13,131905.92,130493.8
134136.47,131899.59,130488.09
134079.78,131899.59,130530.99
134037.09,131899.59,130570.58
134025.18,131899.59,130632.38
134005.7,131899.59,130676.5
133973.92,131899.59,130672.11
133933.92,131899.59,130616.89
133842.0,131899.59,130521.89
133739.88,131884.85,130417.18
133622.77,131802.2,130326.89
133517.5,131718.04,130241.35
133436.27,131575.41,130136.26
133335.46,131481.52,130069.44
133218.02,131438.97,130041.51
133075.42,131418.48,130027.1
132921.25,131407.68,130032.25
132742.51,131384.43,130036.91
132572.61,131341.03,130010.24
132418.36,131267.63,129948.61
132271.78,131194.3,129901.5
132163.15,131136.98,129865.64
132071.53,131113.41,129842.08
131980.03,131113.41,129808.13
131905.92,131113.41,129795.92
131899.59,131113.41,129843.08
131926.38,131113.41,129884.2
131964.48,131113.41,129935.96
132018.63,131113.41,129975.1
132072.96,131113.41,130016.99
132090.19,131113.41,130049.41
132059.94,131113.41,130076.92
131983.27,131113.41,130086.14
131884.85,131113.41,130071.18
131802.2,131113.41,130059.11
131718.04,131113.41,130081.04
131575.41,131113.41,130094.14
131481.52,131113.41,130102.11
131438.97,131113.41,130086.14
131418.48,131113.41,130060.77
131407.68,131113.41,130020.56
131384.43,131113.41,129962.9
131341.03,131113.41,129869.98
131267.63,131082.34,129746.36
131194.3,130961.6,129587.9
131136.98,130869.09,129429.95
131113.41,130756.32,129275.94
131159.72,130635.61,129170.65
131239.36,130515.25,129103.01
131337.07,130441.17,129071.23
131445.39,130428.07,129054.12
131551.84,130422.66,129053.59
131636.34,130422.66,129098.82
131696.68,130422.66,129132.34
131753.67,130422.66,129176.68
131789.35,130422.66,129191.11
131800.33,130422.66,129157.5
131808.38,130422.66,129146.8
131776.58,130422.66,129101.25
131742.38,130422.66,128997.29
131724.32,130422.66,128860.87
131678.79,130422.66,128713.99
131573.21,130422.66,128574.23
131460.0,130422.66,128408.31
131353.89,130422.66,128250.11
131277.5,130422.66,128121.04
131183.54,130422.66,128017.63
131082.34,130422.66,127965.0
130961.6,130422.66,127932.73
130869.09,130422.66,127916.55
130756.32,130422.66,127859.46
130635.61,130422.66,127777.91
130515.25,130422.66,127681.35
130441.17,130422.66,127554.05
130428.07,130422.66,127491.27
130422.66,130422.66,127446.42
130488.32,130488.32,127477.96
130583.63,130420.66,127539.8
130688.87,130348.69,127607.71
130765.53,130268.97,127660.79
130830.94,130192.89,127723.33
130897.56,130129.84,127778.24
130973.43,130068.93,127828.31
131026.62,130067.49,127871.28
131016.55,130067.49,127897.72
130977.48,130067.49,127914.54
130931.1,130067.49,127930.03
130911.93,130067.49,128027.87
130922.25,130067.49,128149.09
130940.9,130067.49,128206.83
130953.62,130067.49,128230.99
131002.09,130067.49,128232.89
131060.55,130067.49,128238.21
131086.3,130067.49,128209.48
131068.52,130067.49,128185.04
131010.22,130067.49,128164.34
130939.95,130067.49,128153.96
130826.14,130067.49,128074.25
130713.57,129997.08,127970.3
130604.05,129809.11,127825.88
130499.04,129626.99,127683.09
130420.66,129463.26,127570.88
130348.69,129322.86,127476.36
130268.97,129208.24,127408.67
130192.89,129102.93,127348.43
130129.84,129036.84,127332.68
130068.93,128983.63,127351.92
130067.49,128960.61,127445.1
130082.15,128960.61,127542.97
130108.98,128960.61,127648.83
130163.86,128960.61,127775.06
130266.24,128960.61,127921.31
130365.2,128960.61,128066.13
130390.32,128960.61,128154.01
130410.85,128960.61,128205.05
130423.19,128960.61,128246.4
130426.55,128960.61,128247.95
130399.08,128960.61,128223.26
130357.85,128960.61,128146.61
130342.13,128960.61,128074.13
130294.68,128960.61,128003.49
130164.14,128960.61,127934.75
129997.08,128960.61,127800.17
129809.11,128960.61,127656.58
129626.99,128858.24,127510.08
129463.26,128736.36,127357.12
129322.86,128605.62,127168.37
129208.24,128505.96,126982.65
129102.93,128474.49,126820.87
129036.84,128455.12,126668.3
128983.63,128444.16,126520.79
128960.61,128444.16,126388.96
128974.0,128444.16,126253.11
129031.77,128392.93,126096.12
129117.95,128316.73,125960.56
129191.16,128278.07,125874.4
129265.11,128271.0,125820.91
129317.14,128266.56,125771.36
129351.64,128243.73,125714.28
129376.65,128212.47,125654.89
129370.74,128182.58,125598.33
129334.2,128088.55,125487.08
129275.79,127994.38,125380.57
129208.99,127905.65,125283.43
129181.35,127800.5,125203.44
129194.7,127741.41,125150.07
129112.04,127706.47,125065.75
128988.74,127662.19,124961.98
128858.24,127631.17,124892.86
128736.36,127631.17,124869.58
128605.62,127628.99,124877.01
128505.96,127628.99,124919.74
128474.49,127628.99,125015.61
128455.12,127628.99,125137.76
128444.16,127628.99,125265.92
128457.38,127628.99,125410.97
128458.45,127628.99,125551.88
128392.93,127628.99,125651.58
128316.73,127628.99,125732.29
128278.07,127628.99,125800.76
128271.0,127628.99,125889.47
128266.56,127628.99,126000.55
128243.73,127628.99,126095.69
128212.47,127628.99,126160.99
128182.58,127628.99,126191.32
128088.55,127628.99,126189.59
127994.38,127628.99,126142.62
127905.65,127628.99,126063.34
127800.5,127628.99,125978.17
127741.41,127628.99,125927.31
127706.47,127628.99,125881.15
127662.19,127628.99,125824.74
127631.17,127628.99,125757.83
127631.7,127628.99,125686.13
127628.99,127628.99,125601.44
127640.41,127640.41,125527.29
127709.59,127709.59,125494.9
127826.59,127826.59,125477.37
127988.64,127988.64,125490.98
128141.32,128141.32,125503.13
128280.76,128236.76,125478.53
128433.33,128185.88,125461.64
