slack_0,non_interrupt,interrupt
10357.39,9437.94,9003.69
10349.57,9437.94,9002.3
10340.3,9437.94,9001.21
10330.97,9437.94,9000.37
10322.19,9437.94,9000.37
10316.77,9437.94,9000.37
10312.95,9437.94,9000.37
10309.37,9437.94,9000.37
10305.47,9437.94,9000.37
10299.04,9437.94,9000.37
10287.57,9437.94,9000.37
10269.23,9437.94,9000.37
10239.77,9437.94,9000.15
10206.04,9437.94,8999.95
10173.5,9437.94,8999.95
10145.77,9437.94,8999.95
10121.46,9437.94,8999.95
10087.34,9437.94,8999.95
10051.64,9437.94,8999.95
10017.08,9437.94,8999.21
9988.67,9437.94,8997.19
9965.26,9437.94,8996.93
9946.95,9437.94,8996.93
9935.94,9437.94,8996.93
9930.76,9437.94,8996.93
9926.38,9437.94,8996.93
9923.15,9437.94,8996.93
9920.44,9437.94,8996.93
9916.14,9437.94,8996.93
9909.39,9437.94,8996.93
9901.26,9437.94,8996.93
9892.96,9437.94,8996.93
9883.46,9437.94,8996.93
9871.48,9437.94,8996.93
9855.18,9437.94,8996.93
9840.37,9437.94,8996.93
9831.42,9437.94,8996.93
9823.74,9437.94,8996.93
9816.12,9437.94,8996.93
9807.95,9437.94,8996.93
9799.76,9437.94,8996.93
9791.02,9437.94,8996.93
9784.7,9437.94,8996.93
9778.31,9437.94,8996.93
9772.98,9437.94,8996.93
9767.18,9437.94,8996.93
9761.71,9437.94,8995.57
9759.18,9437.94,8993.71
9757.85,9437.94,8992.04
9757.2,9437.94,8992.04
9756.87,9437.94,8992.04
9755.22,9437.94,8992.04
9753.87,9437.94,8992.04
9755.27,9437.94,8992.04
9758.24,9437.94,8992.04
9763.4,9437.94,8992.51
9769.51,9437.94,8994.94
9775.12,9437.94,8997.15
9777.84,9437.94,8997.15
9775.8,9437.94,8997.15
9774.9,9437.94,8997.15
9774.14,9437.94,8997.15
9774.6,9437.94,8997.15
9775.36,9437.94,8997.75
9777.15,9437.94,8997.75
9780.14,9437.94,8997.75
9781.85,9437.94,8999.28
9781.87,9437.94,8999.95
9782.79,9437.94,9000.08
9787.53,9437.07,9000.79
9789.64,9437.07,9000.99
9791.64,9437.07,9001.62
9794.74,9437.07,9001.95
9796.11,9437.07,9002.54
9796.61,9437.07,9003.31
9796.49,9437.07,9003.81
9796.77,9437.07,9004.05
