slack_0,non_interrupt,interrupt
4028.39,4026.8,4023.59
4028.37,4026.8,4023.59
4028.32,4026.8,4023.59
4028.27,4026.8,4023.59
4028.22,4026.8,4023.59
4028.18,4026.8,4023.59
4028.13,4026.8,4023.59
4028.07,4026.8,4023.59
4028.0099999999998,4026.8,4023.59
4027.94,4026.8,4023.59
4027.86,4026.8,4023.59
4027.78,4026.8,4023.59
4027.71,4026.8,4023.59
4027.63,4026.8,4023.59
4027.54,4026.8,4023.59
4027.46,4026.8,4023.59
4027.4,4026.8,4023.59
4027.33,4026.8,4023.59
4027.25,4026.8,4023.59
4027.18,4026.8,4023.59
4027.11,4026.8,4023.59
4027.08,4026.8,4023.59
4027.03,4026.8,4023.59
4026.96,4026.8,4023.59
4026.92,4026.8,4023.59
4026.89,4026.8,4023.59
4026.87,4026.8,4023.59
4026.86,4026.8,4023.59
4026.86,4026.8,4023.59
4026.86,4026.8,4023.59
4026.85,4026.8,4023.59
4026.84,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.83,4026.8,4023.59
4026.82,4026.8,4023.59
4026.82,4026.8,4023.59
4026.82,4026.8,4023.59
4026.81,4026.8,4023.59
4026.8,4026.8,4023.59
4026.8,4026.8,4023.59
4026.8,4026.8,4023.59
4026.82,4026.82,4023.59
4026.82,4026.82,4023.59
4026.83,4026.83,4023.59
4026.85,4026.85,4023.6
4026.89,4026.89,4023.62
4026.92,4026.92,4023.64
4026.97,4026.97,4023.67
4027.0,4027.0,4023.68
4027.02,4027.02,4023.68
4027.04,4027.04,4023.69
4027.08,4027.08,4023.71
4027.12,4027.12,4023.73
4027.15,4027.15,4023.74
4027.18,4027.18,4023.75
4027.21,4027.21,4023.76
4027.2599999999998,4027.26,4023.79
4027.3,4027.3,4023.81
4027.33,4027.33,4023.82
4027.35,4027.35,4023.83
4027.38,4027.38,4023.86
4027.44,4027.44,4023.91
4027.5,4027.5,4023.96
4027.57,4027.57,4024.01
4027.62,4027.62,4024.04
4027.68,4027.68,4024.07
4027.72,4027.72,4024.08
4027.7599999999998,4027.76,4024.06
4027.81,4027.81,4024.04
4027.86,4027.86,4024.03
4027.91,4027.91,4024.03
4027.97,4027.97,4024.04
4028.0299999999997,4028.03,4024.05
4028.1,4028.1,4024.07
4028.15,4028.15,4024.1
4029.5,4028.85,4024.12
4029.5299999999997,4028.85,4024.1
4029.59,4028.85,4024.1
4029.62,4028.85,4024.09
4029.66,4028.85,4024.08
4029.69,4028.85,4024.06
4029.72,4028.85,4024.05
4029.75,4028.85,4024.03
4029.79,4028.85,4024.02
4029.82,4028.85,4024.0
4029.84,4028.85,4023.95
4029.88,4028.85,4023.96
4029.91,4028.85,4023.97
4029.93,4028.85,4023.96
4029.92,4028.85,4023.94
4029.91,4028.85,4023.94
4029.88,4028.85,4023.95
4029.83,4028.85,4023.94
4029.79,4028.85,4023.93
4029.72,4028.85,4023.91
4029.65,4028.85,4023.9
4029.58,4028.85,4023.89
4029.5,4028.85,4023.87
4029.42,4028.85,4023.87
4029.34,4028.85,4023.87
4029.2599999999998,4028.85,4023.87
4029.18,4028.85,4023.87
4029.11,4028.85,4023.87
4029.05,4028.85,4023.87
4029.0099999999998,4028.85,4023.87
4029.0,4028.85,4023.86
4028.98,4028.85,4023.84
4028.95,4028.85,4023.84
4028.94,4028.85,4023.83
4028.93,4028.85,4023.83
4028.9,4028.85,4023.83
4028.89,4028.85,4023.83
4028.88,4028.85,4023.83
4028.88,4028.85,4023.83
4028.89,4028.85,4023.83
4028.9,4028.85,4023.83
4028.89,4028.85,4023.83
4028.9,4028.85,4023.83
4028.9,4028.85,4023.81
4028.91,4028.85,4023.8
4028.9,4028.85,4023.8
4028.9,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.91,4028.85,4023.8
4028.9,4028.85,4023.8
4028.89,4028.85,4023.81
4028.86,4028.85,4023.82
4028.85,4028.85,4023.84
4028.9,4028.9,4023.88
4028.93,4028.93,4023.92
4028.93,4028.93,4023.95
4028.97,4028.97,4023.98
4029.0099999999998,4029.01,4024.02
4029.04,4029.04,4024.06
4029.09,4029.09,4024.09
4029.14,4029.14,4024.13
4029.19,4029.19,4024.16
4029.24,4029.24,4024.2
4029.3,4029.3,4024.24
4029.36,4029.36,4024.28
4029.43,4029.43,4024.33
4029.47,4029.47,4024.35
4029.52,4029.52,4024.38
4029.58,4029.58,4024.42
4029.64,4029.64,4024.46
4029.7,4029.7,4024.5
4029.75,4029.75,4024.54
4029.79,4029.79,4024.57
4029.79,4029.79,4024.57
4029.79,4029.79,4024.57
4029.8,4029.79,4024.57
4029.81,4029.79,4024.57
4029.82,4029.79,4024.58
4029.87,4029.79,4024.62
4029.92,4029.79,4024.66
4029.97,4029.79,4024.7
4030.02,4029.79,4024.74
4030.07,4029.79,4024.78
4030.13,4029.79,4024.83
4030.19,4029.78,4024.88
4030.2599999999998,4029.78,4024.94
4030.34,4029.78,4025.01
4030.42,4029.78,4025.08
4030.49,4029.78,4025.14
4030.57,4029.78,4025.21
4030.66,4029.78,4025.29
4030.74,4029.78,4025.36
4030.81,4029.78,4025.42
4030.88,4029.77,4025.48
4030.96,4029.76,4025.55
4031.0299999999997,4029.76,4025.61
4031.1,4029.75,4025.67
4031.14,4029.74,4025.7
4031.19,4029.71,4025.72
4031.2599999999998,4029.66,4025.74
4031.2999999999997,4029.6,4025.72
4031.33,4029.54,4025.69
4031.35,4029.48,4025.65
4031.36,4029.43,4025.61
4031.36,4029.37,4025.56
4031.36,4029.31,4025.51
4031.37,4029.25,4025.46
4031.38,4029.2,4025.42
4031.39,4029.15,4025.38
4031.39,4029.09,4025.33
4031.39,4029.01,4025.26
4031.39,4028.93,4025.19
4031.39,4028.85,4025.12
4031.39,4028.77,4025.05
4031.39,4028.7,4024.99
4031.39,4028.63,4024.93
4031.39,4028.56,4024.87
4031.39,4028.52,4024.84
