slack_0,non_interrupt,interrupt
69119.92,69119.92,67821.24
69184.84,69184.84,67863.77
69247.9,69247.9,67902.84
69302.01,69302.01,67932.97
69360.12,69360.12,67959.41
69420.66,69420.66,67989.65
69486.52,69486.52,68028.52
69569.82,69569.82,68083.3
69661.58,69661.58,68144.84
69762.16,69762.16,68210.44
69868.57,69868.57,68277.88
69974.65,69974.65,68347.36
70071.62,70071.62,68412.74
70164.05,70164.05,68475.17
70255.64,70255.64,68548.57
70331.12,70331.12,68629.85
70397.63,70397.63,68712.31
70451.04,70451.04,68788.57
70490.66,70490.66,68858.31
70507.35,70507.35,68914.46
70520.88,70520.88,68970.24
70535.56,70535.56,69017.43
70564.65,70564.65,69055.09
70598.03,70598.03,69088.72
70632.71,70632.71,69112.21
70666.99,70666.99,69135.42
70695.0,70695.0,69154.74
70722.09,70722.09,69174.97
70744.9,70744.9,69195.72
70763.92,70763.92,69217.89
70783.34,70783.34,69243.93
70826.56,70826.56,69291.46
70872.12,70872.12,69347.37
70921.59,70921.59,69408.55
70972.81,70972.81,69471.57
71027.36,71027.36,69536.7
71083.44,71083.44,69601.95
71124.62,71124.62,69657.57
71171.2,71171.2,69716.14
71214.63,71214.63,69777.69
71239.07,71239.07,69828.16
71259.91,71259.91,69882.1
71272.21,71272.21,69927.88
71280.56,71280.56,69974.63
71291.71,71291.71,70021.86
71305.54,71305.54,70060.16
71314.79,71314.79,70083.02
71332.57,71332.57,70102.0
71346.48,71346.48,70117.46
71353.0,71353.0,70134.28
71365.27,71365.27,70159.87
71392.68,71392.68,70193.76
71427.91,71427.91,70237.33
71453.33,71453.33,70277.61
71460.4,71460.4,70311.26
71464.35,71463.51,70343.55
71463.51,71463.51,70375.48
71469.26,71469.26,70410.91
71489.82,71489.82,70446.81
71522.45,71522.45,70485.22
71562.15,71562.15,70520.96
71605.85,71583.06,70550.93
71630.56,71583.06,70565.39
71642.75,71583.06,70574.77
71646.98,71583.06,70579.0
71641.88,71583.06,70587.79
71629.75,71583.06,70600.94
71615.89,71583.06,70618.74
71602.23,71583.06,70644.22
71591.2,71583.06,70673.85
71583.31,71583.06,70690.99
71583.06,71583.06,70690.99
71594.0,71589.72,70690.99
71603.77,71589.72,70690.99
71602.07,71589.72,70690.99
71590.91,71589.72,70690.99
71590.62,71589.72,70690.99
71589.72,71589.72,70690.99
71598.05,71598.05,70690.99
71612.63,71612.63,70695.13
71623.52,71623.52,70695.13
71639.84,71639.84,70695.13
71660.86,71660.86,70705.52
71676.55,71676.55,70722.12
71691.36,71691.36,70734.27
71711.07,71711.07,70737.95
71734.36,71734.36,70758.21
71753.96,71753.96,70793.33
71775.38,71775.38,70830.53
71789.45,71789.45,70866.94
71800.39,71800.39,70907.02
71807.21,71806.37,70948.42
71806.37,71806.37,70987.25
71811.12,71811.12,71030.26
71821.35,71821.35,71061.61
71847.3,71847.3,71071.45
71875.0,71875.0,71071.45
71902.56,71902.56,71074.0
71928.99,71928.99,71076.53
71959.58,71959.58,71081.49
71995.7,71995.7,71083.75
72047.36,72047.36,71100.19
72102.85,72102.85,71123.23
72163.49,72163.49,71146.81
72226.11,72226.11,71170.68
72290.46,72290.46,71195.61
72353.28,72353.28,71219.9
72410.72,72410.72,71249.76
72454.73,72454.73,71274.65
72502.93,72502.93,71299.49
72547.18,72547.18,71331.12
72584.73,72584.73,71376.34
72628.71,72628.71,71420.44
72675.76,72675.76,71463.6
72717.22,72717.22,71508.22
72759.91,72759.91,71556.6
72805.82,72805.82,71599.31
72862.98,72862.98,71637.81
72915.48,72915.48,71681.5
72953.15,72953.15,71709.01
72988.52,72988.52,71730.4
73025.95,73025.95,71753.06
73061.84,73061.84,71775.69
73099.44,73099.44,71799.92
73141.9,73141.9,71824.03
73182.77,73182.77,71850.73
73224.0,73224.0,71881.75
73273.92,73273.92,71917.46
73322.63,73322.63,71951.22
73365.37,73365.37,71981.68
73406.65,73406.65,72009.15
