slack_0,non_interrupt,interrupt
37892.35,37892.35,36756.31
37933.82,37933.82,36762.9
37968.21,37968.21,36761.37
37993.61,37993.61,36749.46
38024.34,38024.34,36746.68
38056.26,38056.26,36746.68
38082.72,38082.72,36746.68
38098.41,38098.41,36746.68
38116.25,38116.25,36757.21
38141.99,38141.99,36775.93
38173.69,38173.69,36802.35
38205.84,38205.84,36829.68
38233.19,38233.19,36847.07
38251.71,38244.79,36862.39
38258.92,38244.79,36874.33
38260.21,38244.79,36880.69
38256.63,38244.79,36883.84
38254.34,38244.79,36886.48
38245.13,38244.79,36886.57
38244.79,38244.79,36892.46
38251.55,38251.55,36899.92
38273.5,38273.5,36911.87
38304.36,38304.36,36921.17
38350.15,38350.15,36935.16
38373.76,38373.76,36954.11
38399.29,38399.29,36973.75
38428.99,38414.17,36996.14
38454.55,38414.17,37009.28
38454.33,38414.17,37009.28
38438.06,38414.17,37009.28
38423.39,38414.17,37009.28
38414.17,38414.17,37009.28
38441.08,38441.08,37012.15
38475.32,38475.32,37023.04
38521.01,38521.01,37046.2
38561.28,38561.28,37060.3
38600.53,38600.53,37076.9
38636.97,38636.97,37092.76
38671.85,38671.85,37105.05
38704.91,38679.49,37112.71
38730.05,38679.49,37115.14
38740.74,38679.49,37115.14
38735.66,38679.49,37117.76
38728.14,38679.49,37126.6
38706.57,38679.49,37126.6
38694.23,38679.49,37131.83
38679.49,38679.49,37131.83
38682.22,38682.22,37136.64
38690.71,38690.71,37141.12
38708.14,38708.14,37151.68
38726.84,38726.84,37162.94
38749.65,38749.65,37173.85
38777.22,38777.22,37186.79
38796.2,38796.2,37195.6
38827.54,38820.41,37200.56
38820.41,38820.41,37200.56
38834.21,38834.21,37200.56
38851.35,38851.35,37200.56
38870.15,38870.15,37200.56
38903.71,38903.71,37206.39
38938.05,38938.05,37211.13
38984.4,38984.4,37224.03
39024.33,39024.33,37226.96
39054.47,39054.47,37226.96
39075.26,39075.26,37226.96
39095.25,39095.25,37226.96
39116.88,39116.88,37226.96
39136.72,39136.72,37226.96
39152.62,39152.62,37226.96
39165.92,39165.92,37226.96
39174.92,39174.92,37226.96
39196.49,39196.49,37226.96
39227.83,39227.83,37226.96
39280.71,39280.71,37226.96
39350.57,39350.57,37226.96
39416.46,39416.46,37226.96
39485.5,39485.5,37226.96
