slack_0,non_interrupt,interrupt
63661.69,63259.4,57465.01
63693.57,63259.4,57465.01
63729.28,63259.4,57465.01
63770.27,63259.4,57465.01
63814.24,63259.4,57465.01
63858.33,63259.4,57465.01
63906.92,63259.4,57465.01
63946.29,63259.4,57465.01
63991.67,63259.4,57465.01
64048.51,63259.4,57472.02
64114.32,63256.72,57489.01
64183.54,63222.6,57509.5
64252.35,63191.28,57526.41
64319.590000000004,63164.34,57540.44
64374.2,63142.95,57554.08
64420.22,63136.32,57583.09
64456.54,63136.32,57608.63
64482.45,63136.32,57622.9
64504.28,63136.32,57628.87
64528.92,63136.32,57630.32
64555.82,63136.32,57630.32
64586.99,63136.32,57630.32
64622.13,63136.32,57630.32
64666.33,63136.32,57630.32
64715.71,63136.32,57630.32
64765.6,63136.32,57630.32
64816.52,63136.32,57630.32
64867.67,63136.32,57630.32
64918.61,63136.32,57630.32
64969.13,63136.32,57630.32
65018.64,63136.32,57630.32
65072.17,63136.32,57630.32
65121.590000000004,63136.32,57641.03
65170.0,63136.32,57655.97
65221.91,63136.32,57675.67
65274.57,63136.32,57694.28
65329.24,63136.32,57705.49
65390.32,63136.32,57710.96
65440.62,63136.32,57716.63
65478.15,63136.32,57730.43
65503.93,63136.32,57739.44
65533.07,63136.32,57746.95
65561.55,63136.32,57748.52
65592.13,63136.32,57748.52
65635.85,63136.32,57748.52
65679.63,63136.32,57748.52
65722.8,63136.32,57748.52
65765.85,63136.32,57748.52
65810.19,63136.32,57748.52
65857.74,63136.32,57748.52
65905.56,63136.32,57748.52
65950.98,63136.32,57748.52
65993.51,63136.32,57748.52
66035.84,63136.32,57748.52
66080.38,63136.32,57748.52
66118.22,63136.32,57748.52
66157.0,63136.32,57754.56
66200.27,63136.32,57766.74
66244.35,63136.32,57779.1
66283.8,63136.32,57780.04
66330.73,63136.32,57780.04
66382.05,63136.32,57780.04
66429.39,63136.32,57780.04
66475.4,63136.32,57783.12
66528.49,63136.32,57804.34
66597.42,63136.32,57822.56
66684.0,63136.32,57843.19
66773.33,63136.32,57845.13
66868.65,63136.32,57840.83
66951.69,63136.32,57827.0
67019.83,63136.32,57815.27
67068.37,63136.32,57815.27
67112.11,63136.32,57815.27
67157.63,63136.32,57815.27
67206.15,63136.32,57815.27
67256.94,63136.32,57815.27
67304.46,63136.32,57815.27
67346.49,63136.32,57815.27
67377.29,63136.32,57815.27
67408.94,63136.32,57821.19
67439.26,63136.32,57832.77
67465.18,63136.32,57842.82
67490.65,63136.32,57847.3
67517.98,63136.32,57847.3
67540.99,63136.32,57847.3
67561.41,63136.32,57847.3
67582.49,63136.32,57847.3
67606.94,63136.32,57876.94
67628.65,63136.32,57905.27
67647.26,63136.32,57900.98
67658.54,63136.32,57872.9
67675.29,63136.32,57842.51
67694.15,63136.32,57801.39
67703.16,63136.32,57751.39
67715.97,63136.32,57715.68
67733.16,63136.32,57709.16
67749.83,63136.32,57709.16
67766.49,63136.32,57709.16
67783.99,63136.32,57709.16
67801.56,63136.32,57709.16
67815.03,63136.32,57709.16
67826.03,63136.32,57709.16
67846.01,63136.32,57709.16
67887.54,63136.32,57726.6
67928.89,63136.32,57747.79
67972.48,63136.32,57771.11
68020.44,63136.32,57795.81
68066.74,63136.32,57810.0
68102.84,63136.32,57810.0
68129.25,63136.32,57810.0
68143.86,63136.32,57810.0
68144.81,63136.32,57810.0
68138.54,63136.32,57794.39
68135.32,63136.32,57763.51
68130.11,63136.32,57731.64
68123.03,63136.32,57704.16
68119.07,63136.32,57682.72
68112.21,63136.32,57655.81
68116.35,63136.32,57640.08
68126.46,63136.32,57640.08
68137.68,63136.32,57640.08
68148.2,63136.32,57640.08
68159.6,63136.32,57640.08
68172.09,63136.32,57640.08
68183.39,63136.32,57640.08
68199.75,63136.32,57640.08
68218.23,63136.32,57640.08
68244.9,63136.32,57647.28
68272.44,63136.32,57659.06
68301.99,63136.32,57673.59
68335.78,63136.32,57688.2
68372.54,63136.32,57697.26
68405.2,63136.32,57697.26
68427.93,63136.32,57697.26
68457.55,63136.32,57697.26
68487.94,63136.32,57721.53
68509.13,63136.32,57739.2
68537.58,63136.32,57749.61
68573.07,63136.32,57761.47
68603.54,63136.32,57770.19
68618.77,63136.32,57768.69
68620.07,63136.32,57768.69
68620.35,63136.32,57768.69
68625.61,63136.32,57768.69
68632.24,63136.32,57768.69
68639.3,63136.32,57768.69
68638.78,63136.32,57768.69
68511.81,63136.32,57768.69
68400.34,63136.32,57768.69
68258.45,63136.32,57674.71
68247.52,63136.32,57529.35
68250.2,63136.32,57529.35
68255.81,63136.32,57529.35
68261.48,63136.32,57529.35
68264.29,63136.32,57528.53
68262.3,63136.32,57526.24
68252.42,63136.32,57526.24
68234.61,63136.32,57526.24
68199.67,63136.32,57526.24
68154.86,63136.32,57526.24
68112.29,63136.32,57526.24
68065.52,63136.32,57526.24
68016.05,63136.32,57526.24
67960.58,63136.32,57523.87
67902.88,63136.32,57508.16
67852.8,63136.32,57488.53
67815.48,63136.32,57474.47
67787.87,63136.32,57474.47
67763.51,63136.32,57474.47
67738.63,63136.32,57474.47
67716.13,63136.32,57474.47
67694.0,63136.32,57474.47
67672.76,63136.32,57474.47
67650.17,63136.32,57474.47
67628.75,63136.32,57474.47
67615.77,63136.32,57474.47
67603.77,63136.32,57474.47
67590.9,63136.32,57474.47
67579.02,63136.32,57474.47
67572.89,63136.32,57474.47
67570.0,63136.32,57474.47
67569.9,63136.32,57474.47
67559.64,63136.32,57474.47
67542.76,63136.32,57474.47
67514.89,63136.32,57463.26
67478.38,63136.32,57431.64
67435.0,63136.32,57391.59
67384.81,63136.32,57346.91
67330.19,63136.32,57292.48
67274.56,63136.32,57239.11
67230.86,63136.32,57188.65
67194.67,63136.32,57174.96
67161.37,63136.32,57174.96
67127.45,63136.32,57174.96
67094.85,63136.32,57174.96
67064.36,63136.32,57174.96
67032.57,63136.32,57174.96
67005.07,63136.32,57174.96
66974.82,63136.32,57174.96
66944.98,63136.32,57174.96
66926.61,63136.32,57174.96
66911.41,63136.32,57174.96
66896.77,63136.32,57174.96
66885.09,63136.32,57174.96
66870.92,63136.32,57174.96
66852.4,63136.32,57174.96
66854.08,63136.32,57174.96
66879.44,63136.32,57174.96
66911.27,63136.32,57174.96
66933.06,63136.32,57167.47
66949.36,63136.32,57152.85
66951.05,63136.32,57133.5
66934.7,63136.32,57120.41
66914.54,63136.32,57119.88
66885.66,63136.32,57119.88
66860.81,63136.32,57119.88
66837.84,63136.32,57119.88
66816.1,63136.32,57119.88
66801.96,63136.32,57119.88
66795.87,63136.32,57119.88
66794.52,63136.32,57119.88
66796.28,63136.32,57119.88
66806.27,63136.32,57119.88
66828.44,63136.32,57117.57
66857.72,63136.32,57110.8
66889.54,63136.32,57100.73
66922.26,63136.32,57089.92
66948.63,63136.32,57080.91
66961.06,63136.32,57080.91
66961.79,63136.32,57080.91
66949.84,63136.32,57080.91
66926.49,63136.32,57069.87
66900.89,63136.32,57026.35
66864.36,63136.32,56977.55
66815.13,63136.32,56927.14
66758.86,63136.32,56885.57
66696.99,63136.32,56845.89
66642.36,63136.32,56814.37
66605.24,63136.32,56788.75
66589.82,63136.32,56788.75
66580.93,63136.32,56788.75
66573.48,63136.32,56788.75
66566.23,63136.32,56788.75
66565.52,63136.32,56788.75
66574.22,63136.32,56788.75
66597.14,63136.32,56788.75
66646.07,63136.32,56788.75
66701.68,63136.32,56788.75
66761.7,63136.32,56785.99
66827.63,63136.32,56780.43
66888.54,63136.32,56771.34
66941.41,63136.32,56763.36
66989.56,63136.32,56763.36
67029.35,63136.32,56763.36
67050.04,63136.32,56763.36
67065.11,63136.32,56763.36
67066.49,63136.32,56770.7
67049.83,63136.32,56779.74
67018.13,63136.32,56780.32
66966.72,63136.32,56776.89
66898.94,63136.32,56773.64
66839.46,63136.32,56771.8
66805.74,63136.32,56771.8
66794.8,63136.32,56771.8
66793.33,63136.32,56771.8
66795.78,63136.32,56771.8
66799.89,63136.32,56771.8
66802.11,63136.32,56771.8
66805.28,63136.32,56771.8
66830.25,63136.32,56771.8
66848.03,63136.32,56771.8
66871.95,63136.32,56771.8
66903.7,63136.32,56771.8
66936.03,63136.32,56771.8
66970.75,63136.32,56771.8
67003.64,63136.32,56771.8
67030.26,63136.32,56771.8
67055.85,63136.32,56771.8
67075.31,63136.32,56771.8
67082.08,63136.32,56771.8
67074.7,63136.32,56772.66
67058.73,63136.32,56772.66
67046.81,63136.32,56772.66
67043.31,63136.32,56770.66
67041.5,63136.32,56770.66
67047.03,63136.32,56770.66
67055.53,63136.32,56770.66
67071.34,63136.32,56770.66
67092.0,63136.32,56770.66
67113.46,63136.32,56770.66
67134.02,63136.32,56770.66
67155.54,63136.32,56770.66
67179.79,63136.32,56770.66
67192.31,63136.32,56770.66
67221.91,63136.32,56770.66
67252.28,63136.32,56770.66
67282.63,63136.32,56770.66
67315.52,63136.32,56770.66
