slack_0,non_interrupt,interrupt
111282.66,111259.32,108605.58
111269.52,111259.32,108605.58
111262.5,111259.32,108605.58
111259.32,111259.32,108605.58
111263.29,111263.29,108605.58
111269.82,111269.82,108613.79
111285.19,111285.19,108643.86
111312.63,111312.63,108694.95
111344.25,111344.25,108754.04
111379.5,111379.5,108819.71
111408.11,111408.11,108891.13
111435.5,111435.5,108968.14
111475.49,111475.49,109049.57
111523.8,111523.8,109129.66
111574.94,111527.79,109208.63
111622.3,111527.79,109284.06
111658.86,111527.79,109351.32
111672.11,111527.79,109389.67
111644.6,111527.79,109389.67
111626.7,111527.79,109389.67
111617.07,111527.79,109389.67
111608.2,111527.79,109389.67
111602.72,111527.79,109389.67
111588.86,111527.79,109389.67
111573.55,111527.79,109389.67
111563.66,111527.79,109389.67
111547.26,111527.79,109389.67
111534.26,111527.79,109389.67
111528.53,111527.79,109389.67
111527.79,111527.79,109389.67
111549.42,111549.42,109404.43
111580.29,111580.29,109437.9
111603.07,111603.07,109475.74
111617.8,111617.8,109516.79
111633.78,111633.78,109561.75
111652.36,111652.36,109606.23
111680.6,111680.6,109652.92
111716.74,111716.74,109698.77
111749.43,111749.43,109735.17
111787.89,111787.89,109769.4
111822.35,111822.35,109796.56
111842.61,111842.61,109807.82
111865.8,111865.8,109809.62
111905.34,111905.34,109813.04
111938.65,111938.65,109814.63
111952.56,111952.56,109814.63
111961.93,111960.16,109814.63
111964.2,111960.16,109814.63
111963.14,111960.16,109814.63
111964.33,111960.16,109814.63
111962.14,111960.16,109814.63
111960.16,111960.16,109814.63
111970.59,111970.59,109814.63
112006.48,112006.48,109814.63
112052.72,112052.72,109814.63
112097.46,112097.46,109828.34
112127.67,112127.67,109849.74
112158.21,112158.21,109875.14
112195.52,112195.52,109906.13
112238.53,112238.53,109941.2
112277.74,112277.74,109978.15
112309.12,112309.12,110010.37
112337.18000000001,112337.18,110044.82
112360.18000000001,112360.18,110082.59
112372.8,112372.8,110111.41
112390.85,112390.85,110127.11
112408.6,112408.6,110129.49
112423.91,112423.91,110129.49
112449.63,112449.63,110133.69
112467.98,112467.98,110133.69
112480.74,112480.74,110133.69
112484.66,112484.66,110133.69
112490.11,112490.11,110133.69
112493.8,112493.8,110133.69
112498.33,112498.33,110133.69
112513.48,112513.48,110133.69
112529.92,112529.92,110133.69
112553.07,112553.07,110133.69
112582.45,112582.45,110136.81
112607.12,112607.12,110155.88
112631.54,112631.54,110182.09
112657.81,112657.81,110213.42
112685.63,112685.63,110246.43
112713.53,112713.53,110280.67
112742.23,112742.23,110316.6
112771.81,112771.81,110353.97
112797.41,112797.41,110389.75
112824.41,112824.41,110427.35
112845.04,112845.04,110458.26
112862.08,112862.08,110475.0
112872.81,112872.81,110475.0
112880.76,112877.12,110475.0
112886.44,112877.12,110475.0
112886.24,112877.12,110475.0
112885.49,112877.12,110475.0
112880.9,112877.12,110475.0
112877.12,112877.12,110475.0
112880.02,112880.02,110475.0
112887.04,112887.04,110475.0
112889.65,112889.65,110475.0
112898.7,112898.7,110475.0
112912.82,112912.82,110475.0
112929.89,112929.89,110489.01
112943.98,112943.98,110519.26
112961.57,112961.57,110556.62
112986.07,112986.07,110599.28
113014.97,113014.97,110648.74
113052.34,113052.34,110701.59
113089.29,113089.29,110755.17
113126.78,113126.78,110810.2
113165.81,113165.81,110860.01
113193.82,113193.82,110896.1
113216.19,113216.19,110921.42
113226.87,113226.59,110931.67
113226.59,113226.59,110931.67
113227.29,113227.29,110931.67
113229.65,113229.65,110931.67
113240.89,113240.89,110931.67
113255.61,113255.61,110931.67
113270.87,113270.87,110931.67
113288.03,113288.03,110931.67
113299.46,113299.46,110931.67
113310.22,113310.22,110931.67
113321.9,113321.9,110931.67
113334.94,113334.94,110931.67
113347.09,113347.09,110931.67
113355.93,113355.93,110931.67
113366.81,113366.81,110937.92
113374.28,113374.28,110954.65
113385.7,113385.7,110981.37
113400.57,113400.57,111015.32
113413.64,113413.64,111051.57
113428.31,113428.31,111085.98
113449.56,113449.56,111118.5
113466.24,113466.24,111146.92
113479.5,113479.5,111179.99
113487.11,113487.11,111212.76
113495.06,113495.06,111236.2
113503.78,113503.78,111248.39
113515.99,113515.99,111258.23
113539.81,113539.81,111265.3
113554.66,113554.66,111265.3
113568.36,113568.36,111265.3
113590.01,113590.01,111265.3
113611.17,113611.17,111265.3
113633.12,113633.12,111265.3
113648.27,113648.27,111265.3
113654.01,113654.01,111265.3
113658.73,113658.73,111265.3
113664.52,113664.52,111265.3
113682.03,113682.03,111272.36
113700.56,113700.56,111292.14
113717.3,113717.3,111317.93
113734.24,113734.24,111349.18
113758.15,113758.15,111385.47
113782.95,113782.95,111422.67
113806.36,113806.36,111461.11
113831.97,113831.97,111500.74
113858.62,113858.62,111539.65
113883.91,113883.91,111572.33
113899.72,113899.72,111597.7
113923.15,113923.15,111620.74
113948.82,113948.82,111634.7
113989.71,113989.71,111652.06
114034.17,114034.17,111673.6
114074.8,114074.8,111686.16
114114.47,114114.47,111695.81
114152.69,114152.69,111703.23
114187.72,114187.72,111709.7
114223.13,114223.13,111715.34
114257.74,114257.74,111719.04
114293.37,114293.37,111721.02
114332.59,114332.59,111725.3
114384.68,114384.68,111740.12
114442.07,114442.07,111768.17
114504.54,114504.54,111805.24
114551.4,114551.4,111836.25
114594.06,114594.06,111866.16
114645.18,114645.18,111906.19
114701.16,114701.16,111961.48
114751.82,114751.82,112013.01
114800.39,114800.39,112051.27
114845.38,114845.38,112091.9
114890.16,114890.16,112132.48
114938.35,114938.35,112175.7
114989.43,114989.43,112213.23
115038.61,115038.61,112241.56
115075.55,115075.55,112255.78
115115.01,115115.01,112268.85
115149.33,115149.33,112271.84
115169.55,115169.55,112271.84
115189.1,115189.1,112271.84
115211.49,115211.49,112271.84
115234.5,115234.5,112271.84
115265.2,115265.2,112275.96
115289.34,115289.34,112275.96
115315.47,115315.47,112275.96
115344.1,115344.1,112275.96
115372.33,115372.33,112281.7
115400.71,115400.71,112297.0
115434.03,115434.03,112324.57
115470.13,115470.13,112363.49
115503.61,115489.91,112405.43
115528.61,115489.91,112444.24
115538.11,115489.91,112475.29
115531.28,115489.91,112497.84
115518.09,115489.91,112514.4
115499.8,115489.91,112523.18
115489.91,115489.91,112528.86
115496.19,115496.19,112532.71
115506.72,115506.72,112532.71
115509.52,115509.52,112532.71
115520.54,115520.54,112532.71
115540.75,115540.75,112532.71
115563.97,115563.97,112532.71
115593.03,115593.03,112532.71
115618.6,115618.6,112532.71
115645.2,115645.2,112532.71
115673.28,115673.28,112532.71
115701.14,115701.14,112532.71
115721.06,115714.73,112532.71
115722.67,115714.73,112532.71
115719.05,115714.73,112532.71
115714.73,115714.73,112532.71
115723.29,115723.29,112536.18
115729.77,115729.77,112543.48
115733.75,115733.75,112549.67
115734.48,115734.48,112554.03
115735.68,115735.68,112563.98
115746.29,115746.29,112584.91
115767.31999999999,115767.32,112613.43
115795.49,115795.49,112644.52
115822.33,115822.33,112673.25
115834.54,115834.54,112683.31
115849.0,115849.0,112683.31
115860.65,115860.65,112683.31
115867.19,115867.19,112683.31
115875.46,115875.46,112683.31
115884.21,115884.21,112683.31
115901.29,115901.29,112683.31
115924.43,115924.43,112683.31
115961.99,115961.99,112683.31
115995.63,115995.63,112683.31
116020.9,116020.9,112683.31
116048.68,116048.68,112683.31
116074.11,116074.11,112683.31
116095.75,116095.75,112683.31
116119.02,116119.02,112689.66
116137.0,116137.0,112703.59
116146.03,116146.03,112720.6
116149.17,116148.65,112737.59
116151.83,116148.65,112755.37
116154.33,116148.65,112774.16
116148.65,116148.65,112793.41
116155.48,116155.48,112815.05
116170.11,116170.11,112837.12
116188.88,116188.88,112858.82
116211.8,116211.8,112869.97
116231.47,116231.47,112869.97
116254.42,116254.42,112869.97
116278.2,116278.2,112869.97
116297.47,116297.47,112869.97
116317.5,116317.5,112869.97
116342.35,116342.35,112869.97
116370.54,116370.54,112869.97
116395.26,116395.26,112869.97
116416.85,116416.85,112869.97
116442.61,116442.61,112869.97
116474.87,116474.87,112869.97
116514.22,116514.22,112869.97
116559.05,116559.05,112878.33
116610.38,116610.38,112905.76
116656.95,116656.95,112936.87
116697.56,116697.56,112966.36
116740.1,116740.1,112998.3
116775.5,116775.5,113025.19
116808.28,116808.28,113053.16
116835.69,116835.69,113081.45
116860.06999999999,116860.07,113103.13
116884.44,116884.44,113121.52
116909.53,116909.53,113134.66
116943.31999999999,116943.32,113144.44
116976.92,116976.92,113150.25
117007.06,117007.06,113155.59
117046.45,117046.45,113162.89
117084.17,117084.17,113162.89
117115.53,117115.53,113162.89
117142.83,117142.83,113162.89
117168.6,117168.6,113162.89
117191.37,117191.37,113162.89
117210.94,117210.94,113162.89
117228.4,117228.4,113162.89
117245.88,117245.88,113162.89
117257.38,117257.38,113162.89
117267.85,117267.85,113162.89
117278.81999999999,117278.82,113168.55
117298.06999999999,117298.07,113188.11
117320.0,117320.0,113208.15
117345.69,117345.69,113229.35
117381.45,117381.45,113253.92
117419.86,117419.86,113269.35
117451.97,117451.97,113276.26
117478.56,117478.56,113282.78
117520.31,117520.31,113300.93
117581.69,117581.69,113328.21
117634.81,117634.81,113352.97
117666.32,117666.32,113365.62
117690.87,117690.87,113372.37
117714.1,117714.1,113372.37
117740.05,117740.05,113372.37
117759.03,117759.03,113372.37
117781.64,117781.64,113372.37
117805.86,117805.86,113372.37
117828.85,117828.85,113372.37
117857.77,117857.77,113372.37
117896.76,117896.76,113372.37
117944.63,117944.63,113372.37
117992.95,117992.95,113372.37
118033.5,118033.5,113372.37
118066.46,118066.46,113382.4
118092.2,118092.2,113392.79
118117.16,118117.16,113404.11
118136.18,118136.18,113407.9
118154.78,118154.78,113408.31
118170.56,118170.56,113413.47
118185.63,118185.63,113415.26
118198.61,118190.96,113413.78
118207.8,118190.96,113410.83
118224.69,118190.96,113423.25
118241.7,118190.96,113430.29
118253.21,118190.96,113430.29
118254.67,118190.96,113430.29
118258.97,118190.96,113430.29
118267.0,118190.96,113430.29
118275.98,118190.96,113430.29
118287.99,118190.96,113430.29
118304.4,118190.96,113430.29
118327.26,118190.96,113430.29
118349.16,118190.96,113430.29
118366.89,118190.96,113430.29
118382.64,118190.96,113430.29
118389.66,118190.96,113430.29
