slack_0,non_interrupt,interrupt
84342.25,75016.03,65838.45
84398.17,75016.03,65838.45
84433.58,75016.03,65838.45
84475.21,75016.03,65838.45
84518.04,75016.03,65838.45
84577.0,75016.03,65838.45
84640.69,75016.03,65838.45
84712.89,75016.03,65838.45
84765.46,75016.03,65838.45
84821.09,75016.03,65838.45
84876.21,75016.03,65838.45
84947.45,75016.03,65838.45
85013.91,75016.03,65838.45
85092.12,75016.03,65838.45
85171.59,75016.03,65838.45
85248.81999999999,75016.03,65838.45
85298.2,75016.03,65838.45
85343.83,75016.03,65838.45
85398.4,75016.03,65838.45
85454.15,75016.03,65838.45
85539.47,75016.03,65838.45
85626.65,75016.03,65838.45
85716.9,75016.03,65838.45
85799.21,75016.03,65838.45
85884.88,75016.03,65838.45
85965.33,75016.03,65838.45
86056.95,75016.03,65838.45
86132.04,75016.03,65838.45
86203.87,75016.03,65838.45
86290.91,75016.03,65838.45
86375.47,75016.03,65838.45
86472.04,75016.03,65838.45
86579.22,75016.03,65838.45
86682.03,75016.03,65838.45
86776.56,75016.03,65838.45
86875.89,75016.03,65838.45
86980.29,75016.03,65838.45
87090.75,75016.03,65838.45
87168.25,75016.03,65838.45
87205.13,75016.03,65838.45
87237.63,75016.03,65838.45
87282.88,75016.03,65838.45
87334.05,75016.03,65838.45
87394.75,75016.03,65838.45
87454.54,75016.03,65838.45
87558.43,75016.03,65838.45
87694.51,75016.03,65838.45
87849.12,75016.03,65838.45
87985.19,75016.03,65838.45
88095.41,75016.03,65838.45
88196.64,75016.03,65838.45
88299.95,75016.03,65838.45
88399.74,75016.03,65838.45
88501.96,75016.03,65838.45
88605.11,75016.03,65838.45
88683.13,75016.03,65838.45
88742.93,75016.03,65838.45
88794.56,75016.03,65838.45
88840.56,75016.03,65838.45
88884.08,75016.03,65838.45
88945.73,75016.03,65838.45
88993.94,75016.03,65838.45
89037.48,75016.03,65838.45
89085.7,75016.03,65838.45
89142.67,75016.03,65838.45
89224.68,75016.03,65838.45
89285.54,75016.03,65838.45
89347.58,75016.03,65838.45
89384.97,75016.03,65838.45
89376.7,75016.03,65838.45
