slack_0,non_interrupt,interrupt
71679.95,56978.37,46017.33
71695.15,56978.37,46017.33
71695.3,56978.37,46017.33
71717.02,56978.37,46017.33
71764.75,56978.37,46017.33
71820.44,56978.37,46017.33
71848.44,56978.37,46017.33
71893.74,56978.37,46017.33
71948.27,56978.37,46017.33
71986.06,56978.37,46017.33
72021.36,56978.37,46017.33
72058.29,56978.37,46017.33
72079.33,56978.37,46017.33
72084.46,56978.37,46017.33
72084.42,56978.37,46017.33
72082.07,56978.37,46017.33
72070.52,56978.37,46017.33
72074.38,56978.37,46017.33
72094.14,56978.37,46017.33
72107.88,56978.37,46017.33
72116.69,56978.37,46017.33
72141.05,56978.37,46017.33
72182.45,56978.37,46017.33
72248.11,56978.37,46017.33
72346.51,56978.37,46017.33
72469.67,56978.37,46017.33
72626.03,56978.37,46017.33
72785.75,56978.37,46017.33
72943.77,56978.37,46017.33
73121.29,56978.37,46017.33
73304.22,56978.37,46017.33
73486.71,56978.37,46017.33
73665.11,56978.37,46017.33
73837.01,56978.37,46017.33
73994.03,56978.37,46017.33
74137.72,56978.37,46017.33
74280.69,56978.37,46017.33
74415.93,56978.37,46017.33
74545.89,56978.37,46017.33
74668.41,56978.37,46017.33
74773.06,56978.37,46017.33
74872.58,56978.37,46017.33
74975.23,56978.37,46017.33
75094.19,56978.37,46017.33
75232.16,56978.37,46017.33
75407.88,56978.37,46017.33
75603.61,56978.37,46017.33
75800.43,56978.37,46017.33
76004.93,56978.37,46017.33
76188.95,56978.37,46017.33
76337.82,56978.37,46017.33
76486.44,56978.37,46017.33
76668.29,56978.37,46017.33
76875.27,56978.37,46017.33
77040.89,56978.37,46017.33
77163.56,56978.37,46017.33
77266.58,56978.37,46017.33
77354.44,56978.37,46017.33
77425.78,56978.37,46017.33
77461.6,56978.37,46017.33
77480.96,56978.37,46017.33
77461.75,56978.37,46017.33
77439.61,56978.37,46017.33
77431.82,56978.37,46017.33
77434.9,56978.37,46017.33
77419.69,56978.37,46017.33
77379.8,56978.37,46017.33
77305.46,56978.37,46017.33
77218.12,56978.37,46017.33
77169.22,56978.37,46017.33
77142.95,56978.37,46017.33
77136.32,56978.37,46017.33
77123.57,56978.37,46017.33
77113.89,56978.37,46017.33
77103.59,56978.37,46017.33
77071.11,56978.37,46017.33
76982.37,56978.37,46017.33
76875.33,56978.37,46017.33
76780.43,56978.37,46017.33
76673.46,56978.37,46017.33
76564.15,56978.37,46017.33
76476.43,56978.37,46017.33
76458.4,56978.37,46017.33
76437.09,56978.37,46017.33
76395.17,56978.37,46017.33
76351.15,56978.37,46017.33
76326.63,56978.37,46017.33
76278.09,56978.37,46017.33
76221.48,56978.37,46017.33
76181.36,56978.37,46017.33
76157.87,56978.37,46017.33
76146.66,56978.37,46017.33
76105.62,56978.37,46017.33
76080.29,56978.37,46017.33
76077.17,56978.37,46017.33
76042.57,56978.37,46017.33
76034.91,56978.37,46017.33
76024.73,56978.37,46017.33
76024.4,56978.37,46017.33
76041.99,56978.37,46017.33
76077.41,56978.37,46017.33
76125.66,56978.37,46017.33
76165.65,56978.37,46017.33
76193.27,56978.37,46017.33
76184.29,56978.37,46017.33
76159.61,56978.37,46017.33
76157.0,56978.37,46017.33
76174.36,56978.37,46017.33
76223.57,56978.37,46017.33
76287.43,56978.37,46017.33
76335.13,56978.37,46017.33
76382.24,56978.37,46017.33
76424.93,56978.37,46017.33
76439.42,56978.37,46017.33
76443.9,56978.37,46017.33
76435.09,56978.37,46017.33
76413.1,56978.37,46017.33
76387.38,56978.37,46017.33
76344.34,56978.37,46017.33
76287.93,56978.37,46017.33
76249.23,56978.37,46017.33
76233.89,56978.37,46017.33
76224.23,56978.37,46017.33
76259.91,56978.37,46017.33
76301.11,56978.37,46017.33
76323.13,56978.37,46017.33
76354.42,56978.37,46017.33
76392.92,56978.37,46017.33
76445.77,56978.37,46017.33
