slack_0,non_interrupt,interrupt
9710.52,9443.44,8872.33
9732.22,9443.44,8924.16
9747.57,9443.44,8963.3
9753.76,9443.44,8993.67
9764.74,9443.44,9015.22
9777.56,9443.44,9026.64
9774.36,9443.44,9026.64
9781.28,9443.44,9026.64
9793.86,9443.44,9026.64
9803.61,9443.44,9026.64
9805.17,9443.44,9026.64
9804.52,9443.44,9026.64
9795.83,9443.44,9026.64
9776.68,9443.44,9026.64
9747.7,9443.44,9026.64
9719.3,9443.44,9026.64
9691.42,9443.44,9028.46
9640.42,9443.44,9030.58
9589.33,9443.44,9045.9
9535.62,9443.44,9063.65
9510.69,9443.44,9109.2
9482.56,9443.44,9151.43
9454.5,9443.44,9202.89
9443.44,9443.44,9271.08
9469.73,9469.73,9337.85
9519.23,9519.23,9402.96
9572.29,9572.29,9458.6
9622.72,9622.72,9509.03
9653.27,9653.27,9548.15
9669.960000000001,9669.96,9575.95
9679.78,9679.78,9583.98
9684.03,9684.03,9583.98
9701.960000000001,9685.19,9583.98
9686.75,9685.19,9583.98
9685.19,9685.19,9583.98
9694.99,9694.99,9583.98
9707.4,9707.4,9586.32
9732.01,9732.01,9617.12
9773.59,9773.59,9660.25
9812.58,9812.58,9708.78
9871.14,9871.14,9772.56
9943.85,9943.85,9859.23
10032.11,10032.11,9953.33
10126.59,10126.59,10044.58
10220.03,10220.03,10127.73
10314.72,10314.72,10217.34
10427.19,10427.19,10315.82
10529.79,10529.79,10414.28
10586.12,10586.12,10474.95
10621.54,10621.54,10509.34
10652.59,10652.59,10530.77
10684.26,10684.26,10549.5
10725.67,10725.67,10575.47
10774.09,10774.09,10602.63
10815.95,10815.95,10616.23
10858.77,10858.77,10627.49
10870.210000000001,10870.21,10627.49
10910.42,10910.42,10638.21
10937.34,10937.34,10646.11
10940.57,10940.57,10646.26
10945.56,10945.56,10659.1
10955.37,10955.37,10688.3
10956.0,10956.0,10712.59
10965.54,10965.54,10743.49
10977.11,10977.11,10769.05
11020.62,11020.62,10804.37
11062.9,11062.9,10830.88
11094.06,11094.06,10846.46
11120.09,11120.09,10861.34
11143.52,11143.52,10873.8
11157.1,11157.1,10878.53
11179.59,11179.59,10893.25
11209.86,11209.86,10915.42
11235.880000000001,11235.88,10932.59
11259.49,11259.49,10940.29
11277.460000000001,11267.22,10945.14
11288.56,11267.22,10946.04
11290.83,11267.22,10946.04
11286.66,11267.22,10946.04
11279.27,11267.22,10946.04
11273.12,11267.22,10946.04
11267.55,11267.22,10946.04
11267.22,11267.22,10946.04
11283.27,11283.27,10953.12
11307.05,11307.05,10970.58
11335.53,11335.53,10999.03
11364.22,11347.26,11031.13
11394.57,11347.26,11061.03
11419.89,11347.26,11083.84
11420.85,11347.26,11083.84
11413.58,11347.26,11083.84
11405.97,11347.26,11083.84
11402.710000000001,11347.26,11083.84
11395.63,11347.26,11083.84
11387.26,11347.26,11083.84
11382.65,11347.26,11083.84
11375.28,11347.26,11083.84
11365.81,11347.26,11083.84
11355.38,11347.26,11083.84
11349.65,11347.26,11083.84
11347.26,11347.26,11083.84
11350.44,11350.44,11083.84
11377.51,11377.51,11083.84
11419.08,11419.08,11083.84
11461.82,11461.82,11083.84
11502.630000000001,11502.63,11083.84
11544.1,11544.1,11083.84
11552.0,11552.0,11083.84
11562.13,11562.1,11083.84
11562.1,11562.1,11084.8
11569.57,11569.57,11086.64
11576.57,11576.57,11086.68
11588.26,11588.26,11086.68
11600.54,11600.54,11086.68
11613.3,11613.3,11086.68
11623.16,11623.16,11086.68
11635.3,11635.3,11086.68
11651.98,11651.98,11089.31
11668.93,11659.06,11094.38
11681.68,11659.06,11097.51
11690.29,11659.06,11103.19
11700.54,11659.06,11110.1
11716.68,11659.06,11110.93
11743.64,11659.06,11110.93
11790.630000000001,11659.06,11110.93
11840.62,11659.06,11110.93
11865.07,11659.06,11110.93
11870.8,11659.06,11110.93
11875.1,11659.06,11110.93
11875.39,11659.06,11110.93
11876.23,11659.06,11110.93
11903.04,11659.06,11110.93
11885.47,11659.06,11110.93
11869.09,11659.06,11115.21
11856.59,11659.06,11111.66
11842.7,11659.06,11102.46
11826.21,11659.06,11099.99
11819.06,11659.06,11099.99
11815.66,11659.06,11099.99
11787.35,11659.06,11099.99
11732.03,11659.06,11099.99
11696.15,11659.06,11099.99
11696.92,11659.06,11099.99
11692.61,11659.06,11099.99
11689.68,11659.06,11099.99
11695.37,11659.06,11099.99
11720.630000000001,11659.06,11099.99
11733.74,11659.06,11099.99
11729.66,11659.06,11099.99
11724.34,11659.06,11099.99
11720.58,11659.06,11099.99
11718.54,11659.06,11099.99
11716.75,11659.06,11099.99
11717.78,11659.06,11099.99
11714.02,11659.06,11099.99
11710.27,11659.06,11099.99
11750.41,11659.06,11105.51
11778.91,11659.06,11126.17
11795.03,11659.06,11138.91
11813.12,11659.06,11149.57
11824.65,11659.06,11156.24
11825.93,11659.06,11156.24
11825.85,11659.06,11156.24
11880.3,11659.06,11178.28
11973.37,11659.06,11224.81
12041.98,11659.06,11250.84
12076.13,11659.06,11250.84
12077.83,11659.06,11250.84
12082.98,11659.06,11253.21
12076.36,11659.06,11253.21
12044.23,11659.06,11253.21
12028.25,11659.06,11253.21
12025.26,11659.06,11253.21
12019.0,11659.06,11253.21
12013.46,11659.06,11253.21
12009.39,11659.06,11253.21
12007.02,11659.06,11253.21
12006.12,11659.06,11253.21
12008.96,11659.06,11253.21
12017.85,11659.06,11253.21
12027.05,11659.06,11253.21
12038.52,11659.06,11253.21
12035.14,11659.06,11253.21
12028.32,11659.06,11253.21
12022.85,11659.06,11253.21
12042.96,11659.06,11253.21
12070.93,11659.06,11253.21
12074.22,11659.06,11253.21
12065.99,11659.06,11253.21
12060.32,11659.06,11253.21
12055.210000000001,11659.06,11253.21
12053.06,11659.06,11253.21
12053.09,11659.06,11253.21
12054.89,11659.06,11253.21
12058.69,11659.06,11253.21
12044.77,11659.06,11253.21
12016.87,11659.06,11253.21
11989.06,11659.06,11253.21
11990.82,11659.06,11253.21
12009.66,11659.06,11253.21
12027.35,11659.06,11253.21
12048.24,11659.06,11253.21
12066.16,11659.06,11253.21
12041.77,11659.06,11253.21
12010.69,11659.06,11253.21
11982.01,11659.06,11251.98
11968.62,11659.06,11250.38
11956.97,11659.06,11247.6
11946.72,11659.06,11247.17
11918.6,11659.06,11247.17
11880.71,11659.06,11247.17
11828.27,11659.06,11247.17
11753.55,11659.06,11247.17
11710.83,11659.06,11247.17
11680.45,11659.06,11247.17
11685.51,11659.06,11247.17
11682.119999999999,11659.06,11247.17
11680.24,11659.06,11247.0
11677.13,11659.06,11247.0
11681.88,11659.06,11247.0
11683.14,11659.06,11247.0
11684.55,11659.06,11247.0
11687.77,11659.06,11247.0
11682.45,11659.06,11247.0
11676.11,11659.06,11247.0
11668.26,11659.06,11247.0
11659.06,11659.06,11247.0
11661.95,11661.95,11247.0
11667.619999999999,11667.62,11247.0
11687.96,11687.96,11257.72
11703.34,11703.34,11272.74
11719.1,11714.96,11284.33
11735.91,11714.96,11296.09
11755.77,11714.96,11301.42
11773.18,11714.96,11306.41
11801.57,11714.96,11324.4
11848.87,11714.96,11362.16
11865.08,11714.96,11368.48
11869.12,11714.96,11368.19
11872.67,11714.96,11368.04
11879.64,11714.96,11369.29
11883.12,11714.96,11369.69
11886.97,11714.96,11369.69
11886.12,11714.96,11369.69
11890.6,11714.96,11369.69
11893.11,11714.96,11369.69
11889.37,11714.96,11369.69
11884.11,11714.96,11369.69
11880.89,11714.96,11369.69
11877.27,11714.96,11369.69
11876.25,11714.96,11369.69
11870.210000000001,11714.96,11369.69
11862.52,11714.96,11369.69
11858.99,11714.96,11369.69
11856.89,11714.96,11369.44
11860.08,11714.96,11369.32
11863.07,11714.96,11364.73
11859.83,11714.96,11364.73
11859.56,11714.96,11364.73
11860.91,11714.96,11364.73
11862.97,11714.96,11364.73
11858.83,11714.96,11364.73
11851.65,11714.96,11364.73
11844.82,11714.96,11364.73
11842.15,11714.96,11364.73
11839.08,11714.96,11364.73
11838.28,11714.96,11364.73
11834.98,11714.96,11364.73
11829.37,11714.96,11364.73
11823.59,11714.96,11364.73
11820.93,11714.96,11364.73
11821.24,11714.96,11364.73
11820.75,11714.96,11364.73
11820.15,11714.96,11364.73
11816.1,11714.96,11364.73
11814.37,11714.96,11364.73
11810.91,11714.96,11364.73
11801.36,11714.96,11364.73
11795.6,11714.96,11367.21
11783.96,11714.96,11366.77
11774.21,11714.96,11366.77
11763.5,11714.96,11366.77
11753.1,11714.96,11366.77
11745.13,11714.96,11366.77
11737.24,11714.96,11366.77
11735.289999999999,11714.96,11366.77
11734.15,11714.96,11366.77
11733.42,11714.96,11366.77
11733.48,11714.96,11365.71
11734.81,11714.96,11365.71
11735.24,11714.96,11365.71
11735.46,11714.96,11365.71
11760.26,11714.96,11365.71
11794.85,11714.96,11365.71
11805.91,11714.96,11365.71
11807.96,11714.96,11365.71
11810.34,11714.96,11365.71
11810.14,11714.96,11365.71
11811.36,11714.96,11365.71
11811.93,11714.96,11365.71
11819.68,11714.96,11365.71
11825.039999999999,11714.96,11370.17
11827.119999999999,11714.96,11378.41
11821.45,11714.96,11384.48
11818.92,11714.96,11387.05
11819.2,11714.96,11387.05
11820.119999999999,11714.96,11387.05
11820.45,11714.96,11387.05
11820.14,11714.96,11387.05
11817.02,11714.96,11387.05
11814.74,11714.96,11387.05
11815.33,11714.96,11387.05
11814.48,11714.96,11387.05
11812.28,11714.96,11387.05
11800.92,11714.96,11387.05
11797.44,11714.96,11387.05
11765.13,11714.96,11387.05
11745.57,11714.96,11387.05
11739.6,11714.96,11387.05
11733.98,11714.96,11387.05
11724.6,11714.96,11387.05
11717.59,11714.96,11387.05
11714.96,11714.96,11387.05
11745.26,11740.67,11387.05
11740.67,11740.67,11387.05
11742.46,11742.46,11387.05
11763.15,11763.15,11391.65
11774.7,11774.7,11402.24
11778.58,11776.69,11407.41
11778.63,11776.69,11407.41
