slack_0,non_interrupt,interrupt
8511.19,8290.32,7893.93
8468.95,8290.32,7867.35
8465.55,8290.32,7845.19
8447.05,8290.32,7823.22
8413.81,8290.32,7799.78
8380.45,8290.32,7789.37
8334.75,8290.32,7789.37
8349.55,8290.32,7789.37
8367.91,8290.32,7797.96
8360.93,8290.32,7797.96
8360.81,8290.32,7797.96
8342.82,8290.32,7797.96
8324.83,8290.32,7797.96
8308.2,8290.32,7797.96
8292.63,8290.32,7781.19
8290.32,8290.32,7774.67
8291.35,8290.77,7771.31
8294.09,8290.77,7804.08
8290.77,8290.77,7860.57
8317.72,8317.72,7922.12
8359.13,8334.7,7970.58
8403.13,8334.7,8009.75
8444.9,8334.7,8060.51
8486.3,8334.7,8108.45
8531.95,8334.7,8130.86
8518.58,8334.7,8129.48
8483.59,8334.7,8117.86
8454.1,8334.7,8100.55
8428.67,8334.7,8083.68
8414.9,8334.7,8073.77
8399.68,8334.7,8069.66
8389.5,8334.7,8069.66
8393.23,8334.7,8069.66
8406.33,8334.7,8069.66
8409.37,8334.7,8069.66
8410.17,8334.7,8069.66
8407.48,8334.7,8069.66
8389.59,8334.7,8069.66
8360.87,8334.7,8069.66
8339.09,8334.7,8069.66
8334.7,8334.7,8069.66
8364.73,8364.73,8108.26
8424.54,8423.58,8172.45
8459.14,8423.58,8212.85
8466.19,8423.58,8221.2
8461.36,8423.58,8225.8
8471.12,8423.58,8230.26
8480.4,8423.58,8231.64
8457.16,8423.58,8231.64
8469.15,8423.58,8252.29
8474.1,8423.58,8269.11
8472.48,8423.58,8286.04
8470.37,8423.58,8308.02
8464.17,8423.58,8320.64
8452.52,8423.58,8323.13
8457.47,8423.58,8323.13
8469.04,8423.58,8323.13
8445.05,8423.58,8323.13
8428.94,8423.58,8323.13
8423.58,8423.58,8323.13
8423.92,8423.92,8317.07
8430.34,8430.34,8313.44
8449.23,8449.23,8332.41
8456.99,8456.99,8342.44
8497.86,8497.86,8351.91
8526.62,8526.62,8376.25
8531.0,8531.0,8387.88
8536.8,8536.8,8398.27
8538.1,8538.1,8395.5
8566.1,8566.1,8404.57
8586.92,8586.92,8391.0
8616.73,8616.73,8391.63
8677.27,8677.27,8418.67
8777.12,8777.12,8439.36
8887.14,8887.14,8463.88
8968.18,8968.18,8496.3
9033.95,8962.72,8532.75
9092.73,8945.74,8565.42
9135.44,8945.74,8593.14
9163.52,8945.74,8601.22
9186.49,8940.34,8601.22
9223.89,8925.71,8623.99
9242.6,8918.89,8635.88
9240.7,8918.89,8639.66
9217.28,8918.89,8639.81
9207.23,8918.89,8649.59
