slack_0,non_interrupt,interrupt
2174.63,2123.26,1903.76
2159.68,2123.26,1903.76
2147.74,2123.26,1903.76
2134.32,2123.26,1903.76
2127.66,2123.26,1903.76
2123.26,2123.26,1903.76
2123.38,2123.38,1903.76
2126.88,2126.88,1907.26
2128.59,2128.59,1917.23
2144.1,2144.1,1928.62
2156.6,2156.6,1938.29
2173.91,2173.91,1953.45
2197.78,2197.78,1967.87
2208.8,2208.8,1968.49
2226.14,2226.14,1972.55
2247.16,2247.16,1975.4
2268.42,2261.69,1975.4
2287.7,2261.69,1975.4
2299.9,2261.69,1975.4
2303.66,2261.69,1975.4
2305.91,2261.69,1975.4
2285.3,2261.69,1975.4
2270.41,2261.69,1975.4
2267.61,2261.69,1977.78
2273.13,2261.69,1983.66
2281.61,2261.69,1994.43
2278.14,2261.69,2000.43
2275.21,2261.69,2009.14
2273.21,2261.69,2018.69
2267.3,2261.69,2027.15
2261.69,2261.69,2032.22
2266.18,2266.18,2040.41
2280.37,2280.37,2056.37
2303.5099999999998,2303.51,2060.95
2348.55,2348.55,2067.28
2383.71,2383.71,2074.21
2420.04,2420.04,2074.21
2462.12,2462.12,2074.21
2503.62,2503.62,2074.21
2544.8,2544.8,2074.21
2586.67,2586.67,2074.21
2627.0,2627.0,2074.21
2681.78,2681.78,2074.21
2741.21,2741.21,2074.21
2804.43,2804.43,2074.21
2869.7200000000003,2869.72,2084.17
2925.9700000000003,2925.97,2104.43
2960.56,2960.56,2118.09
2967.67,2967.67,2126.83
2986.73,2986.73,2139.16
3022.46,3022.46,2158.47
3062.95,3062.95,2180.17
3094.6,3094.6,2201.58
3123.9300000000003,3123.93,2225.65
3165.04,3165.04,2247.38
3232.7400000000002,3232.74,2263.0
3323.63,3323.63,2277.36
3413.31,3408.41,2277.36
3476.56,3408.41,2277.36
3537.21,3408.41,2277.36
3582.78,3408.41,2277.36
3614.4,3408.41,2277.36
3638.8,3408.41,2277.36
3671.1,3408.41,2277.36
3701.0,3408.41,2277.36
3722.69,3408.41,2277.36
3735.15,3408.41,2277.36
3746.14,3408.41,2277.36
3754.54,3408.41,2277.36
3754.36,3408.41,2277.36
3745.2,3408.41,2277.36
3724.53,3408.41,2277.36
3720.54,3408.41,2288.06
3707.47,3408.41,2288.91
3669.94,3408.41,2288.91
3628.13,3408.41,2288.91
3597.31,3408.41,2288.91
3578.46,3408.41,2298.2
3550.76,3408.41,2298.2
3520.47,3408.41,2298.2
3513.56,3408.41,2298.2
3505.9,3408.41,2298.2
3495.55,3408.41,2298.2
3492.43,3408.41,2298.2
3501.02,3408.41,2298.2
3522.07,3408.41,2298.2
3558.65,3408.41,2298.2
3599.7799999999997,3408.41,2298.2
3657.5099999999998,3408.41,2298.2
3727.59,3408.41,2298.2
3801.63,3408.41,2298.2
3882.83,3408.41,2298.2
3980.89,3408.41,2298.2
4106.8,3408.41,2298.2
4246.8,3408.41,2298.2
4401.64,3408.41,2317.19
4559.21,3408.41,2346.0
4716.2,3408.41,2379.71
4883.41,3408.41,2428.2
5046.1,3408.41,2480.68
5183.8099999999995,3408.41,2531.23
5291.59,3408.41,2577.66
5409.73,3408.41,2618.27
5517.72,3408.41,2628.61
5591.19,3408.41,2628.61
5645.79,3408.41,2628.61
5697.72,3408.41,2628.61
5752.92,3408.41,2628.61
5785.93,3408.41,2628.61
5810.55,3408.41,2628.61
5818.88,3408.41,2628.61
5806.75,3408.41,2628.61
5765.75,3408.41,2628.61
5709.61,3408.41,2628.61
5649.15,3408.41,2628.61
5578.35,3408.41,2628.61
5490.35,3408.41,2628.61
5373.64,3408.41,2628.61
5246.64,3408.41,2628.61
5110.16,3408.41,2628.61
4951.07,3408.41,2613.33
4791.21,3408.41,2609.35
4638.62,3408.41,2602.66
4494.31,3408.41,2595.88
4372.42,3408.41,2585.05
4274.16,3408.41,2570.87
4161.28,3408.41,2565.69
4061.9,3408.41,2565.69
3998.35,3408.41,2565.69
3948.09,3408.41,2565.69
3898.18,3408.41,2565.69
3849.64,3408.41,2565.69
3819.8,3408.41,2565.69
3800.52,3408.41,2565.69
3792.43,3408.41,2565.69
3800.17,3408.41,2565.69
3817.56,3408.41,2565.69
3841.7,3408.41,2565.69
3870.96,3408.41,2565.69
3909.84,3408.41,2565.69
3964.21,3408.41,2565.69
4040.7,3408.41,2565.69
4129.07,3408.41,2565.69
4223.62,3408.41,2577.29
4311.9800000000005,3408.41,2616.48
4392.55,3408.41,2656.64
4456.4400000000005,3408.41,2694.5
4498.13,3408.41,2733.2
4529.92,3408.41,2772.96
4562.23,3408.41,2812.86
4601.72,3408.41,2852.35
4610.26,3408.41,2859.74
4558.9,3408.41,2859.74
4508.17,3408.41,2859.74
4468.97,3408.41,2859.74
4450.69,3408.41,2859.74
4441.01,3408.41,2859.74
4422.2,3408.41,2859.74
4392.63,3408.41,2859.74
4351.7,3408.41,2859.74
4308.54,3408.41,2859.74
4264.58,3408.41,2859.74
4215.61,3408.41,2859.74
4152.37,3408.41,2859.74
4077.64,3408.41,2859.74
3983.54,3408.41,2859.74
3878.91,3408.41,2859.74
3768.72,3408.41,2830.77
3687.12,3408.41,2782.25
3619.45,3408.41,2742.48
3569.0,3408.41,2703.68
3533.17,3408.41,2664.64
3505.16,3408.41,2627.35
3475.7,3408.41,2586.11
3441.16,3408.41,2539.45
3413.89,3408.41,2502.71
3409.93,3408.41,2477.54
3408.41,3408.41,2472.82
3420.95,3420.95,2470.74
3428.77,3428.77,2459.26
3437.38,3437.38,2438.24
3468.6,3374.92,2415.13
3521.92,3235.54,2391.4
3600.4700000000003,3103.45,2371.41
3696.34,2995.2,2371.41
3795.9300000000003,2923.35,2371.41
3900.06,2873.36,2371.41
4020.4,2827.96,2371.41
4159.28,2793.52,2371.41
4323.97,2788.26,2371.41
4505.71,2788.26,2371.41
4695.01,2788.26,2387.58
4881.04,2788.26,2406.95
5053.4,2788.26,2421.58
5216.7,2788.26,2434.12
5387.61,2788.26,2452.4
5555.42,2788.26,2474.83
5725.56,2788.26,2497.02
5900.88,2788.26,2516.66
6093.21,2788.26,2527.63
6279.4400000000005,2788.26,2527.63
6444.64,2788.26,2527.63
6592.78,2788.26,2527.63
6717.37,2788.26,2527.63
6823.44,2788.26,2527.63
6901.32,2788.26,2527.63
6965.2,2788.26,2527.63
7000.75,2788.26,2527.63
7007.54,2788.26,2527.63
7001.79,2788.26,2527.63
6987.33,2788.26,2527.63
6971.79,2788.26,2527.63
6942.58,2788.26,2527.63
6899.16,2788.26,2527.63
6857.44,2788.26,2506.92
6814.7,2788.26,2476.56
6755.2,2788.26,2446.61
6708.47,2788.26,2416.49
6660.66,2788.26,2387.46
6599.97,2788.26,2355.88
6545.0599999999995,2788.26,2324.33
6493.0199999999995,2788.26,2297.6
6446.33,2788.26,2291.17
6416.36,2788.26,2291.17
6412.91,2788.26,2291.17
6427.05,2788.26,2291.17
6447.44,2788.26,2291.17
6478.9,2788.26,2291.17
6508.24,2788.26,2291.17
6540.58,2788.26,2291.17
6574.48,2788.26,2291.17
6616.05,2788.26,2291.17
6659.94,2788.26,2291.17
6711.88,2788.26,2291.17
6765.63,2788.26,2291.17
6817.82,2788.26,2291.17
6874.72,2788.26,2291.17
6935.36,2788.26,2291.17
6983.42,2788.26,2291.17
7017.64,2788.26,2291.17
7065.71,2788.26,2282.71
7113.07,2788.26,2282.56
7163.46,2788.26,2282.56
7217.31,2788.26,2281.59
7262.11,2788.26,2281.59
7311.33,2788.26,2281.59
7359.12,2788.26,2281.59
7387.73,2788.26,2281.59
7396.21,2788.26,2281.59
7393.52,2788.26,2281.59
7383.0,2788.26,2281.59
7363.04,2788.26,2281.59
7345.88,2788.26,2281.59
7332.77,2788.26,2281.59
7315.55,2788.26,2281.59
7291.78,2788.26,2281.59
7278.09,2788.26,2281.59
7262.13,2788.26,2281.59
7237.3,2788.26,2281.59
7210.67,2788.26,2281.59
7195.06,2788.26,2281.59
7181.3,2788.26,2281.59
7167.54,2788.26,2281.59
7164.11,2788.26,2281.59
7160.19,2788.26,2281.59
7149.28,2788.26,2281.59
7138.35,2788.26,2281.59
7129.42,2788.26,2281.59
7128.13,2788.26,2281.59
7122.18,2788.26,2281.59
7112.5,2788.26,2281.59
7106.25,2788.26,2281.59
7098.1,2788.26,2281.59
7093.14,2788.26,2281.59
7082.54,2788.26,2281.59
7067.05,2788.26,2281.59
7051.0,2788.26,2281.59
7034.62,2788.26,2281.59
7021.99,2788.26,2281.59
7018.41,2788.26,2281.59
7024.56,2788.26,2281.59
7032.02,2788.26,2281.59
7046.31,2788.26,2281.59
7056.55,2788.26,2281.59
7057.19,2788.26,2281.59
7074.57,2788.26,2281.59
7083.82,2788.26,2281.59
7088.37,2788.26,2281.59
7096.85,2788.26,2281.59
7117.33,2788.26,2281.59
7144.3,2788.26,2281.59
7186.35,2788.26,2281.59
7236.97,2788.26,2281.59
7292.05,2788.26,2281.59
7356.5,2788.26,2281.59
7425.64,2788.26,2281.59
7496.57,2788.26,2281.59
7552.95,2788.26,2281.59
7608.53,2788.26,2281.59
7662.18,2788.26,2281.59
7714.7,2788.26,2281.59
7759.39,2788.26,2281.59
7799.7,2788.26,2281.59
7841.75,2788.26,2281.59
7875.3,2788.26,2281.59
7913.31,2788.26,2281.59
7953.33,2788.26,2281.59
7991.33,2788.26,2281.59
8024.83,2788.26,2281.59
8048.79,2788.26,2281.59
8091.24,2788.26,2281.59
8148.93,2788.26,2281.59
8204.33,2788.26,2270.56
8252.28,2788.26,2269.01
8290.76,2788.26,2268.79
8312.76,2788.26,2266.61
8323.48,2788.26,2266.61
8329.29,2788.26,2266.61
8319.21,2788.26,2266.61
8282.87,2788.26,2266.61
8238.67,2788.26,2266.61
8201.92,2788.26,2266.61
8174.7,2788.26,2266.61
8159.7,2788.26,2266.61
8147.12,2788.26,2266.61
8139.38,2788.26,2266.61
8133.15,2788.26,2266.61
8114.54,2788.26,2266.61
8093.37,2788.26,2266.61
8057.5599999999995,2788.26,2266.61
8018.17,2788.26,2266.61
7975.99,2788.26,2266.61
7940.75,2788.26,2266.61
7890.8,2788.26,2266.61
7819.2699999999995,2788.26,2266.61
7736.01,2788.26,2266.61
7614.599999999999,2788.26,2251.76
7483.42,2788.26,2237.47
7347.0,2788.26,2224.55
7213.79,2788.26,2224.55
7082.28,2788.26,2224.55
6946.66,2788.26,2224.55
6816.92,2788.26,2222.06
6686.42,2788.26,2222.06
6559.7699999999995,2788.26,2222.06
6435.19,2788.26,2222.06
6306.68,2788.26,2222.06
6182.68,2788.26,2222.06
6068.36,2788.26,2222.06
5967.34,2788.26,2222.06
5874.42,2788.26,2222.06
5782.64,2788.26,2222.06
5700.94,2788.26,2222.06
5630.96,2788.26,2222.06
5569.37,2788.26,2222.06
5516.34,2788.26,2222.06
5462.61,2788.26,2222.06
5420.53,2788.26,2222.06
5400.53,2777.02,2221.75
5374.99,2745.25,2214.32
5375.67,2745.25,2208.85
5384.16,2745.25,2205.89
5412.52,2745.25,2203.72
5437.53,2743.54,2203.72
5459.63,2726.03,2196.94
5490.0,2717.08,2192.96
5534.95,2716.58,2192.96
5607.36,2703.99,2192.96
5702.27,2664.52,2192.65
5805.23,2630.42,2192.65
5914.84,2595.88,2191.72
6015.0,2561.4,2182.03
6103.59,2542.96,2176.54
6185.2,2529.13,2176.54
6269.79,2511.22,2176.54
6362.09,2494.57,2176.54
6439.61,2487.29,2176.54
6532.63,2487.29,2176.54
6624.49,2487.29,2176.54
6712.21,2487.29,2176.54
6796.27,2487.29,2176.54
6879.83,2487.29,2176.54
6956.9400000000005,2487.29,2176.54
7056.91,2487.29,2176.54
7165.62,2487.29,2176.54
7264.68,2487.29,2176.54
7350.53,2487.29,2176.54
7444.27,2487.29,2176.54
7540.78,2487.29,2176.54
7630.91,2487.29,2176.54
7707.4800000000005,2487.29,2176.54
7764.46,2487.29,2176.54
7789.97,2487.29,2176.54
7802.27,2487.29,2176.54
7795.6,2487.29,2176.54
7784.2,2487.29,2176.54
7774.58,2487.29,2176.54
7759.28,2487.29,2176.54
7731.82,2487.29,2176.54
7703.14,2487.29,2176.54
7683.64,2487.29,2176.54
7639.16,2487.29,2176.54
7587.58,2487.29,2176.54
7537.98,2487.29,2176.54
7484.43,2487.29,2176.54
7418.1900000000005,2487.29,2176.54
7344.2,2487.29,2176.54
7243.87,2487.29,2176.54
7119.28,2487.29,2176.54
6996.41,2487.29,2176.54
6877.0,2487.29,2176.54
6745.29,2487.29,2176.54
6609.63,2487.29,2176.54
6468.9400000000005,2487.29,2176.54
6325.93,2487.29,2176.54
6206.26,2487.29,2176.54
6117.96,2487.29,2176.54
6034.14,2487.29,2176.54
5961.96,2487.29,2176.54
5891.47,2487.29,2176.54
5819.16,2487.29,2176.54
5749.59,2487.29,2176.54
5672.28,2487.29,2176.54
5597.68,2487.29,2176.54
5531.58,2487.29,2176.54
5481.35,2487.29,2176.54
5428.08,2487.29,2176.54
5384.06,2487.29,2176.54
5344.62,2487.29,2176.54
5306.86,2487.29,2176.54
5268.6,2487.29,2176.54
5241.24,2487.29,2176.54
5232.16,2487.29,2176.54
5232.9,2487.29,2176.54
5231.95,2487.29,2176.54
5243.91,2487.29,2176.54
5267.75,2487.29,2175.49
5299.21,2487.29,2173.67
5334.17,2487.29,2173.67
5384.53,2487.29,2173.67
5440.47,2487.29,2173.67
5499.2,2487.29,2173.67
5564.5199999999995,2487.29,2173.67
5632.0599999999995,2487.29,2173.67
5699.88,2487.29,2173.67
5766.76,2487.29,2173.67
5840.35,2487.29,2173.67
5914.36,2487.29,2173.67
5979.03,2487.29,2173.67
6034.07,2487.29,2173.67
6099.72,2487.29,2173.67
6160.17,2487.29,2173.67
6218.69,2487.29,2173.67
6291.41,2487.29,2173.67
6368.39,2487.29,2173.67
6440.38,2487.29,2173.67
6522.95,2487.29,2173.67
6599.64,2487.29,2173.67
6675.44,2487.29,2173.67
6747.61,2487.29,2173.67
6813.67,2487.29,2173.67
6874.09,2487.29,2173.67
6934.14,2487.29,2173.67
6964.58,2487.29,2173.67
