slack_0,non_interrupt,interrupt
587.93,512.64,494.06
584.04,512.64,494.06
579.59,512.64,494.06
575.37,512.64,494.06
571.32,512.64,494.06
567.07,512.64,494.06
563.01,512.64,494.06
559.37,512.64,494.06
556.69,512.64,494.06
554.71,512.64,494.06
553.15,512.64,494.06
552.48,512.64,494.06
552.52,512.64,494.04
553.13,512.64,494.04
554.14,512.64,494.04
554.85,512.64,494.04
555.27,512.64,494.04
555.63,512.64,494.04
555.74,512.64,494.04
555.75,512.64,494.04
555.66,512.64,494.04
555.54,512.64,494.04
555.7,512.64,494.04
556.18,512.64,494.04
556.9,512.64,494.04
557.5600000000001,512.64,494.04
559.8,512.64,494.04
562.02,512.64,494.04
563.4,512.64,494.04
563.17,512.64,494.04
562.29,512.64,494.04
562.3100000000001,512.64,494.04
562.24,512.64,494.04
562.91,512.64,494.04
563.13,512.64,494.04
563.0600000000001,512.64,494.04
562.78,512.64,494.04
562.16,512.64,494.04
561.5,512.64,494.04
561.19,512.64,494.04
561.73,512.64,494.04
563.15,512.64,494.04
565.54,512.64,494.04
568.32,512.64,494.04
571.78,512.64,494.04
575.39,512.64,494.04
578.57,512.64,494.04
581.44,512.64,494.04
583.46,512.64,494.04
584.57,512.64,494.04
584.16,512.64,494.04
583.51,512.64,494.04
583.16,512.64,494.04
584.47,512.64,494.04
586.64,512.64,494.04
588.26,512.64,494.04
589.13,512.64,494.04
590.92,512.64,494.04
591.12,512.64,494.04
591.55,512.64,494.04
593.09,512.64,494.04
594.99,512.64,494.04
595.72,512.64,494.04
599.24,512.64,494.04
601.5,512.64,494.04
601.63,512.64,494.04
600.69,512.64,494.04
600.48,512.64,494.04
600.54,512.64,494.04
600.16,512.64,494.04
600.31,512.64,494.04
600.78,512.64,494.04
601.36,512.64,494.04
601.95,512.64,494.04
602.95,512.64,494.04
603.99,512.64,494.04
605.79,512.64,494.04
607.35,512.64,494.04
608.34,512.64,494.04
608.58,512.64,494.04
608.13,512.64,494.04
606.04,512.64,494.04
605.74,512.64,494.04
606.07,512.64,494.04
605.81,512.64,494.04
605.8,512.64,494.04
606.56,512.64,494.04
604.77,512.64,494.04
603.69,512.64,494.04
604.38,512.64,494.04
605.91,512.64,494.04
606.15,512.64,494.04
605.02,512.64,494.04
604.19,512.64,494.04
602.85,512.64,494.04
601.42,512.64,494.04
