slack_0,non_interrupt,interrupt
12105.55,11253.98,9018.57
12088.15,11253.98,9018.57
12086.48,11253.98,9018.57
12085.25,11253.98,9018.57
12080.12,11253.98,9018.57
12076.36,11253.98,9018.57
12059.68,11253.98,9018.57
12059.56,11253.98,9018.57
12063.78,11253.98,9018.57
12059.25,11253.98,9018.57
12049.68,11253.98,9018.57
12039.06,11253.98,9018.57
12027.18,11253.98,9018.57
12016.03,11253.98,9018.57
12005.02,11253.98,9018.57
11995.73,11253.98,9018.57
11992.51,11253.98,9018.57
12000.58,11253.98,9018.57
12010.71,11253.98,8989.08
12033.89,11253.98,8950.25
12060.38,11253.98,8904.07
12089.52,11253.98,8857.6
12117.07,11253.98,8813.55
12138.77,11253.98,8781.12
12162.539999999999,11253.98,8781.12
12165.89,11253.98,8781.12
12160.85,11253.98,8781.12
12154.14,11253.98,8781.12
12147.09,11253.98,8781.12
12138.869999999999,11253.98,8781.12
12129.27,11244.23,8781.12
12114.72,11241.06,8781.12
12093.86,11240.38,8781.12
12077.9,11238.7,8781.12
12059.68,11232.87,8781.12
12036.77,11224.27,8781.12
12012.99,11219.67,8781.12
11986.98,11218.27,8781.12
11955.13,11218.27,8781.12
11930.46,11218.27,8781.12
11911.97,11218.27,8781.12
11923.31,11213.29,8781.12
11934.51,11200.5,8742.76
11941.34,11192.65,8699.92
11940.71,11192.65,8662.77
11950.83,11192.65,8626.57
11983.14,11192.65,8593.85
12018.36,11192.65,8577.81
12037.16,11192.65,8577.81
12031.56,11192.65,8577.81
12025.39,11192.65,8577.81
12013.92,11192.65,8577.81
11998.04,11192.65,8577.81
11981.380000000001,11192.65,8577.81
11965.79,11192.65,8577.81
11953.25,11192.65,8577.81
11949.720000000001,11192.65,8577.81
11941.58,11192.65,8577.81
11936.46,11192.65,8577.81
11937.4,11192.65,8577.81
11938.66,11192.65,8577.81
11942.45,11192.65,8577.81
11950.85,11192.65,8577.81
11955.11,11192.65,8577.81
11991.06,11192.65,8577.81
12002.53,11192.65,8577.81
12006.93,11192.65,8577.81
12010.22,11192.65,8577.81
12011.32,11192.65,8577.81
12012.53,11192.65,8577.81
12009.02,11192.65,8577.81
12009.74,11192.65,8577.81
12006.52,11192.65,8577.81
12042.04,11192.65,8577.81
12082.01,11192.65,8577.81
12117.65,11192.65,8577.81
12154.39,11192.65,8577.81
12188.86,11192.65,8577.81
12224.01,11192.65,8577.81
12261.07,11192.65,8577.81
12291.14,11192.65,8577.81
12314.92,11192.65,8577.81
12328.13,11192.65,8577.81
12333.09,11192.65,8577.81
12339.75,11192.65,8577.81
12349.53,11192.65,8577.81
12361.63,11192.65,8577.81
12375.23,11192.65,8577.81
12350.97,11192.65,8577.81
12334.07,11192.65,8577.81
12322.43,11192.65,8572.01
12313.7,11192.65,8553.91
12310.97,11192.65,8532.17
12295.84,11192.65,8523.69
12255.64,11192.65,8506.88
12226.19,11192.65,8499.19
12212.18,11192.65,8499.19
12196.46,11192.65,8499.19
12174.69,11192.65,8499.19
12165.52,11192.65,8499.19
12157.25,11192.65,8499.19
12152.93,11192.65,8499.19
12152.4,11192.65,8499.19
12144.24,11192.65,8499.19
12135.96,11192.65,8499.19
12129.6,11192.65,8499.19
12133.65,11192.65,8499.19
