slack_0,non_interrupt,interrupt
16283.18,12972.67,10565.34
16150.98,12972.67,10565.34
16031.82,12972.67,10565.34
15913.380000000001,12972.67,10565.34
15779.43,12972.67,10565.34
15655.19,12972.67,10565.34
15501.19,12972.67,10565.34
15328.06,12972.67,10565.34
15146.92,12972.67,10565.34
14964.95,12972.67,10565.34
14775.41,12972.67,10565.34
14599.94,12972.67,10565.34
14424.22,12972.67,10565.34
14256.81,12972.67,10565.34
14105.23,12972.67,10565.34
13971.9,12972.67,10565.34
13855.54,12972.67,10565.34
13759.68,12972.67,10565.34
13692.13,12972.67,10565.34
13644.52,12972.67,10546.61
13644.19,12972.67,10528.16
13688.01,12972.67,10496.55
13780.16,12972.67,10465.24
13895.8,12972.67,10450.38
13981.42,12972.67,10450.38
14041.29,12972.67,10450.38
14064.97,12972.67,10450.38
14086.18,12972.67,10450.38
14105.119999999999,12972.67,10450.38
14112.55,12972.67,10450.38
14117.99,12972.67,10450.38
14117.72,12972.67,10450.38
14114.65,12972.67,10450.38
14125.45,12972.67,10450.38
14138.51,12972.67,10450.38
14139.44,12972.67,10450.38
14157.94,12972.67,10450.38
14178.84,12972.67,10450.38
14199.33,12972.67,10450.38
14203.71,12972.67,10450.38
14207.95,12972.67,10450.38
14247.39,12972.67,10450.38
14279.4,12972.67,10412.0
14296.81,12972.67,10350.08
14321.99,12972.67,10284.77
14348.23,12972.67,10231.45
14371.91,12972.67,10166.6
14399.539999999999,12972.67,10099.42
14432.7,12972.67,10098.75
14415.83,12972.67,10098.75
14412.81,12972.67,10098.75
14384.18,12972.67,10098.75
14361.92,12972.67,10098.75
14319.88,12972.67,10098.75
14287.619999999999,12972.67,10098.75
14262.69,12972.67,10098.75
14247.57,12972.67,10098.75
14224.33,12972.67,10098.75
14209.8,12972.67,10098.75
14207.22,12972.67,10098.75
14190.84,12972.67,10098.75
14168.19,12972.67,10098.75
14130.33,12972.67,10098.75
14105.17,12972.67,10098.75
14107.53,12972.67,10098.75
14094.2,12972.67,10098.75
14057.789999999999,12972.67,10098.75
14052.65,12972.67,10098.75
14045.89,12972.67,10098.75
14048.86,12972.67,10098.75
14061.5,12972.67,10098.75
14085.24,12972.67,10098.75
14077.16,12972.67,10098.75
14126.49,12972.67,10098.75
14198.98,12972.67,10098.75
14283.52,12972.67,10098.75
14381.14,12972.67,10098.75
14479.369999999999,12972.67,10098.75
14598.3,12972.67,10098.75
14713.619999999999,12972.67,10098.75
14810.38,12972.67,10098.75
14870.9,12972.67,10098.75
14910.85,12972.67,10098.75
14946.76,12972.67,10098.75
15001.83,12972.67,10098.75
15083.42,12972.67,10098.75
15164.99,12972.67,10098.75
