slack_0,non_interrupt,interrupt
12359.49,11751.09,10286.66
12399.09,11751.09,10286.66
12475.78,11751.09,10286.66
12563.32,11751.09,10286.66
12712.47,11751.09,10286.66
12965.24,11751.09,10286.66
13278.96,11751.09,10286.66
13592.42,11751.09,10286.66
13799.6,11751.09,10286.66
13961.36,11751.09,10286.66
14106.09,11751.09,10286.66
14188.23,11751.09,10286.66
14264.47,11751.09,10286.66
14363.62,11751.09,10286.66
14425.04,11751.09,10286.66
14537.03,11751.09,10286.66
14612.87,11751.09,10286.66
14682.11,11751.09,10286.66
14761.710000000001,11751.09,10286.66
14852.76,11751.09,10286.66
14958.78,11751.09,10286.66
15075.05,11751.09,10286.66
15203.57,11751.09,10286.66
15386.01,11751.09,10286.66
15571.12,11751.09,10286.66
15689.880000000001,11751.09,10286.66
15746.31,11751.09,10286.66
15796.06,11751.09,10286.66
15799.37,11751.09,10286.66
15708.87,11751.09,10286.66
15568.41,11751.09,10286.66
15440.85,11751.09,10286.66
15377.83,11751.09,10286.66
15352.41,11751.09,10286.66
15330.26,11751.09,10286.66
15371.0,11751.09,10286.66
15391.35,11751.09,10286.66
15381.7,11751.09,10286.66
15418.0,11751.09,10286.66
15473.0,11751.09,10286.66
15521.93,11751.09,10286.66
15583.39,11751.09,10286.66
15662.64,11751.09,10286.66
15729.69,11751.09,10286.66
15811.49,11751.09,10286.66
15880.88,11751.09,10286.66
15916.2,11751.09,10286.66
15953.48,11751.09,10286.66
15962.21,11751.09,10286.66
15943.45,11751.09,10286.66
15910.92,11751.09,10286.66
15843.11,11751.09,10286.66
15748.17,11751.09,10286.66
15631.32,11751.09,10286.66
15503.4,11751.09,10286.66
15367.31,11751.09,10286.66
15289.87,11751.09,10286.66
15213.11,11751.09,10286.66
15143.18,11751.09,10286.66
15054.49,11751.09,10286.66
14984.19,11751.09,10286.66
14916.95,11751.09,10286.66
14827.16,11751.09,10286.66
14706.68,11751.09,10286.66
14590.18,11751.09,10286.66
14423.18,11751.09,10286.66
14230.08,11751.09,10286.66
14022.130000000001,11751.09,10286.66
13799.05,11751.09,10286.66
13597.15,11751.09,10286.66
13402.4,11751.09,10286.66
13153.29,11751.09,10286.66
12926.9,11751.09,10286.66
12781.98,11751.09,10286.66
12650.79,11751.09,10286.66
12563.23,11751.09,10286.66
12509.39,11751.09,10286.66
12474.14,11751.09,10286.66
12434.95,11751.09,10286.66
12429.34,11751.09,10286.66
12430.38,11751.09,10286.66
12449.779999999999,11751.09,10286.66
12495.59,11751.09,10286.66
12592.36,11751.09,10286.66
12787.97,11751.09,10286.66
12895.63,11751.09,10286.66
12985.039999999999,11751.09,10286.66
13101.849999999999,11751.09,10286.66
13272.22,11751.09,10286.66
13444.15,11751.09,10286.66
13516.26,11751.09,10286.66
13559.539999999999,11751.09,10301.5
13578.73,11751.09,10319.87
13582.88,11751.09,10326.04
13549.189999999999,11751.09,10343.22
13509.88,11751.09,10344.83
13497.08,11751.09,10344.83
13460.82,11751.09,10344.83
13452.42,11751.09,10344.83
13456.44,11751.09,10344.83
13458.38,11751.09,10344.83
13459.51,11751.09,10344.83
13442.94,11751.09,10344.83
13409.74,11751.09,10344.83
13365.18,11751.09,10344.83
13333.51,11751.09,10344.83
13275.59,11751.09,10344.83
13268.89,11751.09,10344.83
13104.63,11751.09,10344.83
13027.02,11751.09,10344.83
12969.5,11751.09,10344.83
12865.48,11751.09,10344.83
12751.83,11751.09,10344.83
12732.11,11751.09,10344.83
12787.2,11751.09,10344.83
12869.95,11751.09,10344.83
13009.6,11751.09,10349.24
13154.96,11751.09,10356.88
13334.72,11751.09,10414.26
13480.85,11751.09,10469.39
13620.75,11751.09,10469.39
13775.52,11751.09,10469.39
13924.11,11751.09,10469.39
14103.76,11751.09,10469.39
14264.74,11751.09,10469.39
14363.539999999999,11751.09,10469.39
14468.03,11751.09,10469.39
14523.3,11751.09,10469.39
14559.03,11751.09,10469.39
14589.14,11751.09,10469.39
14622.83,11751.09,10469.39
14541.75,11751.09,10469.39
14527.27,11751.09,10469.39
14525.95,11751.09,10469.39
14533.82,11751.09,10469.39
14582.82,11751.09,10469.39
14570.54,11751.09,10469.39
14488.76,11751.09,10469.39
14408.0,11751.09,10469.39
14333.86,11751.09,10469.39
14232.45,11751.09,10469.39
14127.45,11751.09,10469.39
14026.32,11751.09,10469.39
13952.73,11751.09,10469.39
13839.86,11751.09,10469.39
13708.26,11751.09,10469.39
13571.41,11751.09,10469.39
13385.11,11751.09,10469.39
13218.3,11751.09,10469.39
13128.75,11751.09,10469.39
13062.130000000001,11751.09,10469.39
13010.58,11751.09,10469.39
12962.69,11751.09,10469.39
12913.84,11751.09,10469.39
12871.26,11751.09,10469.39
12866.49,11751.09,10469.39
12870.08,11751.09,10469.39
12873.289999999999,11751.09,10469.39
12838.58,11751.09,10469.39
12775.36,11751.09,10469.39
12714.039999999999,11751.09,10469.39
12655.5,11751.09,10469.39
12599.55,11751.09,10469.39
12545.71,11751.09,10469.39
12493.67,11751.09,10469.39
12447.41,11751.09,10469.39
12404.73,11751.09,10469.39
12352.65,11751.09,10469.39
12322.369999999999,11751.09,10469.39
