slack_0,non_interrupt,interrupt
5056.75,5011.43,4837.66
5050.47,5011.43,4837.66
5040.21,5011.43,4837.66
5028.56,5011.43,4837.66
5020.0,5011.43,4837.66
5017.81,5011.43,4837.66
5012.73,5011.43,4839.37
5011.43,5011.43,4844.97
5038.61,5038.61,4879.5
5059.12,5059.12,4918.72
5090.34,5090.34,4983.21
5122.05,5122.05,5042.38
5144.52,5144.52,5089.18
5149.99,5149.99,5113.82
5157.4,5157.4,5127.36
5180.81,5180.81,5140.71
5228.03,5228.03,5157.83
5271.54,5271.54,5164.23
5308.23,5308.23,5172.92
5340.05,5340.05,5174.75
5361.96,5361.96,5174.75
5377.32,5377.32,5175.37
5399.05,5399.05,5180.43
5422.97,5422.97,5199.16
5433.36,5433.36,5209.55
5435.51,5435.51,5225.28
5444.15,5444.15,5249.87
5451.15,5451.15,5276.94
5460.87,5460.87,5307.92
5477.01,5477.01,5331.64
5519.15,5519.15,5367.67
5571.15,5571.15,5404.6
5628.03,5628.03,5443.7
5700.29,5700.29,5494.49
5784.03,5784.03,5560.08
5846.1,5846.1,5619.07
5902.01,5902.01,5674.98
5947.2300000000005,5947.23,5726.33
5985.39,5985.39,5764.49
6020.21,6020.21,5786.5
6045.15,6045.15,5786.5
6069.38,6069.38,5786.5
6104.47,6104.47,5786.62
6140.03,6140.03,5786.62
6183.28,6183.28,5788.99
6231.01,6231.01,5803.71
6263.95,6263.95,5816.08
6301.6,6301.6,5838.29
6359.34,6359.34,5865.65
6426.5,6426.5,5904.92
6489.13,6476.93,5945.27
6554.4,6476.93,5989.97
6619.28,6476.93,6030.26
6686.3,6476.93,6055.22
6757.93,6476.93,6064.9
6829.41,6476.93,6064.9
6887.15,6476.93,6064.9
6924.21,6476.93,6064.9
6956.5199999999995,6476.93,6064.9
7003.8,6476.93,6071.78
7056.58,6476.93,6082.6
7109.53,6476.93,6098.99
7150.01,6476.93,6109.17
7172.98,6476.93,6109.17
7183.89,6476.93,6109.17
7182.79,6476.93,6109.17
7184.97,6476.93,6109.17
7183.8099999999995,6476.93,6109.17
7181.25,6476.93,6109.17
7186.94,6476.93,6109.17
7200.39,6476.93,6109.17
7210.36,6476.93,6109.17
7193.91,6476.93,6109.17
7172.72,6476.93,6109.17
7150.44,6476.93,6109.17
7127.25,6476.93,6109.17
7104.62,6476.93,6109.17
7076.45,6476.93,6109.17
7036.63,6476.93,6109.17
6992.87,6476.93,6109.17
6965.76,6476.93,6109.17
6954.3,6476.93,6109.17
6945.0,6476.93,6109.17
6926.48,6476.93,6109.17
6904.52,6476.93,6109.17
6886.7,6476.93,6109.17
6883.65,6476.93,6109.17
6887.08,6476.93,6109.17
6889.45,6476.93,6109.17
6893.5,6476.93,6109.17
6887.2,6476.93,6109.17
6878.89,6476.93,6109.17
6868.77,6476.93,6109.17
6848.51,6476.93,6109.17
6833.4,6476.93,6109.17
6818.4,6476.93,6109.17
6807.34,6476.93,6109.17
6804.67,6476.93,6109.17
6808.49,6476.93,6111.52
6813.03,6476.93,6116.31
6811.57,6476.93,6116.7
6799.07,6476.93,6116.7
6783.15,6476.93,6116.7
6758.82,6476.93,6116.7
6727.43,6476.93,6116.7
6697.01,6476.93,6116.7
6665.41,6476.93,6116.7
6634.93,6476.93,6116.7
6601.23,6476.93,6116.7
6581.1,6476.93,6116.7
6561.08,6476.93,6116.7
6545.96,6476.93,6116.7
6536.03,6476.93,6116.7
6532.91,6476.93,6116.7
6534.96,6476.93,6116.7
6540.64,6476.93,6116.7
6547.28,6476.93,6116.7
6569.7,6476.93,6116.7
6594.12,6476.93,6116.7
6612.63,6476.93,6116.7
6632.9,6476.93,6119.76
6645.74,6476.93,6121.92
6664.2699999999995,6476.93,6122.45
