slack_0,non_interrupt,interrupt
21235.16,18642.21,18511.59
21174.95,18642.21,18511.59
21116.04,18642.21,18511.59
21048.24,18642.21,18511.59
20989.02,18642.21,18511.59
20927.61,18642.21,18511.59
20868.09,18642.21,18511.59
20803.94,18642.21,18511.59
20742.82,18642.21,18511.59
20678.24,18642.21,18511.59
20600.63,18642.21,18511.59
20508.15,18642.21,18511.59
20415.86,18642.21,18511.59
20325.0,18642.21,18511.59
20223.6,18642.21,18511.59
20130.24,18642.21,18511.59
20038.02,18642.21,18511.59
19975.83,18642.21,18511.59
19946.46,18642.21,18511.59
19927.89,18642.21,18511.59
19909.13,18642.21,18511.59
19886.57,18642.21,18511.59
19866.24,18642.21,18511.59
19852.82,18642.21,18511.59
19844.12,18642.21,18511.59
19848.39,18642.21,18511.59
19853.43,18642.21,18511.59
19854.84,18642.21,18511.59
19840.17,18642.21,18511.59
19826.63,18642.21,18511.59
19817.58,18642.21,18511.59
19820.8,18642.21,18511.59
19829.24,18642.21,18511.59
19848.25,18642.21,18511.59
19877.32,18642.21,18511.59
19921.41,18642.21,18511.59
19966.05,18642.21,18511.59
19991.93,18642.21,18511.59
19990.05,18642.21,18511.59
19969.31,18642.21,18511.59
19940.32,18642.21,18511.59
19910.64,18642.21,18511.59
19892.84,18642.21,18511.59
19879.12,18642.21,18511.59
19868.35,18642.21,18511.59
19864.13,18642.21,18511.59
19874.29,18642.21,18511.59
19879.82,18642.21,18511.59
19897.16,18642.21,18511.59
19911.5,18642.21,18511.59
19935.6,18642.21,18511.59
19967.11,18642.21,18511.59
20008.9,18642.21,18511.59
20061.56,18642.21,18511.59
20110.58,18642.21,18511.59
20183.2,18642.21,18511.59
20250.61,18642.21,18511.59
20312.57,18642.21,18511.59
20365.920000000002,18642.21,18511.59
20404.99,18642.21,18511.59
20428.64,18642.21,18511.59
20463.6,18642.21,18511.59
20533.75,18642.21,18511.59
20607.47,18642.21,18511.59
20690.85,18642.21,18511.59
20788.15,18642.21,18511.59
20858.21,18642.21,18511.59
20934.2,18642.21,18511.59
21012.54,18642.21,18511.59
21078.85,18642.21,18511.59
21126.94,18642.21,18511.59
21188.37,18642.21,18511.59
21242.52,18642.21,18511.59
21303.78,18642.21,18511.59
21356.670000000002,18642.21,18511.59
21396.05,18642.21,18511.59
21423.36,18642.21,18511.59
21442.55,18642.21,18511.59
21467.89,18642.21,18511.59
21466.68,18642.21,18511.59
21465.62,18642.21,18511.59
21468.32,18642.21,18511.59
21473.69,18642.21,18511.59
21500.79,18642.21,18511.59
21547.57,18642.21,18511.59
21586.49,18642.21,18511.59
21619.28,18642.21,18511.59
21657.29,18642.21,18511.59
21684.5,18642.21,18511.59
21687.7,18642.21,18511.59
21711.55,18642.21,18511.59
21698.35,18642.21,18511.59
21668.48,18642.21,18511.59
21650.86,18642.21,18511.59
21638.32,18642.21,18511.59
21620.899999999998,18642.21,18511.59
21606.59,18642.21,18511.59
21582.88,18642.21,18511.59
21553.42,18642.21,18511.59
21527.8,18642.21,18511.59
21516.02,18642.21,18511.59
21513.2,18642.21,18511.59
21490.0,18642.21,18511.59
21458.91,18642.21,18511.59
21424.76,18642.21,18511.59
21383.13,18642.21,18511.59
21348.989999999998,18642.21,18511.59
21308.46,18642.21,18511.59
21268.89,18642.21,18511.59
21225.64,18642.21,18511.59
21174.94,18642.21,18511.59
21119.29,18642.21,18511.59
21063.36,18642.21,18511.59
21012.48,18642.21,18511.59
20970.19,18642.21,18511.59
20935.49,18642.21,18511.59
20911.0,18642.21,18511.59
20883.54,18642.21,18511.59
20859.96,18642.21,18511.59
20835.29,18642.21,18511.59
20791.8,18642.21,18511.59
20743.87,18642.21,18511.59
20712.07,18642.21,18511.59
20689.78,18642.21,18511.59
20675.13,18642.21,18511.59
20663.41,18642.21,18511.59
20678.83,18642.21,18511.59
20704.22,18642.21,18511.59
20705.38,18642.21,18511.59
20702.83,18642.21,18511.59
20720.23,18642.21,18511.59
20725.82,18642.21,18511.59
20715.41,18642.21,18511.59
20715.99,18642.21,18511.59
20723.39,18642.21,18511.59
20733.5,18642.21,18511.59
20753.38,18642.21,18511.59
20771.3,18642.21,18511.59
20779.5,18642.21,18511.59
20805.38,18642.21,18511.59
20832.98,18642.21,18511.59
20861.93,18642.21,18511.59
20886.73,18642.21,18511.59
20906.0,18642.21,18511.59
20929.01,18642.21,18511.59
20947.77,18642.21,18511.59
20958.39,18642.21,18511.59
20980.58,18642.21,18511.59
20999.17,18642.21,18511.59
21005.39,18642.21,18511.59
21015.54,18642.21,18511.59
21019.47,18642.21,18511.59
21039.43,18642.21,18511.59
21061.73,18642.21,18511.59
21059.74,18642.21,18511.59
21062.97,18642.21,18511.59
21106.46,18642.21,18511.59
21124.45,18642.21,18511.59
21124.0,18642.21,18511.59
21123.5,18642.21,18511.59
21130.43,18642.21,18511.59
21150.96,18642.21,18511.59
21165.82,18642.21,18511.59
21175.98,18642.21,18511.59
21186.41,18642.21,18511.59
21199.71,18642.21,18511.59
21216.21,18642.21,18511.59
21244.33,18642.21,18511.59
21284.13,18642.21,18511.59
21329.85,18642.21,18511.59
21373.66,18642.21,18511.59
21384.31,18642.21,18511.59
21402.15,18642.21,18511.59
21405.06,18642.21,18511.59
21404.7,18642.21,18511.59
21401.56,18642.21,18511.59
21414.69,18642.21,18511.59
21408.46,18642.21,18511.59
21402.35,18642.21,18511.59
21404.47,18642.21,18511.59
21380.72,18642.21,18511.59
21394.1,18642.21,18511.59
21429.53,18642.21,18511.59
21459.61,18642.21,18511.59
21476.11,18642.21,18511.59
21493.12,18642.21,18511.59
21521.21,18642.21,18511.59
21563.38,18642.21,18511.59
21601.18,18642.21,18511.59
21631.82,18642.21,18511.59
21653.65,18642.21,18511.59
21663.76,18642.21,18511.59
21665.18,18642.21,18511.59
21666.73,18642.21,18511.59
21661.1,18642.21,18511.59
21669.7,18642.21,18511.59
21656.61,18642.21,18511.59
21652.17,18642.21,18511.59
21633.6,18642.21,18511.59
21608.99,18642.21,18511.59
21570.78,18642.21,18511.59
21557.71,18642.21,18511.59
21542.0,18642.21,18511.59
21536.19,18642.21,18511.59
21518.76,18642.21,18511.59
21476.93,18642.21,18511.59
21414.66,18642.21,18511.59
21335.42,18642.21,18511.59
21266.62,18642.21,18511.59
21201.37,18642.21,18511.59
21139.08,18642.21,18511.59
21039.07,18642.21,18511.59
20944.94,18642.21,18511.59
20858.82,18642.21,18511.59
20794.81,18642.21,18511.59
20763.48,18642.21,18511.59
20735.95,18642.21,18511.59
20708.91,18642.21,18511.59
20687.14,18642.21,18511.59
20675.26,18642.21,18511.59
20678.29,18642.21,18511.59
20697.89,18642.21,18511.59
20714.55,18642.21,18511.59
20746.36,18642.21,18511.59
20794.41,18642.21,18511.59
20839.52,18642.21,18511.59
20897.5,18642.21,18511.59
20933.74,18642.21,18511.59
20971.48,18642.21,18511.59
21001.39,18642.21,18511.59
21057.26,18642.21,18511.59
21129.49,18642.21,18511.59
21186.93,18642.21,18511.59
21216.38,18642.21,18511.59
21232.26,18642.21,18511.59
21252.77,18642.21,18511.59
21274.7,18642.21,18511.59
21291.94,18642.21,18511.59
21285.31,18642.21,18511.59
21249.09,18642.21,18511.59
21220.05,18642.21,18511.59
21189.24,18642.21,18511.59
21158.94,18642.21,18511.59
21120.07,18642.21,18511.59
21092.93,18642.21,18511.59
21076.26,18642.21,18511.59
21080.69,18642.21,18511.59
21085.59,18642.21,18511.59
21086.55,18642.21,18511.59
21082.41,18642.21,18511.59
21087.25,18642.21,18511.59
21105.24,18642.21,18511.59
21138.6,18642.21,18511.59
21177.54,18642.21,18511.59
21207.760000000002,18642.21,18511.59
21246.14,18642.21,18511.59
21268.09,18642.21,18511.59
21304.86,18642.21,18511.59
21353.1,18642.21,18511.59
21426.18,18642.21,18511.59
21482.32,18642.21,18511.59
21542.32,18642.21,18511.59
21599.38,18642.21,18511.59
21668.12,18642.21,18511.59
21729.43,18642.21,18511.59
21795.97,18642.21,18511.59
21872.5,18642.21,18511.59
21950.63,18642.21,18511.59
22024.8,18642.21,18511.59
22083.71,18642.21,18511.59
22130.93,18642.21,18511.59
22174.32,18642.21,18511.59
22205.96,18642.21,18511.59
22240.68,18642.21,18511.59
22251.66,18642.21,18511.59
22251.45,18642.21,18511.59
22212.83,18642.21,18511.59
22176.68,18642.21,18511.59
22140.52,18642.21,18511.59
22096.36,18642.21,18511.59
22070.04,18642.21,18511.59
22043.75,18642.21,18511.59
22004.06,18642.21,18511.59
21951.09,18642.21,18511.59
21908.6,18642.21,18511.59
21863.39,18642.21,18511.59
21833.7,18642.21,18511.59
