slack_0,non_interrupt,interrupt
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.58
576.0,575.75,575.57
576.0,575.75,575.56
576.0,575.75,575.55
576.0,575.75,575.55
576.0,575.75,575.55
576.0,575.75,575.54
576.0,575.75,575.53
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.75,575.52
576.0,575.74,575.52
576.0,575.73,575.52
576.0,575.73,575.52
576.0,575.73,575.52
576.0,575.73,575.52
576.0,575.73,575.52
576.0,575.73,575.52
576.0,575.73,575.52
575.99,575.73,575.52
