slack_0,non_interrupt,interrupt
5403.63,3989.89,3083.19
5390.8,3989.89,3083.19
5376.87,3989.89,3083.19
5363.5,3989.89,3083.19
5354.85,3989.89,3083.19
5359.35,3989.89,3083.19
5364.48,3989.89,3083.19
5353.81,3989.89,3083.19
5335.81,3989.89,3083.19
5326.19,3989.89,3083.19
5323.74,3989.89,3083.19
5333.36,3989.89,3083.19
5351.96,3989.89,3083.19
5365.98,3989.89,3083.19
5381.13,3989.89,3083.19
5399.02,3989.89,3083.19
5397.88,3989.89,3083.19
5421.0,3989.89,3083.19
5457.83,3989.89,3083.19
5488.87,3989.89,3083.19
5523.83,3989.89,3083.19
5560.21,3989.89,3083.19
5591.8,3989.89,3083.19
5615.75,3989.89,3083.19
5636.52,3989.89,3083.19
5626.17,3989.89,3083.19
5623.1900000000005,3989.89,3083.19
5624.66,3989.89,3083.19
5611.74,3989.89,3083.19
5595.25,3989.89,3083.19
5575.46,3989.89,3083.19
5561.25,3989.89,3083.19
5558.82,3989.89,3083.19
5561.71,3989.89,3083.19
5563.79,3989.89,3083.19
5555.91,3989.89,3083.19
5547.91,3989.89,3083.19
5550.12,3989.89,3083.19
5549.26,3989.89,3083.19
5538.6,3989.89,3083.19
5547.69,3989.89,3083.19
5553.27,3989.89,3083.19
5560.9,3989.89,3083.19
5573.67,3989.89,3083.19
5584.87,3989.89,3083.19
5586.0,3989.89,3083.19
5583.25,3989.89,3083.19
5566.17,3989.89,3083.19
5555.17,3989.89,3083.19
5540.9400000000005,3989.89,3083.19
5535.9,3989.89,3083.19
5526.73,3989.89,3083.19
5525.85,3989.89,3083.19
5525.11,3989.89,3083.19
5524.68,3989.89,3083.19
5529.85,3989.89,3083.19
5531.6900000000005,3989.89,3083.19
5525.39,3989.89,3083.19
5515.64,3989.89,3083.19
5507.46,3989.89,3083.19
5496.55,3989.89,3083.19
5485.66,3989.89,3083.19
5478.31,3989.89,3083.19
5483.67,3989.89,3083.19
5481.86,3989.89,3083.19
5477.56,3989.89,3083.19
5468.94,3989.89,3083.19
5452.6,3989.89,3083.19
5439.04,3989.89,3083.19
5434.51,3989.89,3083.19
5423.26,3989.89,3083.19
5442.32,3989.89,3083.19
5453.83,3989.89,3083.19
5468.62,3989.89,3083.19
5475.02,3989.89,3083.19
5484.05,3989.89,3083.19
5491.64,3989.89,3083.19
5492.38,3989.89,3083.19
5488.22,3989.89,3083.19
5485.21,3989.89,3083.19
5475.97,3989.89,3083.19
5488.21,3989.89,3083.19
5499.88,3989.89,3083.19
5492.64,3989.89,3083.19
5482.06,3989.89,3083.19
5470.89,3989.89,3083.19
5462.1900000000005,3989.89,3083.19
5451.79,3989.89,3083.19
5443.59,3989.89,3083.19
5442.62,3989.89,3083.19
5447.26,3989.89,3083.19
5450.36,3989.89,3083.19
5447.3,3989.89,3083.19
5446.59,3989.89,3083.19
5444.42,3989.89,3083.19
5439.82,3989.89,3083.19
5448.74,3989.89,3083.19
5450.22,3989.89,3083.19
5455.0,3989.89,3083.19
5463.28,3989.89,3083.19
5472.97,3989.89,3083.19
5482.35,3989.89,3083.19
5498.88,3989.89,3083.19
5521.02,3989.89,3083.19
5544.66,3989.89,3083.19
5551.63,3989.89,3083.19
5549.9,3989.89,3083.19
5556.25,3989.89,3083.19
5567.43,3989.89,3083.19
5570.32,3989.89,3083.19
5571.5,3989.89,3083.19
5573.96,3989.89,3083.19
5579.42,3989.89,3083.19
5575.3,3989.89,3083.19
5570.2,3989.89,3083.19
5572.18,3989.89,3083.19
5584.72,3989.89,3083.19
5592.55,3989.89,3083.19
5615.66,3989.89,3083.19
5636.34,3989.89,3083.19
5626.91,3989.89,3083.19
5611.64,3989.89,3083.19
5594.18,3989.89,3083.19
5572.99,3989.89,3083.19
5547.23,3989.89,3083.19
5528.51,3989.89,3083.19
5509.75,3989.89,3083.19
5487.78,3989.89,3083.19
5474.89,3989.89,3083.19
5458.74,3989.89,3083.19
5452.23,3989.89,3083.19
5454.24,3989.89,3083.19
5458.05,3989.89,3083.19
5463.65,3989.89,3083.19
5466.46,3989.89,3083.19
5465.3,3989.89,3083.19
5457.41,3989.89,3083.19
5450.15,3989.89,3083.19
5438.81,3989.89,3083.19
5436.73,3989.89,3083.19
5430.16,3989.89,3083.19
5421.44,3989.89,3083.19
5403.36,3989.89,3083.19
5390.62,3989.89,3083.19
5393.49,3989.89,3083.19
5401.43,3989.89,3083.19
5391.45,3989.89,3083.19
5377.34,3989.89,3083.19
5372.76,3989.89,3083.19
5366.79,3989.89,3083.19
5358.89,3989.89,3083.19
5345.6900000000005,3989.89,3083.19
5330.9800000000005,3989.89,3083.19
5320.81,3989.89,3083.19
5306.93,3989.89,3083.19
5287.68,3989.89,3083.19
5262.7,3989.89,3083.19
5241.53,3989.89,3083.19
5220.32,3989.89,3083.19
5199.22,3989.89,3083.19
5185.18,3989.89,3083.19
5190.5,3989.89,3083.19
5208.09,3989.89,3083.19
5209.25,3989.89,3083.19
5214.2,3989.89,3083.19
5209.36,3989.89,3083.19
5208.61,3989.89,3083.19
5207.9800000000005,3989.89,3083.19
5208.24,3989.89,3083.19
5200.11,3989.89,3083.19
5205.65,3989.89,3083.19
5218.86,3989.89,3083.19
5225.5,3989.89,3083.19
5218.86,3989.89,3083.19
5210.7300000000005,3989.89,3083.19
5204.81,3989.89,3083.19
5187.46,3989.89,3083.19
5152.62,3989.89,3083.19
5121.21,3989.89,3083.19
5094.29,3989.89,3083.19
5064.22,3989.89,3083.19
5036.75,3989.89,3083.19
5015.81,3989.89,3083.19
4999.35,3989.89,3083.19
4960.82,3989.89,3083.19
4901.32,3989.89,3083.19
4829.84,3989.89,3083.19
4774.19,3989.89,3083.19
4715.2,3989.89,3083.19
4657.38,3989.89,3083.19
4603.22,3989.89,3083.19
4546.11,3989.89,3083.19
4482.4,3989.89,3083.19
4441.57,3989.89,3083.19
4412.0,3989.89,3083.19
4380.32,3989.89,3083.19
4341.76,3989.89,3083.19
4304.39,3989.89,3083.19
4265.07,3989.89,3083.19
4206.01,3989.89,3083.19
4148.81,3989.89,3083.19
4115.23,3989.89,3083.19
4084.05,3989.89,3083.19
4051.06,3989.89,3083.19
4025.19,3989.89,3083.19
4005.01,3989.89,3083.19
3989.89,3989.89,3083.19
3990.68,3990.68,3083.19
4004.04,4004.04,3083.19
4023.56,4023.56,3083.19
4049.65,4049.65,3083.19
4077.61,4077.61,3083.75
4099.01,4080.98,3089.27
4120.14,4080.98,3108.27
4139.16,4080.98,3126.3
4165.37,4080.98,3139.72
4191.62,4080.98,3139.72
4195.59,4080.98,3139.72
4190.54,4080.98,3139.72
4180.13,4080.98,3139.72
4177.22,4080.98,3139.72
4181.55,4080.98,3139.72
4197.11,4080.98,3139.72
4230.78,4080.98,3139.72
4265.86,4080.98,3139.72
4287.52,4080.98,3139.72
4307.24,4080.98,3139.72
4328.16,4080.98,3139.72
4348.94,4080.98,3139.72
4354.88,4080.98,3139.72
4350.92,4080.98,3139.72
4333.39,4080.98,3139.72
4325.35,4080.98,3139.72
4324.01,4080.98,3139.72
4303.34,4080.98,3139.72
4265.44,4080.98,3139.72
4223.63,4080.98,3139.72
4192.36,4080.98,3139.72
4170.26,4080.98,3139.72
4146.91,4080.98,3139.72
