slack_0,non_interrupt,interrupt
5648.88,1186.19,1087.59
5603.55,1186.19,1087.59
5573.63,1186.19,1087.59
5551.8,1186.19,1087.59
5515.64,1186.19,1087.59
5482.96,1186.19,1087.59
5460.01,1186.19,1087.59
5430.27,1186.19,1087.59
5388.1900000000005,1186.19,1087.59
5340.16,1186.19,1087.59
5329.56,1186.19,1087.59
5256.48,1186.19,1087.59
5161.53,1186.19,1087.59
5072.42,1186.19,1087.59
4985.92,1186.19,1087.59
4825.84,1186.19,1087.59
4665.02,1186.19,1087.59
4512.8,1186.19,1087.59
4380.79,1186.19,1087.59
4299.8,1186.19,1087.59
4266.16,1186.19,1087.59
4255.43,1186.19,1087.59
4251.44,1186.19,1087.59
4267.63,1186.19,1087.59
4314.65,1186.19,1087.59
4380.37,1186.19,1087.59
4454.22,1186.19,1087.59
4515.29,1186.19,1087.59
4541.29,1186.19,1087.59
4538.79,1186.19,1087.59
4521.82,1186.19,1087.59
4512.5199999999995,1186.19,1087.59
4517.2,1186.19,1087.59
4520.6,1186.19,1087.59
4525.73,1186.19,1087.59
4503.65,1186.19,1087.59
4466.87,1186.19,1087.59
4407.38,1186.19,1087.59
4327.59,1186.19,1087.59
4256.76,1186.19,1087.59
4217.94,1186.19,1087.59
4200.85,1186.19,1087.59
4192.96,1186.19,1087.59
4194.58,1186.19,1087.59
4198.63,1186.19,1087.59
4205.7,1186.19,1087.59
4181.36,1186.19,1087.59
4141.69,1186.19,1087.59
4073.85,1186.19,1087.59
3992.45,1186.19,1087.59
3890.2599999999998,1186.19,1087.59
3785.82,1186.19,1087.59
3709.47,1186.19,1087.59
3684.5299999999997,1186.19,1087.59
3696.02,1186.19,1087.59
3715.04,1186.19,1087.59
3727.47,1186.19,1087.59
3734.88,1186.19,1087.59
3755.44,1186.19,1087.59
3800.18,1186.19,1087.59
3835.85,1186.19,1087.59
3866.94,1186.19,1087.59
3913.82,1186.19,1087.59
3971.85,1186.19,1087.59
4016.8,1186.19,1087.59
4041.91,1186.19,1087.59
4061.73,1186.19,1087.59
4099.2,1186.19,1087.59
4131.3,1186.19,1087.59
4152.93,1186.19,1087.59
4180.62,1186.19,1087.59
4205.98,1186.19,1087.59
4220.11,1186.19,1087.59
